Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773108319732,0,1,1,135,-0.3603443,0.1017406,-0.9272544,1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0,0,0.1,-0.3329147,0.09399606,-0.8566715,0.3826834,135,-0.3603443,0.1017406,-0.9272545
Trial Start,1773108321312,0,1,1,135,-0.3603443,0.1017406,-0.9272544,1,-0.0505636,0.9971936,0.3019728,1.043139,-0.03130643,-0.05285132,-0.0838464,0.9945835,11.93222,-0.3011964,-0.5084777,-0.8066786,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1005636,0.002806365,-0.001972765,0.1006221,-0.2659736,0.1148066,-0.8404824,0.457894,125.4974,-0.2991806,0.1291403,-0.9454172
Grab_left,1773108323519,2.211082,1,1,135,-0.3603443,0.1017406,-0.9272544,1,-0.05216071,1.003011,0.2993622,1.048031,-0.03968949,-0.04867188,-0.1597919,0.9851509,19.77225,-0.2311687,-0.283486,-0.9306969,0.2927729,-0.2272224,0.06166727,0.3756978,0.3674139,0.8462026,-0.04594593,0.3831933,134.9368,0.397777,0.9161327,-0.0497429,-0.1181616,0.0739172,-0.02923953,0.1424109,-0.4903891,0.165897,0.4028712,0.7547793,81.98785,-0.7475682,0.2528998,0.6141524,0.1021607,-0.00301075,0.0006378293,0.102207,-0.2560672,0.1304225,-0.8027352,0.5225284,116.996,-0.3003291,0.1529663,-0.9414902
Release_left,1773108324991,3.684347,1,1,135,-0.3603443,0.1017406,-0.9272544,1,0.026317,1.009319,0.234769,1.036597,-0.1807629,0.3571807,-0.01328586,0.9162807,47.22348,-0.4513016,0.891755,-0.03317013,0.2393313,-0.1384762,0.07751162,0.287164,0.3922169,0.84614,0.3345536,0.135229,164.4563,0.3958531,0.8539844,0.3376552,-0.1252342,0.05338334,-0.03417869,0.1403622,-0.5720199,0.3083523,0.6039724,0.4614429,125.0395,-0.6447692,0.3475685,0.6807854,0.023683,-0.009319067,0.065231,0.07002009,-0.5406061,-0.2009917,-0.6779475,0.4557793,125.7698,-0.6073592,-0.2258098,-0.7616593
Grab_left,1773108325047,3.739605,1,1,135,-0.3603443,0.1017406,-0.9272544,1,0.0277534,1.010907,0.228335,1.036745,-0.1711343,0.3577285,-0.0733146,0.9150783,47.56629,-0.42436,0.887056,-0.1817975,0.2375465,-0.1364145,0.0811922,0.2857086,0.3710857,0.8640776,0.3155534,0.1268523,165.4245,0.3741078,0.8711147,0.3181233,-0.1235507,0.05295571,-0.02905973,0.1375265,-0.560751,0.3481317,0.6046085,0.4458825,127.0404,-0.6264734,0.3889342,0.6754711,0.0222466,-0.01090693,0.071665,0.07582708,-0.5387173,-0.1730813,-0.6528581,0.50359,119.5244,-0.6235568,-0.2003389,-0.7556729
Release_left,1773108325074,3.769461,1,1,135,-0.3603443,0.1017406,-0.9272544,1,0.02800622,1.010715,0.2277673,1.03644,-0.1696861,0.3489726,-0.07464072,0.918615,46.55111,-0.4294181,0.8831314,-0.1888904,0.235866,-0.1347118,0.08412974,0.2843552,0.341383,0.8794563,0.3068274,0.1259799,165.5253,0.3441248,0.8865195,0.3092916,-0.1233948,0.0524447,-0.03087906,0.1375872,-0.5689855,0.3506718,0.5902627,0.4526308,126.1748,-0.6380922,0.393263,0.6619536,0.02199378,-0.01071501,0.07223274,0.0762634,-0.5328233,-0.1677161,-0.6581593,0.5047744,119.3673,-0.6172284,-0.1942842,-0.7624189
Grab,1773108327977,6.670885,1,1,135,-0.3603443,0.1017406,-0.9272544,1,0.06996033,1.00484,0.1969466,1.026345,-0.5998467,0.04174932,-0.632994,0.487606,121.6333,-0.6870595,0.04781933,-0.7250261,0.1195055,-0.0897021,0.02167891,0.1509901,-0.5875562,0.7522144,0.273963,0.1178793,166.4606,-0.5916815,0.7574957,0.2758865,-0.1285227,0.07481007,-0.04725206,0.1560365,-0.6323863,-0.5249065,0.001129954,0.5697011,110.5412,-0.7694651,-0.6386875,0.001374887,-0.01996033,-0.00483954,0.1030534,0.1050802,0.09095366,-0.2732823,-0.2179661,0.9324887,42.34774,0.2518101,-0.7565967,-0.6034509
Release_left,1773108329212,7.906195,1,1,135,-0.3603443,0.1017406,-0.9272544,1,0.05995454,1.000636,0.2758255,1.039686,-0.2739654,-0.03677151,-0.8403019,0.4663514,124.4046,-0.3097055,-0.04156853,-0.9499235,0.12125,-0.09283128,0.02286764,0.154409,-0.4949293,0.8290427,-0.08177169,0.2470759,151.3909,-0.510765,0.8555687,-0.08438805,-0.1200682,0.09061858,-0.03706046,0.1549244,-0.4262666,-0.3389823,-0.03423266,0.8379832,66.14448,-0.781143,-0.6211926,-0.0627321,-0.009954538,-0.00063622,0.02417448,0.02615154,0.06007292,0.1029576,-0.1159338,0.9860783,19.14338,0.3612725,0.6191769,-0.6972141
Grab,1773108329269,7.961809,1,1,135,-0.3603443,0.1017406,-0.9272544,1,0.06006785,1.000655,0.2789136,1.040534,-0.2485183,-0.02264659,-0.8669178,0.4314851,128.8763,-0.2754825,-0.02510375,-0.9609783,0.1212887,-0.09280372,0.02430185,0.1546417,-0.5168008,0.822692,-0.1016405,0.2139248,155.2951,-0.5290483,0.8421887,-0.1040492,-0.1207714,0.09195527,-0.03388287,0.1555299,-0.42514,-0.3252594,-0.07642408,0.8412024,65.46536,-0.7862477,-0.60153,-0.1413376,-0.01006785,-0.0006552935,0.02108636,0.02337575,0.05234364,0.1249356,-0.06878501,0.9883927,17.47653,0.3445451,0.8223718,-0.4527683
Release_left,1773108329630,8.324424,1,1,135,-0.3603443,0.1017406,-0.9272544,1,0.05610021,1.005005,0.2917655,1.048002,-0.3147873,0.007308073,-0.8913895,0.3260066,141.9469,-0.3329788,0.007730405,-0.9429028,0.1239769,-0.09740674,0.01692612,0.1585712,-0.5784743,0.7898582,-0.04356484,0.198982,157.0451,-0.590278,0.805975,-0.04445377,-0.1235787,0.09825294,-0.02904421,0.1605269,-0.460982,-0.3767134,-0.1678129,0.7857617,76.41763,-0.7452872,-0.6090469,-0.2713096,-0.006100211,-0.005004644,0.008234531,0.01140467,0.08945797,0.05493409,0.03468364,0.9938695,12.6951,0.8091421,0.4968756,0.3137115
On Target,1773108333617,12.32387,1,1,135,-0.3603443,0.1017406,-0.9272544,1,0.04969787,1.004422,0.3019708,1.05001,-0.4100324,0.06815495,-0.8353948,0.359644,137.8433,-0.4394352,0.07304224,-0.8952997,0.1089549,-0.1395168,0.009155151,0.1772567,-0.5235547,0.7658916,0.0747456,0.3656689,137.1025,-0.5625115,0.8228801,0.08030729,-0.1143996,0.08307191,-0.03765522,0.1463083,-0.6194013,-0.482884,-0.1789587,0.5925696,107.3209,-0.7689468,-0.5994694,-0.2221656,0.0003021322,-0.004422307,-0.001970738,0.004850968,0.05731923,-0.06542446,-0.004256642,0.9962008,9.991974,0.6581909,-0.7512624,-0.04887859
Off Target,1773108333714,12.42078,1,1,135,-0.3603443,0.1017406,-0.9272544,1,0.0493187,1.004571,0.3014383,1.049981,-0.4122366,0.07849205,-0.8350875,0.3557091,138.3262,-0.441085,0.08398495,-0.8935271,0.1091841,-0.1389979,0.01144579,0.1771231,-0.528744,0.7679648,0.0858695,0.3511217,138.8881,-0.5646983,0.8201861,0.09170859,-0.11471,0.08434565,-0.03669945,0.1470355,-0.6277485,-0.474664,-0.1902571,0.58688,108.1282,-0.7753103,-0.586241,-0.2349799,0.0006813034,-0.004571199,-0.00143832,0.004840331,0.05058834,-0.07174075,0.002230845,0.9961371,10.07539,0.5761032,-0.8169881,0.025405
