Timestamp,Trial Duration,Wrist World Position X,Wrist World Position Y,Wrist World Position Z,Wrist World Position Magnitude,Wrist World Rotation X,Wrist World Rotation Y,Wrist World Rotation Z,Wrist World Rotation W,Wrist World Rotation Angle,Wrist World Rotation Axis X,Wrist World Rotation Axis Y,Wrist World Rotation Axis Z,Wrist World Position_left X,Wrist World Position_left Y,Wrist World Position_left Z,Wrist World Position_left Magnitude,Wrist World Rotation_left X,Wrist World Rotation_left Y,Wrist World Rotation_left Z,Wrist World Rotation_left W,Wrist World Rotation_left Angle,Wrist World Rotation_left Axis X,Wrist World Rotation_left Axis Y,Wrist World Rotation_left Axis Z,Thumb Tip World Position X,Thumb Tip World Position Y,Thumb Tip World Position Z,Thumb Tip World Position Magnitude,Index Tip World Position X,Index Tip World Position Y,Index Tip World Position Z,Index Tip World Position Magnitude,Middle Tip World Position X,Middle Tip World Position Y,Middle Tip World Position Z,Middle Tip World Position Magnitude,Thumb Tip World Position_left X,Thumb Tip World Position_left Y,Thumb Tip World Position_left Z,Thumb Tip World Position_left Magnitude,Index Tip World Position_left X,Index Tip World Position_left Y,Index Tip World Position_left Z,Index Tip World Position_left Magnitude,Middle Tip World Position_left X,Middle Tip World Position_left Y,Middle Tip World Position_left Z,Middle Tip World Position_left Magnitude,Thumb Tip Local Position X,Thumb Tip Local Position Y,Thumb Tip Local Position Z,Thumb Tip Local Position Magnitude,Index Tip Local Position X,Index Tip Local Position Y,Index Tip Local Position Z,Index Tip Local Position Magnitude,Middle Tip Local Position X,Middle Tip Local Position Y,Middle Tip Local Position Z,Middle Tip Local Position Magnitude,Thumb Tip Local Position_left X,Thumb Tip Local Position_left Y,Thumb Tip Local Position_left Z,Thumb Tip Local Position_left Magnitude,Index Tip Local Position_left X,Index Tip Local Position_left Y,Index Tip Local Position_left Z,Index Tip Local Position_left Magnitude,Middle Tip Local Position_left X,Middle Tip Local Position_left Y,Middle Tip Local Position_left Z,Middle Tip Local Position_left Magnitude,Thumb Tip Euro Position X,Thumb Tip Euro Position Y,Thumb Tip Euro Position Z,Thumb Tip Euro Position Magnitude,Index Tip Euro Position X,Index Tip Euro Position Y,Index Tip Euro Position Z,Index Tip Euro Position Magnitude,Middle Tip Euro Position X,Middle Tip Euro Position Y,Middle Tip Euro Position Z,Middle Tip Euro Position Magnitude,Thumb Tip Euro Position_left X,Thumb Tip Euro Position_left Y,Thumb Tip Euro Position_left Z,Thumb Tip Euro Position_left Magnitude,Index Tip Euro Position_left X,Index Tip Euro Position_left Y,Index Tip Euro Position_left Z,Index Tip Euro Position_left Magnitude,Middle Tip Euro Position_left X,Middle Tip Euro Position_left Y,Middle Tip Euro Position_left Z,Middle Tip Euro Position_left Magnitude,Triangle Local Position X,Triangle Local Position Y,Triangle Local Position Z,Triangle Local Position Magnitude,Triangle Local Rotation X,Triangle Local Rotation Y,Triangle Local Rotation Z,Triangle Local Rotation W,Triangle Local Rotation Angle,Triangle Local Rotation Axis X,Triangle Local Rotation Axis Y,Triangle Local Rotation Axis Z,Triangle Local Position_left X,Triangle Local Position_left Y,Triangle Local Position_left Z,Triangle Local Position_left Magnitude,Triangle Local Rotation_left X,Triangle Local Rotation_left Y,Triangle Local Rotation_left Z,Triangle Local Rotation_left W,Triangle Local Rotation_left Angle,Triangle Local Rotation_left Axis X,Triangle Local Rotation_left Axis Y,Triangle Local Rotation_left Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is Grabbed,Is Grabbed_right,Is Grabbed_left,Is On Target
1773108424361,0.014304,0.1704377,0.8950545,0.1662085,0.9261732,-0.5570396,-0.6749151,-0.04642629,0.4817065,122.4062,-0.6356485,-0.7701586,-0.05297793,-0.08701241,0.8833697,0.2191944,0.9143081,0.2669731,0.113289,-0.58669,0.7560991,81.757,0.4079306,0.1731038,-0.8964529,0.1147705,0.9764935,0.2476598,1.013927,0.1111024,0.9562643,0.268229,0.9993658,0.1210105,0.933877,0.2537023,0.9752613,-0.09195198,1.015997,0.1960168,1.038811,-0.11587,1.039833,0.2988899,1.088124,-0.1197217,1.03016,0.3309861,1.088629,0.1100532,-0.05240578,0.03882531,0.1279276,0.1098754,-0.07266559,0.01796199,0.1329493,0.08468543,-0.06628443,0.006337166,0.1077284,-0.09982424,0.01146208,-0.08975166,0.1347279,-0.1762178,0.02068111,-0.01357991,0.1779461,-0.1848754,0.02408697,0.0188548,0.1873889,0.1106886,-0.05173533,0.03843718,0.1280856,0.1096979,-0.07219031,0.01800366,0.1325488,0.08786407,-0.0727457,0.005356131,0.114196,-0.1078429,0.01432419,-0.07644069,0.1329604,-0.1682655,0.03295272,-0.014058,0.1720372,-0.1753825,0.03571817,0.01513396,0.1796214,0.1013666,-0.06279907,0.02251282,0.1213497,0.2741297,0.8885787,-0.3178052,-0.1851505,201.3398,0.2789527,0.9042123,-0.3233967,-0.1262797,0.0201453,-0.05216864,0.1381086,-0.05595823,-0.318439,-0.1253097,0.9379568,40.57759,-0.1613781,-0.9183473,-0.361381,-0.04958972,1.00029,0.3003216,1.045577,-0.001188139,-0.003365413,0.004583408,0.9999832,0.6644049,-0.2049216,-0.580442,0.7905129,0.1580106,-0.1181889,0.06875964,0.208959,-0.2939634,0.1313303,0.4854878,0.8127973,71.25971,-0.5046179,0.2254416,0.8333889,-0.09821067,0.1697261,-0.01942048,0.1970518,-0.6564255,-0.7480492,0.09178695,0.03321322,176.1933,-0.6567879,-0.7484621,0.09183762,0.09958972,-0.0002897978,-0.0003216267,0.09959066,-0.2029962,0.6195171,-0.6574448,0.3778327,135.601,-0.2192483,0.6691161,-0.7100803,0.03031913,1.098864,0.010727,1.099334,0.008173461,0.04497346,0.021377,-0.998726,354.2151,0.161974,0.8912417,0.4236293,False,False,False,False
1773108424375,0.0290217,0.2062979,0.8276296,0.1325718,0.8631945,-0.6655637,-0.5730408,-0.005831703,0.4781373,122.8724,-0.7577991,-0.6524542,-0.006639875,-0.08078551,0.9113097,0.246884,0.9476093,0.2387521,0.08654555,-0.6419796,0.7234427,87.32108,0.3458249,0.1253585,-0.9298873,0.1820007,0.9253767,0.2115432,0.9665385,0.1783477,0.9133224,0.2285821,0.9582356,0.1817403,0.8881359,0.2167624,0.9320948,-0.06651981,1.04531,0.2406484,1.074714,-0.051206,1.060641,0.3159372,1.10788,-0.04833291,1.055094,0.3422751,1.110275,0.1095652,-0.05726222,0.0331336,0.1279896,0.1086532,-0.07217377,0.01810732,0.1316907,0.08417716,-0.06499398,0.006490536,0.1065464,-0.1139457,0.02064973,-0.06919825,0.1349016,-0.1575989,0.05409551,-0.01339732,0.1671623,-0.1635852,0.06271225,0.01155533,0.1755747,0.1105959,-0.0521911,0.03799983,0.12806,0.1096117,-0.07218894,0.01801221,0.132478,0.08756004,-0.07210647,0.005449678,0.1135597,-0.1083462,0.01484582,-0.07584345,0.1330846,-0.1673859,0.03469623,-0.01400352,0.1715167,-0.1744097,0.03794419,0.01483885,0.1791053,0.1010729,-0.06292935,0.02211032,0.1210979,0.2823684,0.8862268,-0.3131877,-0.1917906,202.1146,0.2877095,0.90299,-0.3191118,-0.126379,0.02112184,-0.05179204,0.1382034,-0.06430404,-0.3162876,-0.1281169,0.9377704,40.63914,-0.1851776,-0.9108195,-0.3689407,-0.04900096,1.000636,0.3007147,1.045994,-0.003039671,-0.01106633,0.01422129,0.999833,2.093969,-0.166347,-0.6056088,0.7782646,0.1361515,-0.2825806,0.1582436,0.3513261,0.6676306,0.5683646,0.006464059,0.4808218,122.5218,0.7614239,0.6482124,0.007372174,-0.09703203,0.04827967,0.0002628975,0.1083799,-0.2378438,-0.08864724,0.6459853,0.7199132,87.90537,-0.3426827,-0.127722,0.9307286,0.09900096,-0.00063622,-0.0007147193,0.09900559,-0.2031936,0.6192049,-0.6637446,0.3670706,136.9299,-0.2184424,0.6656735,-0.7135557,0.03041414,1.098882,0.01064514,1.099354,0.007957221,0.04536932,0.02154658,-0.9987062,354.1703,0.1564792,0.8921902,0.4237147,False,False,False,False
1773108424390,0.0457693,0.2066848,0.8276678,0.1325423,0.8633192,-0.6646356,-0.5732492,-0.00469661,0.4791898,122.735,-0.7572371,-0.6531181,-0.005350973,-0.08021993,0.9111322,0.247543,0.9475625,0.234721,0.08684862,-0.645434,0.7216498,87.61829,0.3390655,0.1254569,-0.9323599,0.1823611,0.9252196,0.2117169,0.9664941,0.1785196,0.9128872,0.2285137,0.9578365,0.1821756,0.8879309,0.2167089,0.9319721,-0.0653082,1.044957,0.2403136,1.074221,-0.04746128,1.059434,0.3151852,1.106343,-0.04571022,1.05485,0.3416418,1.109738,0.1095513,-0.05728763,0.03306403,0.1279711,0.1082258,-0.0722772,0.01814647,0.1314006,0.08401524,-0.06492585,0.00651288,0.1063783,-0.1138498,0.02044052,-0.06931207,0.1348471,-0.1561078,0.05558409,-0.01351759,0.1662588,-0.1630918,0.06302378,0.01138014,0.1752154,0.1105075,-0.0526225,0.03758204,0.1280369,0.1094944,-0.07219642,0.01802357,0.1323865,0.08725998,-0.07149866,0.005539674,0.1129471,-0.108812,0.01531939,-0.0752906,0.1332044,-0.1664313,0.03646431,-0.01396239,0.1709502,-0.1734517,0.04006709,0.01454609,0.1786125,0.1007791,-0.06303935,0.02173463,0.120842,0.2907043,0.8836248,-0.3087969,-0.1983502,202.881,0.2965973,0.9015372,-0.3150567,-0.1264537,0.02204091,-0.05144236,0.1382847,-0.0706475,-0.3145335,-0.1364948,0.9367214,40.9839,-0.2018063,-0.8984727,-0.3899007,-0.04716831,1.001804,0.3024561,1.047529,-0.02023439,-0.01887824,0.03896834,0.9988572,5.478909,-0.4233646,-0.39499,0.8153356,0.1368358,-0.2820536,0.1590501,0.3515327,0.6712724,0.5583844,0.005897931,0.487407,121.6594,0.7687721,0.6394874,0.006754582,-0.09776717,0.04747672,0.0006090416,0.1086868,-0.2309679,-0.093444,0.6579226,0.7106759,89.42014,-0.3283033,-0.1328236,0.9351871,0.09716831,-0.001804113,-0.002456099,0.09721609,-0.2066462,0.6053202,-0.6848205,0.34915,139.1293,-0.2205245,0.6459733,-0.7308129,0.03054034,1.098898,0.01055289,1.099373,0.007817848,0.04538357,0.02153345,-0.9987069,354.1719,0.1537809,0.8927173,0.4235737,False,False,False,False
1773108424404,0.0602526,0.2073655,0.8279238,0.1323373,0.8636964,-0.6635838,-0.5735607,-0.003297939,0.4802852,122.5919,-0.7565551,-0.6539193,-0.003759996,-0.07772893,0.9105905,0.2501528,0.9475195,0.2307988,0.08706354,-0.6485673,0.7200781,87.87814,0.3326144,0.1254711,-0.934679,0.1830675,0.925227,0.2117277,0.9666372,0.1790096,0.9127442,0.2283374,0.9577496,0.1829217,0.8879645,0.2165035,0.9321025,-0.06349429,1.044209,0.2419321,1.073748,-0.03949502,1.055847,0.3156992,1.102742,-0.03988443,1.053303,0.3423771,1.108269,0.1095366,-0.05727011,0.03290942,0.1279107,0.1079098,-0.07238545,0.01817678,0.1312043,0.08389219,-0.06485268,0.006523885,0.1062371,-0.1138991,0.01903653,-0.06919965,0.1346253,-0.1521905,0.05921301,-0.01376845,0.1638831,-0.1613036,0.06455541,0.01086375,0.1740812,0.1104151,-0.053065,0.03713716,0.12801,0.1093435,-0.07221442,0.01803816,0.1322736,0.08693933,-0.0708659,0.005633381,0.1123039,-0.1092964,0.0156733,-0.07471068,0.1333155,-0.1650754,0.03863021,-0.01394392,0.1701077,-0.172295,0.04239861,0.01419549,0.1780021,0.1004593,-0.06313918,0.02134482,0.120558,0.2999412,0.8804699,-0.3043332,-0.2054005,203.7059,0.3064759,0.8996524,-0.3109636,-0.1264845,0.02294054,-0.05107313,0.1383224,-0.0737064,-0.3136068,-0.1605095,0.9329817,42.19102,-0.2047834,-0.8713146,-0.4459541,-0.04517191,1.001623,0.304598,1.047888,-0.02526942,-0.01402915,0.03258222,0.9990511,4.992448,-0.5801909,-0.322112,0.7480944,0.1392203,-0.2816113,0.1589813,0.3520828,0.6755202,0.5379128,0.02108844,0.5038629,119.4882,0.7820478,0.6227402,0.02441403,-0.0993604,0.04601105,1.680609E-06,0.1094966,-0.2362543,-0.1046874,0.6784817,0.687668,93.10843,-0.3254077,-0.1441924,0.9345151,0.09517191,-0.001622796,-0.004597962,0.09529673,-0.2039724,0.6015856,-0.6846415,0.3574299,138.1151,-0.2183999,0.6441373,-0.733068,0.03070488,1.098938,0.01045056,1.099417,0.008038622,0.04532092,0.02176712,-0.998703,354.1631,0.1578836,0.8901311,0.4275198,False,False,False,False
1773108424418,0.07413431,0.2081472,0.8278587,0.1322068,0.8638021,-0.6624665,-0.5738682,-0.002254048,0.4814649,122.4378,-0.7558388,-0.6547529,-0.002571748,-0.07687369,0.9107824,0.2530113,0.9483928,0.2272537,0.0867156,-0.6514047,0.718685,88.10797,0.3268259,0.1247104,-0.9368203,0.1838605,0.9249223,0.2118225,0.9665168,0.1797827,0.912514,0.2285129,0.9577169,0.1837113,0.887641,0.2164257,0.9319316,-0.06326143,1.044266,0.2447937,1.074439,-0.03502474,1.054353,0.3168958,1.101504,-0.03656179,1.053072,0.3436753,1.108336,0.1095333,-0.05723284,0.03281322,0.1278666,0.1080066,-0.07246303,0.01815467,0.1313237,0.08377435,-0.06482928,0.006547675,0.1061313,-0.1144088,0.01794051,-0.06826121,0.1344277,-0.1499407,0.0613827,-0.01396567,0.1626195,-0.1602675,0.06554347,0.01047184,0.1734684,0.1103415,-0.05341264,0.03677649,0.127987,0.109232,-0.07223515,0.01804787,0.1321941,0.08667534,-0.07036238,0.005709643,0.1117859,-0.1097228,0.01586241,-0.07417273,0.1333878,-0.163813,0.04052801,-0.01394574,0.1693272,-0.1712918,0.04432914,0.0138849,0.1774789,0.100194,-0.06321403,0.02102822,0.1203206,0.3072225,0.8777658,-0.300767,-0.2113783,204.4063,0.3143249,0.8980581,-0.3077202,-0.1265224,0.02361834,-0.05071741,0.1383402,-0.07398503,-0.3137203,-0.1894399,0.9274796,43.90945,-0.1978877,-0.8391075,-0.5066947,-0.04453131,1.001576,0.3051451,1.047975,-0.02973837,-0.01725446,0.0322901,0.998887,5.406983,-0.6304885,-0.3658149,0.6845883,0.1410514,-0.2814362,0.1580555,0.3522546,0.6684011,0.5449275,0.02314658,0.5057256,119.2409,0.7747831,0.6316575,0.02683056,-0.09885639,0.04632021,0.000112601,0.1091703,-0.2388856,-0.105772,0.6751998,0.6898197,92.76833,-0.329961,-0.1460978,0.9326206,0.09453131,-0.001576185,-0.005145073,0.09468435,-0.1999375,0.5998534,-0.687847,0.3564651,138.2335,-0.2139952,0.6420292,-0.7362096,0.03086271,1.098951,0.01033214,1.099433,0.008056338,0.04547556,0.02177113,-0.9986957,354.1466,0.1577877,0.8906632,0.4263993,False,False,False,False
1773108424431,0.0872521,0.2084483,0.8277287,0.1321851,0.8637468,-0.6614189,-0.5741746,-0.001212728,0.4825425,122.2968,-0.7551542,-0.6555458,-0.001384594,-0.07649851,0.9103841,0.2542546,0.9483125,0.2238887,0.08627187,-0.6539908,0.7174448,88.31216,0.321395,0.1238444,-0.938812,0.1841192,0.9246136,0.2119902,0.9663074,0.1800442,0.9121398,0.2286429,0.9574406,0.1840472,0.8873383,0.2165257,0.9317328,-0.06262773,1.043744,0.2459863,1.074166,-0.03297085,1.053597,0.3169083,1.10072,-0.03485418,1.052965,0.3438507,1.108234,0.1095372,-0.05722275,0.03278128,0.1278571,0.1079437,-0.07248908,0.01815546,0.1312864,0.08376469,-0.06482749,0.006552055,0.1061228,-0.1147495,0.01774211,-0.06755225,0.1343337,-0.1493175,0.06193594,-0.01408721,0.1622659,-0.1602174,0.06568298,0.01034627,0.1734673,0.110277,-0.05371831,0.03645598,0.1279676,0.1091286,-0.07225552,0.01805651,0.132121,0.08644184,-0.06991835,0.005777224,0.111329,-0.1101261,0.01601321,-0.07364161,0.1334438,-0.1626501,0.04224544,-0.01395709,0.1686255,-0.1704034,0.04604223,0.01360102,0.1770373,0.09995422,-0.06327369,0.02074945,0.1201039,0.3137088,0.8752207,-0.2975906,-0.2168306,205.0459,0.321354,0.8965502,-0.304843,-0.126583,0.02421389,-0.05035275,0.1383654,-0.07301156,-0.3144356,-0.2194905,0.9206647,45.95309,-0.1870392,-0.8055133,-0.5622854,-0.04387522,1.001471,0.3056675,1.047999,-0.0337785,-0.02204256,0.03110266,0.9987021,5.838936,-0.663202,-0.4327804,0.6106651,0.1417839,-0.280869,0.1585774,0.3523306,0.6648938,0.5438161,0.02245531,0.5115429,118.4667,0.7738001,0.6328906,0.02613338,-0.0991086,0.04588278,4.062801E-05,0.1092142,-0.2364766,-0.1107742,0.6777267,0.6873822,93.1535,-0.3255927,-0.1525194,0.9331278,0.09387521,-0.001470804,-0.005667508,0.09405764,-0.194485,0.5991685,-0.6907474,0.3550223,138.4104,-0.208037,0.6409194,-0.7388796,0.03099491,1.098998,0.01018785,1.099482,0.008195722,0.04548386,0.02184807,-0.9986925,354.1395,0.1603234,0.8897481,0.4273885,False,False,False,False
1773108424446,0.1018663,0.2088163,0.8276159,0.1320993,0.8637144,-0.6606894,-0.5743886,-0.0004905015,0.483288,122.1993,-0.7546754,-0.6560981,-0.0005602776,-0.07603467,0.9101366,0.255,0.9482378,0.2213977,0.0857617,-0.6556677,0.7167482,88.42668,0.3174925,0.1229855,-0.9402518,0.1845317,0.9242737,0.2121129,0.9660879,0.1803426,0.9117964,0.2286204,0.9571642,0.1843152,0.8868685,0.216244,0.9312729,-0.06205058,1.043382,0.2469585,1.074004,-0.0307622,1.05261,0.3164472,1.099579,-0.03245744,1.05232,0.3432847,1.107373,0.1095301,-0.05722176,0.03261112,0.1278071,0.1078164,-0.07252004,0.01816271,0.1311999,0.08338038,-0.06477167,0.006621569,0.1057899,-0.1150986,0.01764525,-0.06674905,0.134218,-0.1482129,0.06286936,-0.01429883,0.1616294,-0.1592545,0.06669866,0.009921566,0.1729426,0.1102201,-0.05398508,0.03616321,0.1279478,0.1090287,-0.07227566,0.01806459,0.1320506,0.08620872,-0.06952645,0.005841517,0.1109053,-0.1105047,0.01613748,-0.07311677,0.1334832,-0.1615508,0.04381586,-0.01398311,0.1679703,-0.1695545,0.04761513,0.01332084,0.1766164,0.09972139,-0.06332377,0.02049631,0.1198931,0.3194683,0.8727292,-0.2949008,-0.222075,205.6619,0.3276499,0.8950797,-0.3024532,-0.1266407,0.02475394,-0.04999119,0.1383826,-0.07174817,-0.3154082,-0.2488162,0.9129406,48.17014,-0.1758135,-0.7728838,-0.6097052,-0.04169365,1.000702,0.3074879,1.047708,-0.0401572,-0.03540389,0.02577351,0.9982333,6.812566,-0.6758649,-0.5958644,0.4337805,0.1423924,-0.280577,0.1587624,0.3524266,0.6613829,0.5424244,0.0203601,0.5176235,117.6541,0.7729971,0.6339633,0.02379605,-0.09927979,0.04568132,0.0003133087,0.1092857,-0.2335359,-0.1167108,0.6790927,0.6860561,93.36257,-0.32099,-0.1604164,0.9333982,0.09169365,-0.0007023811,-0.007487863,0.09200156,-0.179903,0.6008984,-0.6950656,0.3513401,138.8614,-0.1921532,0.6418155,-0.7423949,0.03110676,1.099077,0.01006263,1.099563,0.008807886,0.04551107,0.0225136,-0.9986713,354.0921,0.1709182,0.8831484,0.4368794,False,False,False,False
1773108424458,0.1158647,0.2096654,0.8275988,0.1316868,0.8638406,-0.6601064,-0.5745603,8.347304E-05,0.4838803,122.1217,-0.7542917,-0.6565397,9.538313E-05,-0.07399594,0.9096332,0.2567494,0.9480655,0.219187,0.08510585,-0.656872,0.716403,88.4834,0.3141625,0.1219829,-0.9414999,0.1854178,0.9240514,0.2118816,0.9659941,0.181043,0.91145,0.2281449,0.9568531,0.1850523,0.8862593,0.2151869,0.930594,-0.06028191,1.042751,0.2492743,1.073826,-0.02640282,1.050738,0.3165134,1.097692,-0.02699196,1.050304,0.3425402,1.10508,0.1095152,-0.05723301,0.0324512,0.1277587,0.1075102,-0.07256158,0.01818784,0.1309749,0.08255853,-0.06447902,0.006758042,0.104972,-0.1155758,0.0173586,-0.065615,0.1340314,-0.1462037,0.06443439,-0.01483634,0.1604601,-0.1565519,0.06910395,0.008595243,0.171341,0.1101609,-0.05425823,0.03585103,0.1279245,0.108901,-0.0722997,0.01807496,0.1319598,0.08590174,-0.06910195,0.005918598,0.1104048,-0.1109312,0.01624018,-0.07248586,0.1335053,-0.1602601,0.0455499,-0.01405487,0.1671994,-0.1684609,0.04942236,0.01292341,0.176036,0.09943535,-0.06336776,0.02022513,0.1196324,0.3256886,0.8697129,-0.2921966,-0.2283584,206.4009,0.3345278,0.8933169,-0.3001269,-0.1266611,0.02533958,-0.04959339,0.1383641,-0.07152581,-0.3164993,-0.2803584,0.9033889,50.78568,-0.166796,-0.7380666,-0.653787,-0.04098894,1.000465,0.3079835,1.047599,-0.04168818,-0.04360665,0.02149459,0.9979472,7.343784,-0.6509445,-0.6809006,0.3356295,0.1436508,-0.280722,0.156882,0.3522106,0.6543143,0.5394041,0.01209037,0.5298773,116.0057,0.7715295,0.636034,0.01425626,-0.09915275,0.04559821,0.0009828173,0.1091395,-0.2265061,-0.1310479,0.6785182,0.6863924,93.30958,-0.3114637,-0.1802011,0.9330155,0.09098893,-0.0004652739,-0.007983476,0.09133969,-0.1712395,0.6037262,-0.6958537,0.3492554,139.1165,-0.1827475,0.6442993,-0.7426182,0.03120786,1.099167,0.009923949,1.099654,0.009194613,0.04588032,0.02262615,-0.9986483,354.0413,0.1769025,0.8827283,0.4353227,False,False,False,False
1773108424472,0.1291619,0.2099444,0.8276106,0.1315942,0.8639057,-0.6596322,-0.5746938,0.0005414751,0.4843678,122.0579,-0.7539822,-0.6568947,0.0006189246,-0.07303108,0.9095892,0.2573838,0.9481205,0.2172844,0.08431979,-0.6568969,0.7170524,88.37669,0.3117338,0.120972,-0.9424373,0.1856342,0.9239742,0.2118663,0.9659585,0.1811166,0.9111014,0.2279757,0.9564946,0.185232,0.8858289,0.2146315,0.9300916,-0.05940297,1.042627,0.250225,1.073877,-0.02374253,1.048766,0.3154621,1.095441,-0.02333815,1.048205,0.340818,1.102468,0.109491,-0.05725808,0.03246227,0.1277519,0.1071478,-0.07265539,0.01821224,0.1307331,0.08195114,-0.06428166,0.006867357,0.1043805,-0.115872,0.01756057,-0.06481674,0.133925,-0.143565,0.06582426,-0.01512828,0.1586588,-0.1533121,0.07128842,0.007643215,0.1692485,0.1101067,-0.05450075,0.03557707,0.1279044,0.1087593,-0.07232846,0.01808606,0.1318601,0.08558235,-0.06871226,0.0059953,0.1099166,-0.1113306,0.01634692,-0.07186586,0.1335157,-0.1589104,0.04718896,-0.01414165,0.166371,-0.1672362,0.0511901,0.01249654,0.1753412,0.09914877,-0.06339819,0.01998843,0.1193706,0.3314984,0.8666785,-0.2898123,-0.2344912,207.1233,0.3410062,0.891536,-0.2981245,-0.1266206,0.02591272,-0.04922334,0.138301,-0.0722414,-0.3173223,-0.3095281,0.8934653,53.37605,-0.1608466,-0.706523,-0.6891691,-0.04013922,1.000568,0.3082795,1.047752,-0.04317737,-0.06312755,0.0219938,0.9968284,9.128915,-0.5425623,-0.7932543,0.2763718,0.1440388,-0.2805121,0.1566055,0.3520788,0.6504149,0.5382364,0.005064511,0.5359445,115.184,0.7704026,0.6375296,0.005998806,-0.09891066,0.04538821,0.001445048,0.108837,-0.2198983,-0.1381293,0.6769211,0.6887256,92.94138,-0.3032988,-0.1905174,0.9336557,0.09013923,-0.0005679131,-0.008279443,0.09052045,-0.15798,0.6094274,-0.7001951,0.3367008,140.648,-0.1677762,0.6472173,-0.7436134,0.03133211,1.099219,0.00977235,1.099709,0.009256569,0.0459139,0.02253545,-0.9986483,354.0412,0.1780906,0.8833549,0.433568,False,False,False,False
1773108424487,0.1431743,0.2102612,0.8276043,0.1314649,0.863957,-0.6590431,-0.5748977,0.001353821,0.4849258,121.9848,-0.7535752,-0.6573601,0.001548011,-0.07100276,0.9098447,0.2578395,0.9483353,0.214773,0.0822629,-0.6536813,0.7209759,87.72977,0.3099355,0.1187123,-0.9433174,0.1858683,0.9238632,0.2118289,0.9658891,0.1812323,0.9107288,0.2277444,0.9561065,0.1856065,0.8853801,0.2138422,0.929557,-0.05841243,1.042863,0.2504202,1.074097,-0.0201991,1.045567,0.3130204,1.091605,-0.01805522,1.044168,0.3369484,1.097336,0.109464,-0.05730299,0.03245245,0.1277465,0.106768,-0.07273229,0.01824061,0.1304688,0.08128259,-0.06384467,0.006995,0.103595,-0.1160558,0.01788191,-0.06417652,0.1338183,-0.1384735,0.06804928,-0.0155242,0.1550697,-0.1464777,0.07490832,0.00610885,0.1646338,0.1100571,-0.05471682,0.03533614,0.1278872,0.1086057,-0.07235959,0.01809798,0.1317523,0.08525081,-0.06833694,0.006072383,0.1094281,-0.111695,0.01646528,-0.07127296,0.1335167,-0.1573346,0.04879743,-0.01424825,0.1653432,-0.1656356,0.05301894,0.01200401,0.174328,0.09886094,-0.06341144,0.01978044,0.119104,0.337104,0.8635892,-0.2876045,-0.2405374,207.8365,0.3473008,0.8897113,-0.296304,-0.1264373,0.02649789,-0.04891733,0.1381356,-0.07521029,-0.317111,-0.3354348,0.8838934,55.7687,-0.1608128,-0.6780391,-0.7172185,-0.03447943,1.000782,0.3082785,1.047755,-0.04372109,-0.07257215,0.008296695,0.9963699,9.766939,-0.5135834,-0.8524913,0.0974597,0.1446819,-0.2799927,0.1566891,0.3519662,0.6485738,0.5280258,-0.00746538,0.5481653,113.5175,0.7754627,0.6313303,-0.008925929,-0.09838394,0.04519966,0.002245576,0.1082934,-0.2057656,-0.151016,0.6774713,0.689846,92.76417,-0.2842239,-0.2085983,0.9357905,0.08447943,-0.0007824898,-0.008278489,0.08488769,-0.143008,0.6151797,-0.696906,0.3397422,140.2777,-0.1520523,0.6540856,-0.7409806,0.03150062,1.099237,0.009601641,1.09973,0.009162308,0.04583677,0.02227498,-0.9986585,354.0638,0.1769479,0.8852267,0.4301876,False,False,False,False
