Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773108940354,0,1,1,135,-0.7662771,0.4415779,0.4667208,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.7079478,0.4079648,0.4311938,0.3826834,135,-0.7662772,0.4415779,0.4667208
Grab,1773108948046,6.798844,1,1,135,-0.7662771,0.4415779,0.4667208,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.7079478,0.4079648,0.4311938,0.3826834,135,-0.7662772,0.4415779,0.4667208
Trial Start,1773108948069,0,1,1,135,-0.7662771,0.4415779,0.4667208,1,-1,-0.05000001,1,0.3,1.045227,0.009177379,0.002374363,0.0001496589,0.9999551,1.085692,0.9686483,0.2506078,0.01579611,0.1,0,-2.980232E-08,0.1,-0.7104653,0.4029747,0.4365422,0.3772023,135.679,-0.7671327,0.4351163,0.4713611
Release,1773108949806,1.749273,1,1,135,-0.7662771,0.4415779,0.4667208,1,0,0.07230798,0.9617422,0.2076092,0.9865485,-0.2269255,-0.527952,0.7527037,0.3212611,142.5216,-0.239628,-0.557505,0.7948375,-0.02230798,0.03825784,0.09239085,0.1024567,-0.6753217,-0.1019244,-0.6158615,0.3927681,133.7463,-0.7343346,-0.1108311,-0.6696785
Grab,1773108950474,2.416491,1,1,135,-0.7662771,0.4415779,0.4667208,1,0,0.07230798,0.9617422,0.2076092,0.9865485,-0.2269255,-0.527952,0.7527037,0.3212611,142.5216,-0.239628,-0.557505,0.7948375,-0.02230798,0.03825784,0.09239085,0.1024567,-0.6753217,-0.1019244,-0.6158615,0.3927681,133.7463,-0.7343346,-0.1108311,-0.6696785
Clutch Start,1773108951613,3.555027,1,1,135,-0.7662771,0.4415779,0.4667208,1,0,0.0819216,0.9844334,0.2079931,1.009496,-0.5201425,-0.6735998,-0.1149047,0.5123592,118.3578,-0.6056823,-0.7843763,-0.1338013,-0.0319216,0.01556659,0.09200689,0.0986234,-0.4072487,0.7724288,-0.4241751,0.2399539,152.2324,-0.4195048,0.795675,-0.4369407
Clutch End,1773108952485,4.428729,1,1,135,-0.7662771,0.4415779,0.4667208,1,0,0.04087583,0.9511016,0.2367064,0.9809663,-0.5450752,-0.4079387,0.2632851,0.6834911,93.76589,-0.7467204,-0.5588517,0.3606849,0.009124167,0.0488984,0.06329364,0.08050086,-0.5585965,0.4835926,-0.3172085,0.5945477,107.0392,-0.6947196,0.6014382,-0.3945084
Release,1773108952485,4.428729,1,1,135,-0.7662771,0.4415779,0.4667208,1,0,0.04087583,0.9511016,0.2367064,0.9809663,-0.5450752,-0.4079387,0.2632851,0.6834911,93.76589,-0.7467204,-0.5588517,0.3606849,0.009124167,0.0488984,0.06329364,0.08050086,-0.5585965,0.4835926,-0.3172085,0.5945477,107.0392,-0.6947196,0.6014382,-0.3945084
Grab,1773108953194,5.140054,1,1,135,-0.7662771,0.4415779,0.4667208,1,0,0.04087583,0.9511016,0.2367064,0.9809663,-0.5450752,-0.4079387,0.2632851,0.6834911,93.76589,-0.7467204,-0.5588517,0.3606849,0.009124167,0.0488984,0.06329364,0.08050086,-0.5585965,0.4835926,-0.3172085,0.5945477,107.0392,-0.6947196,0.6014382,-0.3945084
On Target,1773108954695,6.650642,1,1,135,-0.7662771,0.4415779,0.4667208,1,-1,0.03999511,1.000504,0.2839464,1.040785,-0.6654004,0.4040904,0.4345421,0.4529088,126.1391,-0.7463354,0.4532413,0.487397,0.01000489,-0.0005036592,0.01605362,0.01892274,-0.06903471,0.009415554,0.04361432,0.996616,9.429854,-0.8398567,0.114547,0.5305995
