Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,-0.7662771,0.4415779,0.4667208,1,8.443571,False,0.01227659,-0.002276897,0.002839237,0.01280469,-0.01452591,-0.03134623,0.03741477,0.9987025,5.838131,-0.2852389,-0.615532,0.7346973,0.2729622,0.2937862,0.3470276,0.8077886,506.9164,0.2898636,670.8373,0,0,0,0,0,0,0,0.7213585,835.0024,0.1739192,61.95394
1,3,135,-0.4175294,-0.12923,0.8994269,1,15.3614,False,0.002448015,-0.0003391504,0.01373553,0.0139561,-0.05055125,0.02388506,0.04740313,0.99731,8.407029,-0.6896532,0.3258556,0.6467044,0.1836808,0.2055306,0.2298698,0.5850919,335.9965,0.2503913,437.8969,0.04816785,0.07333031,0.07474712,0.1370024,63.37383,0.2032319,88.75456,0.6570474,589.9949,0.2970566,64.00756
1,4,135,-0.2911628,0.07305818,-0.9538798,1,6.999547,False,-0.003671262,0.001636744,0.008567065,0.009463176,-0.04817414,-0.0531324,-0.0339103,0.9968482,9.100376,-0.6072459,-0.6697459,-0.427447,0.1098685,0.1469478,0.1640397,0.3936026,218.6665,0.166435,395.6732,0,0,0,0,0,0,0,0.3650368,433.2708,0.1396484,48.94276
1,5,135,0.2562534,-0.7670965,0.5881302,1,13.1528,False,-0.003790434,0.0002480745,0.007384002,0.00830376,0.0511735,0.02697635,-0.02614309,-0.9979831,352.7208,0.8061318,0.4249561,-0.4118299,0.294912,0.3127393,0.2990615,0.6650661,427.8068,0.3899738,1066.749,0.04597697,0.04677679,0.1515017,0.1519913,119.2993,0.08783387,146.0328,0.8212699,1134.562,0.4433922,110.339
1,6,135,-0.5431634,0.6738849,-0.5008519,1,6.054866,False,-0.00676908,0.001043558,0.008355677,0.01080402,0.02677429,-0.03012495,-0.01668586,0.9990482,4.99997,0.6138182,-0.6906341,-0.3825342,0.08887464,0.1613292,0.2123072,0.3923881,207.7724,0.1642412,358.1706,0,0,0,0,0,0,0,0.4095416,438.735,0.09567223,29.29114
1,7,135,0.5630544,0.4221914,0.7104394,1,10.973,False,-0.002203945,0.001063347,0.00292176,0.003811137,0.002820127,0.01911398,0.001954006,0.9998115,2.225527,0.1452211,0.9842654,0.1006206,0.2232235,0.2097301,0.2604592,0.6258078,399.9864,0.2595251,359.8091,0,0,0,0,0,0,0,0.6507495,492.6723,0.3731957,108.8612
1,8,135,-0.395126,-0.7914457,-0.4663574,1,10.73514,False,-0.003056724,0.001937926,-0.0007940233,0.003705346,-0.03377016,-0.06114753,0.02294387,0.9972935,8.432801,-0.4593103,-0.8316718,0.3120612,0.182312,0.142611,0.2257642,0.5963563,309.152,0.1839068,362.0531,0,0,0,0,0,0,0,0.5414906,439.7462,0.162503,40.85057
1,9,135,-0.0739882,-0.7138153,0.6964147,1,10.69585,False,-0.00637823,-0.002028823,0.008050263,0.01046923,0.006832111,0.0515892,-0.002556939,-0.9986418,354.0269,0.1311306,0.9901659,-0.04907605,0.140312,0.1591848,0.2478861,0.507793,294.7012,0.2460098,491.6951,0,0,0,0,0,0,0,0.5176483,548.1245,0.2225138,49.41523
1,10,135,0.2357688,-0.4116335,0.8803244,1,9.833403,False,0.0005894639,0.007576942,0.003486514,0.008361418,-0.05498682,0.005631167,0.01345896,0.9983805,6.522456,-0.9665729,0.09898614,0.2365852,0.1359068,0.1559547,0.1910706,0.5565068,310.9786,0.1426898,211.7505,0,0,0,0,0,0,0,0.475873,372.7191,0.2557616,53.17246
1,11,135,0.6568679,0.5262727,0.5399644,1,6.960306,False,-0.001194313,0.007936478,0.01068369,0.01336246,-0.005411246,0.07406414,-0.01326319,-0.9971507,351.3475,-0.07173304,0.9818156,-0.1758207,0.100541,0.1302151,0.1854048,0.4876013,287.5356,0.1886514,476.5854,0,0,0,0,0,0,0,0.4229794,495.4118,0.3392465,93.32289
