Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773109761216,0.0139016,0.232343,0.6968628,0.168112,0.7535666,0.05887817,0.1880722,0.5423928,-0.8166838,289.5084,0.1020268,0.3259,0.939883,0.1281125,0.7296933,0.2491119,0.7816149,0.1720798,0.7271048,0.2270771,0.7809333,0.1806062,0.7133362,0.2226367,0.7687875,-0.03334323,-0.07157728,0.108336,0.1340588,-0.02442688,-0.03560334,0.07699718,0.08827704,-0.01146523,-0.03393607,0.06684281,0.0758358,0,0,0,0,0,0,0,0,0,1,0,0,-0.1177329,0.9459629,0.1826436,0.9706006,0.3912849,-0.1336789,-0.1918347,-0.8900706,305.7643,0.8584144,-0.2932695,-0.4208536,-0.03733096,0.9898057,0.2894934,1.031947,-0.04986104,1.032554,0.3186064,1.081741,-0.06626616,0.9913458,0.3237528,1.044975,0.03994281,-0.07650006,0.1085701,0.1386908,0.02778881,-0.06337585,0.1578727,0.1723731,0.001799923,-0.0846236,0.1294187,0.1546402,0,0,0,0,0,0,0,0,0,1,0,0,-0.04908231,0.9991027,0.3012423,1.044683,0.002275509,-0.001391104,-0.002713267,0.9999928,0.4352117,0.5991435,-0.3662788,-0.7144055,0.09908231,0.0008973479,-0.00124225,0.09909415,0.2422816,-0.7569992,-0.4686085,0.3855621,134.6427,0.2625841,-0.8204336,-0.5078765,0.0163452,1.097233,-0.006007349,1.097372,0.03543818,0.03085549,-0.02009418,-0.9986933,354.1412,0.6934418,0.6037693,-0.3931958,False
1773109761229,0.0278061,0.232926,0.695743,0.1676298,0.7526039,0.0573805,0.1811748,0.5416161,-0.8188621,289.9421,0.09996773,0.3156409,0.9435982,0.1295565,0.7281077,0.2496704,0.7805517,0.17291,0.7249237,0.2271453,0.7791067,0.1811643,0.7112342,0.2226399,0.7669701,-0.0340309,-0.07124034,0.1081672,0.1339158,-0.02442529,-0.0359994,0.07663869,0.08812514,-0.01150384,-0.03455586,0.06669534,0.07599154,0,0,0,0,0,0,0,0,0,1,0,0,-0.1168131,0.9461055,0.183465,0.9707834,0.3886972,-0.1329972,-0.1887749,-0.8919587,306.2408,0.8597273,-0.2941655,-0.4175356,-0.03797086,0.9880326,0.2919471,1.030962,-0.04867701,1.027007,0.3204563,1.076943,-0.06511571,0.9868379,0.3231956,1.040454,0.03800274,-0.07707684,0.1085847,0.1384763,0.02675112,-0.0664375,0.154806,0.170571,0.002002417,-0.08584767,0.1256894,0.1522224,0,0,0,0,0,0,0,0,0,1,0,0,-0.04820041,0.9981539,0.3025686,1.044118,0.005039044,-0.002950934,-0.00587828,0.9999657,0.9495551,0.6081096,-0.3561175,-0.7093883,0.09820041,0.001846075,-0.002568573,0.09825134,0.2395489,-0.7558616,-0.4690977,0.3888918,134.2289,0.2600165,-0.8204442,-0.5091785,0.01760883,1.097426,-0.005820243,1.097583,0.03652917,0.03255292,-0.01892192,-0.998623,353.9857,0.6963225,0.6205269,-0.3606914,False
1773109761243,0.0415806,0.2353013,0.6912818,0.1685485,0.7494304,0.05793336,0.1773979,0.5395818,-0.8209904,290.3681,0.1014698,0.310711,0.945073,0.1325895,0.7228818,0.2513822,0.7767439,0.1754874,0.7199094,0.2285431,0.7754336,0.1836562,0.706246,0.2239071,0.7633135,-0.03398062,-0.07110365,0.1080318,0.1337209,-0.0244105,-0.03614919,0.07657957,0.08813097,-0.01151725,-0.03482537,0.06662822,0.07605769,0,0,0,0,0,0,0,0,0,1,0,0,-0.116465,0.9442872,0.1852851,0.9693157,0.3939757,-0.1356645,-0.1839399,-0.8902497,305.8093,0.8649818,-0.2978542,-0.4038438,-0.03923853,0.9859713,0.2946297,1.029799,-0.04885079,1.019453,0.3218943,1.070181,-0.06421812,0.9808358,0.3208324,1.033971,0.03557196,-0.07772908,0.1085649,0.1381792,0.02398297,-0.07060023,0.1499837,0.1674953,0.00242841,-0.08700828,0.1192401,0.1476298,0,0,0,0,0,0,0,0,0,1,0,0,-0.04746205,0.9972891,0.3037409,1.043598,0.001491045,0.00328039,0.01018202,-0.9999417,358.7627,0.1380913,0.3038093,0.9429954,0.09746204,0.002710879,-0.003740907,0.09757148,-0.2389343,0.7598277,0.4624096,-0.3895507,225.8531,-0.2594278,0.8249984,0.5020706,0.01895635,1.0975,-0.005640054,1.097679,0.03710392,0.03421763,-0.01799864,-0.9985632,353.8565,0.6924189,0.6385561,-0.3358835,False
1773109761257,0.0555151,0.2364676,0.6894581,0.1687145,0.7481537,0.05384053,0.1695184,0.5417977,-0.8214743,290.4653,0.09441639,0.2972727,0.9501131,0.1346767,0.7193609,0.252912,0.774327,0.1771564,0.7171397,0.2294445,0.7735105,0.1850728,0.7035216,0.224617,0.7613458,-0.03340032,-0.07122988,0.1078376,0.1334849,-0.02440183,-0.03629299,0.07635943,0.08799655,-0.01152953,-0.03512268,0.06653243,0.0761124,0,0,0,0,0,0,0,0,0,1,0,0,-0.11551,0.9394401,0.1886264,0.965127,0.406348,-0.1428659,-0.1861234,-0.8830791,304.0321,0.8659998,-0.3044726,-0.396662,-0.03989195,0.9842274,0.2973493,1.028937,-0.04672723,1.011723,0.3218766,1.062719,-0.06174338,0.9766518,0.3199105,1.029565,0.03245949,-0.07784717,0.108949,0.1377813,0.02247042,-0.07464159,0.1443598,0.1640611,0.00273397,-0.08752577,0.1150018,0.1445464,0,0,0,0,0,0,0,0,0,1,0,0,-0.04533853,0.9962211,0.304619,1.042739,-0.01641184,0.002533533,-0.008019284,0.9998299,2.113317,-0.8899208,0.1373791,-0.4348402,0.09533852,0.003778934,-0.004618943,0.09552512,0.2435337,-0.7684259,-0.4532977,0.3804396,135.2782,0.2633349,-0.8309052,-0.4901544,0.02039147,1.097552,-0.005526181,1.097755,0.03679138,0.03559364,-0.01613326,-0.9985586,353.8466,0.6854774,0.6631617,-0.3005864,False
1773109761271,0.0694375,0.2379519,0.6869937,0.1686465,0.7463398,0.04992225,0.161773,0.5443053,-0.8216258,290.4958,0.08757874,0.2837988,0.9548762,0.1371875,0.7154087,0.2541929,0.7715206,0.1789754,0.7136666,0.2301492,0.7709221,0.1866942,0.7001626,0.2250347,0.7587641,-0.03286766,-0.07122559,0.1077081,0.1332457,-0.0243214,-0.03664447,0.07621732,0.08799674,-0.01154506,-0.03554814,0.06642134,0.07621518,0,0,0,0,0,0,0,0,0,1,0,0,-0.1151703,0.9342601,0.1933953,0.9609932,0.4311928,-0.1554331,-0.1956511,-0.8669683,300.2164,0.8652178,-0.3118871,-0.3925873,-0.03894956,0.9866907,0.297949,1.031431,-0.04504606,1.009488,0.3199835,1.059945,-0.05897504,0.9767547,0.3185294,1.029072,0.03118461,-0.07782459,0.109094,0.1375886,0.02102019,-0.07750352,0.1392445,0.160741,0.003015047,-0.08781615,0.1109485,0.1415286,0,0,0,0,0,0,0,0,0,1,0,0,-0.04333095,0.9991219,0.3040047,1.045247,0.04598841,-0.01477881,-0.001971796,-0.9988307,354.458,0.9512714,-0.3057001,-0.04078665,0.09333095,0.0008780956,-0.004004717,0.09342095,-0.2564463,0.7837609,0.4372306,-0.3588643,222.0609,-0.2747473,0.8396931,0.4684331,0.02188777,1.097411,-0.005466963,1.097643,0.03571424,0.03618669,-0.0138365,-0.9986109,353.9594,0.6778146,0.6867812,-0.2626007,False
1773109761284,0.0832562,0.2387002,0.6854625,0.1687299,0.7451889,0.04510525,0.1507484,0.5501117,-0.8201327,290.1962,0.07883143,0.2634663,0.9614422,0.1391879,0.7125268,0.2558489,0.7697573,0.1806409,0.7112046,0.2312646,0.7693676,0.187892,0.6977637,0.2258345,0.7570858,-0.03247159,-0.07151965,0.1073886,0.133048,-0.02423652,-0.03683557,0.07597262,0.08784138,-0.01155649,-0.03595698,0.0662965,0.07629995,0,0,0,0,0,0,0,0,0,1,0,0,-0.1143801,0.9296051,0.1980039,0.957316,0.4589347,-0.1610455,-0.2109855,-0.8478965,295.9672,0.8656502,-0.3037666,-0.3979644,-0.03961936,0.9910207,0.2982941,1.035698,-0.04499026,1.010881,0.3180229,1.06068,-0.05786104,0.9781237,0.3166862,1.02974,0.02987293,-0.07781741,0.1091505,0.1373382,0.02035978,-0.07936645,0.1355376,0.1583793,0.00329867,-0.08782748,0.1065169,0.1380956,0,0,0,0,0,0,0,0,0,1,0,0,-0.04322935,1.00386,0.3030093,1.049485,0.07717144,-0.02296354,-0.02082274,-0.9965358,350.459,0.9279367,-0.2761217,-0.25038,0.09322935,-0.003860354,-0.00300926,0.09335776,-0.2782736,0.7951455,0.4217368,-0.3353292,219.1851,-0.2953755,0.8440129,0.4476556,0.02350749,1.097258,-0.005460887,1.097523,0.03448232,0.03674576,-0.01159596,-0.9986622,354.0721,0.6668627,0.7106361,-0.2242573,False
1773109761299,0.0972051,0.2400857,0.6827108,0.1690877,0.7431862,0.0420509,0.1430876,0.553101,-0.8196566,290.1009,0.07340582,0.2497797,0.9655163,0.1414075,0.7090444,0.2573232,0.7674342,0.1824607,0.7076372,0.2323927,0.7668433,0.1896609,0.6943576,0.2267009,0.7546502,-0.03254325,-0.07159707,0.1072767,0.1330169,-0.02416066,-0.03715387,0.075876,0.08787101,-0.01156439,-0.0361694,0.06620793,0.07632464,0,0,0,0,0,0,0,0,0,1,0,0,-0.1136742,0.9262704,0.2007102,0.9545592,0.4846966,-0.1664113,-0.2146183,-0.8314539,292.4968,0.8723938,-0.2995198,-0.3862863,-0.04047254,0.994573,0.2972403,1.038829,-0.04485246,1.012336,0.3148255,1.061108,-0.05739079,0.9803214,0.3141259,1.031018,0.02854778,-0.07778385,0.1091848,0.1370643,0.01988995,-0.08060993,0.1324768,0.1563447,0.003519221,-0.08752009,0.1036163,0.1356779,0,0,0,0,0,0,0,0,0,1,0,0,-0.04310445,1.007829,0.3005624,1.052576,0.1070844,-0.02635778,-0.02859686,-0.993489,346.9164,0.9399312,-0.231355,-0.2510084,0.09310445,-0.007829189,-0.0005624294,0.09343474,-0.2932785,0.8062411,0.401443,-0.3206348,217.4026,-0.3096259,0.851181,0.4238194,0.02504913,1.097099,-0.005445435,1.097398,0.03317299,0.03673292,-0.009632633,-0.998728,354.2196,0.6578996,0.7285014,-0.1910381,False
1773109761313,0.1111539,0.2415652,0.6798034,0.1694116,0.7410713,0.03917935,0.1357998,0.5558504,-0.8191788,290.0053,0.06831166,0.2367754,0.96916,0.1436629,0.7055122,0.2586452,0.7650385,0.1843023,0.7038978,0.2334153,0.764148,0.1914631,0.6907997,0.2274789,0.7520698,-0.03271274,-0.07166152,0.1071462,0.132988,-0.02407088,-0.03752156,0.07576554,0.08790729,-0.01157297,-0.03641958,0.06610849,0.07635871,0,0,0,0,0,0,0,0,0,1,0,0,-0.1130618,0.9235726,0.2030656,0.9523681,0.5058784,-0.1709031,-0.2181686,-0.8168731,289.546,0.8770165,-0.2962864,-0.3782282,-0.0414928,0.997471,0.2961949,1.041346,-0.04483294,1.012451,0.3119545,1.060369,-0.05708043,0.9812773,0.311434,1.031094,0.02717881,-0.07772847,0.1091927,0.1367606,0.01933688,-0.08186276,0.1289775,0.1539825,0.003738853,-0.087161,0.1003685,0.1329844,0,0,0,0,0,0,0,0,0,1,0,0,-0.04309759,1.011063,0.2982124,1.055005,0.1320366,-0.02958377,-0.03566441,-0.9901612,343.9123,0.9435824,-0.2114166,-0.2548712,0.0930976,-0.0110625,0.001787603,0.0937696,-0.3058596,0.8149092,0.3844661,-0.3075044,215.8178,-0.3214342,0.8564048,0.4040433,0.02656723,1.097049,-0.00549108,1.097384,0.03255671,0.03701336,-0.007820412,-0.9987537,354.2783,0.6522942,0.741586,-0.1566869,False
1773109761326,0.1249458,0.2421586,0.6781101,0.169309,0.7396889,0.03511992,0.1261485,0.5580931,-0.8193811,290.0458,0.06126466,0.2200587,0.973561,0.1450554,0.7023004,0.2597613,0.7627207,0.1854538,0.7009974,0.2342873,0.7620242,0.1925661,0.688114,0.2280131,0.7500484,-0.03270885,-0.07202092,0.1068489,0.132942,-0.02397445,-0.03782573,0.07567934,0.08793704,-0.01157522,-0.03662397,0.06601504,0.07637595,0,0,0,0,0,0,0,0,0,1,0,0,-0.112076,0.9223686,0.2045503,0.951402,0.5167298,-0.1670483,-0.2176516,-0.8109951,288.3865,0.8832188,-0.2855268,-0.3720204,-0.0421183,0.9984617,0.2970264,1.042557,-0.04563988,1.011064,0.3115146,1.058949,-0.05786732,0.9812978,0.31086,1.030984,0.0268997,-0.07816201,0.1088626,0.1366893,0.01911136,-0.08265608,0.125872,0.1517927,0.003903011,-0.08671807,0.09833273,0.1311662,0,0,0,0,0,0,0,0,0,1,0,0,-0.04384304,1.012598,0.2983866,1.056557,0.1433097,-0.0246344,-0.03932206,-0.9885895,342.6726,0.9513757,-0.1635379,-0.2610435,0.09384304,-0.01259828,0.001613438,0.09469866,-0.3148792,0.8162081,0.3753751,-0.3061846,215.6589,-0.3307651,0.8573865,0.394313,0.02802234,1.097055,-0.00571405,1.097428,0.03198259,0.03746817,-0.005963232,-0.9987681,354.3115,0.6445263,0.7550741,-0.1201735,False
1773109761341,0.138982,0.2422205,0.6776114,0.1691765,0.7392216,0.03421164,0.1169276,0.5658675,-0.8154456,289.2629,0.05910443,0.2020056,0.9775993,0.1462121,0.7018989,0.260697,0.7628912,0.1866232,0.7004856,0.2351101,0.7620926,0.1935143,0.6876397,0.2285595,0.7500237,-0.03264316,-0.07262475,0.1064033,0.1328969,-0.02392182,-0.03797873,0.07561997,0.08793758,-0.01156393,-0.03667363,0.06594185,0.07633483,0,0,0,0,0,0,0,0,0,1,0,0,-0.1116479,0.9224535,0.2045517,0.9514342,0.5210565,-0.1648396,-0.2144237,-0.8095372,288.1015,0.8875566,-0.2807842,-0.3652447,-0.04230153,0.998619,0.2973236,1.042799,-0.04598618,1.009607,0.3107658,1.057353,-0.05833023,0.9818869,0.3103711,1.031424,0.02667828,-0.07873547,0.1084166,0.1366205,0.0189814,-0.08313776,0.1234943,0.1500767,0.003994936,-0.08649649,0.09783082,0.1306464,0,0,0,0,0,0,0,0,0,1,0,0,-0.04411517,1.013434,0.2981694,1.057308,0.1477314,-0.02075639,-0.03818765,-0.988072,342.2833,0.9593425,-0.1347884,-0.2479841,0.09411517,-0.01343393,0.001830578,0.09508673,-0.3174009,0.8166798,0.3703988,-0.3083757,215.9227,-0.333662,0.85852,0.3893751,0.02938287,1.097055,-0.005962062,1.097465,0.03161439,0.03816832,-0.003861003,-0.9987637,354.3013,0.6359758,0.767819,-0.07767046,False
