Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773057703334,0,1,1,135,-0.8822838,0.426775,-0.1985911,1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0,0,0.1,-0.815124,0.3942887,-0.1834743,0.3826835,135,-0.8822839,0.426775,-0.1985911
Trial Start,1773057704890,0,1,1,135,-0.8822838,0.426775,-0.1985911,1,-0.05042826,0.9979277,0.3002443,1.043336,-0.06845984,0.006880526,-0.0615531,0.9957294,10.59411,-0.7415543,0.0745296,-0.6667408,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1004283,0.002072275,-0.0002442598,0.1004499,-0.7624372,0.4275846,-0.1805198,0.4508588,126.4024,-0.8541802,0.4790352,-0.2022415
Grab_left,1773057704916,0.01125869,1,1,135,-0.8822838,0.426775,-0.1985911,1,-0.05479571,0.9829977,0.3051429,1.030728,-0.4052103,0.03225306,-0.4480572,0.7962469,74.45362,-0.6698004,0.05331334,-0.740625,0.2461743,-0.06411215,-0.2231886,0.3384159,0.2667469,0.4208742,0.6879848,0.5276248,116.3098,0.3140129,0.4954507,0.8098917,-0.1155057,-0.03326358,0.02145626,0.1221,-0.3533179,-0.8131482,0.3620381,0.2878971,146.5358,-0.3689383,-0.8490979,0.378044,0.1047957,0.01700228,-0.005142868,0.1062905,-0.3232264,0.592485,-0.1081064,0.7299312,86.23876,-0.4728845,0.8668134,-0.158161
Release,1773057704956,0.0339002,1,1,135,-0.8822838,0.426775,-0.1985911,1,-0.06026143,0.9707521,0.3048578,1.019279,-0.4364214,0.1166312,-0.5143431,0.7289615,86.4012,-0.6375259,0.1703752,-0.7513543,0.1485167,-0.1252301,0.05697169,0.202449,-0.2764073,0.2501183,0.4958167,0.7843506,76.67872,-0.4455897,0.4032098,0.7992944,-0.07509366,-0.02099521,-0.1276956,0.1496196,-0.05344832,-0.9130527,-0.2015741,0.350494,138.9649,-0.05706846,-0.9748952,-0.2152271,0.1102614,0.02924794,-0.004857749,0.114178,-0.2457819,0.5819698,-0.01392225,0.7750541,78.38015,-0.3889599,0.9209911,-0.02203253
Grab,1773057706911,2.022335,1,1,135,-0.8822838,0.426775,-0.1985911,1,-0.06084502,0.9695951,0.3038784,1.017919,-0.4823749,0.1341048,-0.5161333,0.6949365,91.95569,-0.6708306,0.1864972,-0.7177778,0.1082667,-0.0864895,0.009573154,0.138902,0.1905851,0.744982,0.4178745,0.4837977,122.1325,0.2177668,0.851233,0.4774727,0.02330377,0.0957619,-0.4098683,0.4215512,0.008541336,-0.9110159,-0.1957938,0.3628252,137.4524,0.009165927,-0.9776344,-0.2101113,0.110845,0.03040487,-0.003878385,0.1150048,-0.2029618,0.5548952,-0.01087027,0.8067092,72.44871,-0.3434508,0.9389906,-0.01839461
Release,1773057707105,2.217852,1,1,135,-0.8822838,0.426775,-0.1985911,1,-0.06088489,0.9693725,0.3041919,1.017803,-0.4881944,0.1335258,-0.5174559,0.689983,92.74249,-0.6744641,0.1844723,-0.7148903,0.1085628,-0.09592572,0.01229756,0.1453921,0.1887906,0.7750196,0.3588166,0.48472,122.0117,0.2158423,0.8860715,0.4102311,0.02228161,0.09851449,-0.4082232,0.4205327,0.01492134,-0.9090555,-0.2058555,0.3619654,137.5581,0.01600673,-0.975181,-0.2208297,0.1108849,0.03062755,-0.004191905,0.1151133,-0.1960692,0.553174,-0.01222178,0.8095716,71.89182,-0.3340071,0.9423407,-0.02081999
Grab,1773057707897,3.009327,1,1,135,-0.8822838,0.426775,-0.1985911,1,-0.06103957,0.9651874,0.301584,1.013048,-0.4748258,0.1183637,-0.478552,0.7290532,86.38584,-0.6937262,0.1729309,-0.6991702,0.1131765,-0.05636419,0.02849494,0.1296064,0.1086977,0.8244885,0.3065908,0.4630398,124.8331,0.1226369,0.9302196,0.3459075,0.02065125,0.08583748,-0.4074963,0.4169506,-0.002681871,-0.9221875,-0.1406912,0.3602345,137.7708,-0.002874886,-0.9885576,-0.1508168,0.1110396,0.03481257,-0.001583964,0.1163796,-0.2455898,0.5451224,-0.04136593,0.8005099,73.64235,-0.4097812,0.9095691,-0.0690215
Release,1773057709259,4.371238,1,1,135,-0.8822838,0.426775,-0.1985911,1,0.02404469,0.9947928,0.2642431,1.02957,-0.5500889,0.5680624,-0.2040458,0.5771245,109.5029,-0.6735869,0.6955955,-0.2498552,0.1107925,-0.06750365,0.0560674,0.1413339,0.1763722,0.8585817,0.4412678,0.1923881,157.8156,0.1797297,0.8749262,0.4496681,0.003990556,0.1274869,-0.4247663,0.4435034,-0.4378909,-0.6871484,-0.3360374,0.4723955,123.6202,-0.4968204,-0.7796219,-0.3812599,0.02595531,0.005207181,0.03575689,0.04448986,-0.28369,0.07556105,0.2183449,0.9306644,42.92277,-0.7753761,0.206522,0.5967759
Grab,1773057711118,6.230719,1,1,135,-0.8822838,0.426775,-0.1985911,1,0.04138068,1.002033,0.2850299,1.042604,-0.6177708,0.3845632,-0.4181589,0.5437036,114.1278,-0.7360747,0.4582076,-0.4982369,0.1087151,-0.08324105,0.02908899,0.1399793,-0.1044696,0.5671722,0.6334938,0.5158367,117.8932,-0.121946,0.662053,0.7394694,-0.01810178,0.1203242,-0.4433364,0.4597312,-0.1980756,-0.8064781,-0.3697574,0.4166996,130.7472,-0.2178943,-0.8871714,-0.406754,0.00861932,-0.002032757,0.01497012,0.01739337,-0.1124573,0.2947165,0.1301536,0.9399765,39.90482,-0.3295553,0.8636648,0.3814142
Release,1773057713091,8.2041,1,1,135,-0.8822838,0.426775,-0.1985911,1,0.05116918,1.003533,0.3011439,1.048992,-0.7714279,0.4183691,-0.4409463,0.1882359,158.3003,-0.7854691,0.425984,-0.4489722,0.1240014,-0.07742631,0.04689556,0.1535265,-0.4956628,0.5745836,0.5387894,0.3658935,137.0748,-0.5325947,0.6173959,0.5789347,-0.03545833,0.1276817,-0.4482366,0.4674141,-0.1126456,-0.6145449,-0.706812,0.3317561,141.2492,-0.1194083,-0.6514391,-0.7492455,-0.001169175,-0.003533125,-0.001143873,0.003893377,0.2388773,0.132005,0.1710638,0.9467046,37.58031,0.7416177,0.4098225,0.5310841
