Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Total Thumb Tip Translation,Total Index Tip Translation,Total Middle Tip Translation,Total Thumb Tip Translation_left,Total Index Tip Translation_left,Total Middle Tip Translation_left,Total Wrist Translation,Total Wrist Rotation,Total Wrist Translation_left,Total Wrist Rotation_left,Total Die Translation,Total Die Rotation,Total Die Local Translation,Total Die Local Rotation,Total Die Local Translation_left,Total Die Local Rotation_left,Total Head Translation,Total Head Rotation,Total Grabbed Time,Total Grabbed Time_left
1,1,135,-0.8822838,0.426775,-0.1985911,1,22.96863,False,0.001490317,0.001381934,0.002170026,0.00297318,0.002243571,-0.03541576,0.048259,0.9982044,6.868322,0.03745428,-0.5912324,0.8056381,0.24068,0.3036176,0.3478755,0.4614431,0.2944375,0.3348498,0.3756239,183.4219,2.160567,74.58078,0.5957711,1015.792,0.2423939,449.1064,2.879826,1074.609,0.2666605,70.28782,8.249678,22.95737
1,2,135,-0.2077265,0.8213288,0.5312896,0.9999999,10.64231,False,-0.0003495999,-0.003353596,-0.001160324,0.003565834,0.07733243,-0.01862209,-0.01034479,0.9967778,9.201494,0.9641006,-0.2321609,-0.1289681,0.1143014,0.1354908,0.1757394,0.1235063,0.1017064,0.1103054,0.2491003,129.0077,0.2101422,47.08632,0.4245438,557.3818,0.1164386,220.5707,0.8281633,709.3069,0.1391807,28.38036,3.927865,0
1,3,135,0.7200311,-0.221353,-0.6576915,1,23.35047,False,0.001066141,0.003155887,-0.0006946623,0.003402769,-0.002514621,0.01804765,-0.05535422,-0.9983006,353.3184,-0.04315057,0.3096954,-0.9498711,0.3437297,0.3136955,0.5350503,0.1571905,0.1130483,0.1120144,0.4992606,380.2934,0.2574653,58.84956,0.8412266,1535.64,0.2931693,645.1716,1.293812,1701.398,0.1959654,37.59467,10.64566,0
1,4,135,0.2525929,-0.3747569,-0.8920505,1,13.5704,False,0.005587615,-0.0002051592,0.01272491,0.01389916,-0.03663529,-0.05365124,0.02117963,-0.9976628,352.1637,-0.5361407,-0.7851614,0.3099543,0.2064888,0.2298884,0.320134,0.1092669,0.1047282,0.09869581,0.3548793,212.7464,0.1895929,49.47406,0.6095243,980.7923,0.2114159,422.4614,0.9323625,1144.188,0.1149013,23.38157,5.262717,0
1,5,135,-0.4004928,-0.03648789,0.9155731,1,19.6832,False,0.001966938,-0.0025419,0.006518573,0.007267867,-0.0416787,0.04723711,-0.02374789,0.9977313,7.720428,-0.6190891,0.7016528,-0.3527475,0.3388992,0.4659627,0.3983242,0.2545033,0.1636037,0.1742564,0.6239915,310.6765,0.4271389,123.7828,0.9279128,1519.516,0.2828777,580.0925,1.85319,1728.046,0.2306657,62.24795,8.015801,0
1,6,135,-0.9400133,-0.2981433,0.1657878,1,30.00276,True,0.01071906,0.01084596,-0.001860142,0.01536207,0.01108783,0.3888248,-0.08930943,0.9169057,47.04433,0.02778182,0.974245,-0.223775,0.4297826,0.4920205,0.5232912,0.2638615,0.1491567,0.1486342,0.6138128,376.6557,0.3579372,90.26522,1.108773,1799.165,0.3674615,775.1743,1.713849,1977.535,0.3023306,75.04926,14.90584,0
1,7,135,-0.9679274,-0.2204361,0.1205174,0.9999999,30.0033,True,0.001424313,-0.006290793,0.009189814,0.01122744,-0.02482603,-0.08573606,0.2571799,0.9622327,31.59386,-0.09119552,-0.3149413,0.9447203,0.5085332,0.5550067,0.6463638,0.2286207,0.1287066,0.1421826,0.7132568,444.8078,0.346729,86.64975,1.076824,2025.705,0.441164,925.4084,1.717865,2237.258,0.3695031,90.84827,11.34296,0
1,8,135,-0.8596026,0.4721966,-0.1952275,1,30.00234,True,0.004355624,-0.005146027,0.00693512,0.00967207,0.08742996,0.01110411,0.06943053,0.9936861,12.8838,0.7792639,0.09897102,0.6188349,0.3731758,0.4120891,0.5709308,0.2665254,0.1410541,0.1677558,0.5293503,231.5255,0.3685475,102.6987,0.7091569,1380.155,0.354786,684.0797,1.489059,1560.693,0.2839803,68.13783,11.27784,0
1,9,135,-0.2044214,0.9274574,0.3131048,1,23.3486,False,-0.003007516,0.001141489,0.001833797,0.003702831,0.01011526,-0.02202178,-0.06518734,0.9975787,7.975832,0.1454466,-0.3166495,-0.9373239,0.5063607,0.4828064,0.5339248,0.3157949,0.2764955,0.3780567,0.7173446,540.4604,0.8247616,184.567,0.8644092,1648.385,0.4504188,915.4646,2.454559,1906.483,0.3270227,59.07291,13.49391,0
1,10,135,0.8783495,0.4722776,0.07386482,1,22.66964,False,-0.006176334,-0.008278251,0.007035106,0.01249677,-0.001125449,-0.02200397,0.07758906,-0.996742,350.7475,-0.01395371,-0.2728131,0.9619766,0.6018709,0.6236384,0.5862676,0.4556894,0.3161028,0.4403193,0.7904238,509.7063,1.200448,170.9025,1.098512,2010.104,0.4917397,1007.475,2.669161,2259.048,0.2534503,73.32815,9.725821,0
