Timestamp,Trial Duration,Wrist World Position X,Wrist World Position Y,Wrist World Position Z,Wrist World Position Magnitude,Wrist World Rotation X,Wrist World Rotation Y,Wrist World Rotation Z,Wrist World Rotation W,Wrist World Rotation Angle,Wrist World Rotation Axis X,Wrist World Rotation Axis Y,Wrist World Rotation Axis Z,Wrist World Position_left X,Wrist World Position_left Y,Wrist World Position_left Z,Wrist World Position_left Magnitude,Wrist World Rotation_left X,Wrist World Rotation_left Y,Wrist World Rotation_left Z,Wrist World Rotation_left W,Wrist World Rotation_left Angle,Wrist World Rotation_left Axis X,Wrist World Rotation_left Axis Y,Wrist World Rotation_left Axis Z,Thumb Tip World Position X,Thumb Tip World Position Y,Thumb Tip World Position Z,Thumb Tip World Position Magnitude,Index Tip World Position X,Index Tip World Position Y,Index Tip World Position Z,Index Tip World Position Magnitude,Middle Tip World Position X,Middle Tip World Position Y,Middle Tip World Position Z,Middle Tip World Position Magnitude,Thumb Tip World Position_left X,Thumb Tip World Position_left Y,Thumb Tip World Position_left Z,Thumb Tip World Position_left Magnitude,Index Tip World Position_left X,Index Tip World Position_left Y,Index Tip World Position_left Z,Index Tip World Position_left Magnitude,Middle Tip World Position_left X,Middle Tip World Position_left Y,Middle Tip World Position_left Z,Middle Tip World Position_left Magnitude,Thumb Tip Local Position X,Thumb Tip Local Position Y,Thumb Tip Local Position Z,Thumb Tip Local Position Magnitude,Index Tip Local Position X,Index Tip Local Position Y,Index Tip Local Position Z,Index Tip Local Position Magnitude,Middle Tip Local Position X,Middle Tip Local Position Y,Middle Tip Local Position Z,Middle Tip Local Position Magnitude,Thumb Tip Local Position_left X,Thumb Tip Local Position_left Y,Thumb Tip Local Position_left Z,Thumb Tip Local Position_left Magnitude,Index Tip Local Position_left X,Index Tip Local Position_left Y,Index Tip Local Position_left Z,Index Tip Local Position_left Magnitude,Middle Tip Local Position_left X,Middle Tip Local Position_left Y,Middle Tip Local Position_left Z,Middle Tip Local Position_left Magnitude,Thumb Tip Euro Position X,Thumb Tip Euro Position Y,Thumb Tip Euro Position Z,Thumb Tip Euro Position Magnitude,Index Tip Euro Position X,Index Tip Euro Position Y,Index Tip Euro Position Z,Index Tip Euro Position Magnitude,Middle Tip Euro Position X,Middle Tip Euro Position Y,Middle Tip Euro Position Z,Middle Tip Euro Position Magnitude,Thumb Tip Euro Position_left X,Thumb Tip Euro Position_left Y,Thumb Tip Euro Position_left Z,Thumb Tip Euro Position_left Magnitude,Index Tip Euro Position_left X,Index Tip Euro Position_left Y,Index Tip Euro Position_left Z,Index Tip Euro Position_left Magnitude,Middle Tip Euro Position_left X,Middle Tip Euro Position_left Y,Middle Tip Euro Position_left Z,Middle Tip Euro Position_left Magnitude,Triangle Local Position X,Triangle Local Position Y,Triangle Local Position Z,Triangle Local Position Magnitude,Triangle Local Rotation X,Triangle Local Rotation Y,Triangle Local Rotation Z,Triangle Local Rotation W,Triangle Local Rotation Angle,Triangle Local Rotation Axis X,Triangle Local Rotation Axis Y,Triangle Local Rotation Axis Z,Triangle Local Position_left X,Triangle Local Position_left Y,Triangle Local Position_left Z,Triangle Local Position_left Magnitude,Triangle Local Rotation_left X,Triangle Local Rotation_left Y,Triangle Local Rotation_left Z,Triangle Local Rotation_left W,Triangle Local Rotation_left Angle,Triangle Local Rotation_left Axis X,Triangle Local Rotation_left Axis Y,Triangle Local Rotation_left Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is Grabbed,Is Grabbed_right,Is Grabbed_left,Is On Target
1773058048673,0.0137936,0.1572483,0.9468575,0.2480348,0.9913564,-0.4422449,-0.8512525,0.03706193,0.2800269,147.4764,-0.4606755,-0.8867286,0.0386065,-0.08176414,0.5527512,0.1999931,0.5934783,0.4263494,0.6974979,-0.5485751,0.1754657,159.7885,0.4330682,0.7084897,-0.55722,0.04010496,0.9825799,0.2968559,1.027227,0.03524073,1.006732,0.323903,1.058142,0.03705544,0.9893045,0.3353865,1.045266,0.04380774,0.5360737,0.2352826,0.5870707,0.05199036,0.5112412,0.260625,0.5761909,0.05066231,0.5040888,0.2383677,0.5599029,0.1022625,-0.07929008,0.02525125,0.1318414,0.1351553,-0.07661869,0.009456798,0.1556496,0.1259499,-0.08942163,-0.004335687,0.1545264,-0.104042,0.07655634,-0.02462089,0.1314983,-0.1367923,0.0665376,-0.01225596,0.1526092,-0.1230465,0.07894726,0.00207462,0.1462102,0.1020906,-0.07958168,0.02511051,0.131857,0.1354277,-0.07640672,0.009042783,0.1557575,0.1261294,-0.08931872,-0.00456611,0.1546199,-0.104098,0.07645316,-0.02473301,0.1315036,-0.1367037,0.0666738,-0.01239701,0.1526007,-0.1229642,0.07903581,0.002032698,0.1461882,0.1151506,-0.08133541,0.0143069,0.1417032,-0.2470868,0.9030126,-0.2132356,0.279369,147.5549,-0.2573328,0.9404581,-0.2220779,-0.1181635,0.07418108,-0.01477535,0.1402989,-0.1182804,-0.2803484,0.2478345,0.9197785,46.21255,-0.3013991,-0.7143767,0.6315255,-0.04975882,1.000101,0.2998992,1.045284,1.203149E-05,0.005026861,0.005090843,0.9999744,0.8194779,0.001682426,0.7029318,0.7118787,0.1108577,-0.05983713,0.01883884,0.1273766,0.03176055,-0.2922048,-0.1881851,-0.9371201,319.1468,0.09100264,-0.8372463,-0.5392016,0.03067463,0.06055394,-0.4729066,0.4777535,-0.08246919,0.8084847,-0.1124829,0.5717508,110.2552,-0.1005198,0.9854434,-0.1371029,0.09975882,-0.0001013279,0.0001007915,0.09975892,0.8276404,0.2516499,0.3209282,0.385602,134.6378,0.8970104,0.2727423,0.3478273,-0.0135623,1.045084,-0.02880612,1.045569,0.05179326,-0.04619436,0.03483726,-0.9969804,351.0926,0.6669815,-0.5948802,0.4486261,False,False,False,False
1773058048685,0.0288901,0.005827703,0.8977059,0.2391492,0.9290329,-0.3855728,-0.2651904,-0.8729145,-0.1379426,195.8576,-0.3892943,-0.26775,-0.8813398,-0.09669026,0.5519091,0.2041142,0.5963349,0.4135158,0.6918507,-0.5640137,0.1795436,159.3136,0.4203464,0.703279,-0.5733303,0.01333861,0.9987299,0.3274382,1.051121,-0.09678902,1.005968,0.329631,1.063013,-0.1044191,1.017803,0.3012941,1.066585,0.02854704,0.5362203,0.2456081,0.5904832,0.03905242,0.5136141,0.2655579,0.5795218,0.03694455,0.5049229,0.2435951,0.5618279,0.09296851,-0.03297562,0.09125075,0.1343772,0.1706994,-0.0336713,0.01287523,0.1744643,0.1640393,-0.05924807,-0.00452441,0.1744698,-0.1097961,0.07045951,-0.02515029,0.1328619,-0.1386499,0.06549861,-0.01241261,0.1538438,-0.1249105,0.07755541,0.002693968,0.1470535,0.101363,-0.07586459,0.03038557,0.1302044,0.1382408,-0.07299834,0.009348441,0.1566099,0.1291529,-0.08692043,-0.004562784,0.1557448,-0.1045525,0.07597513,-0.02476629,0.1315933,-0.1368589,0.06658007,-0.01239826,0.152699,-0.1231195,0.07891774,0.002085438,0.1462558,0.1149603,-0.07796274,0.0180703,0.1400735,-0.2662203,0.8994495,-0.2142432,0.2724284,148.3824,-0.2766856,0.9348076,-0.2226653,-0.1184866,0.0739234,-0.01469722,0.140427,-0.1217882,-0.2748995,0.2450582,0.9217074,45.64607,-0.3139791,-0.7087117,0.6317785,-0.04947095,1.000331,0.2998552,1.045477,-0.006823227,0.01394901,0.007374939,0.9998522,1.969932,-0.396914,0.8114284,0.4290077,0.1189916,-0.04748934,0.02917244,0.1313974,0.3825233,0.2625378,0.8741249,-0.1437206,196.5264,0.3865362,0.265292,0.8832949,0.0693438,-0.01440726,-0.4552334,0.4607099,-0.4198604,-0.6888186,0.5628429,0.1801505,159.243,-0.4268439,-0.7002757,0.5722047,0.09947094,-0.0003308058,0.0001448393,0.0994716,0.8325034,0.2523301,0.3109284,0.3828724,134.9766,0.9011715,0.2731432,0.3365749,-0.01343509,1.045308,-0.02938271,1.045807,0.05213477,-0.04485428,0.03409689,-0.9970494,351.195,0.6791678,-0.5843238,0.4441855,False,False,False,False
1773058048700,0.0456715,0.006169654,0.8973975,0.2390389,0.9287087,-0.3859188,-0.2689146,-0.8708287,-0.1428601,196.4268,-0.3899182,-0.2717015,-0.8798535,-0.09667904,0.5520034,0.2040338,0.5963928,0.4135772,0.691556,-0.5642853,0.1796833,159.2974,0.4204198,0.7029977,-0.5736214,0.01392986,0.999707,0.325916,1.051584,-0.09472027,1.008006,0.3283076,1.064347,-0.1014453,1.019748,0.2974287,1.067071,0.02851207,0.5361789,0.2455333,0.5904129,0.03906814,0.5137377,0.2655647,0.5796356,0.03690406,0.5050665,0.2435081,0.5619166,0.09327754,-0.03338757,0.09088272,0.1344437,0.1703409,-0.03428182,0.01381203,0.1743045,0.1617645,-0.06143588,-0.004235299,0.1730898,-0.1098069,0.07044448,-0.02500924,0.1328362,-0.1386843,0.06549383,-0.01244411,0.1538754,-0.1248255,0.07757074,0.002670486,0.1469889,0.1006625,-0.07218454,0.03562681,0.1288907,0.1410218,-0.06964408,0.009735149,0.1575824,0.1319783,-0.08471254,-0.004534412,0.1568918,-0.1050077,0.07549598,-0.02478733,0.131684,-0.137017,0.06648596,-0.01240223,0.1528001,-0.1232673,0.07880104,0.002136124,0.1463181,0.1148533,-0.07463076,0.02190019,0.1387106,-0.2831024,0.8959559,-0.2169394,0.2646758,149.3046,-0.293572,0.9290897,-0.2249622,-0.1188127,0.07366587,-0.01461164,0.1405583,-0.1253504,-0.2694397,0.2421228,0.9236158,45.0789,-0.3270127,-0.7029116,0.6316475,-0.04804739,1.001422,0.2991415,1.04625,-0.02013816,0.03487487,0.01552746,0.9990681,4.947394,-0.4665883,0.8080286,0.3597613,0.119976,-0.04635951,0.02909159,0.1318703,0.3766726,0.2580941,0.8768646,-0.1503792,197.2978,0.3810052,0.2610628,0.8869506,0.06899092,-0.0145198,-0.4554527,0.4608771,-0.4277135,-0.6897476,0.5550395,0.1823198,158.9902,-0.4350045,-0.7015054,0.564501,0.09804739,-0.001421928,0.0008585453,0.09806146,0.8417607,0.2552256,0.28692,0.3794415,135.4018,0.9097994,0.2758552,0.3101114,-0.01330588,1.045584,-0.02986148,1.046095,0.05291385,-0.04365361,0.03333839,-0.9970873,351.2518,0.6937807,-0.5723649,0.4371167,False,False,False,False
1773058048712,0.05943771,0.007781399,0.8977671,0.2388953,0.929041,-0.3861689,-0.2716774,-0.8692234,-0.1466823,196.8694,-0.3903915,-0.2746481,-0.878728,-0.09657699,0.5523899,0.2037746,0.5966454,0.4136221,0.6913301,-0.5644826,0.17983,159.2803,0.4204768,0.7027872,-0.5738375,0.01202953,1.003769,0.3221456,1.054265,-0.0895486,1.012666,0.3251925,1.067362,-0.09336264,1.023001,0.2886986,1.067049,0.02856188,0.5364273,0.2452508,0.5905235,0.03918876,0.514114,0.2654224,0.5799121,0.0369545,0.5055085,0.2432405,0.5622014,0.095728,-0.03723488,0.0873777,0.1348523,0.1685773,-0.03806285,0.01597147,0.1735574,0.1543025,-0.06762528,-0.003405144,0.1685053,-0.1097959,0.07044308,-0.02484883,0.1327962,-0.1387651,0.0654766,-0.01244626,0.1539411,-0.1247407,0.07758123,0.002649354,0.1469221,0.1001919,-0.06885093,0.04056299,0.128157,0.1436501,-0.06663176,0.01032999,0.1586879,0.1341076,-0.0830827,-0.004426699,0.1578201,-0.1054644,0.07501402,-0.0247932,0.1317746,-0.1371838,0.06638969,-0.01240643,0.1529081,-0.1234078,0.0786847,0.002185078,0.1463747,0.1150684,-0.07170329,0.0253727,0.1379343,-0.2948008,0.8945354,-0.2204564,0.2535706,150.6222,-0.3047613,0.9247594,-0.227905,-0.1191451,0.07340641,-0.01451689,0.140694,-0.1289855,-0.2639774,0.2390024,0.9255034,44.51122,-0.3405655,-0.6969898,0.6310473,-0.04759143,1.001802,0.2989696,1.046544,-0.0276256,0.04520025,0.01819189,0.9984302,6.421665,-0.4932221,0.8069967,0.3247944,0.1206005,-0.04609203,0.02866782,0.1322528,0.3626673,0.2428079,0.8850744,-0.1617405,198.6159,0.3675062,0.2460475,0.8968834,0.06860657,-0.01341037,-0.4562818,0.4616057,-0.4472789,-0.6893595,0.5384017,0.1866779,158.4821,-0.4552823,-0.7016945,0.5480356,0.09759143,-0.00180161,0.001030445,0.0976135,0.8468106,0.2557681,0.2752824,0.3764493,135.7722,0.9140508,0.2760771,0.297141,-0.0131388,1.045904,-0.03039376,1.046428,0.0538708,-0.04263956,0.03288111,-0.9970951,351.2635,0.7072778,-0.5598212,0.431701,False,False,False,False
1773058048727,0.0738321,0.008403119,0.8980755,0.2386897,0.9292917,-0.3863697,-0.2739014,-0.8678419,-0.1501565,197.272,-0.3908006,-0.2770424,-0.8777941,-0.09649162,0.5526205,0.2035868,0.5967811,0.4136586,0.6911371,-0.5646362,0.1800056,159.2598,0.4205277,0.7026138,-0.5740123,0.01081916,1.00613,0.319692,1.055754,-0.08704062,1.015196,0.322849,1.068846,-0.09017172,1.024577,0.2851716,1.067339,0.02861171,0.5366194,0.2450761,0.5906279,0.03926369,0.5143416,0.2653196,0.5800719,0.03701786,0.5057551,0.2431221,0.5623761,0.09710437,-0.03917924,0.08531491,0.1350663,0.1674735,-0.0398174,0.0166382,0.172944,0.151791,-0.06949808,-0.003122987,0.1669738,-0.1097834,0.07043788,-0.02478648,0.1327714,-0.1388027,0.06546012,-0.01243067,0.1539667,-0.1247429,0.07756552,0.002645224,0.1469157,0.09994606,-0.06648877,0.04412568,0.1278947,0.1455467,-0.06449708,0.01083218,0.1595652,0.1355154,-0.08200123,-0.004322911,0.1584529,-0.1058082,0.07464971,-0.02479267,0.1318432,-0.1373127,0.06631568,-0.01240836,0.1529918,-0.1235141,0.0785956,0.00222171,0.146417,0.1153383,-0.06964643,0.02784291,0.1375819,-0.3015588,0.8940448,-0.222536,0.2454057,151.5884,-0.3110712,0.9222466,-0.2295557,-0.1193955,0.07321072,-0.01444285,0.1407967,-0.1317502,-0.2598951,0.2365816,0.9268903,44.08971,-0.3510228,-0.6924401,0.6303256,-0.04616883,1.00331,0.2972393,1.047432,-0.02286208,0.04501931,0.02344578,0.9984493,6.382401,-0.4106836,0.8087056,0.4211689,0.1212055,-0.04509138,0.02835765,0.1323939,0.3556675,0.2356808,0.8887786,-0.1674152,199.2751,0.360759,0.2390547,0.901502,0.06824399,-0.01329039,-0.4565291,0.4617929,-0.4560768,-0.689989,0.5292339,0.1892633,158.1804,-0.4644715,-0.7026892,0.5389752,0.09616883,-0.003310204,0.002760679,0.09626538,0.8436342,0.2586308,0.2746157,0.3820706,135.076,0.9128923,0.2798631,0.2971603,-0.01304201,1.046142,-0.0309904,1.046683,0.05564922,-0.04202833,0.03257915,-0.9970333,351.171,0.7229865,-0.5460259,0.4232635,False,False,False,False
1773058048741,0.08794941,0.009505033,0.8989423,0.2373865,0.9298064,-0.3882462,-0.2747665,-0.8665089,-0.1514283,197.4194,-0.3927756,-0.277972,-0.8766178,-0.09627089,0.5533099,0.2027723,0.5971068,0.4136888,0.6910208,-0.5646887,0.1802177,159.2351,0.420575,0.7025234,-0.5740885,0.005788749,1.009758,0.3152022,1.057826,-0.08210948,1.019583,0.3160225,1.07059,-0.08417777,1.026005,0.2790889,1.066613,0.0287874,0.5373101,0.2442932,0.5909399,0.0394735,0.5151131,0.2645432,0.580416,0.03721319,0.5064863,0.2423702,0.5627224,0.1010315,-0.0426149,0.07953484,0.1354592,0.1635584,-0.04570571,0.01705172,0.1706784,0.1461867,-0.0726914,-0.00243178,0.1632805,-0.1097621,0.07042141,-0.02475222,0.1327387,-0.1387741,0.06547844,-0.0124707,0.1539519,-0.1247285,0.07755195,0.002633173,0.146896,0.1000361,-0.06450865,0.04706256,0.1279979,0.1470406,-0.0629385,0.01134804,0.1603464,0.1364005,-0.08122906,-0.004166058,0.15881,-0.1061362,0.07429902,-0.02478931,0.1319081,-0.1374339,0.06624624,-0.01241353,0.153071,-0.1236148,0.07850904,0.002255837,0.1464561,0.1157539,-0.06800491,0.02982891,0.137526,-0.3032696,0.8955627,-0.2236982,0.2365461,152.6344,-0.3121277,0.9217209,-0.2302322,-0.1196326,0.07302406,-0.01437095,0.1408936,-0.1344143,-0.2560109,0.2341533,0.9282045,43.68673,-0.3612605,-0.688071,0.6293253,-0.04561068,1.0037,0.2965489,1.047585,-0.008282845,0.03695238,0.03257621,0.9987516,5.72655,-0.1658132,0.739745,0.6521389,0.1212836,-0.04555237,0.02810479,0.1325692,0.3585387,0.2386103,0.8853752,-0.1750032,200.1577,0.3641584,0.2423503,0.8992526,0.06832713,-0.01180651,-0.4573035,0.4625305,-0.4587908,-0.6850467,0.5336163,0.1883501,158.287,-0.4671519,-0.6975311,0.543341,0.09561068,-0.003699899,0.003451139,0.09574446,0.8333899,0.2645787,0.2815298,0.3952219,133.4404,0.9072534,0.2880284,0.3064819,-0.01282738,1.046403,-0.03157962,1.046958,0.05705516,-0.04143792,0.03222987,-0.9969899,351.1066,0.7358969,-0.5344659,0.4157005,False,False,False,False
1773058048755,0.1003848,0.009265542,0.8987346,0.236423,0.9293576,-0.3912632,-0.2731909,-0.8658125,-0.1504953,197.3113,-0.3957707,-0.2763381,-0.875787,-0.09624213,0.5536157,0.2025695,0.5973168,0.4136888,0.6910208,-0.5646887,0.1802177,159.2351,0.420575,0.7025234,-0.5740885,0.003179102,1.009813,0.3139118,1.057484,-0.08034802,1.020422,0.3130837,1.070392,-0.0816486,1.025563,0.2767897,1.065391,0.028788,0.5375637,0.2440811,0.591083,0.03950956,0.5154501,0.2643373,0.5806239,0.03719796,0.5068269,0.2421562,0.5629359,0.1027692,-0.04339889,0.077039,0.1355728,0.1614788,-0.04852231,0.01689786,0.1694561,0.1431553,-0.07404539,-0.002028078,0.161184,-0.1097579,0.07040439,-0.02469479,0.1327155,-0.1387647,0.0654867,-0.01250039,0.1539494,-0.1246816,0.07752562,0.002613803,0.146842,0.1002588,-0.06278873,0.04950488,0.128238,0.148217,-0.06176394,0.01180021,0.161004,0.1369508,-0.08064377,-0.003991866,0.1589808,-0.1064313,0.0739817,-0.02478161,0.131966,-0.1375423,0.06618436,-0.01242061,0.1531422,-0.1237017,0.07842892,0.002285002,0.146487,0.1161682,-0.06663249,0.0314641,0.1375679,-0.3026121,0.8977616,-0.2246487,0.2279981,153.6415,-0.310798,0.9220468,-0.2307256,-0.1198454,0.07285561,-0.01430411,0.1409804,-0.1368071,-0.2525191,0.2318485,0.9293892,43.3204,-0.370649,-0.6841458,0.6281432,-0.04536279,1.003359,0.2960494,1.047107,0.01854797,0.02711864,0.05340668,0.9980322,7.189985,0.2958055,0.4324916,0.8517366,0.1211748,-0.04644925,0.0283439,0.1328316,0.3689269,0.2473714,0.8765499,-0.1853665,201.365,0.3754334,0.251734,0.8920088,0.06839351,-0.01108653,-0.4573519,0.4625704,-0.4580425,-0.6746994,0.5488442,0.1837056,158.8286,-0.4659728,-0.6863808,0.5583466,0.09536279,-0.003359199,0.003950655,0.09550368,0.8141165,0.2766207,0.2881493,0.4215037,130.1409,0.8977643,0.3050425,0.3177557,-0.01256854,1.046711,-0.03217849,1.047281,0.05805048,-0.04099432,0.0317362,-0.9969667,351.0723,0.745863,-0.5267165,0.4077634,False,False,False,False
1773058048770,0.1147654,0.008941818,0.8992183,0.234367,0.9293016,-0.3957143,-0.267452,-0.8659862,-0.1481473,197.0392,-0.4001295,-0.2704361,-0.8756487,-0.09624813,0.55397,0.2024819,0.5976164,0.4137149,0.6911638,-0.5644029,0.1805048,159.2017,0.420624,0.7027065,-0.5738286,0.0005941003,1.009999,0.3123032,1.057181,-0.07907012,1.020823,0.3114304,1.070196,-0.07804354,1.025492,0.273599,1.064228,0.02876665,0.5379781,0.2440516,0.5914467,0.03947683,0.5158767,0.2643215,0.5809932,0.03710169,0.5073068,0.242106,0.5633401,0.1044796,-0.04445533,0.07432282,0.1357061,0.1602369,-0.05018371,0.01668073,0.1687381,0.138833,-0.07598615,-0.001490004,0.1582742,-0.109746,0.07041427,-0.02470064,0.132712,-0.138752,0.06547982,-0.01252077,0.1539367,-0.1245818,0.0774755,0.002576277,0.1467301,0.1005647,-0.06146009,0.05130347,0.1285404,0.1490881,-0.06092471,0.01215391,0.1615141,0.1370872,-0.08030623,-0.003810553,0.158923,-0.1066715,0.07372317,-0.02477574,0.1320142,-0.13763,0.0661333,-0.01242787,0.1531995,-0.1237655,0.07835982,0.002306111,0.1465042,0.1165999,-0.06561907,0.03258888,0.1377078,-0.3007167,0.9002199,-0.2256386,0.2196836,154.6191,-0.3082468,0.9227618,-0.2312887,-0.1200177,0.07271737,-0.01425044,0.1410501,-0.1386833,-0.2496255,0.2298849,0.93038,43.01173,-0.3782996,-0.6809272,0.627079,-0.0443873,1.003289,0.2934625,1.046269,0.06981605,-2.990512E-05,0.06860151,0.9951983,11.23411,0.7132888,-0.0003055312,0.7008802,0.1210654,-0.04642726,0.02804823,0.1326613,0.3829871,0.2578366,0.8621407,-0.2086979,204.0921,0.3916102,0.263642,0.8815522,0.06824234,-0.01030878,-0.4566525,0.4618385,-0.4617714,-0.652345,0.5745327,0.1764237,159.677,-0.46913,-0.6627406,0.5836883,0.09438731,-0.003288984,0.006537527,0.09467059,0.7794848,0.2821071,0.3166523,0.4610321,125.0926,0.8784078,0.3179089,0.3568381,-0.01242826,1.046998,-0.03278507,1.047585,0.05927996,-0.04083592,0.03121673,-0.9969172,350.9998,0.7555329,-0.5204607,0.3978624,False,False,False,False
1773058048782,0.1296956,0.008063843,0.900493,0.228539,0.9290763,-0.4016095,-0.2623349,-0.8657448,-0.1427458,196.4135,-0.4057648,-0.2650492,-0.8747022,-0.09602804,0.5543671,0.202464,0.5979431,0.4139628,0.6913711,-0.5638995,0.1807154,159.1771,0.4208927,0.7029449,-0.5733393,-0.005948384,1.011182,0.3060155,1.056489,-0.07874636,1.020856,0.3076756,1.069118,-0.06978945,1.02372,0.2618949,1.058991,0.02899054,0.5384378,0.2440656,0.5918815,0.0396327,0.5162786,0.264355,0.5813758,0.03717356,0.5078526,0.2421039,0.5638354,0.1076762,-0.04635704,0.06861418,0.1358347,0.159484,-0.05070753,0.01672075,0.1681843,0.1266862,-0.07943082,-0.0001190659,0.1495281,-0.1096945,0.07048839,-0.02475031,0.1327181,-0.1387044,0.06549233,-0.01252673,0.1538996,-0.124406,0.07742468,0.002484389,0.1465524,0.101154,-0.06020852,0.05273798,0.1289903,0.1499496,-0.06007802,0.01253236,0.1620225,0.1362253,-0.08023369,-0.003504646,0.1581362,-0.106922,0.07345511,-0.02477363,0.132067,-0.137719,0.06608018,-0.01243606,0.1532572,-0.1238186,0.07828233,0.002320885,0.1465079,0.1173839,-0.06475386,0.03312827,0.1380924,-0.2948667,0.9050931,-0.2268514,0.2059088,156.2346,-0.3013238,0.9249129,-0.231819,-0.1201946,0.07257218,-0.01419855,0.1411207,-0.1405082,-0.2464977,0.2277508,0.9314644,42.67149,-0.3861895,-0.6775036,0.6259773,-0.04442793,1.002881,0.2938617,1.045992,0.06226493,-0.00316801,0.07892663,0.994929,11.54516,0.6190569,-0.03149732,0.7847126,0.1207459,-0.04561211,0.02954937,0.132413,0.4077376,0.2939714,0.833468,-0.2294828,206.5332,0.4189173,0.3020318,0.8563207,0.06967755,-0.007690616,-0.4555921,0.4609537,-0.4467705,-0.6202891,0.6218703,0.1700439,160.4193,-0.4533732,-0.6294562,0.6310608,0.09442793,-0.002881289,0.006138295,0.09467109,0.7785506,0.2942522,0.3133261,0.4572762,125.577,0.8754401,0.3308716,0.3523191,-0.01232467,1.047268,-0.0334089,1.047873,0.0604463,-0.04072682,0.03062205,-0.99687,350.9312,0.7645831,-0.5151522,0.3873373,False,False,False,False
1773058048797,0.1424829,0.008097749,0.9018388,0.2255862,0.9296601,-0.4074402,-0.2574262,-0.8653956,-0.1371671,195.7679,-0.4113281,-0.2598826,-0.8736534,-0.0958226,0.5545636,0.2025035,0.5981057,0.4143602,0.6916812,-0.563221,0.1807339,159.175,0.4212982,0.7032626,-0.5726515,-0.007032579,1.011343,0.3045847,1.056237,-0.07841868,1.019876,0.3090567,1.068556,-0.06498761,1.022581,0.2573451,1.056467,0.02915357,0.5385274,0.2441666,0.5920127,0.03979138,0.5163752,0.2645042,0.5815403,0.03729883,0.508036,0.2422182,0.564058,0.1086357,-0.04642425,0.06711112,0.1358706,0.1602878,-0.04903974,0.01697127,0.1684787,0.1202166,-0.08047649,0.0006055105,0.1446681,-0.1096865,0.07050436,-0.02469881,0.1327103,-0.1387419,0.06547684,-0.01253289,0.1539272,-0.1243764,0.07738166,0.002444802,0.1465039,0.1017956,-0.05902633,0.05397068,0.1294577,0.1508362,-0.05913134,0.01291305,0.1625264,0.1348524,-0.08025451,-0.003152143,0.1569582,-0.1071591,0.07320204,-0.02476722,0.1321175,-0.1378067,0.06602844,-0.01244436,0.1533144,-0.1238664,0.07820508,0.002331513,0.1465072,0.1183013,-0.06397468,0.03331387,0.138556,-0.2878605,0.9105549,-0.2281132,0.1897115,158.1281,-0.2931848,0.9273966,-0.2323324,-0.1203636,0.07243321,-0.01414891,0.1411884,-0.142193,-0.2435799,0.2256674,0.9324828,42.34958,-0.3936529,-0.6743363,0.6247467,-0.04412477,1.002328,0.2944641,1.045618,0.06306069,-0.01165861,0.07845075,0.9948533,11.63109,0.6223527,-0.11506,0.7742388,0.1216197,-0.04434519,0.02953337,0.1327783,0.4198927,0.2782812,0.8328616,-0.229328,206.515,0.4313896,0.2859007,0.8556657,0.06983717,-0.007632489,-0.4550176,0.460409,-0.4538134,-0.6209732,0.6190098,0.1589731,161.7054,-0.459659,-0.628972,0.6269833,0.09412476,-0.002327681,0.005535871,0.09431615,0.7755253,0.2968286,0.3207061,0.4556326,125.7887,0.8712122,0.3334523,0.3602759,-0.01223783,1.047567,-0.03398824,1.04819,0.06139219,-0.04087324,0.0300678,-0.9968231,350.8635,0.7708024,-0.5131792,0.3775127,False,False,False,False
