Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773058496555,0,1,1,135,0.1605065,0.7786089,-0.6066349,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.1482887,0.7193409,-0.5604575,0.3826834,135,0.1605065,0.778609,-0.6066349
Trial Start,1773058505030,0,1,1,135,0.1605065,0.7786089,-0.6066349,1,-1,-0.04906203,0.9993093,0.3002409,1.044591,0.001690748,0.01936421,0.01557871,0.9996897,2.854769,0.06787556,0.7773817,0.6254119,0.09906203,0.0006906986,-0.0002408922,0.09906472,0.1255364,0.7149651,-0.5679006,0.3880137,134.3381,0.1362078,0.7757416,-0.6161757
On Target,1773058511127,6.101845,1,1,135,0.1605065,0.7786089,-0.6066349,1,-1,0.05160566,1.001348,0.2804586,1.041162,-0.08137877,-0.70521,0.5721191,-0.4107749,228.507,-0.08925687,-0.7734799,0.6275047,-0.001605656,-0.001348495,0.01954144,0.01965361,-0.04607938,0.01361439,0.05731698,-0.9971992,351.4214,-0.6160975,0.1820292,0.766348
Off Target,1773058511195,6.171324,1,1,135,0.1605065,0.7786089,-0.6066349,1,-1,0.05521687,1.001589,0.2821403,1.042033,-0.06105745,-0.7288905,0.5774291,-0.3627206,222.5347,-0.06551946,-0.7821571,0.6196269,-0.00521687,-0.001588941,0.01785973,0.01867379,-0.03727784,0.06942062,0.04648204,-0.9958065,349.502,-0.4074777,0.7588251,0.5080873
On Target,1773058512793,7.768493,1,1,135,0.1605065,0.7786089,-0.6066349,1,-1,0.04873774,1.000476,0.2945804,1.044081,-0.1226122,-0.7473006,0.576677,-0.3065157,215.6988,-0.1288124,-0.7850903,0.6058387,0.001262259,-0.0004755259,0.005419582,0.005584917,0.005471682,0.08228599,-0.02627944,-0.9962474,350.0693,0.0632175,0.9506975,-0.3036215
Trial End,1773058513794,8.768548,1,2,135,0.1605065,0.7786089,-0.6066349,1,-1,0.05131898,1.000139,0.2954068,1.044115,-0.1531015,-0.7205366,0.566498,-0.3694143,223.359,-0.1647555,-0.7753836,0.6096196,-0.001318984,-0.0001391172,0.004593253,0.004780904,0.0001344518,0.008200968,-0.0130331,-0.9998815,358.2359,0.008733803,0.5327235,-0.8466122
Trial Load,1773058513796,8.768548,1,2,135,0.2611466,0.5939222,0.7609591,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.2412681,0.5487126,0.7030347,0.3826833,135,0.2611467,0.5939223,0.7609593
Trial Start,1773058515224,0,1,2,135,0.2611466,0.5939222,0.7609591,1,-1,-0.05147622,0.992316,0.2863551,1.034089,0,0,0,1,0,1,0,0,0.1014762,0.007683992,0.0136449,0.1026774,0.2412681,0.5487126,0.7030347,0.3826833,135,0.2611467,0.5939223,0.7609593
On Target,1773058522598,7.38947,1,2,135,0.2611466,0.5939222,0.7609591,1,-1,0.05151501,0.9999195,0.2966998,1.044281,-0.2703805,-0.5530771,-0.7249399,-0.3089696,215.9943,-0.2842903,-0.5815303,-0.7622346,-0.001515009,8.052588E-05,0.00330025,0.00363227,0.03787693,0.05729993,0.04528473,-0.99661,350.5618,0.4603919,0.6964774,0.5504333
Trial End,1773058523586,8.376173,1,3,135,0.2611466,0.5939222,0.7609591,1,-1,0.04724221,0.9975311,0.2948828,1.041276,-0.2663238,-0.5455856,-0.6942886,-0.386486,225.472,-0.288762,-0.5915521,-0.7527834,0.002757795,0.002468944,0.005117178,0.006315586,0.006070201,0.016442,-0.02052324,-0.9996358,356.9073,0.224938,0.6092766,-0.7605113
