Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,0.1605065,0.7786089,-0.6066349,1,8.768548,False,-0.001318984,-0.0001391172,0.004593253,0.004780904,0.0001344518,0.008200968,-0.0130331,-0.9998815,358.2359,0.008733803,0.5327235,-0.8466122,0.542307,0.6791402,0.7510744,1.200595,706.4537,0,0,0.03328178,0.06735569,0.02686715,0.3775416,94.72049,0,0,0.4926268,395.2068,0.1103036,33.04869
1,3,135,0.2611466,0.5939222,0.7609591,1,8.376173,False,0.002757795,0.002468944,0.005117178,0.006315586,0.006070201,0.016442,-0.02052324,-0.9996358,356.9073,0.224938,0.6092766,-0.7605113,0.5317363,0.6096122,0.7449144,1.086038,597.4759,0,0,0.05716508,0.08467189,0.03240484,0.3874319,123.4174,0,0,0.6374599,423.6089,0.1201863,33.82072
1,4,135,-0.2141168,0.6635514,0.7168357,1,4.430834,False,-0.0007907189,-0.002266645,0.005049527,0.005591122,-0.01761772,-0.0340823,-0.01778231,-0.9991055,355.1529,-0.4166217,-0.8059739,-0.4205137,0.2314631,0.3951017,0.4575484,0.519962,351.6302,0,0,0.03746218,0.05133498,0.04455354,0.1035856,30.10919,0,0,0.3914174,235.3482,0.1076712,25.73899
1,5,135,-0.3662241,-0.04960163,0.9292037,1,9.985908,False,-8.567795E-05,-0.0003587008,0.001576394,0.001618958,0.07614986,-0.00483137,0.00712352,0.9970593,8.790325,0.9936709,-0.063044,0.092954,0.9843049,1.096986,1.360334,1.400085,882.6886,0,0,0.04498088,0.04386236,0.04199632,0.2305464,82.27587,0,0,0.6620234,454.9998,0.1310662,33.93139
1,6,135,0.9615824,0.07942344,-0.2627758,1,14.05613,False,-0.0007550828,0.0005648732,-0.0003868341,0.001019251,0.03655015,-0.06262333,0.01941093,0.9971789,8.609685,0.4869275,-0.8342789,0.2585958,1.296358,1.206288,1.278031,1.608487,1426.011,0,0,0.0864452,0.09308481,0.05670673,0.3649177,137.6677,0,0,1.05692,836.6158,0.1603403,52.24615
1,7,135,0.5276029,0.831677,-0.1730562,0.9999999,5.569041,False,0.0001136549,2.938509E-05,0.002609849,0.002612488,-0.0246949,0.003915077,-0.01122723,0.9996244,3.140946,-0.901047,0.1428501,-0.4096498,0.5140343,0.5728949,0.7063538,1.036355,585.3817,0,0,0.04464401,0.07765865,0.03526234,0.3490631,80.22631,0,0,0.4716195,315.6467,0.08682002,25.95338
1,8,135,0.9690691,0.1901293,-0.1573399,1,14.09747,False,-0.002772342,0.001011968,0.001934886,0.003528986,-0.04234116,-0.02390436,0.01093043,0.9987575,5.713272,-0.849593,-0.4796509,0.2193237,1.393246,1.621519,1.697484,2.630535,1638.888,0,0,0.1091109,0.1508965,0.0960573,0.7561224,238.1685,0,0,1.21588,854.9808,0.2018861,59.789
1,9,135,0.7230896,0.6436022,-0.2508339,1,7.278288,False,-0.004778109,-0.0006622076,0.006415427,0.008026615,0.02993066,-0.06538311,0.01637762,0.9972768,8.45868,0.4058446,-0.886562,0.2220722,0.7290168,0.9106532,1.081691,1.3846,792.0015,0,0,0.04835904,0.08162003,0.04031829,0.1954671,61.62827,0,0,0.5786105,444.2541,0.1448051,44.22999
1,10,135,-0.770469,0.533199,0.3493945,1,3.513906,False,-0.003395375,0.001528203,0.001617461,0.004059576,0.0004802313,-0.06489658,-0.01722953,0.9977432,7.700109,0.00715207,-0.9665028,-0.2565989,0.2605185,0.322725,0.3272673,0.4875537,332.8114,0,0,0.03393023,0.07189555,0.03235531,0.1715062,63.35318,0,0,0.3328867,221.1438,0.03987494,12.42001
1,11,135,0.4032358,-0.6921629,0.5985911,0.9999999,3.262965,False,0.001094732,-0.005855441,0.009012133,0.01080292,0.005333498,0.0005939548,-0.02883624,0.9995698,3.361256,0.1818544,0.02025187,-0.9832191,0.07943218,0.1017893,0.1179388,0.5631141,244.8235,0,0,0.1422726,0.1429459,0.1988939,1.151837,205.6828,0,0,0.420778,244.8951,0.03906206,13.44132
