Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773058574986,0.0139748,-0.0009507835,0.9098525,0.2403228,0.9410566,0.1172856,0.2868388,0.8270213,-0.4690453,235.9447,0.1328001,0.3247817,0.9364192,-0.05052057,1.01935,0.294618,1.062274,-0.06341961,1.020708,0.316891,1.070648,-0.08152375,1.009325,0.3149819,1.06047,-0.02744555,-0.06881773,0.117587,0.1389815,-0.01035345,-0.0722908,0.1384073,0.156492,0.007373016,-0.08436476,0.1312032,0.1561603,0,0,0,0,0,0,0,0,0,1,0,0,-0.09698778,0.5251005,0.2037027,0.5715172,0.4257622,0.01013118,0.8027021,0.4174844,130.6483,0.4685481,0.01114929,0.8833677,0.0097716,0.5586629,0.258574,0.6156787,0.03713108,0.5333963,0.263721,0.5961872,-0.02186061,0.535964,0.2416722,0.5883372,0.03054508,-0.07596606,0.1026971,0.1313413,0.007803488,-0.07568558,0.1351359,0.1550835,0.01191268,-0.04495744,0.07639562,0.08943923,0,0,0,0,0,0,0,0,0,1,0,0,-0.04742747,1.000139,0.3003103,1.04533,0.007820304,-0.02513404,-0.007843282,-0.9996228,356.8523,0.2847314,-0.9151114,-0.285568,0.09742747,-0.0001392365,-0.0003103018,0.09742807,-0.8929269,-0.1718573,0.1721861,-0.3788123,224.5203,-0.9648323,-0.1856966,0.1860518,0.003975102,1.075498,0.001238398,1.075506,0.1363375,-0.005909336,0.02110409,-0.99042,344.1256,0.9873249,-0.04279405,0.152831,False
1773058575000,0.0276723,3.862008E-05,0.909852,0.2397229,0.9409027,0.1371655,0.2832776,0.8187709,-0.4801601,237.3917,0.1563708,0.3229409,0.9334118,-0.04909296,1.019209,0.2947312,1.062103,-0.06198531,1.019662,0.3128023,1.068363,-0.07897449,1.008126,0.3112445,1.058031,-0.02691253,-0.06908408,0.1175729,0.1389974,-0.01098356,-0.07467768,0.1337719,0.1535979,0.005788787,-0.08609083,0.1260643,0.1527656,0,0,0,0,0,0,0,0,0,1,0,0,-0.09654554,0.526382,0.202829,0.57231,0.4265866,0.007973164,0.8023838,0.4173015,130.6713,0.4694119,0.008773596,0.8829357,0.01026423,0.5594889,0.2578227,0.6161215,0.03754348,0.5342077,0.2628542,0.5965565,-0.02134405,0.5369725,0.2408589,0.5889041,0.03049712,-0.0759666,0.1026776,0.1313152,0.007797548,-0.07570719,0.1350635,0.1550307,0.01191273,-0.04502041,0.07643054,0.08950072,0,0,0,0,0,0,0,0,0,1,0,0,-0.04500607,1.000402,0.3004026,1.0455,0.01525746,-0.04738943,-0.01476732,-0.9986508,354.0467,0.2938164,-0.9125893,-0.2843778,0.09500606,-0.0004016161,-0.0004026294,0.09500776,-0.8904514,-0.1682878,0.1959262,-0.3746846,224.0096,-0.9604154,-0.1815104,0.2113204,0.003497207,1.075369,0.001196473,1.075375,0.1354806,-0.005395453,0.02035978,-0.9905562,344.239,0.9881343,-0.03935198,0.148495,False
1773058575013,0.0415132,0.0009419508,0.9086307,0.2397264,0.9397231,0.1633885,0.2905504,0.8075216,-0.4866143,238.2366,0.1870254,0.3325833,0.924343,-0.04756658,1.018735,0.2931423,1.061139,-0.06071994,1.018618,0.3048351,1.064986,-0.07605016,1.006884,0.3029159,1.05421,-0.02521886,-0.06905118,0.1176395,0.1387196,-0.01184202,-0.07739382,0.1274077,0.1495418,0.003237671,-0.08782954,0.1183713,0.1474323,0,0,0,0,0,0,0,0,0,1,0,0,-0.09645032,0.5258228,0.2029779,0.5718324,0.4259748,0.006961688,0.802315,0.4180762,130.5736,0.4689225,0.007663581,0.8832062,0.01034379,0.5586795,0.2581863,0.6155403,0.03755436,0.5333404,0.2632505,0.5959557,-0.02124871,0.5362385,0.241153,0.5883519,0.03050405,-0.07597397,0.1026908,0.1313314,0.007805129,-0.07571474,0.1350688,0.1550394,0.01190688,-0.0450526,0.07646631,0.08954667,0,0,0,0,0,0,0,0,0,1,0,0,-0.04233184,1.001295,0.2984714,1.045691,0.03595605,-0.06893196,-0.01834795,-0.9968044,350.8365,0.4501159,-0.862925,-0.2296889,0.09233184,-0.00129509,0.001528621,0.09235357,-0.8929589,-0.1599164,0.219951,-0.3587101,222.042,-0.9566229,-0.1713178,0.2356325,0.003044035,1.075108,0.001192823,1.075113,0.1349386,-0.004764051,0.01943056,-0.990652,344.3193,0.9891871,-0.03492356,0.1424385,False
1773058575027,0.0554988,0.001992103,0.9067658,0.2394587,0.9378532,0.1921565,0.3056104,0.796028,-0.4858166,238.132,0.2198434,0.3496444,0.9107239,-0.04695954,1.017968,0.2887885,1.05918,-0.05832069,1.018927,0.2966339,1.062829,-0.07219988,1.006041,0.2933996,1.050436,-0.02210728,-0.0703482,0.1168633,0.1381834,-0.01234987,-0.07888024,0.1235491,0.147102,0.0011448,-0.08829933,0.1117558,0.142434,0,0,0,0,0,0,0,0,0,1,0,0,-0.09750455,0.5260878,0.2017035,0.571804,0.4255253,0.01310611,0.8033311,0.416432,130.781,0.4680387,0.01441551,0.8835905,0.009215452,0.5603608,0.2562121,0.6162255,0.03667205,0.535281,0.2614834,0.5968619,-0.0222585,0.5374802,0.2395277,0.5888581,0.03048165,-0.07599904,0.1026922,0.1313418,0.007821259,-0.07569563,0.13514,0.1550929,0.01190497,-0.04503931,0.07648405,0.08955488,0,0,0,0,0,0,0,0,0,1,0,0,-0.03911167,1.002872,0.2940886,1.045834,0.06508284,-0.08696127,-0.01597941,-0.9939551,347.3939,0.592807,-0.7920867,-0.1455485,0.08911167,-0.002871633,0.00591141,0.08935369,-0.8993495,-0.1461619,0.2398884,-0.3350537,219.1516,-0.9545217,-0.1551285,0.2546048,0.002564461,1.074946,0.001135917,1.074949,0.13405,-0.004214058,0.0183302,-0.9907961,344.4408,0.9903002,-0.03113155,0.1354152,False
1773058575041,0.0693896,0.004495345,0.9049508,0.2388378,0.9359486,0.2113612,0.3157838,0.7800041,-0.4971928,239.6289,0.2436047,0.3639572,0.898995,-0.04681041,1.014942,0.2868049,1.055725,-0.05737858,1.016943,0.2919772,1.059583,-0.07020075,1.003317,0.2888527,1.046427,-0.01938446,-0.0703599,0.1165586,0.1375216,-0.01259404,-0.07959019,0.1217417,0.1459941,0.0001307073,-0.08840786,0.1090967,0.140421,0,0,0,0,0,0,0,0,0,1,0,0,-0.09724935,0.5214607,0.2038612,0.5682764,0.4262561,0.01176012,0.8038955,0.414632,131.0077,0.4684188,0.01292336,0.8834121,0.009400517,0.5557187,0.25854,0.6129882,0.0369192,0.5306488,0.2637608,0.5937347,-0.02203796,0.532833,0.2417776,0.5855365,0.03045084,-0.0760147,0.1027038,0.1313528,0.007801391,-0.07567965,0.1351997,0.1551362,0.01189809,-0.0450218,0.07650492,0.08956299,0,0,0,0,0,0,0,0,0,1,0,0,-0.0373028,1.002136,0.290975,1.044191,0.08592654,-0.1032031,-0.02816926,-0.9905415,344.2267,0.6262239,-0.7521338,-0.2052947,0.0873028,-0.002135754,0.009025007,0.08779402,-0.8997676,-0.1472305,0.2622598,-0.3161669,216.8625,-0.9484179,-0.1551912,0.2764401,0.002141741,1.074765,0.00114714,1.074768,0.1334156,-0.003371309,0.01741376,-0.9909015,344.5303,0.9912797,-0.02504887,0.1293844,False
1773058575055,0.0833931,0.006804083,0.9032601,0.2392367,0.9344299,0.2190721,0.3281214,0.7691422,-0.5027565,240.3651,0.2534301,0.3795821,0.88977,-0.04674595,1.01292,0.2844705,1.053146,-0.05719793,1.0151,0.2884359,1.056832,-0.06929474,1.001514,0.2863933,1.043961,-0.01848041,-0.07045201,0.11621,0.1371487,-0.01275085,-0.08000603,0.1206755,0.1453483,-9.289576E-05,-0.08831313,0.1087233,0.1400713,0,0,0,0,0,0,0,0,0,1,0,0,-0.09734502,0.521906,0.2037762,0.5686709,0.4264259,0.01217426,0.8035619,0.4150916,130.9498,0.4687134,0.01338155,0.883249,0.009394966,0.5561214,0.2583044,0.613254,0.03689908,0.5310232,0.2635617,0.5939798,-0.02204809,0.5332639,0.2416245,0.585866,0.03041237,-0.07602189,0.1027091,0.1313522,0.007780083,-0.07566005,0.1352338,0.1551552,0.01189173,-0.04504929,0.07654335,0.0896088,0,0,0,0,0,0,0,0,0,1,0,0,-0.03652916,1.001197,0.2886426,1.042614,0.1023856,-0.1066712,-0.0366998,-0.9883277,342.4745,0.6720729,-0.7002043,-0.2409025,0.08652917,-0.001196623,0.01135737,0.08727954,-0.9020816,-0.1507593,0.2711986,-0.2999531,214.9096,-0.9456238,-0.1580363,0.284289,0.001639215,1.074615,0.001127091,1.074616,0.1324618,-0.002611052,0.01704681,-0.9910381,344.647,0.9916313,-0.01954677,0.1276153,False
1773058575069,0.09710781,0.008775227,0.9018159,0.2396336,0.9331523,0.2277456,0.3382802,0.7587359,-0.5079551,241.0554,0.2643951,0.3927173,0.880834,-0.04658157,1.011085,0.2825649,1.05086,-0.05706421,1.013039,0.2849259,1.053892,-0.06833491,0.9996339,0.2840353,1.041448,-0.01765085,-0.07056949,0.1158288,0.1367769,-0.01300567,-0.08060986,0.1190012,0.1443204,-0.0004246593,-0.08825564,0.1078321,0.1393449,0,0,0,0,0,0,0,0,0,1,0,0,-0.09741183,0.5212971,0.2039306,0.568179,0.4262684,0.01212375,0.8034539,0.4154639,130.9029,0.4686278,0.01332852,0.8832952,0.009351142,0.5554621,0.2584583,0.6127204,0.03693367,0.5301869,0.2638535,0.5933641,-0.02206659,0.5326006,0.2418179,0.5853428,0.03040702,-0.07603756,0.1027068,0.1313582,0.007718396,-0.07558549,0.1354413,0.1552968,0.01188653,-0.04506242,0.07660165,0.08966451,0,0,0,0,0,0,0,0,0,1,0,0,-0.03571486,1.00039,0.286687,1.041271,0.1173658,-0.1117878,-0.04423018,-0.9857852,340.6557,0.6985632,-0.6653627,-0.2632588,0.08571486,-0.000390172,0.01331306,0.08674346,-0.9034715,-0.1529191,0.280923,-0.2853724,213.1622,-0.9426708,-0.1595539,0.2931115,0.001224907,1.074331,0.001134226,1.074333,0.1314843,-0.001776788,0.01680929,-0.9911742,344.7642,0.9918395,-0.01340303,0.1267993,False
1773058575082,0.1109589,0.009944595,0.8984357,0.2408126,0.9302023,0.2478156,0.3587687,0.7445903,-0.5054284,240.7196,0.2871997,0.415786,0.8629243,-0.04630725,1.009267,0.2776909,1.047796,-0.05612511,1.011631,0.2797209,1.05109,-0.06719717,0.9982689,0.280011,1.038972,-0.01699262,-0.07118426,0.1153614,0.136617,-0.0130698,-0.08078084,0.1185756,0.1440713,-0.0004786405,-0.08828878,0.1076407,0.139218,0,0,0,0,0,0,0,0,0,1,0,0,-0.09816182,0.5184049,0.2036303,0.5655481,0.4257134,0.01281358,0.8034588,0.4160024,130.8351,0.4681443,0.01409072,0.8835398,0.008557498,0.5526574,0.2582254,0.6100686,0.03636835,0.5269027,0.2639942,0.5904592,-0.02276344,0.5297593,0.2415372,0.5826691,0.03049237,-0.07597718,0.1027478,0.1313752,0.007607265,-0.0752326,0.1360359,0.1556392,0.0118749,-0.04509479,0.0766616,0.08973046,0,0,0,0,0,0,0,0,0,1,0,0,-0.03453696,0.999485,0.2822942,1.03916,0.1479973,-0.119822,-0.04467466,-0.9806854,337.4414,0.7566636,-0.6126121,-0.2284074,0.08453695,0.0005150437,0.01770577,0.08637278,-0.9093818,-0.144894,0.2929255,-0.2573429,209.8249,-0.941077,-0.149944,0.303135,0.00084469,1.074177,0.001138565,1.074178,0.1301975,-0.0009479409,0.0162086,-0.9913551,344.9214,0.9923133,-0.007224829,0.1235355,False
1773058575097,0.1250145,0.01106411,0.8954254,0.2419021,0.9275914,0.2658727,0.375807,0.7307163,-0.5041175,240.5456,0.307853,0.4351456,0.8460938,-0.04626938,1.00693,0.2739124,1.044546,-0.05556064,1.00949,0.2749656,1.047742,-0.06630024,0.9962523,0.276338,1.035991,-0.01603119,-0.07168961,0.1148824,0.1363611,-0.01319753,-0.08111193,0.1176321,0.1434944,-0.0006331959,-0.0883854,0.1069555,0.138751,0,0,0,0,0,0,0,0,0,1,0,0,-0.09900171,0.5150583,0.2032857,0.5625046,0.4243727,0.01440728,0.8035181,0.4172037,130.6837,0.4669527,0.01585285,0.8841403,0.007639535,0.5495221,0.2579426,0.6070974,0.03573977,0.5231199,0.2643066,0.5871879,-0.02352507,0.5265411,0.2412335,0.5796487,0.03060056,-0.07590065,0.1027971,0.1313946,0.007462151,-0.07473673,0.1368431,0.1561003,0.01185113,-0.04515003,0.07676189,0.08984076,0,0,0,0,0,0,0,0,0,1,0,0,-0.03357875,0.998257,0.2785487,1.036935,0.1746336,-0.1280759,-0.04626942,-0.9751711,334.4113,0.7885827,-0.5783449,-0.2089361,0.08357875,0.001743019,0.02145135,0.08630531,-0.9131582,-0.1383226,0.3048028,-0.2326032,206.9008,-0.938911,-0.1422235,0.3133988,0.0004807385,1.07403,0.00114789,1.074031,0.1290049,-4.620715E-05,0.01588076,-0.9915168,345.0633,0.9925097,-0.0003554985,0.1221799,False
1773058575111,0.1388179,0.01129175,0.8921885,0.2423747,0.9245936,0.2854666,0.3876474,0.7162734,-0.5051643,240.6845,0.3307751,0.4491737,0.8299584,-0.04642614,1.003967,0.2712357,1.040997,-0.05547092,1.00725,0.2716872,1.044722,-0.06602323,0.9938586,0.2738107,1.032999,-0.01495654,-0.07162979,0.1146473,0.1360093,-0.01320041,-0.08116383,0.1176569,0.1435443,-0.0006878483,-0.08840647,0.1067585,0.138613,0,0,0,0,0,0,0,0,0,1,0,0,-0.0997486,0.5134317,0.2034663,0.5612133,0.4242117,0.0146097,0.8039546,0.4165189,130.77,0.4666143,0.01607003,0.8843149,0.006774858,0.5480318,0.2582587,0.6058732,0.03512374,0.521196,0.2647937,0.5856575,-0.02425101,0.5250455,0.2414619,0.5784156,0.03064875,-0.07582019,0.1028375,0.131391,0.007216302,-0.07440675,0.1373115,0.1563422,0.0118516,-0.0451925,0.07680782,0.08990141,0,0,0,0,0,0,0,0,0,1,0,0,-0.03326923,0.9963248,0.2752415,1.03418,0.1975693,-0.1407253,-0.04915222,-0.9688895,331.3415,0.7982798,-0.5686012,-0.1985998,0.08326923,0.003675163,0.02475855,0.08694974,-0.9139662,-0.1316254,0.3203467,-0.2114678,204.4168,-0.9351138,-0.134671,0.327759,0.0001135487,1.073851,0.001219864,1.073851,0.1280101,0.0008141111,0.01539793,-0.991653,345.1839,0.9928255,0.006314114,0.1194238,False
