Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773059023245,0,1,1,135,0.1719507,0.3942289,-0.9027827,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.1588618,0.3642201,-0.8340625,0.3826835,135,0.1719507,0.3942289,-0.9027827
Grab,1773059028595,4.555247,1,1,135,0.1719507,0.3942289,-0.9027827,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.1588618,0.3642201,-0.8340625,0.3826835,135,0.1719507,0.3942289,-0.9027827
Trial Start,1773059028617,0,1,1,135,0.1719507,0.3942289,-0.9027827,1,-1,-0.05000002,1,0.3,1.045227,0.03484822,-0.01821,0.02226774,0.9989786,5.179789,0.7712093,-0.4029967,0.4927966,0.1,0,0,0.1,0.1524416,0.4034198,-0.8261467,0.3626235,137.4772,0.1635752,0.4328837,-0.8864846
Release,1773059028704,0.0969285,1,1,135,0.1719507,0.3942289,-0.9027827,1,0,-0.0514874,0.9808065,0.2977709,1.026304,0.3374876,-0.1832736,0.04904151,0.922013,45.55567,0.8717031,-0.4733808,0.1266702,0.1014874,0.01919347,0.002229154,0.1033105,0.1523214,0.695228,-0.6357489,0.2987974,145.2292,0.159613,0.7285087,-0.6661823
Grab,1773059029427,0.8191585,1,1,135,0.1719507,0.3942289,-0.9027827,1,0,-0.0514874,0.9808065,0.2977709,1.026304,0.3374876,-0.1832736,0.04904151,0.922013,45.55567,0.8717031,-0.4733808,0.1266702,0.1014874,0.01919347,0.002229154,0.1033105,0.1523214,0.695228,-0.6357489,0.2987974,145.2292,0.159613,0.7285087,-0.6661823
Release,1773059029510,0.9026485,1,1,135,0.1719507,0.3942289,-0.9027827,1,0,-0.04986071,0.9726034,0.3089367,1.021707,0.2815129,-0.2676837,0.15397,0.9085093,49.39969,0.673694,-0.6405992,0.3684686,0.09986071,0.02739656,-0.008936733,0.1039355,0.2037831,0.6925947,-0.6716179,0.1664767,160.8339,0.206667,0.7023965,-0.6811228
Grab,1773059030385,1.777793,1,1,135,0.1719507,0.3942289,-0.9027827,1,0,-0.04986071,0.9726034,0.3089367,1.021707,0.2815129,-0.2676837,0.15397,0.9085093,49.39969,0.673694,-0.6405992,0.3684686,0.09986071,0.02739656,-0.008936733,0.1039355,0.2037831,0.6925947,-0.6716179,0.1664767,160.8339,0.206667,0.7023965,-0.6811228
Clutch Start,1773059030524,1.916928,1,1,135,0.1719507,0.3942289,-0.9027827,1,0,-0.04481364,0.962915,0.3152419,1.014195,0.588901,-0.4664341,0.1941456,0.6308267,101.7777,0.7589676,-0.6011339,0.2502122,0.09481364,0.037085,-0.01524186,0.1029429,0.193175,0.9302789,-0.3118571,0.003146589,179.6394,0.1931759,0.9302834,-0.3118586
Clutch End,1773059032094,3.486811,1,1,135,0.1719507,0.3942289,-0.9027827,1,0,0.05202468,0.9978915,0.2689822,1.034817,0.4697211,0.4047479,0.2975092,0.725968,86.90113,0.6830037,0.5885286,0.4325969,-0.002024684,0.002108455,0.03101784,0.03115528,-0.5103698,0.5485613,-0.6125717,0.2517127,150.8422,-0.5273494,0.5668115,-0.6329514
Release,1773059032094,3.486811,1,1,135,0.1719507,0.3942289,-0.9027827,1,0,0.05202468,0.9978915,0.2689822,1.034817,0.4697211,0.4047479,0.2975092,0.725968,86.90113,0.6830037,0.5885286,0.4325969,-0.002024684,0.002108455,0.03101784,0.03115528,-0.5103698,0.5485613,-0.6125717,0.2517127,150.8422,-0.5273494,0.5668115,-0.6329514
