Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Thumb Tip Euro Position X,Right Thumb Tip Euro Position Y,Right Thumb Tip Euro Position Z,Right Thumb Tip Euro Position Magnitude,Right Index Tip Euro Position X,Right Index Tip Euro Position Y,Right Index Tip Euro Position Z,Right Index Tip Euro Position Magnitude,Right Middle Tip Euro Position X,Right Middle Tip Euro Position Y,Right Middle Tip Euro Position Z,Right Middle Tip Euro Position Magnitude,Right Triangle Local Position X,Right Triangle Local Position Y,Right Triangle Local Position Z,Right Triangle Local Position Magnitude,Right Triangle Local Rotation X,Right Triangle Local Rotation Y,Right Triangle Local Rotation Z,Right Triangle Local Rotation W,Right Triangle Local Rotation Angle,Right Triangle Local Rotation Axis X,Right Triangle Local Rotation Axis Y,Right Triangle Local Rotation Axis Z,Right Triangle Area,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Right Angle Scale Factor,Right Is Grabbed,Right Is Rotating,Right Is Clutching,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Thumb Tip Euro Position X,Left Thumb Tip Euro Position Y,Left Thumb Tip Euro Position Z,Left Thumb Tip Euro Position Magnitude,Left Index Tip Euro Position X,Left Index Tip Euro Position Y,Left Index Tip Euro Position Z,Left Index Tip Euro Position Magnitude,Left Middle Tip Euro Position X,Left Middle Tip Euro Position Y,Left Middle Tip Euro Position Z,Left Middle Tip Euro Position Magnitude,Left Triangle Local Position X,Left Triangle Local Position Y,Left Triangle Local Position Z,Left Triangle Local Position Magnitude,Left Triangle Local Rotation X,Left Triangle Local Rotation Y,Left Triangle Local Rotation Z,Left Triangle Local Rotation W,Left Triangle Local Rotation Angle,Left Triangle Local Rotation Axis X,Left Triangle Local Rotation Axis Y,Left Triangle Local Rotation Axis Z,Left Triangle Area,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Left Angle Scale Factor,Left Is Grabbed,Left Is Rotating,Left Is Clutching,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773059173050,0.0140572,0.02429073,0.9534383,0.2129645,0.9772352,0.4964226,0.2108615,0.1468876,-0.829172,292.0276,0.8880648,0.3772163,0.2627714,-0.05188347,1.010391,0.302644,1.056018,-0.04931422,1.00881,0.3104304,1.056644,-0.03281939,1.008279,0.3071818,1.054545,-0.02451335,-0.07921973,0.1073329,0.1356356,-0.01814019,-0.08492391,0.108716,0.1391414,-0.004937314,-0.07486127,0.1033303,0.127694,-0.03048704,-0.07956623,0.1062854,0.1362235,-0.02005539,-0.08163472,0.1245266,0.1502442,-0.003962042,-0.07515848,0.123771,0.1448577,-0.0188647,-0.07812487,0.1154116,0.1406386,0.04727079,0.4745361,0.2293232,0.8485233,63.89715,0.08933212,0.896776,0.433374,1.692826,-0.02445337,-0.07293855,0.09249207,0.1203029,-0.5132712,-0.2902582,-0.1508428,-0.7934415,285.0166,-0.8432993,-0.4768912,-0.2478331,1.3,True,True,False,-0.05509093,0.5449184,0.1746748,0.574876,-0.242007,-0.1168865,-0.4700203,-0.8407444,294.4376,-0.4469756,-0.2158839,-0.8681055,0.04834222,0.5137334,0.2437597,0.5706819,0.03894305,0.5073662,0.2257273,0.5566775,0.02578485,0.5010806,0.2154304,0.5460374,0.03178491,-0.05597198,0.116446,0.1330519,0.02043374,-0.06139928,0.09826585,0.1176588,0.007332345,-0.05977933,0.08527336,0.1043977,0.03169653,-0.05607879,0.1163654,0.1330053,0.02039821,-0.06157079,0.09844889,0.117895,0.007337503,-0.05978638,0.08535952,0.1044725,0.02052161,-0.05791639,0.1020131,0.1190887,0.4443068,0.8330911,-0.1970212,-0.2640706,210.6235,0.4606586,0.8637514,-0.2042722,0.8161777,0,0,0,0,0,0,0,0,0,1,0,0,0.3687159,False,True,False,-0.05000001,1,0.3,1.045227,0.03742203,0.0421937,-0.005775551,0.9983917,6.499965,0.6600856,0.7442528,-0.1018747,0.1,0,-2.980232E-08,0.1,-0.732357,-0.5781673,0.1417132,0.3305954,141.3902,-0.7759888,-0.6126128,0.150156,-0.1076187,1.057199,0.0157049,1.062778,0.1200214,-0.07868548,-0.07968003,-0.9864353,341.1042,0.7311663,-0.4793494,-0.4854081,False
1773059173064,0.0279813,0.02543923,0.9522815,0.2114768,0.9758123,0.5047363,0.2138908,0.1478157,-0.8231905,290.8109,0.8889877,0.376724,0.2603465,-0.0507648,1.011359,0.2996743,1.056044,-0.0480272,1.008607,0.3064998,1.055243,-0.03044423,1.007087,0.3009028,1.05152,-0.02417975,-0.07918594,0.1073712,0.1355863,-0.01809429,-0.08459442,0.1070669,0.1376479,-0.005185288,-0.07246172,0.09963708,0.1233091,-0.0291616,-0.07948655,0.1065114,0.1360632,-0.01964585,-0.08226524,0.12066,0.1473511,-0.004218005,-0.07459047,0.1183537,0.1399612,-0.01707307,-0.07777741,0.1136262,0.1387506,0.07241877,0.5325481,0.2724487,0.7980725,74.10714,0.1201849,0.8838072,0.452151,1.428135,-0.02272662,-0.07260368,0.09077139,0.1184366,-0.5277949,-0.3370636,-0.1508593,-0.7648938,279.7951,-0.819358,-0.5232633,-0.2341966,1.3,True,True,False,-0.05594564,0.5442601,0.1748797,0.574397,-0.2418607,-0.1174522,-0.4705154,-0.8404307,294.3713,-0.4463041,-0.2167339,-0.8682392,0.04754185,0.5132248,0.2439092,0.5702207,0.03813588,0.5069041,0.2258974,0.5562695,0.02498662,0.500582,0.2155742,0.5455995,0.03173565,-0.05596315,0.1164372,0.1330287,0.02044333,-0.06134956,0.09824388,0.1176161,0.007333393,-0.05976066,0.08522438,0.1043471,0.03170468,-0.05605472,0.1163803,0.1330102,0.0204076,-0.06152459,0.09840614,0.1178368,0.007336648,-0.05978103,0.08533143,0.1044464,0.02053906,-0.05789708,0.1020244,0.119092,0.4401893,0.8353567,-0.1957643,-0.2647431,210.7034,0.4564769,0.866266,-0.2030079,0.8140236,0,0,0,0,0,0,0,0,0,1,0,0,0.3679925,False,True,False,-0.04882389,1.002306,0.2950557,1.045973,0.04253617,0.07285628,-0.02733366,0.9960601,10.17547,0.4796525,0.8215526,-0.3082238,0.09882389,-0.002306342,0.004944354,0.09897438,-0.7407566,-0.5737038,0.1689055,0.3059653,144.3675,-0.7780707,-0.602603,0.1774137,-0.1073773,1.057175,0.0158621,1.062732,0.1200429,-0.07866869,-0.07996555,-0.9864109,341.0872,0.7306458,-0.4788199,-0.4867133,False
1773059173079,0.0419303,0.02629383,0.9509672,0.2100726,0.9742486,0.5130121,0.2167683,0.1538053,-0.8161949,289.4114,0.8879071,0.3751766,0.266202,-0.05001898,1.012681,0.2963265,1.056331,-0.04738725,1.009715,0.3029767,1.055255,-0.02908677,1.006862,0.2961046,1.049902,-0.02403754,-0.07917051,0.1073942,0.1355702,-0.01807401,-0.08450816,0.1066956,0.1373035,-0.005332084,-0.07128382,0.09758963,0.1209692,-0.02807876,-0.07942031,0.1066952,0.1359407,-0.01931674,-0.08274385,0.1175387,0.1450346,-0.004451592,-0.07389603,0.1136272,0.1356156,-0.01548636,-0.07730618,0.111668,0.1366961,0.09986321,0.5938678,0.3081533,0.7364713,85.13663,0.1476243,0.8778939,0.4555322,1.236896,-0.02119739,-0.07214952,0.08888408,0.1164271,-0.5403798,-0.3831794,-0.1452759,-0.7348866,274.5953,-0.7967969,-0.5650029,-0.2142111,1.299999,True,True,False,-0.0570921,0.5432644,0.1751992,0.5736641,-0.2414718,-0.1190942,-0.4721229,-0.8394093,294.1556,-0.4442905,-0.2191246,-0.8686717,0.04662718,0.5127546,0.2440684,0.5697901,0.03721135,0.5064416,0.2261014,0.5558683,0.02407635,0.5000345,0.2157675,0.5451328,0.03168267,-0.05595727,0.1164249,0.1330028,0.02045363,-0.06129564,0.09822333,0.1175727,0.007334688,-0.0597388,0.08517066,0.1042908,0.03170009,-0.05603441,0.1163896,0.1330086,0.02041719,-0.06147671,0.09836796,0.1177816,0.00733624,-0.05977223,0.08529795,0.104414,0.02054338,-0.05787919,0.1020221,0.1190821,0.4361905,0.8375848,-0.1944085,-0.2653206,210.772,0.4524045,0.8687195,-0.201635,0.8115015,0,0,0,0,0,0,0,0,0,1,0,0,0.3675911,False,True,False,-0.04598028,1.001637,0.2920408,1.044355,0.06596198,0.1119916,-0.04611512,0.9904445,15.85404,0.4782918,0.8120534,-0.3343818,0.09598029,-0.001636744,0.007959247,0.09632364,-0.7511294,-0.5750259,0.1904248,0.262466,149.5671,-0.7784198,-0.5959181,0.1973434,-0.1070601,1.057144,0.01605029,1.062672,0.1199544,-0.07860815,-0.08039098,-0.9863919,341.0739,0.7296004,-0.4781195,-0.4889633,False
1773059173092,0.0557961,0.02709699,0.9496368,0.2089583,0.9727322,0.52158,0.2196705,0.1600482,-0.8087545,287.9489,0.8868201,0.3734963,0.272123,-0.04922765,1.014071,0.293153,1.056741,-0.04662515,1.010583,0.2994241,1.055039,-0.0275179,1.006319,0.2911417,1.04795,-0.02385508,-0.07915224,0.1074179,0.1355461,-0.01804781,-0.08433084,0.1059404,0.1366044,-0.005508222,-0.06980002,0.0950738,0.1180737,-0.02718774,-0.07936443,0.1068451,0.1358446,-0.0190521,-0.08308076,0.1149453,0.1431007,-0.004672197,-0.07304395,0.1093832,0.1316128,-0.0140859,-0.07665307,0.1094791,0.1343867,0.130949,0.654907,0.3377502,0.66323,96.90665,0.1749682,0.8750578,0.4512869,1.096405,-0.01984765,-0.0715201,0.08677445,0.1141878,-0.5519134,-0.4276021,-0.1359449,-0.7028993,269.3202,-0.7759334,-0.6011645,-0.1911245,1.299997,True,True,False,-0.05656179,0.5431883,0.1752928,0.5735681,-0.2417246,-0.1183488,-0.4715416,-0.8397686,294.2314,-0.4452105,-0.2179758,-0.8684896,0.04707554,0.5124888,0.2442003,0.5696444,0.03756293,0.5062297,0.2261681,0.5557261,0.02445661,0.4998084,0.2158792,0.5449866,0.03173802,-0.05596867,0.1164038,0.1330024,0.02047251,-0.06124811,0.09810431,0.1174517,0.007332569,-0.05970303,0.0851335,0.1042398,0.03170796,-0.05602077,0.1163926,0.1330073,0.02042866,-0.06142915,0.09831316,0.117713,0.007335479,-0.05975788,0.08526386,0.1043779,0.02056036,-0.05786147,0.1020236,0.1190777,0.4316623,0.8400037,-0.1928273,-0.2662313,210.8803,0.4478247,0.8714553,-0.2000472,0.8095361,0,0,0,0,0,0,0,0,0,1,0,0,0.3703311,False,True,False,-0.04349499,1.001177,0.2885822,1.042846,0.09149336,0.144864,-0.07389449,0.9824373,21.50804,0.4903367,0.7763637,-0.3960198,0.09349499,-0.001177073,0.01141781,0.09419695,-0.7664573,-0.5663895,0.2093736,0.2188808,154.7134,-0.7855045,-0.5804648,0.2145768,-0.1067523,1.057138,0.01623954,1.062639,0.1198299,-0.07916044,-0.08021983,-0.9863768,341.0634,0.7284425,-0.481214,-0.487654,False
1773059173106,0.06941859,0.02842047,0.9471182,0.2081579,0.9701394,0.5307025,0.2231171,0.1696416,-0.799872,286.2358,0.8842528,0.3717561,0.2826557,-0.0475504,1.014605,0.2901924,1.056359,-0.04559952,1.011383,0.2960971,1.054821,-0.02643257,1.006479,0.2881915,1.04726,-0.02315415,-0.07933049,0.1073882,0.1355053,-0.01804255,-0.0843069,0.1060046,0.1366388,-0.005508821,-0.06978621,0.09501691,0.1180198,-0.0263465,-0.07935745,0.1069562,0.1357622,-0.01884438,-0.08333728,0.1129688,0.1416409,-0.004844476,-0.07237811,0.1061246,0.1285477,-0.01293832,-0.07603906,0.1074533,0.1322708,0.164656,0.7009046,0.3595371,0.5935943,107.175,0.2046015,0.8709438,0.4467607,0.9859758,-0.01874164,-0.07092828,0.08482208,0.1121466,-0.5653456,-0.4682707,-0.1244544,-0.6675463,263.7559,-0.7592931,-0.6289157,-0.1671498,1.299914,True,True,False,-0.05693193,0.5428761,0.1754148,0.5733463,-0.2417473,-0.1186813,-0.4714419,-0.8397712,294.2319,-0.4452555,-0.2185898,-0.8683122,0.0467282,0.5121202,0.2442429,0.5693024,0.03718422,0.5059683,0.226227,0.5554865,0.0240979,0.4995048,0.2159759,0.5447305,0.03165988,-0.05600053,0.116397,0.1329912,0.0204828,-0.061209,0.09806185,0.1173977,0.007323559,-0.05968722,0.08513926,0.1042348,0.03169812,-0.05601664,0.1163935,0.133004,0.02043973,-0.06138398,0.09826165,0.1176483,0.007333043,-0.05974344,0.0852384,0.1043486,0.02056415,-0.05784945,0.1020237,0.1190726,0.426447,0.8427715,-0.1908999,-0.2672759,211.0045,0.4425468,0.874589,-0.198107,0.8078359,0,0,0,0,0,0,0,0,0,1,0,0,0.369667,False,True,False,-0.04106746,1.000594,0.2850886,1.041225,0.118318,0.1739922,-0.1043413,0.9720291,27.1668,0.5037799,0.7408322,-0.4442692,0.09106746,-0.0005940199,0.01491141,0.0922821,-0.7825357,-0.5532146,0.2256021,0.1752013,159.8193,-0.7948296,-0.5619057,0.2291464,-0.1060886,1.056985,0.01642291,1.062423,0.1189127,-0.07954317,-0.07999923,-0.9864749,341.1319,0.7254655,-0.4852791,-0.4880615,False
1773059173120,0.0835766,0.02944145,0.9447553,0.2068945,0.9675922,0.5395457,0.2316458,0.1763484,-0.7900202,284.3748,0.8800564,0.377839,0.287643,-0.04683273,1.014756,0.2863812,1.055432,-0.04590464,1.011888,0.2915876,1.054062,-0.0268057,1.006689,0.2845446,1.046474,-0.02192659,-0.07957883,0.1073635,0.1354271,-0.01803638,-0.08429182,0.1060915,0.1366961,-0.005489568,-0.07010201,0.09530129,0.1184346,-0.02539372,-0.07940433,0.1070421,0.1356757,-0.01867294,-0.08354294,0.1114021,0.1404939,-0.004981429,-0.0718977,0.1035922,0.126196,-0.01191799,-0.07549013,0.1056305,0.1303787,0.2003463,0.7336175,0.3767678,0.5288787,116.1405,0.2360633,0.8644041,0.4439366,0.8822049,-0.01775828,-0.07039923,0.08306523,0.1103233,-0.5810848,-0.5043727,-0.1119428,-0.6288223,257.9266,-0.7473288,-0.6486699,-0.1439688,1.29808,True,True,False,-0.05681125,0.5429083,0.1753804,0.5733544,-0.2416689,-0.1184769,-0.4713549,-0.8398714,294.2531,-0.4452384,-0.2182758,-0.8684,0.04682288,0.5121661,0.2442641,0.5693606,0.03723599,0.5060068,0.2262092,0.5555177,0.02418146,0.4995087,0.215982,0.5447403,0.03170726,-0.05598053,0.1164004,0.1329971,0.02049372,-0.06117596,0.09801576,0.1173439,0.007317564,-0.0596788,0.08514408,0.1042335,0.03170005,-0.05600902,0.1163949,0.1330026,0.02045111,-0.06133999,0.0982097,0.117584,0.007329782,-0.05972981,0.08521852,0.1043244,0.02057695,-0.05783557,0.1020306,0.119074,0.421374,0.8453651,-0.1891431,-0.2683778,211.1355,0.4374214,0.8775596,-0.1963464,0.8064811,0,0,0,0,0,0,0,0,0,1,0,0,0.3689627,False,True,False,-0.03842494,0.9993073,0.2815394,1.038921,0.149606,0.1957578,-0.1360703,0.9595737,32.6944,0.5315405,0.6955151,-0.483449,0.08842494,0.0006926656,0.0184606,0.09033407,-0.8005254,-0.5357277,0.2342334,0.1314906,164.8885,-0.8075369,-0.5404199,0.236285,-0.1056211,1.056764,0.01655003,1.062159,0.1181557,-0.08042939,-0.07981225,-0.9865091,341.1559,0.7217553,-0.4913036,-0.4875338,False
1773059173134,0.0972065,0.02949426,0.9420369,0.2054374,0.9646284,0.552978,0.2331033,0.1817089,-0.7790122,282.3405,0.8819305,0.3717704,0.2898028,-0.04567174,1.01568,0.2825902,1.055248,-0.04530577,1.013054,0.2873822,1.054001,-0.026587,1.007485,0.2811271,1.04631,-0.02113767,-0.0797393,0.1073516,0.1353866,-0.01795035,-0.08427501,0.1061023,0.1366828,-0.005436571,-0.07059021,0.09566866,0.1190169,-0.02450122,-0.07947316,0.1071055,0.1356019,-0.01852414,-0.08369585,0.1102312,0.139639,-0.005075179,-0.07162961,0.1017933,0.124573,-0.0111237,-0.0750816,0.1041717,0.1288903,0.2370932,0.7527828,0.3903541,0.4740555,123.4043,0.2692726,0.8549542,0.4433349,0.7933084,-0.01699274,-0.0700055,0.08165926,0.1088933,-0.6003741,-0.5336062,-0.09900408,-0.5873786,251.9424,-0.7418324,-0.6593328,-0.1223311,1.278602,True,True,False,-0.0567733,0.5427372,0.1754355,0.5732055,-0.2412647,-0.119758,-0.4699828,-0.8405745,294.4017,-0.4453879,-0.2210797,-0.8676139,0.04695516,0.5120485,0.2442503,0.5692597,0.03727834,0.5057807,0.2261494,0.5552903,0.02421451,0.4992503,0.2159701,0.5445001,0.03181189,-0.0558881,0.1164475,0.1330245,0.02050284,-0.06114029,0.09799888,0.1173128,0.007310943,-0.05968031,0.08515207,0.1042404,0.03172294,-0.05598428,0.1164057,0.133007,0.02046169,-0.06129901,0.09816648,0.1175283,0.007325931,-0.05971969,0.08520493,0.1043072,0.02060439,-0.05781379,0.1020505,0.1190852,0.4174061,0.8472975,-0.1880508,-0.2692509,211.2394,0.4334119,0.879788,-0.1952618,0.805954,0,0,0,0,0,0,0,0,0,1,0,0,0.3675752,False,True,False,-0.03711556,0.9978316,0.277068,1.036249,0.1828047,0.2107255,-0.1599809,0.9468809,37.51756,0.5684499,0.6552724,-0.497477,0.08711556,0.002168417,0.02293205,0.09010939,-0.8155652,-0.5213953,0.2338631,0.09115127,169.5403,-0.8189745,-0.5235749,0.2348408,-0.1050618,1.05663,0.01668421,1.061971,0.1171808,-0.08125477,-0.07964828,-0.9865711,341.1992,0.7174371,-0.4974809,-0.4876452,False
1773059173147,0.1113322,0.02960586,0.9394896,0.2042132,0.9618837,0.5659899,0.2347934,0.187351,-0.7677416,280.303,0.8833109,0.3664298,0.292389,-0.04448422,1.016663,0.2788569,1.055151,-0.04462282,1.014249,0.2832509,1.054003,-0.02619182,1.008275,0.2776106,1.046123,-0.02040785,-0.07989104,0.107335,0.1353509,-0.01786033,-0.08425597,0.1060942,0.136653,-0.005402958,-0.07089264,0.09586609,0.1193535,-0.02361665,-0.07956149,0.1071538,0.1355349,-0.01838352,-0.08381604,0.1092936,0.1389538,-0.00514461,-0.07147408,0.1004139,0.1233611,-0.01045421,-0.0747569,0.102944,0.1276532,0.2756366,0.7632334,0.4022717,0.4238831,129.84,0.3043297,0.8426843,0.4441472,0.7131571,-0.01634752,-0.06969256,0.08047606,0.1077065,-0.6208016,-0.5551495,-0.08692022,-0.5466805,246.2792,-0.741396,-0.6629906,-0.103805,1.187414,True,True,False,-0.05673026,0.5425406,0.1754996,0.5730347,-0.2403523,-0.1227109,-0.4669727,-0.8420863,294.7222,-0.4456393,-0.2275193,-0.865818,0.04717715,0.511922,0.2441407,0.5691173,0.03738013,0.505446,0.2259466,0.5549098,0.02426148,0.4988838,0.2158722,0.5441272,0.03195467,-0.05568203,0.1165487,0.1330608,0.02051183,-0.06110476,0.09798774,0.1172865,0.007303777,-0.05968454,0.08516458,0.1042526,0.03177175,-0.05592064,0.1164358,0.1330182,0.02047224,-0.06125801,0.09812879,0.1174773,0.007321272,-0.05971229,0.08519644,0.1042957,0.020654,-0.05777155,0.1020942,0.1191107,0.4146118,0.8485573,-0.1878581,-0.2697352,211.297,0.4305711,0.8812202,-0.1950892,0.8079201,0,0,0,0,0,0,0,0,0,1,0,0,0.37287,False,True,False,-0.03564292,0.997169,0.2730788,1.034499,0.2167742,0.2244196,-0.1847298,0.9319441,42.52016,0.5978295,0.6189145,-0.5094561,0.08564292,0.002831042,0.02692118,0.08981912,-0.8299183,-0.5048097,0.2321692,0.05000387,174.2676,-0.8309577,-0.505442,0.2324599,-0.1044635,1.056685,0.01688608,1.06197,0.1161231,-0.0821019,-0.07915092,-0.986666,341.266,0.7134712,-0.5044417,-0.4863106,False
1773059173161,0.1252879,0.0305002,0.9371387,0.2013723,0.9590151,0.5697697,0.2357878,0.1885848,-0.7643313,279.6951,0.8836054,0.3656625,0.2924595,-0.04259821,1.015127,0.2760183,1.052845,-0.0436919,1.013078,0.2794893,1.051831,-0.02561879,1.007237,0.2745724,1.044305,-0.01904199,-0.08019025,0.1072663,0.1352743,-0.01785616,-0.08423332,0.1062532,0.1367619,-0.005339254,-0.07149335,0.0964848,0.1202045,-0.02263523,-0.07969315,0.1071773,0.1354634,-0.01827287,-0.08390463,0.108613,0.1384582,-0.005185431,-0.07147811,0.09951184,0.122632,-0.009820395,-0.0745457,0.1020217,0.1267357,0.311313,0.7666524,0.4127556,0.3807375,135.2412,0.3366699,0.8290975,0.4463753,0.6283587,-0.01506118,-0.07258702,0.08290215,0.1112137,-0.6229273,-0.5563563,-0.0893714,-0.5426253,245.7251,-0.7416022,-0.6623486,-0.1063977,0.9673617,True,False,True,-0.05764894,0.5452386,0.1752584,0.5756075,-0.2404439,-0.1226226,-0.4672742,-0.8419058,294.6838,-0.4455763,-0.2272369,-0.8659246,0.04624786,0.5146853,0.2439419,0.5714433,0.03643679,0.5082139,0.2256863,0.5572641,0.02334652,0.5016271,0.2156118,0.5465009,0.03197084,-0.05563468,0.1165651,0.1330593,0.02051829,-0.06107092,0.09794287,0.1172325,0.007304832,-0.05967489,0.08514023,0.1042272,0.03181328,-0.055861,0.1164628,0.1330267,0.02048184,-0.0612189,0.09808996,0.1174261,0.007317848,-0.0597045,0.08518473,0.1042814,0.02069885,-0.05773148,0.1021328,0.1191322,0.4118629,0.8498167,-0.1875923,-0.270166,211.3483,0.4277701,0.8826387,-0.1948375,0.8098891,0,0,0,0,0,0,0,0,0,1,0,0,0.3711734,False,True,False,-0.03430955,0.9967179,0.2693318,1.033036,0.2507991,0.2307425,-0.2041378,0.9177067,46.81382,0.6313245,0.5808371,-0.5138663,0.08430955,0.00328207,0.03066826,0.08977424,-0.8427551,-0.4896569,0.2231733,0.01392441,178.4043,-0.8428367,-0.4897044,0.2231949,-0.1039791,1.056703,0.01709297,1.061944,0.1153989,-0.08341544,-0.07809243,-0.9867252,341.3076,0.7105888,-0.5136449,-0.4808675,False
1773059173175,0.1390745,0.03130317,0.9347314,0.1993756,0.9562705,0.5762932,0.2396902,0.1862758,-0.7587729,278.7123,0.88476,0.3679869,0.2859819,-0.04156892,1.013804,0.2730026,1.050741,-0.04336321,1.011995,0.2758034,1.049801,-0.02543471,1.006279,0.2713315,1.042528,-0.01801294,-0.08039653,0.1072201,0.1352191,-0.0178385,-0.08421888,0.1063311,0.1368113,-0.005310535,-0.07175757,0.09681693,0.120627,-0.02165094,-0.07983906,0.1071861,0.1353954,-0.01818262,-0.08397063,0.1081087,0.1380912,-0.005211405,-0.07153591,0.09890191,0.1221725,-0.00925279,-0.07438501,0.1013051,0.1260217,0.3469804,0.7646653,0.4232353,0.3402404,140.217,0.3689952,0.8131809,0.4500883,0.5474377,-0.01451413,-0.07243216,0.08221158,0.1105252,-0.6229274,-0.5563564,-0.08937142,-0.5426254,245.7251,-0.7416023,-0.6623487,-0.1063977,1.298756,True,False,True,-0.0572239,0.5445761,0.175252,0.5749356,-0.2404141,-0.1223292,-0.467233,-0.8419798,294.6996,-0.4456165,-0.2267418,-0.8660337,0.04688682,0.5143886,0.244095,0.5712936,0.03674045,0.5075951,0.2256908,0.5567217,0.02373385,0.5009251,0.2156292,0.5458802,0.03247236,-0.05558098,0.1166563,0.1332381,0.02053931,-0.06098717,0.09785349,0.1171179,0.007292954,-0.05968169,0.08513183,0.1042234,0.03194952,-0.05580314,0.1165027,0.1330701,0.0204937,-0.06117093,0.09804104,0.1173623,0.007312712,-0.05969979,0.08517382,0.1042695,0.02081175,-0.0576893,0.1022032,0.1191917,0.4098664,0.8503965,-0.1879031,-0.2711602,211.4666,0.4258201,0.8834974,-0.1952171,0.8083757,0,0,0,0,0,0,0,0,0,1,0,0,0.3918687,False,True,False,-0.03430956,0.9967179,0.2693318,1.033036,0.2507991,0.2307425,-0.2041378,0.9177067,46.81382,0.6313246,0.5808371,-0.5138663,0.08430956,0.00328207,0.03066826,0.08977425,-0.8427551,-0.4896569,0.2231733,0.01392438,178.4043,-0.8428367,-0.4897044,0.2231949,-0.1033534,1.056607,0.01725392,1.06179,0.1146291,-0.08474884,-0.0771576,-0.9867748,341.3427,0.7071626,-0.5228271,-0.4759958,False
