Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773054469632,0,1,1,135,-0.2522464,-0.939261,-0.2327243,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.2330453,-0.867764,-0.2150092,0.3826834,135,-0.2522465,-0.939261,-0.2327243
Trial Start,1773054473435,0,1,1,135,-0.2522464,-0.939261,-0.2327243,1,-1,-0.04987976,0.9994128,0.3006183,1.044837,-0.003497456,0.001094798,-0.00186486,-0.9999916,359.5302,-0.8530759,0.2670356,-0.4548641,0.09987976,0.0005871654,-0.0006182492,0.09988339,0.2325282,0.8670204,0.2190112,-0.3824142,224.9666,0.2516563,0.9383429,0.2370274
On Target,1773054477434,4.003274,1,1,135,-0.2522464,-0.939261,-0.2327243,1,-1,0.05386032,1.000082,0.2897986,1.042616,-0.1762404,-0.8647391,-0.2774121,0.3797477,135.3639,-0.1905116,-0.934762,-0.2998757,-0.003860321,-8.237362E-05,0.01020139,0.01090767,-0.07585551,0.02814617,-0.02407664,0.9964308,9.684838,-0.8985971,0.3334242,-0.2852159
Off Target,1773054477809,4.378237,1,1,135,-0.2522464,-0.939261,-0.2327243,1,-1,0.05326047,0.9990532,0.2973043,1.043712,-0.1942725,-0.8529495,-0.2938569,0.3852058,134.687,-0.210518,-0.9242752,-0.3184299,-0.003260467,0.0009467602,0.00269568,0.004335169,-0.08703198,0.01885354,-0.0005618644,0.996027,10.21812,-0.9773188,0.2117143,-0.006309413
On Target,1773054481615,8.183848,1,1,135,-0.2522464,-0.939261,-0.2327243,1,-1,0.04548995,0.9949092,0.2856227,1.036095,-0.2404198,-0.8483831,-0.2948751,0.3680939,136.8038,-0.2585748,-0.9124474,-0.3171421,0.004510049,0.005090833,0.01437733,0.01590486,-0.06724965,0.0222703,0.04461617,0.9964893,9.60481,-0.8032725,0.2660106,0.5329239
Off Target,1773054481740,8.308969,1,1,135,-0.2522464,-0.939261,-0.2327243,1,-1,0.05472313,1.004021,0.2901775,1.046545,-0.3107986,-0.8339651,-0.2474178,0.3830026,134.9604,-0.3364542,-0.9028065,-0.2678415,-0.004723132,-0.00402081,0.009822518,0.01161709,-0.00570957,-0.02237625,0.08768182,0.9958809,10.40457,-0.06296935,-0.2467818,0.9670198
On Target,1773054482044,8.614397,1,1,135,-0.2522464,-0.939261,-0.2327243,1,-1,0.05179832,1.005761,0.2951444,1.049452,-0.3135847,-0.8392752,-0.2267994,0.381895,135.0978,-0.3393019,-0.9081043,-0.2453993,-0.001798317,-0.005761385,0.004855603,0.007746249,0.01464837,-0.0247871,0.08120979,0.9962811,9.885686,0.1700098,-0.2876804,0.9425253
Trial End,1773054483032,9.600702,1,2,135,-0.2522464,-0.939261,-0.2327243,1,-1,0.04967323,0.9962147,0.2997156,1.041509,-0.2552255,-0.8393312,-0.2412233,0.4149632,130.966,-0.2805175,-0.922506,-0.2651277,0.0003267713,0.003785312,0.0002843738,0.003810018,-0.02789564,-0.03755192,0.02896456,0.9984853,6.307982,-0.507009,-0.6825139,0.5264369
Trial Load,1773054483033,9.600702,1,2,135,0.07906447,0.03670194,0.9961936,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.07304604,0.03390817,0.9203629,0.3826834,135,0.07906447,0.03670194,0.9961937
Trial Start,1773054485558,0,1,2,135,0.07906447,0.03670194,0.9961936,1,-1,-0.05183799,1.000505,0.3016168,1.046265,0.001669177,0.0008582415,0.0004438483,-0.9999982,359.7797,0.8682933,0.4464508,0.2308866,0.101838,-0.0005053282,-0.001616806,0.1018521,-0.07290983,-0.03574037,-0.9205372,-0.3821232,224.9305,-0.07889724,-0.03867539,-0.9961323
On Target,1773054496128,10.58297,1,2,135,0.07906447,0.03670194,0.9961936,1,-1,0.04833589,0.9994028,0.2992201,1.044354,-0.01625424,-0.08803956,-0.9068919,-0.4117427,228.6287,-0.01783632,-0.09660874,-0.9951627,0.001664106,0.0005972385,0.0007799566,0.001932427,-0.07413325,-0.03155522,-0.0260204,-0.9964094,350.2863,-0.8755915,-0.3727003,-0.3073283
Trial End,1773054497127,11.58268,1,3,135,0.07906447,0.03670194,0.9961936,1,-1,0.05318543,1.000966,0.3043359,1.04756,-0.06121167,-0.1103159,-0.9154872,-0.382056,224.9222,-0.06623642,-0.1193715,-0.9906378,-0.003185432,-0.0009661913,-0.00433588,0.005466294,-0.07497117,0.01872549,0.004694197,-0.9969989,351.1199,-0.9684235,0.2418823,0.06063626
Trial Load,1773054497128,11.58268,1,3,135,0.6821249,-0.1991957,-0.7035813,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.6302013,-0.1840328,-0.6500244,0.3826834,135,0.682125,-0.1991957,-0.7035814
