Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,-0.2522464,-0.939261,-0.2327243,1,9.600702,False,0.0003267713,0.003785312,0.0002843738,0.003810018,-0.02789564,-0.03755192,0.02896456,0.9984853,6.307982,-0.507009,-0.6825139,0.5264369,0.5978774,0.6966017,0.8494032,1.818704,1025.214,0,0,0.1395575,0.1466825,0.1672123,0.5659623,245.2761,0,0,1.046834,618.0963,0.264272,78.86333
1,3,135,0.07906447,0.03670194,0.9961936,1,11.58268,False,-0.003185432,-0.0009661913,-0.00433588,0.005466294,-0.07497117,0.01872549,0.004694197,-0.9969989,351.1199,-0.9684235,0.2418823,0.06063626,0.7417681,0.936611,1.066395,1.491369,1158.985,0,0,0.1218175,0.149444,0.1634257,0.5748446,243.8253,0,0,0.9455851,664.9721,0.4134358,99.85965
1,4,135,0.6821249,-0.1991957,-0.7035813,1,10.1799,False,0.002531234,0.000872016,-0.001922011,0.003295707,0.04081373,0.05753948,0.02669711,0.9971513,8.651531,0.5411009,0.7628479,0.3539454,0.6768536,0.7970236,0.9851544,1.439374,825.2909,0,0,0.127819,0.1445165,0.1456847,0.7499453,256.8844,0,0,1.044726,511.3255,0.2763624,75.83911
1,5,135,-0.8516838,-0.4469704,0.2735913,1,4.514474,False,-0.003624495,0.005604565,-0.007251352,0.009855467,0.004191593,-0.02122303,0.009674539,0.9997193,2.715365,0.1769036,-0.8957051,0.4083079,0.3007593,0.4797099,0.4655064,0.7559292,452.7996,0,0,0.1655907,0.1450899,0.13692,1.765279,378.2397,0,0,0.4315018,252.5402,0.1385572,36.42135
1,6,135,0.05748124,0.4430035,0.8946753,1,7.304871,False,0.003252577,-0.003180981,0.006661862,0.008067112,-0.03361774,0.008630921,-0.02005455,-0.9991964,355.4053,-0.8386418,0.2153105,-0.5002891,0.2975555,0.3426082,0.4159071,0.7692965,496.9093,0,0,0.06551611,0.07090238,0.07418304,0.3575486,147.6569,0,0,0.3917101,318.0247,0.0791029,24.23202
1,7,135,-0.3236817,-0.4923963,0.8079455,0.9999999,5.208918,False,-0.007632907,0.01162183,-0.0004214942,0.01391064,0.02558997,0.04069844,0.04337263,-0.9979017,352.5752,0.3952218,0.628563,0.6698642,0.3099646,0.4319652,0.5802,0.9284657,587.7344,0,0,0.04474192,0.04256819,0.03956568,0.2647834,98.86696,0,0,0.5581685,380.4521,0.1202689,38.24501
1,8,135,-0.311688,-0.5761447,0.7555845,1,17.08346,False,0.001181975,0.0005533099,0.004182756,0.004381628,0.02393714,0.009927682,-0.03056008,-0.999197,355.4075,0.5974337,0.2477795,-0.7627323,1.06685,1.278563,1.738661,3.337239,1712.051,0,0,0.1151759,0.1547771,0.1516461,0.799222,322.0761,0,0,1.95705,1104.799,0.3095171,94.23798
1,9,135,0.5158125,-0.4559124,-0.7253146,0.9999999,8.984743,False,-0.00553732,-0.006508112,0.005075336,0.009938635,0.03002113,0.00510067,-0.03894949,-0.998777,354.3323,0.607222,0.1031686,-0.7878112,0.4734049,0.6009107,0.7572601,1.454357,733.2037,0,0,0.1683627,0.3075225,0.2840794,3.847633,598.3578,0,0,0.6153993,356.9502,0.5545031,126.8855
1,10,135,-0.8132268,-0.5773161,-0.07326925,1,12.55532,False,0.003708459,0.0008704066,0.005600125,0.006772863,-0.08117277,0.01469763,0.01440562,0.9964876,9.607176,-0.9693402,0.1755145,0.1720275,0.6180617,0.6005696,0.8137581,1.835264,1012.414,0,0,0.2055304,0.37574,0.374211,3.709944,565.0415,0,0,1.005011,739.5803,0.4231329,97.65894
1,11,135,0.7989178,0.5652615,0.2054504,1,8.305803,False,-0.0103088,0.006097913,-0.007066607,0.01390657,0.004129121,-0.01245642,-0.08205155,0.9965418,9.53291,0.04969198,-0.149907,-0.9874511,0.6267861,0.766216,0.9601051,1.549657,949.6699,0,0,0.07245282,0.1061098,0.1336223,0.5632704,226.2128,0,0,0.731255,592.5274,0.1724549,52.95758
