Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773054802260,0.0139051,0.0006996319,0.904514,0.2073235,0.9279704,0.615,0.1624125,0.05562341,-0.7696124,280.6382,0.9631779,0.2543612,0.08711421,-0.04775761,0.9823067,0.2919556,1.025888,-0.06065265,1.029287,0.285303,1.069817,-0.04190302,1.029738,0.2933115,1.071517,-0.01029086,-0.07786368,0.1052844,0.1313524,-0.01965175,-0.06349254,0.1541341,0.1678535,0.001665748,-0.06557579,0.1526161,0.1661164,0,0,0,0,0,0,0,0,0,1,0,0,-0.1239649,0.5600564,0.0441331,0.5753071,0.3171012,-0.2611767,-0.1437979,-0.9003087,308.3974,0.7285464,-0.6000588,-0.3303785,-0.02279372,0.5985513,0.1180532,0.6105078,-0.03242651,0.6149831,0.1643534,0.6373914,-0.04052951,0.6086882,0.1784435,0.635599,0.04766765,-0.05311683,0.1181315,0.1380169,0.01356969,-0.0598779,0.1577609,0.1692867,-0.002393696,-0.06863321,0.1600724,0.1741822,0,0,0,0,0,0,0,0,0,1,0,0,-0.02428683,0.9890543,0.3055511,1.035461,0,0,0,1,0,1,0,0,0.07428683,0.01094568,-0.00555104,0.07529379,0.2966501,0.4399201,-0.7563217,0.3826834,135,0.3210917,0.4761661,-0.8186367,-0.04066401,1.115874,-0.04076786,1.117359,0.08726577,-0.03650661,-0.04481648,-0.9945067,347.9833,0.8336955,-0.3487667,-0.4281553,False
1773054802275,0.0277563,0.0005345568,0.9046457,0.2072317,0.9280782,0.6125033,0.1604261,0.05763318,-0.7718688,281.044,0.9633861,0.2523288,0.09064931,-0.04638751,0.9823477,0.2921746,1.025926,-0.06017719,1.030304,0.2853799,1.070789,-0.04132796,1.029737,0.2939608,1.071671,-0.00927043,-0.07713573,0.1053474,0.1308966,-0.0197923,-0.0623764,0.1551788,0.1684132,0.001712469,-0.06523131,0.1528801,0.1662239,0,0,0,0,0,0,0,0,0,1,0,0,-0.1238509,0.5607857,0.04365092,0.5759557,0.3169041,-0.2610227,-0.1441483,-0.9003668,308.4126,0.7282946,-0.5998705,-0.331275,-0.02272667,0.5993127,0.1176161,0.6111676,-0.03231968,0.6157724,0.1638975,0.6380303,-0.04044294,0.6094328,0.1779994,0.6361821,0.04763989,-0.0531038,0.1181469,0.1380155,0.01360935,-0.05982294,0.157819,0.1693247,-0.002387052,-0.06860076,0.1601112,0.1742049,0,0,0,0,0,0,0,0,0,1,0,0,-0.02397242,0.9885583,0.306116,1.035147,-0.003746008,-0.0005203467,0.002237464,-0.9999903,359.4964,-0.852425,-0.1184078,0.5091475,0.07397243,0.01144171,-0.006116033,0.07510152,-0.2958044,-0.4418862,0.7539645,-0.3857121,225.3759,-0.3206138,-0.4789476,0.8172002,-0.04060105,1.115926,-0.0407788,1.117409,0.08773477,-0.03647917,-0.04461284,-0.9944755,347.9493,0.8358196,-0.3475247,-0.4250115,False
1773054802289,0.0423999,0.000383459,0.9048591,0.2072576,0.9282919,0.6097584,0.1577639,0.06069452,-0.7743523,281.4927,0.9636568,0.2493286,0.09592108,-0.04565787,0.9822145,0.2928321,1.025954,-0.05938724,1.03044,0.2863922,1.071146,-0.04053539,1.029519,0.2950614,1.071734,-0.009009052,-0.07696398,0.1053488,0.1307784,-0.01980122,-0.06218568,0.1553339,0.1684867,0.001724621,-0.0651875,0.152905,0.1662297,0,0,0,0,0,0,0,0,0,1,0,0,-0.1241911,0.5603933,0.04391519,0.5756671,0.3150768,-0.262116,-0.1445265,-0.9006298,308.482,0.7250026,-0.603138,-0.3325605,-0.02285452,0.5986263,0.1177388,0.6105229,-0.03227754,0.6149662,0.1641079,0.6373042,-0.04035898,0.6085963,0.1782203,0.6354374,0.04763271,-0.05304508,0.1181737,0.1380134,0.01362788,-0.05976313,0.1578817,0.1693635,-0.002363807,-0.06854507,0.1601917,0.1742567,0,0,0,0,0,0,0,0,0,1,0,0,-0.02347021,0.9880861,0.3068784,1.03491,-0.008031178,-0.0009371632,0.005646658,-0.9999514,358.8698,-0.8142901,-0.09502003,0.5725209,0.07347021,0.0119139,-0.006878376,0.07474707,-0.2953375,-0.4439391,0.7508689,-0.3897302,225.8754,-0.3206952,-0.4820557,0.8153384,-0.04056943,1.115937,-0.04076384,1.117417,0.08786403,-0.03629386,-0.04473529,-0.9944654,347.9382,0.8362869,-0.3454438,-0.425789,False
1773054802302,0.0556961,0.0005024225,0.9054185,0.2067757,0.9287298,0.6081367,0.1549557,0.06043792,-0.7762125,281.8302,0.9645746,0.2457775,0.09586147,-0.04487778,0.9824722,0.2929471,1.026199,-0.05858363,1.030748,0.2868277,1.071515,-0.03967579,1.02974,0.2953956,1.072006,-0.008963861,-0.07691937,0.1053615,0.1307592,-0.01980951,-0.06216869,0.1553457,0.1684923,0.001730438,-0.06516533,0.1529128,0.1662283,0,0,0,0,0,0,0,0,0,1,0,0,-0.1242237,0.5606031,0.04364055,0.5758575,0.3112234,-0.2603412,-0.1437494,-0.9026066,309.0057,0.7229912,-0.6047886,-0.3339388,-0.02305687,0.5979887,0.1181224,0.6099795,-0.03256247,0.6140504,0.1646169,0.6365665,-0.04072864,0.6075879,0.1786667,0.6346209,0.04764162,-0.05298273,0.1181942,0.13801,0.01366329,-0.05966701,0.1579889,0.1694324,-0.002353507,-0.06845161,0.1603074,0.1743262,0,0,0,0,0,0,0,0,0,1,0,0,-0.02265651,0.988196,0.3069335,1.035013,-0.01053776,-0.003468072,0.006809504,-0.9999153,358.5085,-0.8096477,-0.2664624,0.5231947,0.07265651,0.01180404,-0.00693351,0.07393496,-0.292965,-0.4445056,0.7500448,-0.3924529,226.2144,-0.3185191,-0.483278,0.8154681,-0.04053201,1.115911,-0.04076109,1.117391,0.08787683,-0.03619313,-0.04475427,-0.9944671,347.9401,0.8365352,-0.3445371,-0.426034,False
1773054802316,0.0695597,0.0003633946,0.9059233,0.2068322,0.9292345,0.6081615,0.1518281,0.06089499,-0.7767751,281.9325,0.965676,0.2410819,0.09669278,-0.04413358,0.9832277,0.2932072,1.026964,-0.05780957,1.031362,0.2873034,1.072191,-0.03887225,1.030222,0.2957997,1.072551,-0.008825354,-0.07674834,0.1054684,0.1307356,-0.01981633,-0.06219599,0.1552893,0.1684512,0.001720836,-0.06521767,0.152823,0.1661661,0,0,0,0,0,0,0,0,0,1,0,0,-0.1242799,0.5605575,0.04358405,0.5758209,0.308225,-0.2602817,-0.1450814,-0.9034392,309.2278,0.7189487,-0.6071186,-0.3384089,-0.02306047,0.5975323,0.1181912,0.6095455,-0.03249593,0.6133627,0.1648148,0.635951,-0.0406576,0.606787,0.1788384,0.633898,0.04763864,-0.05296027,0.1181998,0.1380052,0.0136851,-0.05959494,0.1580701,0.1694845,-0.002351459,-0.06838833,0.1603778,0.1743661,0,0,0,0,0,0,0,0,0,1,0,0,-0.0219781,0.9886853,0.3071884,1.035542,-0.01111294,-0.005686854,0.009057471,-0.9998811,358.2328,-0.7206134,-0.3687615,0.5873276,0.0719781,0.01131475,-0.00718838,0.07321573,-0.2920455,-0.4434096,0.7495638,-0.3952867,226.5677,-0.3179392,-0.4827236,0.8160225,-0.04048435,1.115854,-0.04076586,1.117332,0.08779173,-0.03601373,-0.04460092,-0.994488,347.9629,0.837305,-0.3434774,-0.4253768,False
1773054802331,0.0831624,0.0003388226,0.9061262,0.2068284,0.9294314,0.6058509,0.144634,0.05859679,-0.7801231,282.5437,0.9683915,0.2311828,0.09366105,-0.04248565,0.9829713,0.2944213,1.026996,-0.05611992,1.031068,0.2891416,1.072313,-0.03705328,1.029829,0.2973456,1.072536,-0.008750981,-0.07668556,0.1054943,0.1307146,-0.01981164,-0.06223567,0.1551989,0.168382,0.001739652,-0.06523903,0.1527734,0.166129,0,0,0,0,0,0,0,0,0,1,0,0,-0.1242425,0.5606593,0.04375096,0.5759246,0.3086178,-0.2604887,-0.1452473,-0.9032187,309.1689,0.7190862,-0.6069442,-0.3384293,-0.02305312,0.5977384,0.1183277,0.6097738,-0.03243442,0.6136472,0.1649107,0.6362471,-0.04056689,0.6070352,0.1789137,0.634151,0.04756744,-0.05296382,0.1182134,0.1379936,0.01367121,-0.05956378,0.158106,0.1695059,-0.002335463,-0.06838642,0.1603709,0.1743588,0,0,0,0,0,0,0,0,0,1,0,0,-0.02018411,0.9881848,0.3081459,1.035312,-0.01497707,-0.01305212,0.01115179,-0.9997405,357.3893,-0.6574343,-0.5729367,0.4895197,0.07018411,0.01181519,-0.008145928,0.07163633,-0.2858759,-0.4428304,0.749141,-0.4012033,227.3069,-0.3120954,-0.4834451,0.8178493,-0.04039674,1.115701,-0.04078359,1.117177,0.08726512,-0.03611393,-0.04459473,-0.994531,348.01,0.8355368,-0.3457798,-0.4269809,False
1773054802344,0.0969997,0.0004063398,0.9067722,0.2068329,0.9300623,0.604109,0.1400248,0.05839089,-0.7823272,282.9483,0.9698835,0.2248067,0.09374525,-0.04120611,0.9833594,0.295177,1.027533,-0.05484521,1.031139,0.2904049,1.072656,-0.03572141,1.03002,0.2983909,1.072966,-0.008580369,-0.07658768,0.1055282,0.1306732,-0.01982067,-0.06241635,0.1548772,0.1681535,0.001732246,-0.06529102,0.1526944,0.1660768,0,0,0,0,0,0,0,0,0,1,0,0,-0.1241952,0.560769,0.04393298,0.5760351,0.309134,-0.2607414,-0.1454349,-0.902939,309.0942,0.7193032,-0.6067017,-0.3384027,-0.02303877,0.5979755,0.118469,0.6100331,-0.03236209,0.6139718,0.1650018,0.6365801,-0.04045803,0.6073191,0.1789787,0.6344342,0.04748505,-0.05297371,0.1182267,0.1379804,0.01365059,-0.05953799,0.1581364,0.1695236,-0.002317616,-0.06839423,0.1603501,0.1743425,0,0,0,0,0,0,0,0,0,1,0,0,-0.01894808,0.988324,0.3087876,1.035612,-0.01789617,-0.01698707,0.01342213,-0.9996054,356.7808,-0.637126,-0.6047608,0.4778443,0.06894808,0.01167601,-0.008787543,0.0704797,-0.2827414,-0.4427994,0.7480531,-0.4054657,227.8406,-0.3093078,-0.4844048,0.8183401,-0.04030918,1.115587,-0.04078644,1.11706,0.08679362,-0.03595657,-0.04474668,-0.9945711,348.0541,0.8340816,-0.3455406,-0.430013,False
1773054802358,0.1109645,0.0004708245,0.9075971,0.206865,0.9308738,0.602383,0.1356342,0.05810487,-0.7844501,283.3397,0.9712849,0.2186972,0.09368853,-0.03988209,0.9839916,0.2958513,1.028279,-0.05363568,1.031295,0.2916616,1.073086,-0.03446166,1.030374,0.2994231,1.073551,-0.008329972,-0.07637129,0.1056059,0.1305932,-0.01983007,-0.06263381,0.1544833,0.1678729,0.001720769,-0.06534862,0.1526091,0.1660209,0,0,0,0,0,0,0,0,0,1,0,0,-0.1244996,0.5606558,0.04410066,0.5760034,0.3084046,-0.2615506,-0.1447517,-0.9030641,309.1276,0.7180454,-0.6089572,-0.3370191,-0.02321248,0.5976683,0.1185332,0.609751,-0.03240159,0.6136278,0.1651108,0.6362786,-0.04048886,0.6069696,0.1790801,0.6341302,0.04746936,-0.05288282,0.1182579,0.1379669,0.01365901,-0.05949327,0.1581876,0.1695563,-0.002297839,-0.06835576,0.1603877,0.1743617,0,0,0,0,0,0,0,0,0,1,0,0,-0.0177701,0.9886438,0.309426,1.036087,-0.02072787,-0.02079084,0.01550398,-0.9994487,356.1948,-0.6243252,-0.6262218,0.4669814,0.06777009,0.01135623,-0.009425998,0.06935848,-0.2796503,-0.4427989,0.7470206,-0.4094937,228.3461,-0.3065289,-0.4853586,0.8188206,-0.04027229,1.115544,-0.04077117,1.117015,0.08643656,-0.03588419,-0.04448921,-0.9946164,348.104,0.8341241,-0.3462871,-0.4293267,False
1773054802371,0.1248571,0.0007474273,0.9083383,0.207275,0.9316877,0.6005312,0.1344099,0.06007134,-0.7859311,283.6137,0.9712397,0.2173813,0.09715343,-0.03923418,0.9844317,0.296665,1.02891,-0.05289256,1.031307,0.2928194,1.073375,-0.03373965,1.030625,0.300508,1.074072,-0.008227742,-0.07634395,0.1056143,0.1305774,-0.01982588,-0.06286607,0.1540197,0.1675329,0.00171294,-0.06541243,0.1524882,0.1659349,0,0,0,0,0,0,0,0,0,1,0,0,-0.1245294,0.560746,0.04398963,0.5760891,0.308376,-0.2612398,-0.144257,-0.903243,309.1754,0.7186084,-0.6087669,-0.3361621,-0.02331499,0.5977648,0.1185068,0.6098444,-0.03247431,0.6137213,0.1650766,0.6363637,-0.04061815,0.6070406,0.1790604,0.6342009,0.04745873,-0.05279589,0.1182933,0.1379603,0.01370026,-0.05944273,0.1582417,0.1695924,-0.002305755,-0.06832282,0.160423,0.1743814,0,0,0,0,0,0,0,0,0,1,0,0,-0.0172064,0.9889039,0.3102647,1.036577,-0.02345123,-0.02066117,0.01738731,-0.9993602,355.9007,-0.655693,-0.5776835,0.4861467,0.06720641,0.01109612,-0.01026469,0.06888533,-0.2795084,-0.4443107,0.7449964,-0.4116351,228.6152,-0.3066975,-0.4875309,0.8174658,-0.04028067,1.115517,-0.04076502,1.116988,0.08597031,-0.03611363,-0.04404803,-0.9946681,348.1614,0.8336299,-0.3501837,-0.4271213,False
1773054802386,0.1389449,0.000701189,0.9087277,0.2079302,0.9322132,0.5993762,0.1330514,0.06611209,-0.7865587,283.7302,0.9706256,0.2154625,0.1070615,-0.03880611,0.9848387,0.2974882,1.02952,-0.05205409,1.031078,0.2939006,1.07341,-0.03297874,1.030798,0.3015547,1.074508,-0.008104284,-0.07635658,0.1055886,0.1305563,-0.0198259,-0.06325745,0.1532355,0.1669602,0.001681658,-0.06550252,0.1523241,0.1658193,0,0,0,0,0,0,0,0,0,1,0,0,-0.1239997,0.5615847,0.04339868,0.5767467,0.3083818,-0.2607477,-0.1436893,-0.9034737,309.237,0.7194366,-0.6083091,-0.3352188,-0.02287675,0.5985701,0.1180474,0.6105282,-0.03209352,0.6145684,0.1646275,0.6370451,-0.04024391,0.6078293,0.1785827,0.6347975,0.04745003,-0.05274891,0.1183113,0.1379548,0.0136756,-0.05937747,0.1582959,0.1696181,-0.002311356,-0.06830911,0.1604284,0.174381,0,0,0,0,0,0,0,0,0,1,0,0,-0.01691351,0.9890351,0.3111799,1.036971,-0.02578284,-0.0180294,0.02264941,-0.9992483,355.5567,-0.6650869,-0.4650815,0.5842579,0.06691352,0.01096493,-0.01117986,0.06872145,-0.2828883,-0.445471,0.7410917,-0.415106,229.052,-0.3109438,-0.4896507,0.8145896,-0.04031263,1.115504,-0.04077222,1.116976,0.08503358,-0.03643931,-0.04385625,-0.9947453,348.2474,0.8305592,-0.3559183,-0.4283627,False
