Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773055250507,0,1,1,135,0.4136207,-0.8940515,-0.1720172,1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0,0,0.1,0.3821357,-0.8259959,-0.1589232,0.3826834,135,0.4136207,-0.8940516,-0.1720172
Grab,1773055252099,0,1,1,135,0.4136207,-0.8940515,-0.1720172,1,-0.06968771,0.9335261,0.273384,0.9752262,0.2011959,-0.07711561,-0.3421266,0.9146162,47.69743,0.4976116,-0.1907277,-0.8461712,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1196877,0.0664739,0.02661598,0.1394716,0.002173415,-0.8247225,-0.1511459,0.5449616,113.9559,0.002592148,-0.9836146,-0.1802659
Trial Start,1773055252107,0,1,1,135,0.4136207,-0.8940515,-0.1720172,1,-0.07003132,0.9194518,0.2730203,0.9616839,0.05727355,-0.05308978,-0.3647577,0.9278216,43.80449,0.1535385,-0.1423227,-0.9778394,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1200313,0.08054823,0.02697974,0.1470491,0.03978493,-0.8763452,-0.03488586,0.4787686,122.79,0.04531617,-0.9981822,-0.039736
Release,1773055252130,0.0278776,1,1,135,0.4136207,-0.8940515,-0.1720172,1,-0.07256091,0.8953539,0.2711672,0.9383258,-0.05592735,-0.04417039,-0.4061501,0.9110232,48.70573,-0.1356291,-0.1071174,-0.9849523,0.0609343,-0.1025097,0.09924741,0.1551492,0.1272668,0.6778869,0.327592,0.6457213,99.56045,0.1666727,0.8877826,0.429025,-0.0466518,0.01580093,0.06466988,0.08129116,-0.193572,-0.5925354,0.5538979,0.5519319,113.0007,-0.2321315,-0.7105685,0.6642344,0.1225609,0.1046461,0.02883279,0.1637172,0.04107829,-0.8996907,0.07371905,0.4282929,129.2815,0.04545869,-0.9956297,0.08158012
Grab,1773055257592,5.519109,1,1,135,0.4136207,-0.8940515,-0.1720172,1,-0.1027548,0.7902738,0.2726383,0.8422724,-0.2031347,0.08271331,-0.5356116,0.8154846,70.72939,-0.3509713,0.1429101,-0.9254167,0.1111528,-0.08508043,0.01086207,0.140398,-0.5569598,0.7468362,-0.1270747,0.340417,140.1954,-0.5923374,0.7942745,-0.1351463,-0.07132949,-0.3743407,-0.09326627,0.3923231,-0.1672385,-0.7216278,0.5602115,0.3707394,136.4776,-0.1800709,-0.7769992,0.6031972,0.1527548,0.2097262,0.02736175,0.260898,-0.066196,-0.9421991,0.211551,0.2512476,150.8973,-0.06838974,-0.9734236,0.2185618
Release,1773055257979,5.907207,1,1,135,0.4136207,-0.8940515,-0.1720172,1,-0.07996258,0.8169982,0.2890756,0.870313,0.03042737,0.3506096,-0.4865755,0.7996195,73.81243,0.05066947,0.583856,-0.8102745,0.112603,-0.1042192,0.002195549,0.1534467,-0.2871172,0.9189982,0.1741722,0.2065671,156.1575,-0.2934461,0.9392558,0.1780114,-0.08478294,-0.3922321,-0.1232463,0.4197902,-0.4338262,-0.5205409,0.493572,0.5451778,113.9264,-0.5174943,-0.6209329,0.5887628,0.1299626,0.1830018,0.01092437,0.2247204,-0.1637103,-0.9757572,-0.09998702,0.1053545,167.9048,-0.1646265,-0.9812179,-0.1005466
Grab,1773055258981,6.908231,1,1,135,0.4136207,-0.8940515,-0.1720172,1,-0.07705788,0.8181211,0.2870785,0.8704448,0.08117084,0.3930401,-0.6144031,0.6792935,94.42309,0.1106071,0.5355742,-0.8372135,0.1014991,-0.06708435,0.002329445,0.1216873,-0.3864217,0.7634633,-0.4640329,-0.2290755,206.4853,-0.3969778,0.7843194,-0.4767092,-0.07674675,-0.3912815,-0.1268269,0.4184212,-0.3912133,-0.5099394,0.4146436,0.644193,99.7896,-0.5114816,-0.6667069,0.5421149,0.1270579,0.1818789,0.01292151,0.2222399,-0.3414381,-0.9333889,-0.090075,0.06396601,172.665,-0.3421388,-0.9353043,-0.09025984
Release,1773055259814,7.74139,1,1,135,0.4136207,-0.8940515,-0.1720172,1,-0.000153945,0.9526089,0.2194127,0.9775509,0.4855334,-0.2568579,-0.8086478,0.2106422,155.68,0.4966772,-0.2627532,-0.8272077,0.07009528,-0.07976576,0.005350708,0.1063229,-0.407151,0.4885234,-0.708248,-0.3065254,215.6999,-0.4277414,0.513229,-0.7440655,-0.003371651,-0.386884,-0.3295386,0.5082187,0.4599019,-0.1236295,0.504699,0.7200589,87.8813,0.6627662,-0.1781628,0.7273234,0.05015394,0.04739106,0.08058728,0.1060926,-0.7324308,-0.307545,-0.02691387,0.6068254,105.2794,-0.9214875,-0.3869292,-0.03386093
Grab,1773055261260,9.185315,1,1,135,0.4136207,-0.8940515,-0.1720172,1,0.01125536,0.9513942,0.2287911,0.9785821,0.5000294,-0.6099141,-0.4567003,0.4115826,131.3914,0.5486554,-0.669226,-0.5011128,0.09431482,-0.07687833,0.0206624,0.12342,0.08321688,-0.008218482,-0.9072774,0.4121349,131.322,0.09133442,-0.009020169,-0.9957795,0.0003556015,-0.3888815,-0.3242882,0.5063515,0.4658163,-0.0133644,0.8331066,0.2979426,145.3318,0.4879785,-0.01400024,0.8727434,0.03874464,0.0486058,0.07120889,0.09452184,-0.3143757,-0.2016168,-0.07059067,0.9249518,44.67786,-0.8271198,-0.530452,-0.1857235
Release,1773055262356,10.27746,1,1,135,0.4136207,-0.8940515,-0.1720172,1,0.04756867,0.9957508,0.2737068,1.033778,0.41943,-0.8411924,0.00935145,0.3411548,140.1055,0.4461987,-0.8948787,0.009948275,0.07875059,-0.0741576,0.01564821,0.1092972,0.1731407,-0.1240455,-0.9059096,0.3660094,137.0606,0.1860505,-0.1332946,-0.9734566,-0.05151113,-0.3970683,-0.3994973,0.5656101,0.4507639,0.1441149,0.8568966,-0.2043799,203.5864,0.4604839,0.1472225,0.8753743,0.002431329,0.004249156,0.02629325,0.02674512,0.1112677,0.1103486,-0.08279391,0.9841687,20.41748,0.6277982,0.6226124,-0.4671424
