Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Total Thumb Tip Translation,Total Index Tip Translation,Total Middle Tip Translation,Total Thumb Tip Translation_left,Total Index Tip Translation_left,Total Middle Tip Translation_left,Total Wrist Translation,Total Wrist Rotation,Total Wrist Translation_left,Total Wrist Rotation_left,Total Die Translation,Total Die Rotation,Total Die Local Translation,Total Die Local Rotation,Total Die Local Translation_left,Total Die Local Rotation_left,Total Head Translation,Total Head Rotation,Total Grabbed Time,Total Grabbed Time_left
1,1,135,0.4136207,-0.8940515,-0.1720172,1,29.41937,False,-0.001935605,0.004622102,-0.004789382,0.006931708,0.003536012,0.03833938,-0.01387223,0.9991624,4.69087,0.08640441,0.936844,-0.3389756,0.4198072,0.3370533,0.3639737,0,0,0,0.8099019,396.7912,0,0,0.6329572,852.2166,0.3905582,710.2322,0,0,0.172891,37.15828,10.13489,0
1,2,135,-0.6982428,-0.4575476,0.5505517,1,15.56936,False,-0.0002741888,-0.0002117157,0.00201413,0.002043704,-0.0470067,-0.04405477,0.02562922,0.9975935,7.951438,-0.6779767,-0.6354011,0.3696498,0.3312898,0.3774104,0.360537,0,0,0,0.9171404,357.1375,0,0,0.6086645,765.1352,0.2914304,635.7062,0,0,0.1191618,30.1729,8.500802,0
1,3,135,-0.9502825,0.05394306,0.3066811,1,15.6301,False,0.0023374,0.002639174,0.00114122,0.003705545,0.03342114,-0.004168976,-0.02900263,0.9990118,5.094747,0.751955,-0.09379938,-0.6525413,0.3887967,0.3223278,0.4002012,0,0,0,0.615155,450.9835,0,0,0.409568,820.1671,0.3446061,606.1167,0,0,0.08098226,19.65305,6.468767,0
1,4,135,0.8064471,0.3942432,-0.4406987,1,14.9615,False,-0.0005446225,0.0001806021,0.002595335,0.002658006,-0.01266321,0.03712544,0.03523638,-0.998609,353.9552,-0.240168,0.704114,0.6682866,0.3888304,0.3689574,0.4217454,0,0,0,0.8815686,546.7094,0,0,0.6109748,1026.594,0.4082348,734.1514,0,0,0.1538507,34.47308,9.738447,0
1,5,135,0.4815546,0.7793528,0.400892,1,14.76124,False,-0.0008236356,0.001878798,0.003928542,0.004431896,-0.05910665,-0.03636307,-0.01654352,-0.997452,351.818,-0.8285151,-0.5097116,-0.2318954,0.2676152,0.2333841,0.2734029,0,0,0,0.4760287,302.7285,0,0,0.3376292,599.6302,0.2265833,467.7325,0,0,0.04973435,10.3135,7.935584,0
1,6,135,-0.9714962,0.02180252,-0.2360502,1,21.77889,False,-0.005127706,0.001447201,0.006117225,0.008112225,-0.04678616,-0.007436123,-0.01884224,-0.9986996,354.1555,-0.9177073,-0.1458591,-0.3695893,0.5133652,0.453615,0.5133265,0,0,0,1.098709,569.1583,0,0,0.7486187,1098.225,0.5043638,899.3165,0,0,0.1638203,46.92787,12.48809,0
1,7,135,0.783456,0.1543243,-0.6019807,1,14.44541,False,-0.002067391,0.0008180737,0.0002150238,0.002233738,0.012227,0.05410348,0.004959889,-0.9984482,353.6153,0.2195599,0.9715344,0.08906457,0.4870289,0.4192415,0.4581399,0,0,0,0.8492763,587.3446,0,0,0.673461,983.0287,0.4085584,746.4843,0,0,0.2128308,56.59753,9.078706,0
1,8,135,-0.2966206,-0.7613912,0.5764544,1,30.00151,True,-0.00046096,0.001972854,0.002285987,0.003054566,0.01518675,0.02384973,-0.0184686,-0.9994296,356.1293,0.4496871,0.7062024,-0.5468645,0.8420348,0.9589283,0.9976578,0,0,0,1.573856,877.0572,0,0,1.120958,1873.942,0.761494,1598.371,0,0,0.2584164,70.22968,20.01122,0
1,9,135,-0.756542,-0.6420947,0.1239296,1,10.81776,False,4.711002E-05,0.0001333356,-0.002155662,0.002160295,0.05529704,-0.02152388,0.01725632,0.9980888,7.085749,0.8948385,-0.3483078,0.2792486,0.3469618,0.3929529,0.3409257,0,0,0,0.7182735,362.5316,0,0,0.4458398,690.2071,0.3316277,573.7916,0,0,0.1381292,37.17376,5.638786,0
1,10,135,-0.4405953,-0.8739075,0.2053326,1,11.54716,False,0.001525532,-0.001939297,0.005523801,0.006049835,-0.02492,0.01287559,0.03550334,0.9989759,5.186586,-0.5507695,0.2845698,0.7846773,0.3093616,0.2489278,0.2898159,0,0,0,0.6419848,388.0327,0,0,0.478986,622.5379,0.268721,473.7115,0,0,0.1420331,38.71042,5.638439,0
