Timestamp,Trial Duration,Wrist World Position X,Wrist World Position Y,Wrist World Position Z,Wrist World Position Magnitude,Wrist World Rotation X,Wrist World Rotation Y,Wrist World Rotation Z,Wrist World Rotation W,Wrist World Rotation Angle,Wrist World Rotation Axis X,Wrist World Rotation Axis Y,Wrist World Rotation Axis Z,Wrist World Position_left X,Wrist World Position_left Y,Wrist World Position_left Z,Wrist World Position_left Magnitude,Wrist World Rotation_left X,Wrist World Rotation_left Y,Wrist World Rotation_left Z,Wrist World Rotation_left W,Wrist World Rotation_left Angle,Wrist World Rotation_left Axis X,Wrist World Rotation_left Axis Y,Wrist World Rotation_left Axis Z,Thumb Tip World Position X,Thumb Tip World Position Y,Thumb Tip World Position Z,Thumb Tip World Position Magnitude,Index Tip World Position X,Index Tip World Position Y,Index Tip World Position Z,Index Tip World Position Magnitude,Middle Tip World Position X,Middle Tip World Position Y,Middle Tip World Position Z,Middle Tip World Position Magnitude,Thumb Tip World Position_left X,Thumb Tip World Position_left Y,Thumb Tip World Position_left Z,Thumb Tip World Position_left Magnitude,Index Tip World Position_left X,Index Tip World Position_left Y,Index Tip World Position_left Z,Index Tip World Position_left Magnitude,Middle Tip World Position_left X,Middle Tip World Position_left Y,Middle Tip World Position_left Z,Middle Tip World Position_left Magnitude,Thumb Tip Local Position X,Thumb Tip Local Position Y,Thumb Tip Local Position Z,Thumb Tip Local Position Magnitude,Index Tip Local Position X,Index Tip Local Position Y,Index Tip Local Position Z,Index Tip Local Position Magnitude,Middle Tip Local Position X,Middle Tip Local Position Y,Middle Tip Local Position Z,Middle Tip Local Position Magnitude,Thumb Tip Local Position_left X,Thumb Tip Local Position_left Y,Thumb Tip Local Position_left Z,Thumb Tip Local Position_left Magnitude,Index Tip Local Position_left X,Index Tip Local Position_left Y,Index Tip Local Position_left Z,Index Tip Local Position_left Magnitude,Middle Tip Local Position_left X,Middle Tip Local Position_left Y,Middle Tip Local Position_left Z,Middle Tip Local Position_left Magnitude,Thumb Tip Euro Position X,Thumb Tip Euro Position Y,Thumb Tip Euro Position Z,Thumb Tip Euro Position Magnitude,Index Tip Euro Position X,Index Tip Euro Position Y,Index Tip Euro Position Z,Index Tip Euro Position Magnitude,Middle Tip Euro Position X,Middle Tip Euro Position Y,Middle Tip Euro Position Z,Middle Tip Euro Position Magnitude,Thumb Tip Euro Position_left X,Thumb Tip Euro Position_left Y,Thumb Tip Euro Position_left Z,Thumb Tip Euro Position_left Magnitude,Index Tip Euro Position_left X,Index Tip Euro Position_left Y,Index Tip Euro Position_left Z,Index Tip Euro Position_left Magnitude,Middle Tip Euro Position_left X,Middle Tip Euro Position_left Y,Middle Tip Euro Position_left Z,Middle Tip Euro Position_left Magnitude,Triangle Local Position X,Triangle Local Position Y,Triangle Local Position Z,Triangle Local Position Magnitude,Triangle Local Rotation X,Triangle Local Rotation Y,Triangle Local Rotation Z,Triangle Local Rotation W,Triangle Local Rotation Angle,Triangle Local Rotation Axis X,Triangle Local Rotation Axis Y,Triangle Local Rotation Axis Z,Triangle Local Position_left X,Triangle Local Position_left Y,Triangle Local Position_left Z,Triangle Local Position_left Magnitude,Triangle Local Rotation_left X,Triangle Local Rotation_left Y,Triangle Local Rotation_left Z,Triangle Local Rotation_left W,Triangle Local Rotation_left Angle,Triangle Local Rotation_left Axis X,Triangle Local Rotation_left Axis Y,Triangle Local Rotation_left Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is Grabbed,Is Grabbed_right,Is Grabbed_left,Is On Target
1773055590327,0.0133482,0.1568069,0.990786,0.2310014,1.029372,-0.3380021,-0.8954723,0.03949269,0.286922,146.6525,-0.3528375,-0.9347759,0.04122608,-0.1234091,0.5616008,0.05881398,0.5780003,0.2643832,0.6268231,-0.7003118,0.2162351,155.024,0.2707898,0.6420124,-0.7172818,0.03902097,0.9848602,0.2877642,1.026782,0.02673759,1.013762,0.3020746,1.058148,0.03577948,1.001333,0.312734,1.049643,-0.02338381,0.6291586,0.1167082,0.6403188,0.0310354,0.5641583,0.1060198,0.5748722,0.04192501,0.5445867,0.10645,0.5564746,0.09541104,-0.08820938,0.01570023,0.1308841,0.1279871,-0.0769469,0.0139921,0.149991,0.1198875,-0.08405003,-0.001298323,0.146421,-0.1118899,0.01108617,-0.07265402,0.1338688,-0.1486147,0.06160998,-0.01435004,0.1615179,-0.1577989,0.07055055,0.004022039,0.172899,0.09514692,-0.08850128,0.01641653,0.1309768,0.1279621,-0.07681724,0.01392074,0.1498965,0.1198121,-0.08400045,-0.001304135,0.1463309,-0.1118899,0.01108617,-0.072654,0.1338688,-0.1486147,0.06160999,-0.01435004,0.1615179,-0.1577989,0.07055058,0.004022038,0.1728989,0.1090954,-0.08437743,0.0122373,0.1384598,-0.2134122,0.861998,-0.02858426,0.4589091,125.3665,-0.2401984,0.9701906,-0.03217198,-0.121745,0.02389032,-0.05623451,0.1362164,-0.08782101,-0.3676125,-0.5813144,0.7205707,87.79677,-0.1266561,-0.5301736,-0.8383761,-0.04998532,1.000097,0.3000773,1.045342,-0.0004053584,-0.002138779,0.00276529,0.9999938,0.4034824,-0.1151244,-0.6074272,0.7853603,0.1028466,-0.0742825,0.006437736,0.1270305,0.5754187,0.418313,0.1785368,-0.6797295,265.645,0.7845233,0.5703261,0.2434164,-0.2703789,-0.1249652,-0.4334823,0.5259544,-0.8679253,0.2037703,0.2654466,0.3670442,136.9331,-0.9330488,0.2190599,0.285364,0.09998532,-9.727478E-05,-7.733703E-05,0.09998539,0.5918416,-0.3605116,-0.6117134,0.3815254,135.1436,0.6402729,-0.3900128,-0.6617708,-0.02538949,1.08877,-0.04240729,1.089891,-0.02272332,-0.02745667,-0.01934806,-0.9991774,355.3517,-0.5603352,-0.6770552,-0.4771045,False,False,False,False
1773055590341,0.0281724,0.01330515,0.8952973,0.2110159,0.919925,-0.5006579,-0.6769964,0.3719211,0.3907587,133.9966,-0.5439017,-0.7354714,0.4040455,-0.1234091,0.5616008,0.05881398,0.5780003,0.2643832,0.6268231,-0.7003118,0.2162351,155.024,0.2707898,0.6420124,-0.7172818,-0.03709884,0.9739858,0.2903089,1.017007,-0.06033077,1.04532,0.2648206,1.080029,-0.02508493,1.061368,0.2726321,1.096111,-0.02338381,0.6291586,0.1167082,0.6403188,0.0310354,0.5641583,0.1060198,0.5748722,0.04192501,0.5445867,0.10645,0.5564746,0.0983799,-0.07300172,0.003460072,0.1225554,0.1679681,-0.04335091,0.02704552,0.1755678,0.1779217,-0.03312992,-0.009795584,0.1812448,-0.1118899,0.01108617,-0.07265402,0.1338688,-0.1486147,0.06160998,-0.01435004,0.1615179,-0.1577989,0.07055055,0.004022039,0.172899,0.09539708,-0.08730193,0.01541397,0.1302299,0.1310577,-0.07422764,0.01493633,0.1513571,0.1243086,-0.08006411,-0.001961199,0.1478741,-0.1118899,0.01108617,-0.072654,0.1338688,-0.1486147,0.06160999,-0.01435004,0.1615179,-0.1577989,0.07055058,0.004022038,0.1728989,0.1101255,-0.08255584,0.01191319,0.1381485,-0.1969125,0.8444223,0.008072208,0.4981077,120.2502,-0.2270892,0.9738294,0.009309268,-0.121745,0.02389032,-0.05623451,0.1362164,-0.08782101,-0.3676125,-0.5813144,0.7205707,87.79677,-0.1266561,-0.5301736,-0.8383761,-0.04998284,1.000332,0.3000877,1.045569,0.005084755,-0.002432263,0.008222618,0.9999503,1.14191,0.5102612,-0.2440805,0.8251494,0.1276916,-0.08093538,0.008061826,0.1513958,0.501573,0.6749228,-0.3716346,0.3934357,133.6631,0.5455722,0.7341286,-0.4042353,-0.1985037,-0.1905702,-0.4244496,0.505844,-0.2647048,-0.6268345,0.7012168,0.2128494,155.4212,-0.2709128,-0.6415353,0.717662,0.09998284,-0.0003317595,-8.764863E-05,0.09998343,0.5918741,-0.3538068,-0.6155936,0.3815107,135.1454,0.6403039,-0.3827569,-0.6659642,-0.02567462,1.088952,-0.04242654,1.090081,-0.02212903,-0.02685437,-0.02004981,-0.9991933,355.3967,-0.5510188,-0.6686811,-0.4992458,False,False,False,False
1773055590355,0.0416982,0.01314944,0.8956494,0.2119039,0.9204694,-0.4994865,-0.6767473,0.3773846,0.3874367,134.4098,-0.5418034,-0.7340819,0.4093569,-0.1234091,0.5616008,0.05881398,0.5780003,0.2643832,0.6268231,-0.7003118,0.2162351,155.024,0.2707898,0.6420124,-0.7172818,-0.03679869,0.9745731,0.2904174,1.01759,-0.06173059,1.045037,0.2649879,1.079876,-0.0274207,1.060352,0.2738524,1.095488,-0.02338381,0.6291586,0.1167082,0.6403188,0.0310354,0.5641583,0.1060198,0.5748722,0.04192501,0.5445867,0.10645,0.5564746,0.09803861,-0.07259066,0.002677038,0.122017,0.1675402,-0.04409035,0.0269824,0.1753332,0.1767889,-0.03557608,-0.009517677,0.1805839,-0.1118899,0.01108617,-0.07265402,0.1338688,-0.1486147,0.06160998,-0.01435004,0.1615179,-0.1577989,0.07055055,0.004022039,0.172899,0.09562216,-0.08604843,0.01432869,0.1294343,0.1341663,-0.07165974,0.01596274,0.1529396,0.1287803,-0.07627343,-0.002605062,0.1496956,-0.1118899,0.01108617,-0.072654,0.1338688,-0.1486147,0.06160999,-0.01435004,0.1615179,-0.1577989,0.07055058,0.004022038,0.1728989,0.1112702,-0.08071487,0.01141356,0.1379355,-0.1827983,0.8285769,0.03677049,0.5279138,116.2708,-0.2152347,0.9756022,0.04329516,-0.121745,0.02389032,-0.05623451,0.1362164,-0.08782101,-0.3676125,-0.5813144,0.7205707,87.79677,-0.1266561,-0.5301736,-0.8383761,-0.04997582,1.000705,0.3002629,1.045976,0.00782332,-0.006595752,0.01716058,0.9998004,2.289668,0.3915713,-0.3301294,0.8589179,0.1270583,-0.08076193,0.007360826,0.1507331,0.5060785,0.6697454,-0.3788361,0.3896268,134.1375,0.5495042,0.7272151,-0.4113434,-0.1985055,-0.1906048,-0.4246817,0.5060526,-0.2667214,-0.6215831,0.7058853,0.2102857,155.7218,-0.2728217,-0.6357996,0.7220299,0.09997582,-0.0007053614,-0.0002628863,0.09997866,0.596528,-0.3452151,-0.6174617,0.3791069,135.4433,0.6446492,-0.3730632,-0.6672716,-0.02594837,1.089045,-0.0425167,1.090184,-0.02164458,-0.02628464,-0.02073887,-0.9992049,355.4302,-0.5429027,-0.6592876,-0.5201851,False,False,False,False
1773055590369,0.0554705,0.01288885,0.8964085,0.2135887,0.9215934,-0.4991735,-0.6762682,0.3821206,0.3840196,134.8342,-0.540626,-0.7324271,0.4138528,-0.1234091,0.5616008,0.05881398,0.5780003,0.2643832,0.6268231,-0.7003118,0.2162351,155.024,0.2707898,0.6420124,-0.7172818,-0.03617723,0.9757915,0.2912582,1.018975,-0.0634781,1.042474,0.2688537,1.078454,-0.03122771,1.056019,0.2790778,1.09272,-0.02338381,0.6291586,0.1167082,0.6403188,0.0310354,0.5641583,0.1060198,0.5748722,0.04192501,0.5445867,0.10645,0.5564746,0.09774694,-0.07200608,0.001530178,0.1214153,0.1648915,-0.04827903,0.02648026,0.1738427,0.1727553,-0.04233472,-0.008604147,0.1780749,-0.1118899,0.01108617,-0.07265402,0.1338688,-0.1486147,0.06160998,-0.01435004,0.1615179,-0.1577989,0.07055055,0.004022039,0.172899,0.09578859,-0.08494852,0.01332621,0.1287218,0.1365729,-0.06982836,0.01678656,0.1543047,0.1322248,-0.07361506,-0.00307496,0.1513672,-0.1118899,0.01108617,-0.072654,0.1338688,-0.1486147,0.06160999,-0.01435004,0.1615179,-0.1577989,0.07055058,0.004022038,0.1728989,0.1122771,-0.07926369,0.01088881,0.1378675,-0.1722102,0.817183,0.05155497,0.5476292,113.591,-0.2058155,0.9766492,0.06161547,-0.121745,0.02389032,-0.05623451,0.1362164,-0.08782101,-0.3676125,-0.5813144,0.7205707,87.79677,-0.1266561,-0.5301736,-0.8383761,-0.05003,1.002065,0.3017925,1.047719,-0.009729399,-0.03324325,0.0406464,0.9985731,6.122396,-0.1821894,-0.6225018,0.7611308,0.1259736,-0.0801563,0.00691732,0.1494732,0.5111629,0.6620448,-0.3840374,0.3910557,133.9596,0.5553903,0.7193269,-0.4172655,-0.1986126,-0.1907792,-0.4250401,0.506461,-0.2687763,-0.6181085,0.7105303,0.2021082,156.6795,-0.2744399,-0.6311331,0.7255025,0.10003,-0.002064586,-0.00179252,0.1000674,0.6273504,-0.3314738,-0.6036261,0.3635826,137.3593,0.6734392,-0.3558258,-0.6479719,-0.02617937,1.089087,-0.04272569,1.090239,-0.02131237,-0.02556069,-0.02155483,-0.9992137,355.4554,-0.5375313,-0.6446806,-0.5436465,False,False,False,False
1773055590381,0.0698356,0.01229879,0.897691,0.2189497,0.9240884,-0.4999983,-0.6737977,0.3893671,0.3799891,135.334,-0.540544,-0.728437,0.4209415,-0.1234091,0.5616008,0.05881398,0.5780003,0.2643832,0.6268231,-0.7003118,0.2162351,155.024,0.2707898,0.6420124,-0.7172818,-0.03449786,0.9784398,0.2955454,1.022684,-0.0651682,1.031539,0.2822682,1.071445,-0.03755517,1.043598,0.2912913,1.084139,-0.02338381,0.6291586,0.1167082,0.6403188,0.0310354,0.5641583,0.1060198,0.5748722,0.04192501,0.5445867,0.10645,0.5564746,0.09758566,-0.0710891,-0.0007531196,0.120736,0.1539253,-0.06021774,0.02462681,0.1671097,0.1608936,-0.05557327,-0.005691215,0.1703159,-0.1118899,0.01108617,-0.07265402,0.1338688,-0.1486147,0.06160998,-0.01435004,0.1615179,-0.1577989,0.07055055,0.004022039,0.172899,0.09593172,-0.08384472,0.0122049,0.1279914,0.1379549,-0.06906295,0.01741097,0.1552559,0.134508,-0.07217817,-0.003283325,0.1526856,-0.1118899,0.01108617,-0.072654,0.1338688,-0.1486147,0.06160999,-0.01435004,0.1615179,-0.1577989,0.07055058,0.004022038,0.1728989,0.1130205,-0.07821287,0.01028308,0.1378283,-0.1591726,0.8087198,0.05616206,0.5634557,111.4098,-0.1926688,0.9789063,0.06798077,-0.121745,0.02389032,-0.05623451,0.1362164,-0.08782101,-0.3676125,-0.5813144,0.7205707,87.79677,-0.1266561,-0.5301736,-0.8383761,-0.05005493,1.002475,0.3022709,1.048251,-0.01514585,-0.04359053,0.04937063,0.9977139,7.749895,-0.2241209,-0.6450317,0.7305627,0.1245421,-0.07796109,0.007280262,0.147111,0.5100314,0.6436693,-0.3834322,0.4225371,130.0103,0.5627339,0.7101809,-0.423053,-0.1995133,-0.1921457,-0.4262697,0.5083615,-0.2683073,-0.6291844,0.710792,0.1640515,161.1157,-0.2719923,-0.6378258,0.7205542,0.1000549,-0.002475262,-0.002270907,0.1001113,0.6384145,-0.3253758,-0.5983757,0.3584747,137.9869,0.6838645,-0.3485399,-0.6409753,-0.02647909,1.089171,-0.04294292,1.090338,-0.02122583,-0.02517384,-0.02184981,-0.9992189,355.4705,-0.5371233,-0.6370284,-0.5529132,False,False,False,False
1773055590397,0.0833523,0.0127157,0.8982336,0.2207936,0.9250595,-0.5005176,-0.6720858,0.3948227,0.3766934,135.742,-0.5403185,-0.7255297,0.4262188,-0.1234091,0.5616008,0.05881398,0.5780003,0.2643832,0.6268231,-0.7003118,0.2162351,155.024,0.2707898,0.6420124,-0.7172818,-0.03427396,0.980238,0.2969395,1.0248,-0.06499188,1.029305,0.2849593,1.069998,-0.03947511,1.038178,0.2944912,1.07986,-0.02338381,0.6291586,0.1167082,0.6403188,0.0310354,0.5641583,0.1060198,0.5748722,0.04192501,0.5445867,0.10645,0.5564746,0.09813477,-0.07141043,-0.001029454,0.1213711,0.1510203,-0.06287898,0.02397211,0.1653347,0.1551977,-0.0602939,-0.004251212,0.1665526,-0.1118899,0.01108617,-0.07265402,0.1338688,-0.1486147,0.06160998,-0.01435004,0.1615179,-0.1577989,0.07055055,0.004022039,0.172899,0.0961141,-0.08281533,0.01110928,0.1273566,0.1390365,-0.068551,0.01795414,0.1560537,0.1362209,-0.07119431,-0.003363453,0.1537403,-0.1118899,0.01108617,-0.072654,0.1338688,-0.1486147,0.06160999,-0.01435004,0.1615179,-0.1577989,0.07055058,0.004022038,0.1728989,0.113703,-0.07731222,0.009732497,0.1378415,-0.1476076,0.801221,0.05780067,0.5769888,109.5219,-0.180725,0.9809843,0.07076894,-0.121745,0.02389032,-0.05623451,0.1362164,-0.08782101,-0.3676125,-0.5813144,0.7205707,87.79677,-0.1266561,-0.5301736,-0.8383761,-0.0500803,1.003061,0.3032703,1.049101,-0.02357477,-0.06680539,0.06435666,0.9954093,10.98438,-0.2463146,-0.6979982,0.6724133,0.1236981,-0.0780106,0.007625788,0.1464412,0.5096388,0.6353981,-0.386961,0.4322022,128.7852,0.5651497,0.704607,-0.4291096,-0.1997893,-0.1925763,-0.4266391,0.5089424,-0.2674736,-0.63237,0.7114173,0.1498381,162.7649,-0.2705277,-0.6395906,0.7195405,0.1000803,-0.003061056,-0.003270239,0.1001805,0.6599265,-0.3119825,-0.5859604,0.3518729,138.7962,0.7050136,-0.3332976,-0.6259941,-0.02676148,1.089256,-0.04312056,1.090438,-0.02081052,-0.02493761,-0.02201634,-0.9992298,355.5023,-0.5303516,-0.6355296,-0.5610816,True,True,False,False
1773055590409,0.0977876,0.01371072,0.8995035,0.2224542,0.926704,-0.5010148,-0.6709499,0.39884,0.3738141,136.0979,-0.5401756,-0.7233933,0.4300144,-0.1234091,0.5616008,0.05881398,0.5780003,0.2643832,0.6268231,-0.7003118,0.2162351,155.024,0.2707898,0.6420124,-0.7172818,-0.03375811,0.9832807,0.2989983,1.02829,-0.06301153,1.029266,0.2882607,1.070726,-0.04144572,1.030242,0.2989005,1.073526,-0.02338381,0.6291586,0.1167082,0.6403188,0.0310354,0.5641583,0.1060198,0.5748722,0.04192501,0.5445867,0.10645,0.5564746,0.09948246,-0.07233246,-0.001474693,0.1230078,0.1494078,-0.06523904,0.02182446,0.1644844,0.1467283,-0.06667491,-0.002050206,0.1611798,-0.1118899,0.01108617,-0.07265402,0.1338688,-0.1486147,0.06160998,-0.01435004,0.1615179,-0.1577989,0.07055055,0.004022039,0.172899,0.09637778,-0.08199473,0.0101242,0.1269422,0.1398484,-0.06829174,0.01825711,0.1566992,0.1370434,-0.07084054,-0.003260652,0.1543046,-0.1118899,0.01108617,-0.072654,0.1338688,-0.1486147,0.06160999,-0.01435004,0.1615179,-0.1577989,0.07055058,0.004022038,0.1728989,0.1142317,-0.07669487,0.009326377,0.1379056,-0.1394095,0.7948818,0.05548038,0.5879198,107.9809,-0.1723404,0.9826469,0.06858582,-0.121745,0.02389032,-0.05623451,0.1362164,-0.08782101,-0.3676125,-0.5813144,0.7205707,87.79677,-0.1266561,-0.5301736,-0.8383761,-0.05021357,1.003174,0.3035343,1.049291,-0.02671011,-0.0722938,0.069178,0.9946229,11.88877,-0.2579115,-0.6980651,0.6679791,0.1226811,-0.07876864,0.008339739,0.1460298,0.5064377,0.6200559,-0.3906046,0.4544004,125.9473,0.5685216,0.6960682,-0.4384886,-0.200394,-0.1934262,-0.4271435,0.5099246,-0.2618228,-0.637886,0.713898,0.1220648,165.9774,-0.2637955,-0.6426921,0.7192768,0.1002136,-0.003174067,-0.003534257,0.1003261,0.6657709,-0.3086744,-0.5829522,0.3487638,139.1766,0.7103748,-0.3293543,-0.6220076,-0.0270478,1.089415,-0.04329068,1.09061,-0.02026155,-0.02459752,-0.02214252,-0.9992468,355.5521,-0.5221335,-0.6338701,-0.5706055,True,True,False,False
1773055590423,0.1139678,0.01410068,0.9002957,0.2228643,0.9275773,-0.5016544,-0.6709232,0.4006231,0.3710878,136.4346,-0.5402279,-0.7225121,0.431428,-0.1234091,0.5616008,0.05881398,0.5780003,0.2643832,0.6268231,-0.7003118,0.2162351,155.024,0.2707898,0.6420124,-0.7172818,-0.0338101,0.9848128,0.2994465,1.029887,-0.06224894,1.029093,0.2890889,1.070738,-0.04214014,1.02984,0.2993239,1.073285,-0.02338381,0.6291586,0.1167082,0.6403188,0.0310354,0.5641583,0.1060198,0.5748722,0.04192501,0.5445867,0.10645,0.5564746,0.09997467,-0.07283816,-0.001760542,0.123707,0.1482461,-0.066322,0.02069385,0.1637185,0.1455037,-0.06794643,-0.001656026,0.1605951,-0.1118899,0.01108617,-0.07265402,0.1338688,-0.1486147,0.06160998,-0.01435004,0.1615179,-0.1577989,0.07055055,0.004022039,0.172899,0.09667689,-0.0812333,0.009135901,0.1266046,0.1405467,-0.06812794,0.01845974,0.1572754,0.1377469,-0.07059987,-0.003127215,0.1548171,-0.1118899,0.01108617,-0.072654,0.1338688,-0.1486147,0.06160999,-0.01435004,0.1615179,-0.1577989,0.07055058,0.004022038,0.1728989,0.1146948,-0.07616707,0.008905458,0.1379697,-0.1317805,0.7883396,0.05264625,0.5986511,106.4533,-0.164518,0.9841819,0.06572484,-0.121745,0.02389032,-0.05623451,0.1362164,-0.08782101,-0.3676125,-0.5813144,0.7205707,87.79677,-0.1266561,-0.5301736,-0.8383761,-0.05143896,1.002726,0.3053201,1.04944,-0.01471598,-0.08322929,0.06139379,0.9945287,11.99259,-0.140871,-0.7967252,0.5877015,0.1218159,-0.07949629,0.008316666,0.1456981,0.5064958,0.6164854,-0.3911438,0.4587096,125.3923,0.5700017,0.6937822,-0.4401866,-0.200458,-0.193726,-0.4272228,0.5101299,-0.2614715,-0.639501,0.7138756,0.1142491,166.8794,-0.2631948,-0.643716,0.7185808,0.101439,-0.00272572,-0.005320042,0.1016149,0.6649952,-0.3017021,-0.5778209,0.3645277,137.243,0.7141328,-0.3239954,-0.6205171,-0.0272831,1.08946,-0.04346972,1.090668,-0.01947618,-0.02425174,-0.02257272,-0.9992613,355.5952,-0.5068033,-0.6310714,-0.5873803,True,True,False,False
1773055590438,0.1279074,0.01452375,0.9018835,0.2229607,0.9291482,-0.5032005,-0.6721554,0.3962342,0.3714764,136.3866,-0.5419835,-0.7239603,0.4267731,-0.1234091,0.5616008,0.05881398,0.5780003,0.2643832,0.6268231,-0.7003118,0.2162351,155.024,0.2707898,0.6420124,-0.7172818,-0.03593418,0.9865779,0.3010912,1.032126,-0.06041637,1.028164,0.2922172,1.070589,-0.0426174,1.026847,0.3023072,1.07127,-0.02338381,0.6291586,0.1167082,0.6403188,0.0310354,0.5641583,0.1060198,0.5748722,0.04192501,0.5445867,0.10645,0.5564746,0.1010646,-0.07489625,-0.0001654178,0.1257916,0.145872,-0.06873807,0.01885752,0.1623551,0.1417357,-0.07132075,-0.001056418,0.1586719,-0.1118899,0.01108617,-0.07265402,0.1338688,-0.1486147,0.06160998,-0.01435004,0.1615179,-0.1577989,0.07055055,0.004022039,0.172899,0.09708179,-0.0806485,0.008277561,0.1264815,0.1410381,-0.06818424,0.01849645,0.1577433,0.138115,-0.0706664,-0.002936119,0.1551712,-0.1118899,0.01108617,-0.072654,0.1338688,-0.1486147,0.06160999,-0.01435004,0.1615179,-0.1577989,0.07055058,0.004022038,0.1728989,0.1150963,-0.07585275,0.0085433,0.1381079,-0.125565,0.7826595,0.04845018,0.6077256,105.1496,-0.158113,0.9855344,0.06100907,-0.121745,0.02389032,-0.05623451,0.1362164,-0.08782101,-0.3676125,-0.5813144,0.7205707,87.79677,-0.1266561,-0.5301736,-0.8383761,-0.05195112,1.00218,0.3063366,1.04924,0.004525547,-0.09414134,0.0533476,0.9941182,12.4347,0.04178695,-0.8692604,0.4925887,0.1205406,-0.081754,0.009461962,0.1459564,0.5032686,0.6124977,-0.4032496,0.4571183,125.5974,0.5658481,0.6886595,-0.4533921,-0.2006767,-0.1958128,-0.4265235,0.5104274,-0.2463154,-0.635465,0.7225357,0.1159965,166.6778,-0.2479894,-0.6397837,0.7274463,0.1019511,-0.002179742,-0.006336629,0.1021711,0.6611503,-0.2903425,-0.5750384,0.3845939,134.7629,0.7162392,-0.3145346,-0.6229522,-0.0275101,1.089511,-0.04362521,1.090731,-0.01895512,-0.02367487,-0.02302813,-0.9992747,355.6354,-0.4977856,-0.621732,-0.604748,True,True,False,False
1773055590451,0.1384526,0.0146827,0.9029804,0.2220038,0.9299865,-0.5067368,-0.6757714,0.3834908,0.373478,136.1395,-0.5462651,-0.7284853,0.4134052,-0.1234091,0.5616008,0.05881398,0.5780003,0.2643832,0.6268231,-0.7003118,0.2162351,155.024,0.2707898,0.6420124,-0.7172818,-0.03724334,0.9864125,0.3019879,1.032276,-0.05944335,1.02709,0.2940969,1.070019,-0.04276336,1.024028,0.3044225,1.069175,-0.02338381,0.6291586,0.1167082,0.6403188,0.0310354,0.5641583,0.1060198,0.5748722,0.04192501,0.5445867,0.10645,0.5564746,0.1010999,-0.07637515,0.0005838424,0.1267071,0.1443006,-0.0703209,0.01810017,0.1615404,0.1390651,-0.07352408,-0.0007821769,0.1573071,-0.1118899,0.01108617,-0.07265402,0.1338688,-0.1486147,0.06160998,-0.01435004,0.1615179,-0.1577989,0.07055055,0.004022039,0.172899,0.09740537,-0.08030436,0.007657972,0.1264723,0.1413009,-0.06835631,0.01846454,0.1580489,0.1381915,-0.07089653,-0.002762658,0.1553411,-0.1118899,0.01108617,-0.072654,0.1338688,-0.1486147,0.06160999,-0.01435004,0.1615179,-0.1577989,0.07055058,0.004022038,0.1728989,0.115356,-0.07573183,0.008290119,0.1382427,-0.1213458,0.7785029,0.04434284,0.6142005,104.2123,-0.1537677,0.9865081,0.05619063,-0.121745,0.02389032,-0.05623451,0.1362164,-0.08782101,-0.3676125,-0.5813144,0.7205707,87.79677,-0.1266561,-0.5301736,-0.8383761,-0.05254317,1.001469,0.3073804,1.048896,0.02389174,-0.1070952,0.04013193,0.9931511,13.4191,0.2044891,-0.916626,0.3434887,0.1199714,-0.08310298,0.009663584,0.1462622,0.5053949,0.6078681,-0.4120741,0.4530644,126.1191,0.5669181,0.6818657,-0.4622371,-0.2009516,-0.196848,-0.4258553,0.5103758,-0.2293608,-0.6262194,0.7354544,0.1197898,166.2401,-0.2310244,-0.6307614,0.7407886,0.1025432,-0.001468897,-0.007380426,0.1028189,0.6563043,-0.2809701,-0.5687788,0.4084252,131.7881,0.7190078,-0.3078141,-0.62312,-0.02770365,1.089527,-0.04381137,1.090759,-0.01851775,-0.02319559,-0.02337315,-0.9992861,355.6698,-0.4901631,-0.6139852,-0.6186854,True,True,False,False
