Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773056088872,0,1,1,135,-0.4418679,0.876218,0.1923405,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.4082327,0.8095198,0.1776995,0.3826834,135,-0.4418679,0.876218,0.1923405
Grab,1773056092858,3.136459,1,1,135,-0.4418679,0.876218,0.1923405,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.4082327,0.8095198,0.1776995,0.3826834,135,-0.4418679,0.876218,0.1923405
Trial Start,1773056092881,0,1,1,135,-0.4418679,0.876218,0.1923405,1,-1,-0.05,1,0.3,1.045227,0.01740185,0.01339424,0.005651034,0.9997429,2.598404,0.7674955,0.5907428,0.2492346,0.1,0,0,0.1,-0.4169816,0.7987867,0.1950463,0.3873281,134.4233,-0.4522862,0.8664175,0.2115603
Clutch Start,1773056093481,0.6105067,1,1,135,-0.4418679,0.876218,0.1923405,1,0,-0.0215211,0.9821914,0.2588068,1.015945,-0.4421606,-0.03375154,0.7540715,0.4844905,122.0418,-0.505444,-0.03858216,0.8619965,0.0715211,0.01780862,0.04119325,0.08443516,-0.6450108,0.1758558,-0.5741932,0.4725865,123.5954,-0.7318986,0.199545,-0.6515414
Clutch End,1773056093856,0.9858464,1,1,135,-0.4418679,0.876218,0.1923405,1,0,-0.009797761,0.9608998,0.2389909,0.9902227,-0.5422298,-0.04177662,0.6492615,0.5316965,115.7597,-0.640226,-0.04932683,0.7666014,0.05979776,0.03910023,0.06100909,0.09395057,-0.5425674,0.2777102,-0.6099797,0.5063818,119.1538,-0.6292027,0.322054,-0.7073792
Release,1773056093857,0.9858464,1,1,135,-0.4418679,0.876218,0.1923405,1,0,-0.009797761,0.9608998,0.2389909,0.9902227,-0.5422298,-0.04177662,0.6492615,0.5316965,115.7597,-0.640226,-0.04932683,0.7666014,0.05979776,0.03910023,0.06100909,0.09395057,-0.5425674,0.2777102,-0.6099797,0.5063818,119.1538,-0.6292027,0.322054,-0.7073792
Grab,1773056094538,1.666702,1,1,135,-0.4418679,0.876218,0.1923405,1,0,-0.009797761,0.9608998,0.2389909,0.9902227,-0.5422298,-0.04177662,0.6492615,0.5316965,115.7597,-0.640226,-0.04932683,0.7666014,0.05979776,0.03910023,0.06100909,0.09395057,-0.5425674,0.2777102,-0.6099797,0.5063818,119.1538,-0.6292027,0.322054,-0.7073792
Clutch Start,1773056095662,2.79218,1,1,135,-0.4418679,0.876218,0.1923405,1,0,0.04965102,1.010141,0.2810045,1.049673,-0.6967545,0.2045143,0.3846011,0.5699028,110.5131,-0.8479301,0.248888,0.4680485,0.0003489815,-0.01014054,0.01899549,0.02153558,-0.2410167,0.3498895,-0.5264562,0.7364321,85.14327,-0.3562641,0.5171967,-0.7781925
Clutch End,1773056096538,3.667165,1,1,135,-0.4418679,0.876218,0.1923405,1,0,0.0461546,1.021261,0.2552472,1.053687,-0.4817723,0.2080212,0.3224499,0.7878126,76.03688,-0.7822058,0.3377434,0.5235299,0.003845397,-0.02126133,0.04475278,0.0496955,-0.361309,0.5121197,-0.2884855,0.7238545,87.25272,-0.5236722,0.7422535,-0.4181236
Release,1773056096538,3.667165,1,1,135,-0.4418679,0.876218,0.1923405,1,0,0.0461546,1.021261,0.2552472,1.053687,-0.4817723,0.2080212,0.3224499,0.7878126,76.03688,-0.7822058,0.3377434,0.5235299,0.003845397,-0.02126133,0.04475278,0.0496955,-0.361309,0.5121197,-0.2884855,0.7238545,87.25272,-0.5236722,0.7422535,-0.4181236
Grab,1773056097732,4.861828,1,1,135,-0.4418679,0.876218,0.1923405,1,0,0.0461546,1.021261,0.2552472,1.053687,-0.4817723,0.2080212,0.3224499,0.7878126,76.03688,-0.7822058,0.3377434,0.5235299,0.003845397,-0.02126133,0.04475278,0.0496955,-0.361309,0.5121197,-0.2884855,0.7238545,87.25272,-0.5236722,0.7422535,-0.4181236
Release,1773056098483,5.612174,1,1,135,-0.4418679,0.876218,0.1923405,1,0,0.05372035,0.9927351,0.2532053,1.025925,-0.4557637,0.8376415,0.2687223,0.1357367,164.3976,-0.4600212,0.8454664,0.2712326,-0.003720351,0.007264912,0.04679471,0.04750121,0.05031344,-0.2393822,-0.1057123,0.9638411,30.90953,0.1888094,-0.8983207,-0.3967025
Grab,1773056099317,6.445662,1,1,135,-0.4418679,0.876218,0.1923405,1,0,0.05372035,0.9927351,0.2532053,1.025925,-0.4557637,0.8376415,0.2687223,0.1357367,164.3976,-0.4600212,0.8454664,0.2712326,-0.003720351,0.007264912,0.04679471,0.04750121,0.05031344,-0.2393822,-0.1057123,0.9638411,30.90953,0.1888094,-0.8983207,-0.3967025
Clutch Start,1773056099941,7.070928,1,1,135,-0.4418679,0.876218,0.1923405,1,0,0.05538362,1.00905,0.294836,1.0527,-0.3915819,0.8253378,0.02671,0.405916,132.1029,-0.4284686,0.9030841,0.02922606,-0.005383622,-0.009049654,0.005164057,0.01172805,0.1091835,0.07143397,0.08184624,0.9880676,17.72014,0.7088834,0.4637913,0.5313939
On Target,1773056100788,7.931929,1,1,135,-0.4418679,0.876218,0.1923405,1,-1,0.05387801,1.002239,0.2993775,1.047384,-0.4521107,0.7993288,0.1042419,0.3818416,135.1044,-0.4891768,0.8648613,0.1127881,-0.003878009,-0.002239108,0.0006225109,0.00452107,0.07478947,0.04100332,-0.01171901,0.9962871,9.877756,0.868705,0.4762674,-0.1361203
Trial End,1773056101775,8.918175,1,2,135,-0.4418679,0.876218,0.1923405,1,-1,0.05135144,1.002079,0.3001856,1.047335,-0.4711513,0.7818053,0.1413266,0.3831758,134.9389,-0.5100831,0.846407,0.1530046,-0.001351442,-0.002079129,-0.0001855493,0.002486685,0.04839661,0.03703368,-0.04824094,0.996975,8.915374,0.6226833,0.476485,-0.6206805
Trial Load,1773056101777,8.918175,1,2,135,0.3673602,0.8267113,0.4261396,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.3393966,0.7637817,0.3937016,0.3826834,135,0.3673602,0.8267114,0.4261396
Grab,1773056103441,10.57082,1,2,135,0.3673602,0.8267113,0.4261396,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.3393966,0.7637817,0.3937016,0.3826834,135,0.3673602,0.8267114,0.4261396
