Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,-0.4418679,0.876218,0.1923405,1,8.918175,False,-0.001351442,-0.002079129,-0.0001855493,0.002486685,0.04839661,0.03703368,-0.04824094,0.996975,8.915374,0.6226833,0.476485,-0.6206805,0.301609,0.2702093,0.3084155,0.6295365,409.8185,0.2802896,675.437,0,0,0,0,0,0,0,0.593795,716.0811,0.1432587,39.73334
1,3,135,0.3673602,0.8267113,0.4261396,1,14.87379,False,0.0008906163,-0.004040956,0.005857766,0.007171886,0.01627062,0.03516432,-0.04364303,-0.9982956,353.3087,0.2787983,0.6025433,-0.7478267,0.4452975,0.3422521,0.8758146,0.8686888,640.5179,0.5325831,1668.101,0,0,0,0,0,0,0,0.9517487,1615.715,0.3440731,87.68818
1,4,135,0.03960935,-0.9496207,0.3108885,1,6.665174,False,-0.0002607517,-0.00332284,0.003507257,0.004838399,0.02378355,-0.03288884,-0.01319272,0.9990889,4.892013,0.5572808,-0.7706303,-0.3091233,0.2163734,0.2254182,0.2197223,0.5042915,347.1067,0.2222329,526.7145,0,0,0,0,0,0,0,0.4317372,621.5877,0.09862737,28.63578
1,5,135,0.3046966,-0.2676299,0.9140756,1,8.821303,False,0.00212707,-8.118153E-05,0.004424065,0.004909519,-0.03389041,0.06526554,0.006438946,0.9972715,8.466919,-0.4590918,0.8841106,0.0872243,0.3103499,0.2832606,0.3684121,0.7570712,412.4725,0.291534,549.8356,0,0,0,0,0,0,0,0.695771,661.2883,0.1739192,44.5066
1,6,135,-0.7979014,0.272611,-0.5376213,1,4.74894,False,-0.0011869,0.00199163,0.003869057,0.004510534,0.05475437,-0.03382525,0.00480814,-0.9979153,352.5992,0.8483847,-0.5241012,0.07449912,0.08843891,0.06375467,0.1552792,0.2944349,228.8613,0.1111884,354.937,0,0,0,0,0,0,0,0.3242787,465.1766,0.1202333,33.85668
1,7,135,-0.07613043,0.6457289,0.759762,1,5.652611,False,0.0003900602,-0.001807213,0.002840161,0.003388906,-0.04462255,0.03667464,0.05343074,0.9968997,9.025682,-0.5671208,0.4661086,0.6790665,0.08787259,0.1234941,0.221414,0.3143992,361.29,0.1856457,379.6397,0,0,0,0,0,0,0,0.3774722,389.2121,0.07916497,22.85708
1,8,135,-0.7322342,-0.4753796,0.4876959,1,8.291864,False,-0.0004396252,-0.0001548529,0.00290066,0.00293787,-0.01403487,-0.0004191471,0.006378014,0.9998811,1.767191,-0.9100848,-0.02717941,0.4135794,0.2802158,0.2927429,0.3354137,0.5845404,387.3882,0.2750226,468.705,0,0,0,0,0,0,0,0.7310537,696.7693,0.1320656,38.59799
1,9,135,0.9057084,-0.370913,0.2052213,1,9.930955,False,0.0005897991,-0.0004160404,0.004796326,0.00485033,-0.07185531,0.00638257,0.02124181,0.9971685,8.625412,-0.9555269,0.08487497,0.2824721,0.2225824,0.2277607,0.3017842,0.5632983,383.2906,0.1716986,618.3406,0,0,0,0,0,0,0,0.5259534,704.1845,0.2335204,54.60533
1,10,135,-0.3169159,-0.6694745,-0.6718395,1,6.832163,False,-0.0007716864,0.0008579493,0.001685321,0.002042519,-0.03547342,-0.02092791,-0.03053776,0.9986848,5.877831,-0.6918771,-0.4081801,-0.5956115,0.2062652,0.1290706,0.2234526,0.3393508,323.8867,0.2378967,604.1077,0,0,0,0,0,0,0,0.3791877,623.5302,0.07912226,23.79067
1,11,135,-0.7542682,-0.3174981,0.5746951,1,10.30483,False,0.001529615,-0.0007981062,0.00231576,0.002887809,-0.0065843,-0.03612325,-0.0007356529,0.9993255,4.209183,-0.1792939,-0.983655,-0.02003221,0.2052486,0.2077782,0.2522085,0.475219,308.8225,0.2708723,699.3381,0,0,0,0,0,0,0,0.4861218,530.3063,0.1730664,54.27048
