Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Thumb Tip Euro Position X,Right Thumb Tip Euro Position Y,Right Thumb Tip Euro Position Z,Right Thumb Tip Euro Position Magnitude,Right Index Tip Euro Position X,Right Index Tip Euro Position Y,Right Index Tip Euro Position Z,Right Index Tip Euro Position Magnitude,Right Middle Tip Euro Position X,Right Middle Tip Euro Position Y,Right Middle Tip Euro Position Z,Right Middle Tip Euro Position Magnitude,Right Triangle Local Position X,Right Triangle Local Position Y,Right Triangle Local Position Z,Right Triangle Local Position Magnitude,Right Triangle Local Rotation X,Right Triangle Local Rotation Y,Right Triangle Local Rotation Z,Right Triangle Local Rotation W,Right Triangle Local Rotation Angle,Right Triangle Local Rotation Axis X,Right Triangle Local Rotation Axis Y,Right Triangle Local Rotation Axis Z,Right Triangle Area,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Right Angle Scale Factor,Right Is Grabbed,Right Is Rotating,Right Is Clutching,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Thumb Tip Euro Position X,Left Thumb Tip Euro Position Y,Left Thumb Tip Euro Position Z,Left Thumb Tip Euro Position Magnitude,Left Index Tip Euro Position X,Left Index Tip Euro Position Y,Left Index Tip Euro Position Z,Left Index Tip Euro Position Magnitude,Left Middle Tip Euro Position X,Left Middle Tip Euro Position Y,Left Middle Tip Euro Position Z,Left Middle Tip Euro Position Magnitude,Left Triangle Local Position X,Left Triangle Local Position Y,Left Triangle Local Position Z,Left Triangle Local Position Magnitude,Left Triangle Local Rotation X,Left Triangle Local Rotation Y,Left Triangle Local Rotation Z,Left Triangle Local Rotation W,Left Triangle Local Rotation Angle,Left Triangle Local Rotation Axis X,Left Triangle Local Rotation Axis Y,Left Triangle Local Rotation Axis Z,Left Triangle Area,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Left Angle Scale Factor,Left Is Grabbed,Left Is Rotating,Left Is Clutching,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773056165025,0.0166674,0.005202612,0.9116995,0.2245727,0.9389653,-0.1867741,-0.2576961,-0.7466615,0.5841274,108.5173,-0.2301132,-0.3174919,-0.9199168,-0.06871215,1.001027,0.2773094,1.040998,-0.05777954,1.014061,0.303441,1.060063,-0.07498885,0.9959446,0.3014832,1.043274,-0.0218385,-0.08482957,0.104347,0.1362398,-0.01934478,-0.07142241,0.1347834,0.1537593,-0.0009602926,-0.08601933,0.1218362,0.1491453,-0.02240046,-0.08494973,0.1042014,0.1362944,-0.02114591,-0.070043,0.1370998,0.1554012,-0.0001455974,-0.08447169,0.1266466,0.1522328,-0.01624794,-0.07983343,0.1210024,0.1458731,-0.1152559,0.3629069,-0.2608996,0.8870998,54.97792,-0.2497,0.7862315,-0.5652345,4.203964,-0.009108195,-0.05794455,0.114394,0.1285555,0.2194279,0.2669124,0.7445781,0.5711506,110.339,0.2673194,0.3251677,0.9070869,1.299983,True,True,False,0,-0.01964102,0.04598076,0.05,0.5,0,0,0.8660254,60,1,0,0,0.02675276,-0.1434686,0.05784744,0.1569882,0.01228687,-0.1770366,0.0810405,0.195091,-0.003807272,-0.1812146,0.07136431,0.1947975,0.02861508,-0.05523155,0.1210493,0.1360966,0.01314219,-0.05169992,0.1645475,0.1729783,-0.004072305,-0.06289746,0.1632427,0.1749882,0.02861508,-0.05523155,0.1210493,0.1360966,0.01314219,-0.05169993,0.1645475,0.1729783,-0.004072304,-0.06289747,0.1632427,0.1749881,0.01868946,-0.05657657,0.1370903,0.149479,-0.3284065,0.03000154,0.8957002,-0.298279,214.7085,-0.344069,0.03143238,0.9384181,4.687474,0,0,0,0,0,0,0,0,0,1,0,0,0.3548855,False,True,False,-0.05000002,1,0.3,1.045227,0.01455123,-0.01341751,0.0002922343,0.9998041,2.268374,0.7351529,-0.6778759,0.01476418,0.1,0,0,0.1,0.8285893,-0.3399916,0.1956917,0.3994377,132.9139,0.903823,-0.3708619,0.21346,-0.1196797,1.098938,-0.03288741,1.105925,0.05522904,-0.03364704,-0.1589008,-0.9851742,340.2433,0.3219281,-0.1961274,-0.926227,False
1773056165036,0.02752,0.005206159,0.9119333,0.2246533,0.9392117,-0.1906402,-0.2529444,-0.7336627,0.6011776,106.0914,-0.2385641,-0.3165305,-0.9180936,-0.07061926,0.9983445,0.2794705,1.039126,-0.05953705,1.011765,0.3054282,1.058536,-0.07603738,0.9928123,0.3033898,1.040915,-0.02179976,-0.08483427,0.1043372,0.136229,-0.01929095,-0.07143573,0.1348597,0.1538257,-0.001027828,-0.0859911,0.1213769,0.1487544,-0.02229559,-0.08493005,0.1042247,0.1362828,-0.02082144,-0.07029302,0.1366961,0.1551144,-0.0002981338,-0.08474436,0.1256668,0.1515713,-0.01615425,-0.07987691,0.1208241,0.1457386,-0.1133928,0.3716764,-0.2614252,0.8835472,55.85347,-0.2421154,0.7936001,-0.5581928,4.075224,-0.009020599,-0.05798521,0.1142274,0.1284194,0.2300109,0.2688855,0.7413343,0.5702802,110.4605,0.2800058,0.3273301,0.9024699,1.167982,True,True,False,0,-0.01964102,0.04598076,0.05,0.5,0,0,0.8660254,60,1,0,0,0.02675276,-0.1434686,0.05784744,0.1569882,0.01228687,-0.1770366,0.0810405,0.195091,-0.003807272,-0.1812146,0.07136431,0.1947975,0.02861508,-0.05523155,0.1210493,0.1360966,0.01314219,-0.05169992,0.1645475,0.1729783,-0.004072305,-0.06289746,0.1632427,0.1749882,0.02861508,-0.05523155,0.1210493,0.1360966,0.01314219,-0.05169993,0.1645475,0.1729783,-0.004072304,-0.06289747,0.1632427,0.1749881,0.01868946,-0.05657657,0.1370903,0.149479,-0.3284065,0.03000154,0.8957002,-0.298279,214.7085,-0.344069,0.03143238,0.9384181,4.687474,0,0,0,0,0,0,0,0,0,1,0,0,0.3548855,False,True,False,-0.05119526,0.9984567,0.300855,1.044055,0.02891607,-0.01604291,0.01516559,0.999338,4.169755,0.7948292,-0.4409787,0.4168634,0.1011953,0.001543283,-0.0008549988,0.1012106,0.8273011,-0.3291052,0.1871859,0.414999,130.9615,0.9093001,-0.3617249,0.205739,-0.121658,1.098425,-0.03240231,1.105617,0.05433121,-0.0335659,-0.1617425,-0.9847644,339.9714,0.3124387,-0.1930251,-0.9301214,False
1773056165050,0.041646,0.005161336,0.9122401,0.2246068,0.9394982,-0.1923008,-0.2522731,-0.7259877,0.6101808,104.7948,-0.2427236,-0.3184213,-0.9163477,-0.07189021,0.9971064,0.2801107,1.038196,-0.06082517,1.010814,0.3060038,1.057867,-0.07689118,0.9914207,0.3039805,1.039823,-0.02181186,-0.08482565,0.1043339,0.136223,-0.01926649,-0.07142422,0.1349282,0.1538774,-0.001054529,-0.08594449,0.1212258,0.1486043,-0.02219133,-0.08490803,0.1042479,0.1362697,-0.0204854,-0.07054298,0.1363039,0.1548377,-0.0004598198,-0.08500951,0.1246519,0.1508805,-0.01605798,-0.0799111,0.120655,0.1456066,-0.1114644,0.3812257,-0.2616595,0.879646,56.80062,-0.2343516,0.801519,-0.5501336,3.947757,-0.008930584,-0.05801715,0.1140692,0.1282869,0.2399506,0.2708099,0.7383693,0.569119,110.6224,0.2918201,0.3293503,0.8979809,1.011794,True,True,False,0,-0.01964102,0.04598076,0.05,0.5,0,0,0.8660254,60,1,0,0,0.02675276,-0.1434686,0.05784744,0.1569882,0.01228687,-0.1770366,0.0810405,0.195091,-0.003807272,-0.1812146,0.07136431,0.1947975,0.02861508,-0.05523155,0.1210493,0.1360966,0.01314219,-0.05169992,0.1645475,0.1729783,-0.004072305,-0.06289746,0.1632427,0.1749882,0.02861508,-0.05523155,0.1210493,0.1360966,0.01314219,-0.05169993,0.1645475,0.1729783,-0.004072304,-0.06289747,0.1632427,0.1749881,0.01868946,-0.05657657,0.1370903,0.149479,-0.3284065,0.03000154,0.8957002,-0.298279,214.7085,-0.344069,0.03143238,0.9384181,4.687474,0,0,0,0,0,0,0,0,0,1,0,0,0.3548855,False,True,False,-0.0524785,0.9962511,0.3024642,1.042475,0.03931391,-0.01002353,0.03419982,0.9985912,6.08339,0.7408936,-0.1888992,0.6445155,0.1024785,0.003748894,-0.002464175,0.1025767,0.830361,-0.3171971,0.1711602,0.42496,129.7038,0.917311,-0.3504119,0.189083,-0.1233644,1.097869,-0.03200068,1.105242,0.05384899,-0.03349029,-0.163979,-0.9844235,339.748,0.3062845,-0.1904875,-0.9326865,False
1773056165064,0.0555417,0.005108996,0.9126652,0.22453,0.9398924,-0.194289,-0.2513572,-0.7185896,0.6186278,103.568,-0.2472864,-0.3199214,-0.9146037,-0.07298753,0.9960893,0.2807446,1.037467,-0.0619152,1.010066,0.3065834,1.057383,-0.07756156,0.9902526,0.304569,1.038931,-0.02183939,-0.0848175,0.1043283,0.1362181,-0.01924245,-0.07140914,0.1350048,0.1539345,-0.001079632,-0.08588951,0.1210668,0.148443,-0.02211658,-0.08488918,0.1042647,0.1362587,-0.02022049,-0.07073137,0.1360202,0.1546392,-0.0005905146,-0.08520087,0.1238454,0.1503237,-0.01598527,-0.07992683,0.1205353,0.1455081,-0.110005,0.3891953,-0.261469,0.8763903,57.58011,-0.2284149,0.8081271,-0.5429156,3.852162,-0.008862602,-0.05803186,0.1139574,0.1281894,0.2468102,0.2722396,0.7364371,0.5680061,110.7774,0.299882,0.3307795,0.8947937,0.8418508,True,True,False,0,-0.01964102,0.04598076,0.05,0.5,0,0,0.8660254,60,1,0,0,0.02675276,-0.1434686,0.05784744,0.1569882,0.01228687,-0.1770366,0.0810405,0.195091,-0.003807272,-0.1812146,0.07136431,0.1947975,0.02861508,-0.05523155,0.1210493,0.1360966,0.01314219,-0.05169992,0.1645475,0.1729783,-0.004072305,-0.06289746,0.1632427,0.1749882,0.02861508,-0.05523155,0.1210493,0.1360966,0.01314219,-0.05169993,0.1645475,0.1729783,-0.004072304,-0.06289747,0.1632427,0.1749881,0.01868946,-0.05657657,0.1370903,0.149479,-0.3284065,0.03000154,0.8957002,-0.298279,214.7085,-0.344069,0.03143238,0.9384181,4.687474,0,0,0,0,0,0,0,0,0,1,0,0,0.3548855,False,True,False,-0.05351696,0.9952687,0.3028414,1.041699,0.04730515,-0.01054258,0.04582153,0.9977733,7.648568,0.7092558,-0.1580671,0.6870115,0.103517,0.004731297,-0.002841353,0.103664,0.8305026,-0.3085086,0.1642536,0.4337151,128.5929,0.9217051,-0.3423879,0.1822913,-0.1250115,1.097637,-0.03154497,1.105183,0.05245848,-0.03306519,-0.1666673,-0.9840614,339.5134,0.2949941,-0.1859382,-0.9372336,False
1773056165078,0.0695877,0.005046761,0.912895,0.2245745,0.9401258,-0.1978402,-0.2504783,-0.7129422,0.6243663,102.7286,-0.2532738,-0.3206608,-0.9127042,-0.07350039,0.9955295,0.2813138,1.03712,-0.06230528,1.009799,0.3071658,1.057321,-0.07766997,0.9895704,0.3050512,1.038431,-0.02189157,-0.08482487,0.1043045,0.1362128,-0.01921881,-0.07138079,0.1351764,0.1540689,-0.001111318,-0.08583725,0.1208065,0.1482008,-0.02206846,-0.08487568,0.1042731,0.1362489,-0.02000543,-0.07087338,0.1358349,0.1545133,-0.0007011842,-0.08534,0.1231585,0.149838,-0.01593654,-0.07992318,0.1204595,0.1454379,-0.1089399,0.3962964,-0.2606807,0.8735713,58.24731,-0.2238356,0.8142583,-0.5356128,3.780717,-0.008817038,-0.05802843,0.1138865,0.1281217,0.2519641,0.2734511,0.7351985,0.5667644,110.9502,0.3058262,0.3319065,0.8923611,0.719538,True,True,False,0,-0.01964102,0.04598076,0.05,0.5,0,0,0.8660254,60,1,0,0,0.02675276,-0.1434686,0.05784744,0.1569882,0.01228687,-0.1770366,0.0810405,0.195091,-0.003807272,-0.1812146,0.07136431,0.1947975,0.02861508,-0.05523155,0.1210493,0.1360966,0.01314219,-0.05169992,0.1645475,0.1729783,-0.004072305,-0.06289746,0.1632427,0.1749882,0.02861508,-0.05523155,0.1210493,0.1360966,0.01314219,-0.05169993,0.1645475,0.1729783,-0.004072304,-0.06289747,0.1632427,0.1749881,0.01868946,-0.05657657,0.1370903,0.149479,-0.3284065,0.03000154,0.8957002,-0.298279,214.7085,-0.344069,0.03143238,0.9384181,4.687474,0,0,0,0,0,0,0,0,0,1,0,0,0.3548855,False,True,False,-0.05436378,0.9945207,0.3032396,1.041144,0.05284615,-0.008631063,0.0565616,0.9969622,8.934247,0.6784979,-0.1108152,0.7262009,0.1043638,0.005479336,-0.003239632,0.1045577,0.8317463,-0.3010259,0.1564915,0.4394225,127.8659,0.9259316,-0.3351134,0.1742123,-0.126499,1.09694,-0.03118602,1.10465,0.05263924,-0.03317189,-0.1686745,-0.9837061,339.2857,0.2927916,-0.1845097,-0.9382066,False
1773056165092,0.0832255,0.004992133,0.9133959,0.2245197,0.9405988,-0.2021002,-0.2481743,-0.7086615,0.6287798,102.0797,-0.259908,-0.319161,-0.911364,-0.07348506,0.9956579,0.2818939,1.0374,-0.06204712,1.010402,0.3084905,1.058267,-0.07732913,0.9895481,0.3058922,1.038631,-0.0221472,-0.08481248,0.1042608,0.136213,-0.01915324,-0.0712638,0.136122,0.1548372,-0.001090466,-0.08582153,0.1208167,0.1481999,-0.02208488,-0.08486272,0.1042706,0.1362416,-0.01982687,-0.07095655,0.1358963,0.1545824,-0.0007819369,-0.08544257,0.122643,0.1494735,-0.01593478,-0.07989363,0.1204886,0.1454455,-0.1078354,0.4023575,-0.2591495,0.8713906,58.75872,-0.2198076,0.8201504,-0.5282406,3.752467,-0.008815431,-0.05800084,0.1139136,0.1281332,0.255603,0.274154,0.7346562,0.5654973,111.1263,0.3099157,0.3324085,0.8907621,0.5890527,True,True,False,0,-0.01964102,0.04598076,0.05,0.5,0,0,0.8660254,60,1,0,0,0.02675276,-0.1434686,0.05784744,0.1569882,0.01228687,-0.1770366,0.0810405,0.195091,-0.003807272,-0.1812146,0.07136431,0.1947975,0.02861508,-0.05523155,0.1210493,0.1360966,0.01314219,-0.05169992,0.1645475,0.1729783,-0.004072305,-0.06289746,0.1632427,0.1749882,0.02861508,-0.05523155,0.1210493,0.1360966,0.01314219,-0.05169993,0.1645475,0.1729783,-0.004072304,-0.06289747,0.1632427,0.1749881,0.01868946,-0.05657657,0.1370903,0.149479,-0.3284065,0.03000154,0.8957002,-0.298279,214.7085,-0.344069,0.03143238,0.9384181,4.687474,0,0,0,0,0,0,0,0,0,1,0,0,0.3548855,False,True,False,-0.05460755,0.9941855,0.3036212,1.040948,0.0559927,-0.005412573,0.06397488,0.9963648,9.773837,0.6572736,-0.06353581,0.7509729,0.1046076,0.005814493,-0.003621221,0.1048316,0.8331928,-0.2964462,0.1497699,0.4421294,127.5203,0.9289166,-0.3305043,0.1669767,-0.1280855,1.096508,-0.03072648,1.104391,0.05238257,-0.03334625,-0.1708675,-0.9833353,339.0507,0.2881316,-0.1834219,-0.9398607,False
1773056165108,0.1000534,0.005264706,0.9140639,0.2247257,0.9412981,-0.2058058,-0.2448832,-0.6998273,0.6386847,100.6124,-0.2674649,-0.3182497,-0.9094943,-0.07425902,0.9950244,0.2824576,1.037001,-0.06223091,1.010294,0.3108805,1.058873,-0.07721713,0.9884527,0.3076031,1.038085,-0.02312007,-0.08524212,0.1036652,0.1361882,-0.0190863,-0.07106555,0.1374182,0.1558793,-0.001069523,-0.08579007,0.1208781,0.1482315,-0.02233823,-0.08495427,0.104124,0.1362279,-0.01964463,-0.07098375,0.1362765,0.154906,-0.0008520701,-0.08552929,0.1221893,0.1491516,-0.01606446,-0.07988203,0.1205518,0.1455058,-0.108325,0.4081186,-0.2559063,0.8696073,59.17392,-0.2193951,0.8265793,-0.5182976,3.797337,-0.008936658,-0.05799,0.1139727,0.1281893,0.2581724,0.2753286,0.7347038,0.5636948,111.3766,0.3125637,0.3333344,0.8894899,0.4884105,True,True,False,0,-0.01964102,0.04598076,0.05,0.5,0,0,0.8660254,60,1,0,0,0.02675276,-0.1434686,0.05784744,0.1569882,0.01228687,-0.1770366,0.0810405,0.195091,-0.003807272,-0.1812146,0.07136431,0.1947975,0.02861508,-0.05523155,0.1210493,0.1360966,0.01314219,-0.05169992,0.1645475,0.1729783,-0.004072305,-0.06289746,0.1632427,0.1749882,0.02861508,-0.05523155,0.1210493,0.1360966,0.01314219,-0.05169993,0.1645475,0.1729783,-0.004072304,-0.06289747,0.1632427,0.1749881,0.01868946,-0.05657657,0.1370903,0.149479,-0.3284065,0.03000154,0.8957002,-0.298279,214.7085,-0.344069,0.03143238,0.9384181,4.687474,0,0,0,0,0,0,0,0,0,1,0,0,0.3548855,False,True,False,-0.05431295,0.994381,0.3041592,1.041276,0.05839047,-0.0006213213,0.06921835,0.9958911,10.39153,0.6447778,-0.006860951,0.7643449,0.1043129,0.005618989,-0.004159212,0.1045469,0.8345841,-0.2941845,0.1428427,0.4433068,127.3699,0.9310711,-0.3281954,0.1593569,-0.1296978,1.09608,-0.0303853,1.104145,0.05197749,-0.03395143,-0.172916,-0.982978,338.8266,0.2829116,-0.1847964,-0.9411755,False
1773056165119,0.1109672,0.005445173,0.9145989,0.2247687,0.941829,-0.2097322,-0.2423881,-0.6949495,0.6436658,99.86858,-0.2740499,-0.3167203,-0.9080667,-0.07427236,0.9951572,0.2827822,1.037217,-0.06177103,1.010817,0.3124356,1.059803,-0.07668342,0.9883041,0.3086381,1.038211,-0.02376283,-0.08544346,0.1033453,0.1361819,-0.01901693,-0.07090193,0.1384361,0.1566949,-0.00104381,-0.08576766,0.1209226,0.1482547,-0.02258498,-0.08503786,0.1039905,0.1362188,-0.01953505,-0.07096927,0.1366582,0.1552216,-0.0008852165,-0.08557148,0.1219579,0.1489865,-0.01619172,-0.07987227,0.1206279,0.1455776,-0.1090496,0.4114461,-0.2532599,0.868723,59.37883,-0.2201697,0.830704,-0.5113283,3.856912,-0.009055639,-0.05798086,0.1140439,0.1282568,0.2597823,0.2763028,0.7349844,0.5621104,111.5963,0.3141024,0.3340774,0.8886687,0.5633897,True,True,False,0,-0.01964102,0.04598076,0.05,0.5,0,0,0.8660254,60,1,0,0,0.02675276,-0.1434686,0.05784744,0.1569882,0.01228687,-0.1770366,0.0810405,0.195091,-0.003807272,-0.1812146,0.07136431,0.1947975,0.02861508,-0.05523155,0.1210493,0.1360966,0.01314219,-0.05169992,0.1645475,0.1729783,-0.004072305,-0.06289746,0.1632427,0.1749882,0.02861508,-0.05523155,0.1210493,0.1360966,0.01314219,-0.05169993,0.1645475,0.1729783,-0.004072304,-0.06289747,0.1632427,0.1749881,0.01868946,-0.05657657,0.1370903,0.149479,-0.3284065,0.03000154,0.8957002,-0.298279,214.7085,-0.344069,0.03143238,0.9384181,4.687474,0,0,0,0,0,0,0,0,0,1,0,0,0.3548855,False,True,False,-0.0543519,0.9939032,0.3053733,1.041177,0.06164494,0.00833905,0.08131288,0.9947455,11.75233,0.6021261,0.08145291,0.7942356,0.1043519,0.00609684,-0.005373299,0.1046679,0.8382235,-0.2877176,0.1293841,0.4448143,127.1771,0.9359112,-0.3212487,0.1444627,-0.1311025,1.095829,-0.02989002,1.104049,0.05125971,-0.03426989,-0.1753668,-0.9825704,338.5738,0.2757513,-0.1843547,-0.9433846,False
1773056165134,0.124874,0.005608945,0.9148669,0.2250626,0.9421604,-0.2170244,-0.2375351,-0.6861492,0.6524391,98.54849,-0.2863719,-0.3134365,-0.9053999,-0.07388981,0.9951199,0.2839257,1.037467,-0.06097498,1.010781,0.3149945,1.06048,-0.07574789,0.9874494,0.3108331,1.037984,-0.02510966,-0.08528022,0.1032466,0.1362464,-0.01893572,-0.07066599,0.1396345,0.157639,-0.001009439,-0.08573964,0.1210945,0.1483785,-0.023115,-0.08508825,0.1038355,0.1362209,-0.01940797,-0.07090425,0.1372941,0.1557362,-0.0009113188,-0.08560756,0.1217673,0.1488514,-0.01642702,-0.07984312,0.1207679,0.145704,-0.1097067,0.4169762,-0.2499151,0.8669705,59.78305,-0.2201356,0.8366976,-0.5014756,3.974266,-0.009275584,-0.0579536,0.1141748,0.1283765,0.263157,0.2779744,0.7350987,0.5595614,111.9491,0.3175199,0.3353982,0.886955,0.6758842,True,True,False,0,-0.01964102,0.04598076,0.05,0.5,0,0,0.8660254,60,1,0,0,0.02675276,-0.1434686,0.05784744,0.1569882,0.01228687,-0.1770366,0.0810405,0.195091,-0.003807272,-0.1812146,0.07136431,0.1947975,0.02861508,-0.05523155,0.1210493,0.1360966,0.01314219,-0.05169992,0.1645475,0.1729783,-0.004072305,-0.06289746,0.1632427,0.1749882,0.02861508,-0.05523155,0.1210493,0.1360966,0.01314219,-0.05169993,0.1645475,0.1729783,-0.004072304,-0.06289747,0.1632427,0.1749881,0.01868946,-0.05657657,0.1370903,0.149479,-0.3284065,0.03000154,0.8957002,-0.298279,214.7085,-0.344069,0.03143238,0.9384181,4.687474,0,0,0,0,0,0,0,0,0,1,0,0,0.3548855,False,True,False,-0.05390701,0.994116,0.3060346,1.041552,0.06318532,0.01521212,0.08746447,0.9940454,12.51153,0.579858,0.1396031,0.8026702,0.103907,0.005883992,-0.006034613,0.1042483,0.8404594,-0.2852526,0.1206183,0.4446464,127.1986,0.9383202,-0.3184666,0.1346628,-0.1325827,1.095492,-0.02953668,1.103881,0.05122845,-0.03499945,-0.1771879,-0.9822195,338.3586,0.2728749,-0.186429,-0.9438139,False
1773056165147,0.1387711,0.005782461,0.9151279,0.2253628,0.9424865,-0.2242953,-0.2326245,-0.6769055,0.6613444,97.19503,-0.2990276,-0.310132,-0.9024414,-0.07360947,0.9949001,0.2851149,1.037562,-0.06014506,1.010626,0.3174275,1.06101,-0.07473457,0.9867138,0.3133082,1.037955,-0.02632735,-0.08517746,0.1030919,0.1362948,-0.01885754,-0.07043552,0.140665,0.1584406,-0.0009360901,-0.08568093,0.1215995,0.1487566,-0.02378628,-0.08510679,0.1036808,0.1362302,-0.01929145,-0.07080412,0.13801,0.1563079,-0.0009165164,-0.08562326,0.1217304,0.1488303,-0.01671228,-0.07981661,0.1209104,0.14584,-0.1102848,0.422045,-0.2470971,0.8652504,60.17738,-0.21998,0.8418339,-0.4928735,4.12373,-0.009542304,-0.0579288,0.114308,0.1285034,0.266587,0.2796681,0.7350706,0.5571251,112.2856,0.3210234,0.3367756,0.8851702,0.7460749,True,True,False,0,-0.01964102,0.04598076,0.05,0.5,0,0,0.8660254,60,1,0,0,0.02675276,-0.1434686,0.05784744,0.1569882,0.01228687,-0.1770366,0.0810405,0.195091,-0.003807272,-0.1812146,0.07136431,0.1947975,0.02861508,-0.05523155,0.1210493,0.1360966,0.01314219,-0.05169992,0.1645475,0.1729783,-0.004072305,-0.06289746,0.1632427,0.1749882,0.02861508,-0.05523155,0.1210493,0.1360966,0.01314219,-0.05169993,0.1645475,0.1729783,-0.004072304,-0.06289747,0.1632427,0.1749881,0.01868946,-0.05657657,0.1370903,0.149479,-0.3284065,0.03000154,0.8957002,-0.298279,214.7085,-0.344069,0.03143238,0.9384181,4.687474,0,0,0,0,0,0,0,0,0,1,0,0,0.3548855,False,True,False,-0.05313454,0.9938408,0.3074814,1.041675,0.06637564,0.02741528,0.09784626,0.9926071,13.94256,0.5468787,0.2258786,0.8061697,0.1031345,0.006159186,-0.007481396,0.1035888,0.8439063,-0.2813474,0.1050682,0.4445521,127.2106,0.9421193,-0.3140904,0.1172959,-0.1338678,1.095175,-0.0292335,1.103713,0.05135966,-0.03522494,-0.1794294,-0.9817976,338.1026,0.2704133,-0.1854625,-0.9447122,False
