Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773018470842,0,1,1,135,0.2230249,-0.1169478,0.9677722,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.2060481,-0.1080457,0.894105,0.3826834,135,0.2230249,-0.1169478,0.9677722
Trial Start,1773018477556,0,1,1,135,0.2230249,-0.1169478,0.9677722,1,-1,-0.05026281,1.001125,0.3002559,1.046389,0.004299356,0.001335508,0.007369425,-0.9999627,359.0109,0.4980906,0.1547217,0.8537654,0.1002628,-0.00112462,-0.0002558827,0.1002694,-0.2056955,0.105205,-0.8976315,-0.3753386,224.0905,-0.2219205,0.1135035,-0.968436
On Target,1773018487957,10.4071,1,1,135,0.2230249,-0.1169478,0.9677722,1,-1,0.05306954,0.9990379,0.2965536,1.043474,0.1220227,-0.119258,0.9109848,0.3754927,135.8905,0.1316566,-0.1286737,0.9829088,-0.003069539,0.0009620786,0.0034464,0.004714375,0.02247228,0.08367334,-0.001500043,0.9962386,9.941968,0.2593414,0.9656324,-0.01731125
Off Target,1773018488180,10.62963,1,1,135,0.2230249,-0.1169478,0.9677722,1,-1,0.05029367,1.002751,0.2936958,1.046087,0.1537892,-0.1717722,0.8828141,0.4092462,131.685,0.1685502,-0.1882592,0.9675481,-0.0002936684,-0.00275135,0.006304175,0.006884678,-0.03272628,0.06591559,0.04684782,0.9961874,10.00953,-0.3751357,0.7555789,0.5370083
On Target,1773018489069,11.51837,1,1,135,0.2230249,-0.1169478,0.9677722,1,-1,0.05014107,0.996618,0.2987162,1.04163,0.1942142,-0.1910177,0.8768652,0.3961068,133.33,0.2115152,-0.208034,0.9549782,-0.0001410656,0.003381968,0.001283854,0.003620205,-0.06875385,0.03733025,0.03697409,0.9962491,9.928164,-0.7945552,0.4314078,0.4272918
Trial End,1773018490055,12.50441,1,2,135,0.2230249,-0.1169478,0.9677722,1,-1,0.05136737,0.9997696,0.2991187,1.044821,0.2074617,-0.1667151,0.8809392,0.391295,133.9298,0.2254369,-0.1811599,0.9572666,-0.001367372,0.000230372,0.0008813143,0.001643013,-0.05264568,0.01754471,0.02467399,0.9981542,6.963444,-0.866878,0.288896,0.4062886
Trial Load,1773018490056,12.50441,1,2,135,0.8213403,0.5668005,-0.06432235,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.7588195,0.5236554,-0.05942611,0.3826834,135,0.8213403,0.5668005,-0.06432235
Trial Start,1773018492136,0,1,2,135,0.8213403,0.5668005,-0.06432235,1,-1,-0.05036672,0.9999748,0.2996805,1.045129,0.0009285003,0.0003162097,0.0001663837,-0.9999995,359.8881,0.9507843,0.3237987,0.1703769,0.1003667,2.515316E-05,0.0003195405,0.1003672,-0.7592804,-0.5235947,0.05960868,-0.381823,224.8933,-0.8215227,-0.5665165,0.06449512
On Target,1773018499568,7.444165,1,2,135,0.8213403,0.5668005,-0.06432235,1,-1,0.04660635,1.005962,0.294449,1.049205,0.7756831,0.4553773,-0.06225643,0.4325175,128.7451,0.8603163,0.5050626,-0.0690491,0.003393646,-0.005961657,0.005550981,0.008824487,0.03690124,0.05107917,0.05876307,0.9962812,9.885607,0.4282812,0.5928323,0.6820129
Trial End,1773018500568,8.444011,1,3,135,0.8213403,0.5668005,-0.06432235,1,-1,0.05053748,0.9980072,0.3049724,1.044787,0.7613651,0.4725494,-0.06765761,0.4386829,127.9603,0.8472397,0.5258484,-0.07528874,-0.0005374812,0.001992762,-0.004972368,0.005383719,0.04886687,0.04278689,0.03993543,0.9970891,8.745559,0.6409157,0.5611734,0.523775
