Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,0.2230249,-0.1169478,0.9677722,1,12.50441,False,-0.001367372,0.000230372,0.0008813143,0.001643013,-0.05264568,0.01754471,0.02467399,0.9981542,6.963444,-0.866878,0.288896,0.4062886,0.4172853,0.6743556,0.8851607,1.124175,880.186,0,0,0.07350745,0.05044283,0.1231023,0.1772315,46.01972,0,0,0.638871,549.2971,0.1184,31.27549
1,3,135,0.8213403,0.5668005,-0.06432235,1,8.444011,False,-0.0005374812,0.001992762,-0.004972368,0.005383719,0.04886687,0.04278689,0.03993543,0.9970891,8.745559,0.6409157,0.5611734,0.523775,0.3915685,0.5104641,0.6109235,0.8968112,500.7559,0,0,0.02386448,0.02019666,0.02991701,0.0849153,8.491703,0,0,0.3794299,279.1596,0.07054257,13.85143
1,4,135,-0.4155494,-0.8897693,-0.1887575,1,6.957905,False,-0.001080047,-0.0009022951,0.002927601,0.003248306,-0.02206003,-0.03957947,-0.00150816,0.9989718,5.196992,-0.4865832,-0.8730137,-0.03326585,0.2715756,0.3947561,0.4157441,0.7418591,544.7546,0,0,0.02317142,0.02114453,0.02912598,0.05695861,7.265668,0,0,0.3890575,349.5775,0.06561421,13.99424
1,5,135,-0.9123217,0.04596453,-0.4068862,1,9.15155,False,0.0004118271,-0.003020525,0.006525457,0.007202413,-0.04892515,-0.01453637,0.01830545,0.9985288,6.216448,-0.9023067,-0.2680884,0.3376,0.3824792,0.6219447,0.8502325,1.057174,748.5652,0,0,0.02584291,0.02847664,0.0366621,0.08096277,12.00236,0,0,0.5216137,474.2417,0.07249334,15.58054
1,6,135,-0.5475693,0.3440254,0.7627676,0.9999999,6.984784,False,0.0007458515,-0.001386046,0.003814042,0.004126055,-0.03328869,0.003478886,0.03485447,0.9988318,5.539454,-0.6888936,0.07199389,0.7212967,0.4439441,0.5380148,0.7130073,0.7448823,685.4477,0,0,0.01283411,0.01607368,0.01466681,0.04727687,1.452978,0,0,0.5189112,340.564,0.07012954,12.8166
1,7,135,0.8388356,-0.4399274,-0.3206536,1,6.777179,False,-0.002494592,-0.001765966,0.004090995,0.005106649,-0.009641261,-0.05980628,0.006278806,0.9981438,6.983322,-0.1583047,-0.9819893,0.1030949,0.2143401,0.2787491,0.3682355,0.5338144,512.2231,0,0,0.01624317,0.01945296,0.01926077,0.05779649,4.031714,0,0,0.4206215,379.1161,0.05675896,9.6654
1,8,135,-0.3364315,-0.5607252,0.756572,1,6.471508,False,-0.0007736497,-0.002603531,0.007658541,0.008125895,0.04040261,0.001453026,-0.01655518,-0.9990453,354.9924,0.9248375,0.03326055,-0.378957,0.3225385,0.5042151,0.5033491,0.8098591,512.3713,0,0,0.01791026,0.02430264,0.02853223,0.06570937,14.06772,0,0,0.3378733,265.9633,0.06397773,14.99271
1,9,135,-0.002423432,-0.9996695,0.02559459,1,5.888381,False,-0.002920803,0.003257215,-0.003178656,0.005407808,0.06831692,0.04980864,0.02136062,-0.9961906,349.9946,0.7834271,0.5711827,0.2449539,0.2963935,0.4506831,0.4502903,0.7238696,526.2586,0,0,0.0142034,0.01797082,0.01641767,0.05031379,5.701822,0,0,0.3938716,331.2255,0.05798711,13.40131
1,10,135,0.3623966,-0.5708469,-0.7367513,1,6.971797,False,0.001556765,0.0008509159,-0.0008984804,0.001988679,0.02108949,-0.008305101,-0.002197141,-0.9997407,357.3905,0.9261713,-0.3647289,-0.09649018,0.2999766,0.3547902,0.4888955,0.3675333,651.0048,0,0,0.01937507,0.02033068,0.02199965,0.05283048,4.039608,0,0,0.4548161,413.3674,0.05108561,8.256245
1,11,135,-0.3839816,0.9094872,-0.159346,1,10.89019,False,0.0002114736,0.0008050203,0.001303732,0.00154677,-0.04440864,0.02436502,0.02482385,-0.9984077,353.5325,-0.7872593,0.4319338,0.4400677,0.5909646,0.828168,1.04629,1.364151,952.5244,0,0,0.03169553,0.02434736,0.03700084,0.1261509,18.68951,0,0,0.7799526,471.6319,0.113196,26.25513
2,2,135,-0.5817273,0.7882603,-0.2005967,0.9999999,9.207776,False,0.00199097,0.0005009174,0.003762007,0.004285741,-0.01067691,-0.01661989,-0.001279384,0.9998042,2.268374,-0.539416,-0.8396651,-0.06463668,0.4406723,0.7241423,0.8661267,1.394765,743.6552,0,0,0.0378902,0.02675732,0.03683168,0.1010392,24.65006,0,0,0.5980495,475.3828,0.09170902,21.94073
2,3,135,0.796741,-0.3435819,0.4971471,1,10.47122,False,0.0005822927,-0.002149224,0.003830075,0.004430317,-0.04137745,-0.02193981,0.004455502,0.9988928,5.392919,-0.8795395,-0.4663635,0.09470835,0.4123639,0.5740101,0.6909226,1.013304,692.1367,0,0,0.03418451,0.02066093,0.0254178,0.09191267,14.91145,0,0,0.5796232,403.9883,0.09074433,19.81239
2,4,135,0.1384133,0.6296432,-0.7644548,1,6.944109,False,-0.001127224,0.001428604,-0.001637369,0.002447963,0.05228054,-0.03906913,-0.02694131,-0.9975042,351.9021,0.740432,-0.5533231,-0.3815608,0.3948574,0.6305362,0.6943565,0.9251159,610.7589,0,0,0.02594819,0.01560227,0.02217244,0.07399867,21.70928,0,0,0.5554903,378.502,0.08558364,18.01627
2,5,135,-0.8525206,-0.2134622,0.4771189,1,8.554359,False,-0.003221016,0.00836122,0.002008528,0.009182545,-0.03282611,-0.01200847,0.0002913192,0.999389,4.006409,-0.9390797,-0.3435346,0.008333974,0.493981,0.5144213,0.5809636,0.8010952,536.7487,0,0,0.02269866,0.01570608,0.02095861,0.08088156,14.35386,0,0,0.5071687,376.6739,0.07782694,15.99826
2,6,135,0.7394133,-0.4580679,0.4933982,1,10.56872,False,-0.002757501,0.001654625,-0.003957301,0.005099199,0.01420192,-0.001672856,0.01158065,0.9998307,2.108497,0.7718499,-0.09091683,0.6293882,0.6106867,0.6371741,0.7822532,1.407692,893.3554,0,0,0.02963211,0.01924666,0.02712217,0.09451909,14.24327,0,0,0.6345623,489.0451,0.1087236,26.65574
2,7,135,-0.9355825,-0.05709437,0.3484618,1,4.61021,False,0.001656156,-0.0006116629,0.007278323,0.007489391,0.002134242,-0.03509427,-0.04617861,0.9983143,6.65451,0.03677271,-0.6046696,-0.7956513,0.1934287,0.2110612,0.2872859,0.4294294,376.8859,0,0,0.01461064,0.009958877,0.01285241,0.04334345,7.839567,0,0,0.2817958,272.318,0.04375369,6.250663
2,8,135,-0.4276551,0.1243314,0.8953507,1,4.180027,False,-0.0006652027,0.001430154,0.002221763,0.002724714,-0.01033803,0.01439052,0.00354288,0.9998369,2.070664,-0.5721192,0.796389,0.1960674,0.2297411,0.2715489,0.2860031,0.4579707,328.0392,0,0,0.0123467,0.01159566,0.01941806,0.05457419,35.49288,0,0,0.229363,212.3099,0.05520648,18.14795
2,9,135,-0.5430992,0.03446632,-0.8389609,1,11.41556,False,9.134784E-05,0.002015591,0.001779139,0.002690034,-0.01795097,0.03832953,0.007240593,0.9990777,4.922009,-0.4180515,0.892638,0.1686227,0.5510561,0.578382,0.8824323,0.9472722,952.1099,0,0,0.03335207,0.02309706,0.03438255,0.1638897,51.41111,0,0,0.6914248,654.3218,0.08693872,19.60088
2,10,135,-0.6106766,-0.08240815,-0.7875805,1,6.804475,False,0.002968866,-0.002526283,0.008547276,0.009394265,-0.04054103,0.0269117,0.009040438,0.9987746,5.673802,-0.8191239,0.5437459,0.1826604,0.3944291,0.4749323,0.6054423,0.7597449,717.1177,0,0,0.0206904,0.01769606,0.02224838,0.1497649,58.47665,0,0,0.4235265,471.0982,0.05261231,12.49537
2,11,135,0.5453377,0.6854972,-0.4823903,1,6.416203,False,-0.0001847036,0.002110362,0.0002709627,0.002135688,0.007164131,0.02598491,-0.002084237,0.9996346,3.098037,0.2650197,0.9612492,-0.07710131,0.4818071,0.5045924,0.6453832,0.7620877,618.0551,0,0,0.01893709,0.01401877,0.0133297,0.07425086,25.93532,0,0,0.4336007,336.1583,0.06003948,16.45521
3,2,135,-0.5647298,0.8236675,0.05149996,1,5.541747,False,0.0005254112,-0.004792333,0.005476594,0.007296273,0.02624308,0.06296126,0.03997996,0.9968696,9.069587,0.3319193,0.7963264,0.5056617,0.2091739,0.2739647,0.3398925,0.7517664,441.9143,0,0,0.0133828,0.009748207,0.01803034,0.04391738,11.71601,0,0,0.4062072,328.2951,0.05692979,16.47449
3,3,135,-0.03852665,-0.2057229,0.9778516,1,4.374894,False,-0.001833938,0.0002688766,-0.0009327233,0.002074993,-0.03251481,-0.01831213,0.004495089,-0.9992934,355.6921,-0.8651013,-0.4872196,0.119598,0.2291274,0.30247,0.2841895,0.4655025,371.929,0,0,0.02151074,0.0107264,0.03629062,0.05804532,61.95485,0,0,0.2406016,243.278,0.03245942,8.716545
3,4,135,0.4531589,0.7079914,-0.5416596,1,8.346241,False,-0.001875129,0.0007789135,0.00170207,0.002649501,0.04738734,-0.04528401,0.01879267,0.9976727,7.819623,0.6949708,-0.664124,0.2756086,0.4658891,0.8326215,1.029753,0.8281906,639.7836,0,0,0.01605774,0.01539526,0.02604545,0.05973224,12.85686,0,0,0.5414358,358.1378,0.07901243,16.48375
3,5,135,0.2513952,0.4638871,0.8494759,1,7.387984,False,-0.003069077,-0.004304171,0.003679305,0.006440683,0.026659,-0.004076453,-0.02000484,-0.9994361,356.1517,0.7939637,-0.1214058,-0.5957882,0.5319954,0.7941952,0.8650916,0.851759,632.1935,0,0,0.02790867,0.0237078,0.03319729,0.07261885,41.61612,0,0,0.5192499,386.5184,0.08587773,18.94573
3,6,135,0.09406159,0.8519918,-0.5150363,1,7.415877,False,-0.0007489882,0.001413882,0.001509219,0.002199497,-0.03983096,0.04515091,0.006521429,-0.9981646,353.0559,-0.6576983,0.7455425,0.1076834,0.3107455,0.4638975,0.6128657,0.8895726,580.1396,0,0,0.03210078,0.02763664,0.04621635,0.08992706,97.8911,0,0,0.406661,343.4539,0.06450489,14.26417
3,7,135,0.1623665,-0.3076792,-0.9375343,1,15.81766,False,0.001956698,-0.004607201,0.01082608,0.01192724,-0.03040939,0.05652089,-0.0061754,-0.9979191,352.6063,-0.471627,0.8765969,-0.09577584,1.087576,1.314521,1.659023,2.095048,1404.621,0,0,0.05683982,0.06846171,0.1416348,0.1888835,170.1284,0,0,0.8361989,654.1581,0.1640253,40.56775
3,8,135,0.8135303,0.2994889,-0.4984726,1,7.957947,False,-0.003008652,0.01173943,0.003606111,0.01264398,0.003003696,0.08242504,0.003773192,0.9965857,9.472055,0.03637977,0.9983045,0.04569964,0.6677477,0.8225219,0.9619771,1.108455,899.444,0,0,0.2352908,0.2159967,0.1505991,8.038442,1059.152,0,0,0.580034,576.8006,0.07695483,21.77243
3,9,135,0.4987434,0.7707773,-0.3964306,0.9999999,8.291244,False,-0.001334328,-0.002644062,0.00332886,0.004455648,0.01665707,-0.031613,0.01838373,0.9991924,4.605815,0.4145357,-0.7867363,0.4575064,0.6524416,0.972376,1.091909,1.18813,969.7637,0,0,0.04188072,0.04353924,0.05023568,1.517181,205.7319,0,0,0.7829415,596.7803,0.1133856,25.75753
3,10,135,0.6624965,0.6969522,0.2745106,1,10.0682,False,-0.004664276,0.001382828,0.003041178,0.005737286,-0.0418273,-0.01859083,0.05516027,0.9974278,8.220748,-0.5835441,-0.2593657,0.7695561,0.8136073,1.095932,1.22066,1.531557,1069.287,0,0,0.02453209,0.02928784,0.06175179,0.0968809,37.72007,0,0,0.5081005,484.2065,0.116847,29.95789
3,11,135,-0.5556351,0.6858584,0.4699659,1,4.20834,False,-0.001251053,-0.0007247925,0.003030241,0.003357501,-0.005322582,-0.04544573,-0.01720064,0.9988046,5.603817,-0.108884,-0.9296831,-0.3518735,0.2351293,0.2696121,0.4160782,0.4822357,361.2145,0,0,0.02925888,0.02194454,0.04447282,0.06991459,54.90163,0,0,0.3144277,252.7321,0.04605434,13.98623
