Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773018616432,0.0134976,-0.01707208,0.9333899,0.195403,0.953777,0.4168288,0.04993698,0.4002391,-0.8145973,289.0951,0.7186369,0.08609425,0.6900354,-0.07175587,0.9963474,0.2877499,1.039546,-0.04421303,1.000697,0.3029655,1.046488,-0.03775249,0.9894435,0.3092433,1.037331,-0.04057788,-0.08340518,0.1001038,0.1364689,-0.01618459,-0.07153089,0.121962,0.1423142,-0.001012258,-0.0751154,0.1193329,0.1410095,0,0,0,0,0,0,0,0,0,1,0,0,-0.05993654,0.6375574,0.1025521,0.6485282,0.2758771,-0.0521982,0.6977313,0.6590434,97.54608,0.3668067,-0.06940282,0.9277048,0.02550514,0.6292743,0.1933239,0.658795,0.03842261,0.6003705,0.2118401,0.6378066,0.04830538,0.5899147,0.1915052,0.6220989,0.03904131,-0.05878858,0.1174547,0.1370253,0.02031103,-0.06233041,0.1528772,0.1663402,0.0002005862,-0.07765314,0.142523,0.1623048,0,0,0,0,0,0,0,0,0,1,0,0,-0.04900697,1.000159,0.3006352,1.045515,5.912441E-05,-0.005652398,-0.0001962022,-0.999984,359.3523,0.01046031,-1.000024,-0.03471214,0.09900697,-0.000158906,-0.0006352365,0.09900913,0.7850609,0.1995018,-0.4451819,-0.3816956,224.8775,0.8493682,0.2158437,-0.4816484,-0.01340511,1.169734,-0.05016018,1.170886,0.009296699,-0.01060831,0.03063538,0.9994312,3.865189,0.2756692,-0.3145616,0.9084114,False
1773018616444,0.0270367,-0.01709479,0.9332474,0.1956489,0.9536884,0.4251837,0.0472545,0.3948929,-0.8130471,288.7895,0.7303077,0.08116569,0.6782793,-0.06948061,0.9966069,0.2886567,1.039892,-0.04357484,1.000792,0.3019265,1.046252,-0.03769825,0.9887334,0.3073906,1.0361,-0.0390168,-0.0832313,0.1004314,0.1361478,-0.01634949,-0.07186503,0.1203611,0.1411336,-0.001508933,-0.07570603,0.1161919,0.1386876,0,0,0,0,0,0,0,0,0,1,0,0,-0.05989425,0.6375736,0.1025974,0.6485474,0.2761963,-0.05259401,0.698781,0.6577649,97.74073,0.3666859,-0.06982525,0.9277209,0.02555266,0.6294015,0.1933695,0.6589317,0.03850718,0.6005054,0.2118854,0.6379538,0.04842168,0.5901442,0.1914735,0.6223158,0.03901402,-0.05886006,0.1174234,0.1370214,0.02029867,-0.06235458,0.152867,0.1663384,0.0001861346,-0.07768773,0.1424284,0.1622383,0,0,0,0,0,0,0,0,0,1,0,0,-0.04771283,1.001275,0.3004657,1.046474,0.006715562,-0.01333332,-0.00235823,-0.9998858,358.2682,0.4443545,-0.8822371,-0.1560391,0.09771283,-0.001274824,-0.0004657209,0.09772225,0.7786241,0.2011905,-0.4516737,-0.3863391,225.4538,0.8441678,0.2181265,-0.4896951,-0.01358514,1.16978,-0.05013943,1.170933,0.009135108,-0.01077161,0.03103808,0.9994184,3.908291,0.2678966,-0.3158889,0.9102243,False
1773018616459,0.0411867,-0.01713352,0.933073,0.1959591,0.9535821,0.433554,0.04443699,0.389461,-0.811404,288.4667,0.74177,0.07602751,0.6663311,-0.06702528,0.9967684,0.2896528,1.040163,-0.04301111,1.000703,0.3008468,1.045832,-0.03727189,0.9884125,0.3058917,1.035335,-0.03725202,-0.08303236,0.1007604,0.1357746,-0.01653714,-0.07220037,0.1185544,0.139791,-0.001909188,-0.07600394,0.1137068,0.1367826,0,0,0,0,0,0,0,0,0,1,0,0,-0.05985195,0.6375939,0.1026406,0.6485702,0.2764934,-0.05294612,0.6998045,0.6565225,97.9296,0.3665531,-0.07019179,0.9277457,0.02560381,0.6295381,0.1934102,0.6590761,0.03859508,0.6006517,0.211925,0.6381099,0.04853787,0.5903829,0.1914371,0.6225401,0.03898735,-0.05893201,0.1173919,0.1370177,0.02028599,-0.06238121,0.1528534,0.1663343,0.0001717401,-0.07772314,0.1423297,0.1621686,0,0,0,0,0,0,0,0,0,1,0,0,-0.04641248,1.002361,0.3003319,1.047416,0.01337288,-0.02116079,-0.004495811,-0.9996765,357.0853,0.5258114,-0.8320259,-0.1767718,0.09641248,-0.002361059,-0.0003318787,0.09644195,0.7720397,0.2028937,-0.4582415,-0.390901,226.0211,0.838779,0.220433,-0.4978544,-0.01371436,1.169799,-0.05013037,1.170953,0.009046858,-0.01090202,0.03144328,0.9994051,3.952706,0.2623269,-0.3161201,0.9117438,False
1773018616474,0.0552701,-0.01720151,0.9326117,0.196334,0.953209,0.4511655,0.04520774,0.3737332,-0.8091536,288.0266,0.7678143,0.07693661,0.6360363,-0.06579641,0.9980634,0.2893729,1.041248,-0.04222884,1.002608,0.2992727,1.047172,-0.03683423,0.9895538,0.3038676,1.035813,-0.03680266,-0.08295766,0.1008488,0.135672,-0.01663577,-0.07226766,0.1178754,0.1392622,-0.002252597,-0.07644613,0.1114679,0.1351821,0,0,0,0,0,0,0,0,0,1,0,0,-0.05989821,0.6375437,0.1027018,0.6485348,0.2767452,-0.05289793,0.7002605,0.6559338,98.019,0.3666382,-0.07008035,0.9277205,0.02564432,0.6295881,0.1933969,0.6591215,0.03862613,0.6006756,0.211944,0.6381406,0.04856846,0.5904717,0.1913838,0.6226103,0.03898006,-0.05902324,0.1173471,0.1370165,0.0202681,-0.06239557,0.152852,0.1663362,0.0001589269,-0.07775,0.1422442,0.1621065,0,0,0,0,0,0,0,0,0,1,0,0,-0.04541241,1.004613,0.299153,1.049191,0.02981249,-0.03402328,-0.01575661,-0.9988521,354.5088,0.6223724,-0.7102779,-0.3289386,0.0954124,-0.004612923,0.0008470416,0.0955276,0.7572086,0.2092761,-0.4669417,-0.4059609,227.9027,0.8285552,0.2289948,-0.5109384,-0.01379456,1.169779,-0.05011444,1.170933,0.009148214,-0.01083469,0.03172043,0.9993962,3.982303,0.263294,-0.3118322,0.912943,False
1773018616487,0.0687389,-0.01729645,0.9320589,0.1967869,0.9527633,0.4661302,0.04562864,0.360085,-0.806833,287.5753,0.7890087,0.07723463,0.6095083,-0.06450489,0.9989032,0.2893243,1.041958,-0.04180388,1.003708,0.2977933,1.047787,-0.03649167,0.990268,0.3022136,1.036,-0.03607211,-0.08285131,0.1009516,0.1354872,-0.01677003,-0.07239334,0.1168269,0.1384578,-0.002556354,-0.0767598,0.1095031,0.1337517,0,0,0,0,0,0,0,0,0,1,0,0,-0.05994976,0.6374928,0.1027623,0.6484991,0.276951,-0.05283406,0.7006334,0.6554538,98.09187,0.3667082,-0.06995709,0.9277022,0.0257185,0.6296426,0.1933484,0.6591622,0.03864383,0.6006879,0.2119644,0.63816,0.04858176,0.5905446,0.1913338,0.622665,0.0389705,-0.05916915,0.1172772,0.1370169,0.02024926,-0.06241041,0.1528493,0.166337,0.0001462649,-0.07777641,0.1421572,0.1620427,0,0,0,0,0,0,0,0,0,1,0,0,-0.04461606,1.006367,0.2981953,1.050565,0.04387176,-0.04523876,-0.02529486,-0.9976918,352.2127,0.6460766,-0.6662076,-0.3725041,0.09461606,-0.006367326,0.001804739,0.09484723,0.7440897,0.2146545,-0.4743864,-0.418583,229.4903,0.8193209,0.2363572,-0.5223493,-0.013866,1.16974,-0.05007833,1.170893,0.009420492,-0.01089984,0.03204903,0.9993826,4.027068,0.2681159,-0.3102194,0.9121449,False
1773018616500,0.0827234,-0.01724565,0.9304838,0.1980913,0.9514923,0.4882591,0.05187699,0.3413092,-0.801511,286.5493,0.8165141,0.08675373,0.5707704,-0.06360033,1.000104,0.288855,1.042924,-0.04228678,1.005209,0.2956856,1.048648,-0.03622668,0.9924389,0.3007772,1.037648,-0.03517439,-0.08262135,0.1013002,0.1353709,-0.01703011,-0.07262062,0.1156077,0.1375824,-0.002688476,-0.07688543,0.1087034,0.1331729,0,0,0,0,0,0,0,0,0,1,0,0,-0.06002568,0.6373484,0.1029128,0.6483881,0.2770494,-0.05284774,0.7007841,0.6552498,98.1228,0.3667526,-0.06995881,0.9276844,0.02575455,0.6295447,0.1933991,0.659085,0.03859246,0.6005439,0.2121084,0.6380692,0.04852887,0.5904528,0.1914036,0.6225953,0.03894984,-0.05931481,0.1172126,0.1370187,0.02023098,-0.06241127,0.1528648,0.1663493,0.0001333128,-0.07779989,0.1420841,0.1619899,0,0,0,0,0,0,0,0,0,1,0,0,-0.04458739,1.008652,0.2965491,1.052287,0.06763489,-0.05655676,-0.03982506,-0.9953094,348.8967,0.6991202,-0.5846092,-0.4116589,0.09458739,-0.008651853,0.00345096,0.09504493,0.7252649,0.2194854,-0.4813765,-0.4405606,232.2793,0.807894,0.2444913,-0.5362195,-0.01399149,1.169692,-0.05003683,1.170846,0.00945612,-0.0110822,0.03234752,0.9993705,4.066146,0.2665492,-0.3123852,0.9118122,False
1773018616514,0.0967419,-0.01720895,0.9288619,0.1994397,0.9501878,0.5056249,0.05638795,0.3260303,-0.796786,285.6486,0.8367652,0.09331714,0.5395517,-0.06258596,1.000586,0.2888468,1.043322,-0.04279085,1.005661,0.2941454,1.048669,-0.0361478,0.9934689,0.2997582,1.038336,-0.03411537,-0.08238276,0.101638,0.1352075,-0.01729457,-0.07279667,0.1143382,0.1366443,-0.00283584,-0.07702173,0.1077883,0.1325092,0,0,0,0,0,0,0,0,0,1,0,0,-0.06010758,0.6371974,0.1030687,0.648272,0.2771439,-0.0528546,0.7009267,0.6550569,98.15208,0.3667964,-0.06995239,0.9276677,0.02578699,0.6294414,0.1934532,0.6590036,0.03853449,0.600392,0.2122587,0.6379728,0.04846933,0.5903535,0.1914797,0.6225199,0.0389297,-0.05946289,0.1171467,0.1370208,0.02021221,-0.06241077,0.1528815,0.1663622,0.000120565,-0.0778226,0.142012,0.1619376,0,0,0,0,0,0,0,0,0,1,0,0,-0.04459918,1.009987,0.295462,1.053262,0.08638225,-0.0659541,-0.0512875,-0.9927526,346.1955,0.718798,-0.5488127,-0.42677,0.09459919,-0.009986877,0.004538,0.09523307,0.7096739,0.2233417,-0.4869618,-0.4575474,234.4579,0.7981171,0.2511757,-0.5476494,-0.0141336,1.169653,-0.0499716,1.170806,0.009638815,-0.01118696,0.03234477,0.9993677,4.075185,0.2710963,-0.3146386,0.9097121,False
1773018616529,0.1106986,-0.01718958,0.9273992,0.2006607,0.949015,0.5196843,0.05976031,0.3132925,-0.7925938,284.8571,0.8522906,0.09800788,0.5138049,-0.06141451,1.000743,0.2890331,1.043455,-0.04334321,1.005474,0.2928144,1.048139,-0.03627317,0.9937517,0.2988375,1.038346,-0.03284679,-0.08211874,0.1019599,0.1349749,-0.01757015,-0.07293799,0.1128826,0.1355402,-0.003030239,-0.07718836,0.1065913,0.1316394,0,0,0,0,0,0,0,0,0,1,0,0,-0.06020422,0.6370236,0.1032464,0.6481385,0.2772414,-0.05285576,0.7010716,0.6548605,98.18185,0.3668428,-0.06993818,0.9276503,0.02581661,0.6293207,0.1935189,0.6589087,0.03846234,0.6002174,0.2124314,0.6378615,0.04839597,0.5902326,0.1915775,0.6224296,0.03890885,-0.05962598,0.117074,0.1370236,0.02019278,-0.06240866,0.1528998,0.1663759,0.000108001,-0.07784455,0.1419406,0.1618855,0,0,0,0,0,0,0,0,0,1,0,0,-0.04463641,1.01087,0.2946349,1.053878,0.1016192,-0.07392245,-0.06060335,-0.9902203,343.9607,0.7283879,-0.5298628,-0.4343939,0.09463641,-0.0108695,0.005365074,0.09540954,0.6964988,0.2265126,-0.4915616,-0.4711143,236.2133,0.7896166,0.256796,-0.5572804,-0.01426018,1.169614,-0.04991211,1.170766,0.009810915,-0.0112894,0.03246865,0.9993609,4.097217,0.2744525,-0.3158118,0.9082845,False
1773018616541,0.124539,-0.01542961,0.9243401,0.2032492,0.9465479,0.5436398,0.06848118,0.2929781,-0.7835368,283.1711,0.8749398,0.1102143,0.4715221,-0.05905363,1.001245,0.2885851,1.043676,-0.04247676,1.006509,0.2913981,1.048703,-0.03471812,0.9954558,0.2980655,1.039702,-0.03176986,-0.08149925,0.1025299,0.1347733,-0.0177875,-0.07293293,0.1127538,0.1354586,-0.003041132,-0.07720495,0.1066586,0.1317039,0,0,0,0,0,0,0,0,0,1,0,0,-0.06031714,0.6365951,0.1034362,0.6477581,0.2773881,-0.05274767,0.7010984,0.6547784,98.19431,0.3670023,-0.06978857,0.9275984,0.02579845,0.6289425,0.1936318,0.6585799,0.03840014,0.5997753,0.2125863,0.6374935,0.04832505,0.5898346,0.191676,0.622077,0.03892277,-0.0597134,0.1170334,0.1370309,0.02016681,-0.06241195,0.1529153,0.1663882,9.482419E-05,-0.0778661,0.141887,0.1618489,0,0,0,0,0,0,0,0,0,1,0,0,-0.04372702,1.011981,0.2930829,1.054474,0.1294976,-0.08439739,-0.07580759,-0.9850689,340.173,0.7521898,-0.490224,-0.44033,0.09372702,-0.01198101,0.006917149,0.09474253,0.674157,0.2291917,-0.4972208,-0.495737,239.4367,0.7762558,0.263902,-0.5725232,-0.0143513,1.169557,-0.04987759,1.170709,0.01013086,-0.01131423,0.03247565,0.9993572,4.109046,0.2825865,-0.3155951,0.9058644,False
1773018616556,0.1383027,-0.01394322,0.9216679,0.2055144,0.9444058,0.562987,0.07511333,0.2756673,-0.7755071,281.7021,0.891735,0.1189747,0.4366391,-0.05685087,1.001325,0.288323,1.043559,-0.04184649,1.006874,0.290224,1.048703,-0.03346919,0.9966111,0.2974853,1.040601,-0.03057078,-0.08094131,0.1030073,0.1345235,-0.01799834,-0.07294454,0.1125041,0.1352849,-0.003049688,-0.07727344,0.1068159,0.1318716,0,0,0,0,0,0,0,0,0,1,0,0,-0.06045399,0.6360807,0.103658,0.6473008,0.2775429,-0.05262214,0.7011133,0.6547068,98.20515,0.3671772,-0.06961679,0.9275423,0.02576081,0.6284822,0.1937741,0.6581807,0.0383176,0.5992458,0.2127699,0.6370516,0.04823325,0.5893489,0.1918052,0.6216493,0.03894089,-0.059802,0.1169921,0.1370395,0.02013946,-0.06241466,0.1529316,0.1664009,8.167595E-05,-0.07788703,0.1418364,0.1618146,0,0,0,0,0,0,0,0,0,1,0,0,-0.04300516,1.012527,0.2918385,1.054623,0.1521928,-0.09352788,-0.08836494,-0.9799396,337.0085,0.7636565,-0.469294,-0.4433879,0.09300517,-0.01252675,0.008161545,0.09419921,0.6549307,0.2315607,-0.5018215,-0.5153841,242.0462,0.7642494,0.270212,-0.5855837,-0.01443496,1.169483,-0.04984484,1.170634,0.01036975,-0.01124285,0.03271341,0.9993477,4.139039,0.2871537,-0.3113311,0.905883,False
