Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773019067517,0,1,1,135,0.07108714,0.7790524,-0.6229157,1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0,0,0.1,0.06567595,0.7197506,-0.5754991,0.3826834,135,0.07108714,0.7790524,-0.6229157
Trial Start,1773019073828,0,1,1,135,0.07108714,0.7790524,-0.6229157,1,-0.05012348,0.9998201,0.3000482,1.045075,-0.0001352494,-0.0006831664,-0.002102979,0.9999976,0.2502291,-0.06193704,-0.3128538,-0.9630523,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1001235,0.0001798868,-4.816055E-05,0.1001237,0.06763434,0.7197943,-0.5747455,0.3833922,134.9121,0.07323016,0.7793476,-0.6222979
Grab,1773019073980,0.1588629,1,1,135,0.07108714,0.7790524,-0.6229157,1,-0.05188287,0.9950421,0.302175,1.041206,0.1007139,-0.0203769,-0.07388891,0.9919586,14.54201,0.7957637,-0.1610025,-0.5838131,0.1261178,-0.06207636,-0.004146916,0.1406285,0.3215212,0.8732975,-0.3160596,0.1846139,158.7228,0.3271444,0.8885708,-0.3215872,-0.1081086,-0.3015526,-0.1637869,0.3597883,-0.4298356,-0.359789,0.8200523,0.1153585,166.7514,-0.4327244,-0.3622071,0.8255637,0.1018829,0.004957914,-0.002174944,0.1020266,0.09151474,0.7748687,-0.4687681,0.4140773,131.0775,0.100539,0.851278,-0.514993
Release,1773019075300,1.477392,1,1,135,0.07108714,0.7790524,-0.6229157,1,-0.04630084,0.9752504,0.2661875,1.011985,0.5729409,0.3686761,-0.5702002,0.4590082,125.3538,0.6448899,0.4149739,-0.6418051,0.1007889,-0.08837651,0.01631047,0.1350365,-0.06918576,0.7539199,-0.6397797,-0.1322881,195.2037,-0.0697992,0.7606047,-0.6454524,-0.04868378,-0.2731602,-0.2116532,0.3489752,-0.239581,-0.04796957,0.3802392,0.8920304,53.741,-0.5300753,-0.1061331,0.8412828,0.09630084,0.02474964,0.03381255,0.1050223,0.009119961,0.4815637,0.3422088,0.8067878,72.43348,0.01543555,0.8150472,0.5791888
Grab,1773019076244,2.416691,1,1,135,0.07108714,0.7790524,-0.6229157,1,-0.04698577,0.9774991,0.2731214,1.016025,0.5755602,0.4081567,-0.5889938,0.3939858,133.5945,0.6262102,0.444075,-0.640826,0.1012872,-0.05654671,0.02129873,0.1179418,-0.2815975,0.954839,-0.0229903,-0.09196108,190.5529,-0.2827958,0.9589022,-0.02308814,-0.102288,-0.2703026,-0.1795547,0.3402444,-0.2511391,-0.009370586,0.3290411,0.91026,48.91738,-0.6065619,-0.02263224,0.7947142,0.09698577,0.02250093,0.02687857,0.1031261,-0.005347113,0.4199284,0.3861134,0.8213087,69.56796,-0.009372941,0.7360914,0.6768173
On Target,1773019078327,4.521546,1,1,135,0.07108714,0.7790524,-0.6229157,1,0.04998416,1.00122,0.3023131,1.047059,0.07693343,0.7286963,-0.6085133,0.3046219,144.5292,0.08077227,0.765057,-0.638877,0.1004608,-0.05095874,0.02583766,0.1155714,-0.3496547,0.9040829,0.1638958,-0.1830682,201.097,-0.3556654,0.9196243,0.1667132,-0.04833798,-0.230327,-0.3336431,0.408295,-0.377609,-0.420303,-0.190565,0.8027714,73.20885,-0.6332673,-0.704867,-0.319586,1.583621E-05,-0.001219511,-0.002313107,0.002614942,0.009178879,-0.05529781,0.06507339,0.9963049,9.854006,0.1068722,-0.6438475,0.7576672
Trial End,1773019079326,5.517832,1,1,135,0.07108714,0.7790524,-0.6229157,1,0.05134469,0.9978219,0.296536,1.042218,0.05238625,0.6930707,-0.6157142,0.3712208,136.4182,0.05641759,0.7464053,-0.663096,0.09850079,-0.05186993,0.0268853,0.1145239,-0.3613322,0.9009818,0.1683186,-0.1712891,199.7256,-0.3667525,0.9144973,0.1708435,-0.02747524,-0.204996,-0.3437885,0.4012092,-0.3554654,-0.4921744,-0.1505036,0.7802292,77.4369,-0.5682954,-0.7868571,-0.2406156,-0.001344688,0.002178133,0.003464013,0.004307184,0.04863203,-0.00832964,0.01417334,0.9986815,5.88502,0.9473647,-0.1622636,0.2761003
Trial Load,1773019079330,5.517832,1,2,135,-0.4844062,-0.8591001,0.1652201,1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.09850079,-0.05186993,0.0268853,0.1145239,-0.3613322,0.9009818,0.1683186,-0.1712891,199.7256,-0.3667525,0.9144973,0.1708435,-0.02747524,-0.204996,-0.3437885,0.4012092,-0.3554654,-0.4921744,-0.1505036,0.7802292,77.4369,-0.5682954,-0.7868571,-0.2406156,0.1,0,0,0.1,-0.447533,-0.793705,0.1526435,0.3826834,135,-0.4844063,-0.8591001,0.1652201
Release,1773019079340,5.517832,1,2,135,-0.4844062,-0.8591001,0.1652201,1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.09850079,-0.05186993,0.0268853,0.1145239,-0.3613322,0.9009818,0.1683186,-0.1712891,199.7256,-0.3667525,0.9144973,0.1708435,-0.02747524,-0.204996,-0.3437885,0.4012092,-0.3554654,-0.4921744,-0.1505036,0.7802292,77.4369,-0.5682954,-0.7868571,-0.2406156,0.1,0,0,0.1,-0.447533,-0.793705,0.1526435,0.3826834,135,-0.4844063,-0.8591001,0.1652201
Trial Start,1773019081397,0,1,2,135,-0.4844062,-0.8591001,0.1652201,1,-0.04999409,0.99998,0.3000249,1.045215,-0.0009166491,0.0007113894,0.0006817323,0.9999992,0.1480375,-0.7095518,0.5506661,0.5277094,0.09850079,-0.05186993,0.0268853,0.1145239,-0.3613322,0.9009818,0.1683186,-0.1712891,199.7256,-0.3667525,0.9144973,0.1708435,-0.02747524,-0.204996,-0.3437885,0.4012092,-0.3554654,-0.4921744,-0.1505036,0.7802292,77.4369,-0.5682954,-0.7868571,-0.2406156,0.09999409,2.002716E-05,-2.491474E-05,0.0999941,-0.4465322,-0.7941417,0.1534284,0.3826328,135.0063,-0.483312,-0.8595533,0.1660659
