Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Total Thumb Tip Translation,Total Index Tip Translation,Total Middle Tip Translation,Total Thumb Tip Translation_left,Total Index Tip Translation_left,Total Middle Tip Translation_left,Total Wrist Translation,Total Wrist Rotation,Total Wrist Translation_left,Total Wrist Rotation_left,Total Die Translation,Total Die Rotation,Total Die Local Translation,Total Die Local Rotation,Total Die Local Translation_left,Total Die Local Rotation_left,Total Head Translation,Total Head Rotation,Total Grabbed Time,Total Grabbed Time_left
1,1,135,0.07108714,0.7790524,-0.6229157,1,5.517832,False,-0.001344688,0.002178133,0.003464013,0.004307184,0.04863203,-0.00832964,0.01417334,0.9986815,5.88502,0.9473647,-0.1622636,0.2761003,0.2130442,0.2146384,0.2030175,0,0,0,0.3819651,222.8111,0,0,0.3071254,411.7037,0.1443191,309.9371,0,0,0.05274387,9.144894,4.41967,0
1,2,135,-0.4844062,-0.8591001,0.1652201,1,10.20901,False,-0.003392935,-0.001467824,0.003378421,0.005008018,0.03928547,0.0354643,-0.01068937,0.9985413,6.190192,0.7276006,0.6568293,-0.1979763,0.20895,0.1712781,0.2683994,0,0,0,0.2769612,209.2428,0,0,0.2294752,404.6675,0.1343764,298.118,0,0,0.03082346,6.784988,5.126066,0
1,3,135,-0.4411845,0.8524556,-0.2804919,1,13.18284,False,-0.001263347,0.003174603,0.002087474,0.00400396,-0.06891731,-0.0171741,0.01148461,0.9974084,8.251659,-0.9578906,-0.2387051,0.159626,0.3110163,0.2694632,0.4063827,0,0,0,0.59321,464.1538,0,0,0.3890891,711.9016,0.2495627,468.0193,0,0,0.07059222,11.80947,8.486002,0
1,4,135,0.6248774,-0.7747295,-0.09655249,1,10.46191,False,-0.0009029955,-0.00797534,0.01073837,0.01340649,-0.02612552,-0.02251943,-0.05895351,-0.9976647,352.1671,-0.3824988,-0.3297027,-0.863127,0.1818665,0.1696151,0.1988334,0,0,0,0.355088,327.8093,0,0,0.2718013,480.0341,0.1617776,298.777,0,0,0.04217883,7.958383,4.902975,0
1,5,135,-0.1774444,-0.9827619,-0.0518893,1,11.01707,False,-0.002036113,-0.00376153,0.001710415,0.004606559,0.02718093,0.04428278,-0.008966197,0.9986089,6.044781,0.5155083,0.8398589,-0.1700512,0.2724412,0.2805267,0.2846273,0,0,0,0.4560587,224.4426,0,0,0.3428131,549.2289,0.2625682,470.7701,0,0,0.07695474,9.238257,7.912646,0
1,6,135,-0.9504651,0.2622747,-0.1668173,1,20.03206,False,0.002331533,0.005172729,0.005430639,0.007853981,0.002902741,-0.009155074,-0.02900237,0.9995334,3.501331,0.09501672,-0.2996771,-0.9493475,0.5927704,0.6754478,0.5882789,0,0,0,0.8651679,568.2604,0,0,0.6275222,1179.256,0.410732,884.6553,0,0,0.08741227,10.59418,13.15145,0
1,7,135,-0.2852668,0.2059794,-0.936053,1,25.69856,False,0.003779374,-0.007590055,-0.01158693,0.01435791,0.006590595,-0.02266309,-0.02426763,0.9994269,3.879744,0.1946986,-0.6695103,-0.7169113,0.5488468,0.6884962,0.7047148,0,0,0,0.9227178,684.9919,0,0,0.8129584,1403.155,0.5217175,1099.428,0,0,0.1366004,21.76466,15.7828,0
1,8,135,0.910758,0.01683925,0.4125969,0.9999999,12.43392,False,-0.004413743,-0.001227736,0.009637505,0.01067099,0.01444352,-0.06069595,0.0006634712,-0.9980515,352.8455,0.2314887,-0.9727843,0.01063357,0.3388464,0.2685134,0.3416047,0,0,0,0.5879409,494.2581,0,0,0.4338191,768.3262,0.2637857,490.9353,0,0,0.08301266,14.75907,7.026084,0
1,9,135,-0.5389082,-0.7181767,-0.4402274,1,20.69182,False,0.0003392138,-0.002131581,0.001824707,0.002826351,-0.006029901,0.0088609,-0.0767668,0.9969916,8.891086,-0.07779364,0.1143173,-0.9903927,0.3350621,0.4239998,0.4820083,0,0,0,0.4852,418.0503,0,0,0.4257755,822.2263,0.3395474,635.2154,0,0,0.05700605,8.829158,8.305754,0
1,10,135,-0.7255664,0.6852587,-0.06303895,1,8.152356,False,0.002826028,0.001359463,0.0009324849,0.003271712,-0.02495403,0.01283466,-0.002511459,0.9996031,3.228692,-0.8857887,0.4555895,-0.08914879,0.2517222,0.2788002,0.256588,0,0,0,0.3754728,260.8019,0,0,0.2668898,414.7921,0.1696448,329.5267,0,0,0.04272948,8.101154,5.525579,0
