Timestamp,Trial Duration,Wrist World Position X,Wrist World Position Y,Wrist World Position Z,Wrist World Position Magnitude,Wrist World Rotation X,Wrist World Rotation Y,Wrist World Rotation Z,Wrist World Rotation W,Wrist World Rotation Angle,Wrist World Rotation Axis X,Wrist World Rotation Axis Y,Wrist World Rotation Axis Z,Wrist World Position_left X,Wrist World Position_left Y,Wrist World Position_left Z,Wrist World Position_left Magnitude,Wrist World Rotation_left X,Wrist World Rotation_left Y,Wrist World Rotation_left Z,Wrist World Rotation_left W,Wrist World Rotation_left Angle,Wrist World Rotation_left Axis X,Wrist World Rotation_left Axis Y,Wrist World Rotation_left Axis Z,Thumb Tip World Position X,Thumb Tip World Position Y,Thumb Tip World Position Z,Thumb Tip World Position Magnitude,Index Tip World Position X,Index Tip World Position Y,Index Tip World Position Z,Index Tip World Position Magnitude,Middle Tip World Position X,Middle Tip World Position Y,Middle Tip World Position Z,Middle Tip World Position Magnitude,Thumb Tip World Position_left X,Thumb Tip World Position_left Y,Thumb Tip World Position_left Z,Thumb Tip World Position_left Magnitude,Index Tip World Position_left X,Index Tip World Position_left Y,Index Tip World Position_left Z,Index Tip World Position_left Magnitude,Middle Tip World Position_left X,Middle Tip World Position_left Y,Middle Tip World Position_left Z,Middle Tip World Position_left Magnitude,Thumb Tip Local Position X,Thumb Tip Local Position Y,Thumb Tip Local Position Z,Thumb Tip Local Position Magnitude,Index Tip Local Position X,Index Tip Local Position Y,Index Tip Local Position Z,Index Tip Local Position Magnitude,Middle Tip Local Position X,Middle Tip Local Position Y,Middle Tip Local Position Z,Middle Tip Local Position Magnitude,Thumb Tip Local Position_left X,Thumb Tip Local Position_left Y,Thumb Tip Local Position_left Z,Thumb Tip Local Position_left Magnitude,Index Tip Local Position_left X,Index Tip Local Position_left Y,Index Tip Local Position_left Z,Index Tip Local Position_left Magnitude,Middle Tip Local Position_left X,Middle Tip Local Position_left Y,Middle Tip Local Position_left Z,Middle Tip Local Position_left Magnitude,Thumb Tip Euro Position X,Thumb Tip Euro Position Y,Thumb Tip Euro Position Z,Thumb Tip Euro Position Magnitude,Index Tip Euro Position X,Index Tip Euro Position Y,Index Tip Euro Position Z,Index Tip Euro Position Magnitude,Middle Tip Euro Position X,Middle Tip Euro Position Y,Middle Tip Euro Position Z,Middle Tip Euro Position Magnitude,Thumb Tip Euro Position_left X,Thumb Tip Euro Position_left Y,Thumb Tip Euro Position_left Z,Thumb Tip Euro Position_left Magnitude,Index Tip Euro Position_left X,Index Tip Euro Position_left Y,Index Tip Euro Position_left Z,Index Tip Euro Position_left Magnitude,Middle Tip Euro Position_left X,Middle Tip Euro Position_left Y,Middle Tip Euro Position_left Z,Middle Tip Euro Position_left Magnitude,Triangle Local Position X,Triangle Local Position Y,Triangle Local Position Z,Triangle Local Position Magnitude,Triangle Local Rotation X,Triangle Local Rotation Y,Triangle Local Rotation Z,Triangle Local Rotation W,Triangle Local Rotation Angle,Triangle Local Rotation Axis X,Triangle Local Rotation Axis Y,Triangle Local Rotation Axis Z,Triangle Local Position_left X,Triangle Local Position_left Y,Triangle Local Position_left Z,Triangle Local Position_left Magnitude,Triangle Local Rotation_left X,Triangle Local Rotation_left Y,Triangle Local Rotation_left Z,Triangle Local Rotation_left W,Triangle Local Rotation_left Angle,Triangle Local Rotation_left Axis X,Triangle Local Rotation_left Axis Y,Triangle Local Rotation_left Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is Grabbed,Is Grabbed_right,Is Grabbed_left,Is On Target
1773019552701,0.01460349,0.08671801,0.9295152,0.211991,0.9573185,-0.5389563,-0.6450934,0.1245409,0.5271341,116.376,-0.6342287,-0.7591279,0.1465562,-0.1032095,0.7318069,0.06598885,0.7419893,0.5141078,0.5001582,-0.6015254,0.351713,138.8157,0.5491972,0.5342954,-0.6425813,0.01327584,0.9899537,0.308173,1.036897,0.05390526,1.012895,0.3378503,1.069114,0.05367739,0.990409,0.3433042,1.049595,-0.01679331,0.7105727,0.1572884,0.7279665,-0.0323715,0.722486,0.2124069,0.7537577,-0.0204626,0.705451,0.1651899,0.7248224,0.09242468,-0.08807909,0.04469123,0.1352684,0.1331421,-0.07789139,0.008690044,0.1544972,0.1175001,-0.09072033,-0.002541587,0.1484686,-0.109881,0.06444435,-0.005230285,0.1274922,-0.1587887,0.03360309,-0.01414731,0.1629207,-0.1171929,0.06039988,0.0004536361,0.1318428,0.09229471,-0.08821968,0.04459884,0.1352408,0.133194,-0.07786226,0.008698408,0.1545278,0.1179818,-0.09064545,-0.002604541,0.1488056,-0.1100849,0.06493137,-0.006286902,0.1279621,-0.1594962,0.03312766,-0.01404619,0.1635047,-0.1169698,0.06071447,0.000416052,0.131789,0.1051867,-0.08657809,0.02880125,0.1392463,-0.277841,0.9281921,-0.09295736,0.2293965,153.4769,-0.2854531,0.9536222,-0.09550416,-0.1501308,0.03916736,-0.01215315,0.1556311,0.1091258,-0.4107379,0.2587277,0.8674363,59.67583,0.2193272,-0.8255243,0.5200056,-0.05002179,0.9999738,0.3000098,1.045206,-0.001295325,0.0004513867,-0.001692653,0.9999977,0.2470814,-0.6007469,0.2093444,-0.7850197,0.1037333,-0.06090159,0.02808152,0.123524,-0.2947187,-0.128774,-0.7780353,-0.5396475,245.3193,-0.3500675,-0.1529581,-0.9241518,-0.2366008,0.01273789,-0.3073118,0.38805,0.8554844,0.2385731,-0.0514926,0.4567033,125.6508,0.96163,0.2681744,-0.05788162,0.1000218,2.616644E-05,-9.745359E-06,0.1000218,-0.04699643,-0.6193976,0.6846483,0.3813068,135.1707,-0.05083725,-0.6700184,0.7406017,-0.05741049,1.212386,0.003308616,1.213749,0.0921199,0.07113765,0.02271979,0.9929437,13.62109,0.7768143,0.5998785,0.1915879,False,False,False,False
1773019552715,0.0284354,-0.06409897,0.9289296,0.185645,0.9494645,-0.6832569,-0.4310388,-0.2844713,0.51618,117.8473,-0.7977498,-0.5032677,-0.3321399,-0.08844809,0.7627524,0.07225856,0.7712558,0.5042626,0.4729146,-0.5893108,0.4180716,130.5742,0.5551021,0.5205936,-0.6487249,-0.103936,1.002614,0.2893411,1.048693,-0.02555148,0.9927175,0.3398141,1.049578,-0.0246704,0.9715312,0.3543294,1.034423,-0.005354048,0.7605,0.172484,0.779833,-0.03092071,0.7707024,0.2261391,0.8037893,-0.011813,0.752677,0.1728662,0.7723632,0.08962947,-0.0899168,0.04063085,0.1333017,0.1653582,-0.04300571,0.01140557,0.1712394,0.1716138,-0.04688305,-0.01321489,0.1783927,-0.110952,0.06742763,-0.009898998,0.1302107,-0.1605918,0.03327953,-0.01243354,0.1644744,-0.1102903,0.06270167,-0.00093849,0.1268714,0.09207071,-0.08836231,0.04426536,0.1350716,0.1358973,-0.07493275,0.008925931,0.1554434,0.1224893,-0.08696745,-0.003496285,0.1502638,-0.1101578,0.06514117,-0.00659048,0.1281465,-0.1595883,0.03314042,-0.01391065,0.1635855,-0.1164084,0.06088148,0.0003022098,0.131368,0.1054602,-0.08562145,0.02947643,0.1390027,-0.2836646,0.9171357,-0.07039357,0.2710006,148.5524,-0.2946923,0.9527898,-0.07313016,-0.1504158,0.03906672,-0.0121185,0.1558781,0.1249946,-0.3841949,0.2560014,0.8781993,57.1482,0.2613337,-0.8032593,0.5352375,-0.05086749,1.000116,0.3005671,1.045543,-0.007103336,0.004152212,-0.0171312,0.9998194,2.177888,-0.373785,0.2184938,-0.9014615,0.1228987,-0.04698356,0.03183104,0.135369,0.6817287,0.4320588,0.2844636,0.5173509,117.6906,0.7966228,0.5048752,0.3324053,-0.234619,-0.04184406,-0.2298353,0.331091,-0.5042685,-0.4743417,0.5877616,0.4186284,130.504,-0.5552654,-0.522312,0.6472021,0.1008675,-0.0001158714,-0.0005670786,0.1008692,-0.05181198,-0.6160136,0.6942096,0.3686676,136.7331,-0.0557381,-0.6626929,0.7468143,-0.0576202,1.212556,0.003382372,1.213929,0.09176841,0.07095934,0.02308959,0.9929805,13.5855,0.7758688,0.5999357,0.1952141,False,False,False,False
1773019552729,0.0470745,-0.06521053,0.9284033,0.1873606,0.9493625,-0.6906158,-0.4256692,-0.2857003,0.5101285,118.6552,-0.80295,-0.4949076,-0.3321717,-0.08812169,0.7699293,0.07423677,0.7785035,0.5028902,0.4756245,-0.5891982,0.4168071,130.7337,0.5532377,0.5232422,-0.6481866,-0.1026959,1.001304,0.2923568,1.048155,-0.03286355,0.9923218,0.3402746,1.049557,-0.03213034,0.9725159,0.3546402,1.035659,-0.004871146,0.7677121,0.1744165,0.7872907,-0.02928165,0.7773859,0.2275134,0.8105236,-0.01119788,0.759854,0.1741129,0.7796274,0.09086286,-0.08994918,0.0373759,0.1332061,0.1610454,-0.04959205,0.01093586,0.1688626,0.1674293,-0.05325498,-0.01240966,0.1761325,-0.1112753,0.06700707,-0.009970605,0.1302749,-0.1603345,0.03390401,-0.01244305,0.1643517,-0.1099461,0.06248838,-0.001044042,0.1264675,0.09197412,-0.0884892,0.04371448,0.1349093,0.1379081,-0.07290652,0.009086643,0.156258,0.1260827,-0.08427182,-0.004208992,0.1517113,-0.1102471,0.06529037,-0.006860752,0.1283134,-0.1596479,0.03320148,-0.01379331,0.1636461,-0.1158917,0.06100997,0.0001945644,0.13097,0.1056118,-0.08508569,0.02973981,0.1388448,-0.2873276,0.9076114,-0.0558726,0.3009364,144.9723,-0.3012944,0.9517296,-0.05858852,-0.1506465,0.03901355,-0.01208365,0.1560847,0.138878,-0.3575994,0.2537672,0.8879403,54.76892,0.3019355,-0.7774593,0.551717,-0.05142239,1.000351,0.3005469,1.045789,-0.0140756,-0.008652718,-0.01993028,0.9996649,2.966643,-0.5437571,-0.3342648,-0.7699304,0.1219017,-0.04801829,0.03159663,0.1347743,0.6783889,0.4375121,0.2828008,0.518069,117.5944,0.7931229,0.5115073,0.3306301,-0.2322724,-0.04191335,-0.223365,0.3249602,-0.5000586,-0.4866083,0.5764848,0.4252281,129.6698,-0.5524984,-0.5376377,0.6369392,0.1014224,-0.0003513098,-0.0005468726,0.1014245,-0.0596206,-0.6061234,0.6989008,0.3749637,135.9559,-0.06431288,-0.6538268,0.753906,-0.05783132,1.212602,0.003474675,1.213986,0.09151409,0.07090988,0.02368693,0.9929934,13.57297,0.77443,0.6000687,0.2004486,False,False,False,False
1773019552741,0.0615805,-0.06607862,0.9279083,0.1892402,0.9493114,-0.6992434,-0.4199021,-0.2866168,0.5025852,119.6576,-0.8088155,-0.4857012,-0.3315299,-0.08762173,0.7743035,0.07560036,0.7829041,0.5018266,0.4785938,-0.5887728,0.4152884,130.925,0.551646,0.5261067,-0.6472238,-0.1012694,0.9999474,0.295381,1.047569,-0.03507168,0.9929537,0.3409028,1.050429,-0.03644519,0.9740205,0.3548684,1.037293,-0.004160889,0.7718369,0.175666,0.7915858,-0.02753617,0.7810768,0.2282893,0.8142206,-0.01032599,0.7640395,0.1749111,0.783873,0.09189312,-0.09009976,0.03363934,0.1330185,0.159239,-0.05219893,0.01058824,0.1679104,0.1644044,-0.05716355,-0.01186298,0.1744626,-0.1115236,0.06670403,-0.009898342,0.1303262,-0.1600792,0.03450191,-0.01242362,0.1642257,-0.1097764,0.06237443,-0.001090415,0.126264,0.09196563,-0.08865804,0.04265825,0.1346761,0.1401443,-0.07073563,0.009244064,0.1572559,0.1301002,-0.08142991,-0.005011401,0.1535643,-0.1103809,0.06543857,-0.007179199,0.1285212,-0.1596932,0.03333781,-0.01364972,0.1637059,-0.1152506,0.06115301,5.985315E-05,0.1304699,0.1058959,-0.08460597,0.02955062,0.1387276,-0.2921062,0.8957704,-0.04273859,0.3323293,141.1796,-0.309709,0.9497511,-0.04531409,-0.1508889,0.03900327,-0.0120297,0.156312,0.1550234,-0.3218666,0.2516804,0.8994591,51.82589,0.3547406,-0.7365283,0.5759211,-0.05157469,1.000545,0.3003658,1.04593,-0.01801779,-0.007558067,-0.01595094,0.9996819,2.890466,-0.7143952,-0.2996731,-0.6324459,0.1203444,-0.04891218,0.03125413,0.1336113,0.6860461,0.4253145,0.2763641,0.5216047,117.1201,0.8040978,0.4985006,0.3239195,-0.2297873,-0.04244683,-0.2200113,0.32095,-0.4928709,-0.5003157,0.5779043,0.415679,130.8758,-0.5419074,-0.5500929,0.635401,0.1015747,-0.0005451441,-0.0003657639,0.1015768,-0.054897,-0.6040457,0.6998856,0.3771942,135.68,-0.05927543,-0.6522227,0.7557065,-0.05801249,1.212586,0.003528955,1.213978,0.09163286,0.07077095,0.02415321,0.9929811,13.58487,0.7747591,0.5983709,0.2042162,False,False,False,False
1773019552756,0.0743582,-0.06581426,0.9274582,0.1901486,0.9490346,-0.707045,-0.4151511,-0.2872247,0.4952162,120.632,-0.8138462,-0.4778609,-0.3306108,-0.08725536,0.7756727,0.07619093,0.7842746,0.5009523,0.4816779,-0.5883914,0.4133142,131.1736,0.5501414,0.5289744,-0.6461663,-0.09914683,1.000329,0.2962553,1.047976,-0.03564016,0.9940102,0.34048,1.05131,-0.03775451,0.9756342,0.3545469,1.038745,-0.003507727,0.7724887,0.1758817,0.792266,-0.0258018,0.7815939,0.2282225,0.8146412,-0.009492383,0.7650682,0.174956,0.7848752,0.09243175,-0.09006095,0.03201883,0.1329654,0.157804,-0.0540939,0.01053201,0.1671502,0.1627045,-0.05940393,-0.01155443,0.1735946,-0.1115517,0.06654251,-0.009505242,0.1302384,-0.1597946,0.03517685,-0.01238793,0.164089,-0.1096732,0.06232683,-0.001112595,0.126151,0.09200457,-0.08877522,0.04176953,0.1345012,0.1416194,-0.06934554,0.009351647,0.1579631,0.1328236,-0.07959007,-0.005557944,0.1549438,-0.1104787,0.06553078,-0.007373495,0.1286631,-0.1597016,0.03349143,-0.01354432,0.1637368,-0.1147847,0.06125106,-3.808216E-05,0.1301046,0.1061385,-0.08433557,0.02920728,0.1386756,-0.2953953,0.8873249,-0.03536309,0.352343,138.7386,-0.3156368,0.9481274,-0.03778629,-0.1510355,0.03904278,-0.01198085,0.1564596,0.1662571,-0.2952458,0.2504872,0.9068874,49.84261,0.3945603,-0.7006757,0.5944547,-0.05170402,1.00073,0.300186,1.046062,-0.02196939,-0.006162367,-0.01160928,0.9996723,2.933742,-0.8582227,-0.2407297,-0.4535106,0.1191817,-0.05053393,0.03056719,0.1330124,0.6934462,0.417379,0.2813703,0.5155173,117.9359,0.8092695,0.487092,0.3283664,-0.2278462,-0.0433604,-0.2197749,0.3195232,-0.4961096,-0.5032406,0.576719,0.4099015,131.6027,-0.5439025,-0.5517206,0.6322774,0.101704,-0.0007295609,-0.0001859963,0.1017068,-0.04973816,-0.6020772,0.7007335,0.3794758,135.3976,-0.05375926,-0.6507522,0.7573845,-0.05818079,1.212477,0.003557481,1.213877,0.09183096,0.07069185,0.02468591,0.9929554,13.60979,0.7750186,0.5966125,0.2083397,False,False,False,False
1773019552770,0.08791339,-0.06560749,0.9271598,0.1915207,0.9490047,-0.7170723,-0.4093563,-0.2878262,0.4851709,121.9527,-0.8200554,-0.4681464,-0.3291627,-0.08659105,0.7774374,0.07708958,0.7860342,0.4999051,0.4861613,-0.5878906,0.4100327,131.5862,0.548099,0.5330302,-0.6445668,-0.09620211,1.000686,0.2978739,1.048502,-0.03664012,0.9959297,0.3401621,1.053057,-0.03973208,0.9782608,0.3539161,1.041071,-0.002184824,0.7734213,0.1761332,0.7932265,-0.02326495,0.7820382,0.2281641,0.8149748,-0.008114257,0.7662127,0.1751029,0.7860081,0.09350456,-0.08971485,0.02934694,0.132865,0.1560255,-0.05664862,0.01047121,0.166321,0.1601846,-0.06222732,-0.01103465,0.1722008,-0.111556,0.06647564,-0.009296626,0.1301929,-0.1593927,0.0360086,-0.01233852,0.1638746,-0.1095962,0.06227859,-0.001127891,0.1260604,0.09211604,-0.08884506,0.04084631,0.13434,0.1426901,-0.06840193,0.00943485,0.1585191,0.134857,-0.0782997,-0.005964962,0.156054,-0.1105588,0.06560101,-0.007516418,0.1287759,-0.1596787,0.0336785,-0.0134547,0.1637454,-0.1143991,0.06132743,-0.0001190747,0.1298007,0.106421,-0.08414636,0.02869922,0.1386711,-0.297456,0.88077,-0.03084092,0.3671689,136.9178,-0.3197921,0.9469075,-0.03315679,-0.1511174,0.03913218,-0.01193238,0.1565573,0.175433,-0.2726571,0.2495976,0.9124596,48.30502,0.4287566,-0.6663713,0.6100141,-0.05280383,1.00082,0.2998348,1.046102,-0.02599614,-0.02172377,-0.01473579,0.9993173,4.234401,-0.7036716,-0.5880257,-0.398873,0.1176028,-0.05223567,0.02924004,0.131962,0.7031997,0.4082336,0.2866738,0.5066296,119.1208,0.815622,0.4734989,0.3325051,-0.2249113,-0.04494782,-0.2196432,0.3175666,-0.4994827,-0.5072479,0.5753376,0.4027449,132.5002,-0.5456964,-0.5541801,0.6285697,0.1028038,-0.0008201599,0.0001651645,0.1028072,-0.06075083,-0.5930048,0.7034574,0.3870433,134.4587,-0.06588587,-0.6431293,0.762918,-0.05833195,1.21236,0.00357433,1.213767,0.09243249,0.07081193,0.02553808,0.9928694,13.69266,0.7753955,0.5940254,0.2142332,False,False,False,False
1773019552783,0.10246,-0.0655017,0.9263537,0.1935241,0.9486165,-0.7240654,-0.405452,-0.2881578,0.4778109,122.915,-0.8242415,-0.4615473,-0.328025,-0.08532613,0.7810718,0.0787992,0.7896601,0.4992235,0.489614,-0.5875314,0.4072601,131.9343,0.5466077,0.5360861,-0.6432974,-0.09201597,0.9959666,0.3030358,1.045106,-0.03934509,0.9967425,0.3403244,1.053976,-0.04389305,0.9798237,0.3533854,1.042527,-0.0001783155,0.7769506,0.177412,0.7969487,-0.02023453,0.7845035,0.2288891,0.8174627,-0.006394156,0.7693486,0.1761659,0.7892861,0.09643954,-0.08799399,0.02232142,0.1324454,0.153296,-0.05981904,0.01054098,0.1648912,0.1562345,-0.06609614,-0.01018301,0.1699459,-0.1116781,0.06651513,-0.009765327,0.1303519,-0.1589207,0.03700213,-0.0122769,0.1636328,-0.1094728,0.06214759,-0.001160569,0.1258887,0.09245537,-0.08877826,0.03939237,0.1340945,0.1435225,-0.0677283,0.009521665,0.1589858,0.1365348,-0.0773419,-0.006296017,0.1570451,-0.1106466,0.06567275,-0.007692924,0.1288983,-0.1596192,0.03393935,-0.01336226,0.1637337,-0.1140124,0.0613918,-0.0002008167,0.1294907,0.1069503,-0.08389612,0.02768371,0.1387202,-0.2984924,0.8746626,-0.02862556,0.380852,135.2271,-0.3228215,0.9459534,-0.03095873,-0.1511188,0.03931316,-0.01187417,0.1565995,0.1845228,-0.2479969,0.2489216,0.9178709,46.76645,0.4649346,-0.6248676,0.6271977,-0.05292524,1.001032,0.2996537,1.046259,-0.03167461,-0.02029984,-0.009303597,0.9992489,4.442108,-0.8172963,-0.5237945,-0.2400596,0.1151847,-0.05374761,0.02919144,0.1304165,0.7114351,0.3979741,0.2757309,0.5093618,118.7573,0.8267189,0.4624634,0.3204114,-0.2210732,-0.04732228,-0.2170046,0.3133748,-0.4894916,-0.520757,0.5792459,0.3920257,133.8388,-0.5320826,-0.5660684,0.6296465,0.1029252,-0.001031756,0.0003462732,0.102931,-0.05423279,-0.5898818,0.7049201,0.3901106,134.0772,-0.05889951,-0.640641,0.7655783,-0.05846368,1.212223,0.003590032,1.213638,0.09271305,0.07056219,0.02587071,0.9928524,13.70898,0.7768275,0.5912291,0.2167665,False,False,False,False
1773019552797,0.1159137,-0.06536151,0.9261189,0.1940501,0.948485,-0.7291706,-0.4024832,-0.2880247,0.4726093,123.5924,-0.8274068,-0.456707,-0.3268283,-0.08527528,0.7819709,0.07936676,0.7906007,0.4990389,0.4926521,-0.5868107,0.4048544,132.236,0.5457669,0.538782,-0.6417572,-0.08982056,0.9955695,0.304024,1.044824,-0.03940696,0.9977534,0.3400832,1.054856,-0.04527561,0.9812774,0.352645,1.043702,0.0003348135,0.7773665,0.1776288,0.7974025,-0.01916,0.7844208,0.2289045,0.8173619,-0.005984449,0.7697298,0.1762169,0.7896659,0.09741156,-0.08723942,0.02040052,0.1323477,0.1526791,-0.06091719,0.01044059,0.1647144,0.1545557,-0.06792711,-0.0098335,0.1691102,-0.1117291,0.0665237,-0.009845175,0.130406,-0.1587035,0.03742991,-0.01228677,0.1635199,-0.1093651,0.06208609,-0.001186967,0.125765,0.09287043,-0.08864939,0.03780191,0.133838,0.1442893,-0.06715791,0.00959862,0.1594419,0.138044,-0.07655346,-0.006592263,0.1579875,-0.1107373,0.06574401,-0.007873164,0.1290233,-0.1595425,0.03423167,-0.0132722,0.1637125,-0.1136233,0.06144994,-0.0002834016,0.1291759,0.1075839,-0.08361235,0.02651458,0.1388105,-0.2991251,0.8687728,-0.02759053,0.3936963,133.6306,-0.3254046,0.9450984,-0.03001448,-0.1510795,0.03953514,-0.01181245,0.1566128,0.1934131,-0.2223748,0.2486148,0.9226763,45.35895,0.5016218,-0.5767347,0.6447886,-0.05256187,1.001524,0.2994893,1.046665,-0.03370004,-0.02251359,0.0009999231,0.9991779,4.646769,-0.831282,-0.5553449,0.0246652,0.1144525,-0.05479241,0.02858579,0.130072,0.7157555,0.3902479,0.2813578,0.5062005,119.1779,0.8299422,0.4525053,0.3262437,-0.2188967,-0.04799139,-0.2175812,0.3123468,-0.4949921,-0.5237304,0.5771292,0.3842022,134.8116,-0.5361415,-0.5672688,0.6251068,0.1025619,-0.001523972,0.0005106628,0.1025745,-0.04857661,-0.5880886,0.7020813,0.3985902,133.0199,-0.05296595,-0.6412277,0.7655206,-0.05862791,1.212134,0.00361823,1.213557,0.09288885,0.07032895,0.02663789,0.9928323,13.72831,0.7772101,0.5884492,0.2228819,False,False,False,False
1773019552812,0.1298672,-0.06557254,0.9261357,0.1939926,0.9485042,-0.7338454,-0.3996732,-0.2876111,0.4679874,124.1925,-0.8303907,-0.4522545,-0.3254495,-0.08546422,0.7830539,0.08024339,0.7917806,0.4991792,0.4959307,-0.5857026,0.4022752,132.559,0.545242,0.5416937,-0.6397494,-0.08824844,0.9957896,0.3042566,1.044967,-0.03786943,0.9989216,0.3402476,1.055958,-0.04780951,0.9829145,0.3508338,1.044744,0.0003790848,0.7774785,0.1781736,0.7976333,-0.01833537,0.7843294,0.2291684,0.8173292,-0.005891086,0.770218,0.176551,0.7902157,0.09822126,-0.08668303,0.01904304,0.1323783,0.153821,-0.06077494,0.01006286,0.1656978,0.1520492,-0.07023739,-0.009287119,0.1677454,-0.1117505,0.06642162,-0.009512059,0.1303476,-0.1584217,0.03792889,-0.01227042,0.1633603,-0.1092118,0.06199268,-0.001229443,0.1255859,0.09328749,-0.08849613,0.03633978,0.1336215,0.1450322,-0.0666604,0.009634805,0.1599087,0.1391356,-0.07606116,-0.006802309,0.1587145,-0.1108163,0.06579683,-0.008000905,0.1291258,-0.1594551,0.03451984,-0.01319411,0.1636815,-0.1132794,0.06149224,-0.0003571392,0.1288939,0.1082706,-0.0833137,0.0253937,0.1389551,-0.2998113,0.863865,-0.02798963,0.4038158,132.3661,-0.3277198,0.9442795,-0.0305951,-0.151029,0.03975287,-0.01175574,0.1566149,0.2014084,-0.1999712,0.248435,0.9261351,44.3197,0.5339679,-0.5301576,0.6586435,-0.05088453,1.002508,0.2996006,1.047555,-0.03807312,-0.02155709,0.02771222,0.9986581,5.937212,-0.7351599,-0.4162492,0.5350997,0.1146271,-0.05535486,0.02790491,0.1303159,0.7243457,0.3783822,0.2847901,0.5010437,119.8618,0.8369855,0.4372228,0.3290766,-0.2163187,-0.04781828,-0.2186325,0.3112564,-0.4996351,-0.5238187,0.5801488,0.3733713,136.1526,-0.5385845,-0.5646533,0.6253746,0.1008845,-0.002508163,0.0003993809,0.1009165,-0.02965862,-0.5863935,0.6942607,0.4162517,130.8037,-0.03261879,-0.6449203,0.7635535,-0.05879848,1.212064,0.003633218,1.213495,0.09318647,0.07013343,0.02701774,0.9928079,13.75161,0.778386,0.5858241,0.225679,False,False,False,False
1773019552825,0.1445114,-0.06452081,0.9273263,0.1937263,0.9495403,-0.7379633,-0.3974421,-0.2866829,0.4639644,124.7136,-0.8330531,-0.4486543,-0.3236233,-0.08564964,0.7857487,0.08211111,0.7946566,0.499559,0.4994612,-0.5842903,0.3994798,132.9087,0.5449287,0.544822,-0.6373553,-0.08493333,0.9948658,0.3054107,1.044149,-0.0358548,1.001213,0.3397066,1.057882,-0.05246323,0.9860659,0.3469262,1.046631,0.0004955598,0.7793711,0.1798142,0.7998455,-0.01748724,0.7855947,0.2304194,0.818876,-0.005929911,0.7722945,0.1777945,0.792518,0.09948818,-0.0855573,0.01528817,0.1321048,0.154189,-0.06099126,0.009853989,0.1661062,0.146419,-0.07460982,-0.007797167,0.1645173,-0.1118841,0.06633357,-0.009454042,0.1304131,-0.158152,0.03849451,-0.01214948,0.1632223,-0.1089593,0.06178759,-0.001316175,0.125266,0.0937873,-0.08825924,0.0346429,0.1333637,0.1457703,-0.06620343,0.009652472,0.1603903,0.1397227,-0.07594417,-0.0068825,0.159177,-0.1109023,0.0658401,-0.008118035,0.1292291,-0.1593501,0.03484022,-0.01310991,0.1636404,-0.1129312,0.06151605,-0.0004344428,0.1285996,0.1091503,-0.0829244,0.02405024,0.1391713,-0.3009163,0.8592492,-0.03096663,0.4125303,131.2722,-0.3303347,0.9432516,-0.033994,-0.1509516,0.0400016,-0.01169035,0.1565988,0.2099735,-0.1768339,0.2483422,0.9289602,43.45339,0.5672206,-0.4776977,0.6708696,-0.05010208,1.002951,0.299543,1.047925,-0.03891512,-0.02245064,0.0439175,0.9980245,7.204023,-0.6194131,-0.3573475,0.6990363,0.1150323,-0.05580989,0.02646639,0.1305667,0.7365024,0.3555416,0.2983792,0.4920615,121.0477,0.8460094,0.4084053,0.3427438,-0.2130924,-0.04598677,-0.2190246,0.3090225,-0.5153436,-0.5158044,0.5863297,0.3529651,138.6624,-0.5507947,-0.5512872,0.626664,0.1001021,-0.002951264,0.0004570484,0.1001466,-0.01986689,-0.5858409,0.6881067,0.4276739,129.3599,-0.02197827,-0.648102,0.7612363,-0.05896073,1.212008,0.003586947,1.213447,0.09315356,0.0699126,0.02739149,0.9928164,13.74356,0.7785645,0.5843198,0.2289342,False,False,False,False
