Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773019904058,0,1,1,135,-0.67435,-0.7362096,0.05698812,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.6230182,-0.6801689,0.05265015,0.3826834,135,-0.6743501,-0.7362096,0.05698812
Grab,1773019910145,5.184547,1,1,135,-0.67435,-0.7362096,0.05698812,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.6230182,-0.6801689,0.05265015,0.3826834,135,-0.6743501,-0.7362096,0.05698812
Trial Start,1773019910169,0,1,1,135,-0.67435,-0.7362096,0.05698812,1,-1,-0.05000001,1,0.3,1.045227,0.003986746,0.0009365019,0.00884417,0.9999525,1.116962,0.4090104,0.09607811,0.9073458,0.1,0,0,0.1,-0.6184494,-0.686215,0.04713493,0.3800101,135.3314,-0.6686068,-0.7418683,0.05095766
Release,1773019911033,0.8744315,1,1,135,-0.67435,-0.7362096,0.05698812,1,0,-0.03054588,1.01474,0.309458,1.061317,-0.1546237,0.10683,0.5879226,0.786782,76.22841,-0.2505118,0.1730795,0.9525164,0.08054587,-0.01474011,-0.009457946,0.08242791,-0.02549633,-0.9341723,-0.01183678,0.3557135,138.3256,-0.02728062,-0.9995477,-0.01266515
Grab,1773019912199,2.041339,1,1,135,-0.67435,-0.7362096,0.05698812,1,0,-0.03054588,1.01474,0.309458,1.061317,-0.1546237,0.10683,0.5879226,0.786782,76.22841,-0.2505118,0.1730795,0.9525164,0.08054587,-0.01474011,-0.009457946,0.08242791,-0.02549633,-0.9341723,-0.01183678,0.3557135,138.3256,-0.02728062,-0.9995477,-0.01266515
Release,1773019913949,3.791551,1,1,135,-0.67435,-0.7362096,0.05698812,1,0,-0.024792,1.016564,0.3052309,1.061689,-0.5146371,-0.168904,-0.3719669,0.7538308,82.15338,-0.7832318,-0.2570568,-0.5661006,0.07479201,-0.01656437,-0.005230933,0.07678271,-0.5346004,-0.1892576,0.4268448,0.7044059,90.43687,-0.7531731,-0.2666361,0.6013613
Grab,1773019914978,4.81976,1,1,135,-0.67435,-0.7362096,0.05698812,1,0,-0.024792,1.016564,0.3052309,1.061689,-0.5146371,-0.168904,-0.3719669,0.7538308,82.15338,-0.7832318,-0.2570568,-0.5661006,0.07479201,-0.01656437,-0.005230933,0.07678271,-0.5346004,-0.1892576,0.4268448,0.7044059,90.43687,-0.7531731,-0.2666361,0.6013613
Clutch Start,1773019915533,5.375086,1,1,135,-0.67435,-0.7362096,0.05698812,1,0,-0.01739676,1.023545,0.302452,1.067438,-0.4230239,0.1974549,-0.04277119,0.883308,55.91197,-0.9023681,0.4211983,-0.09123681,0.06739676,-0.02354479,-0.002451956,0.07143313,-0.4071283,-0.6274419,0.4736198,0.4650244,124.5764,-0.4598771,-0.7087352,0.5349835
Clutch End,1773019915575,5.416686,1,1,135,-0.67435,-0.7362096,0.05698812,1,0,-0.01651642,1.025005,0.3020175,1.068701,-0.4207874,0.2029206,-0.03571815,0.8834509,55.87703,-0.8981132,0.4331064,-0.0762355,0.06651641,-0.02500486,-0.002017498,0.07108971,-0.4029882,-0.6341426,0.4728124,0.4603393,125.182,-0.4539469,-0.7143313,0.5326005
Release,1773019915575,5.416686,1,1,135,-0.67435,-0.7362096,0.05698812,1,0,-0.01651642,1.025005,0.3020175,1.068701,-0.4207874,0.2029206,-0.03571815,0.8834509,55.87703,-0.8981132,0.4331064,-0.0762355,0.06651641,-0.02500486,-0.002017498,0.07108971,-0.4029882,-0.6341426,0.4728124,0.4603393,125.182,-0.4539469,-0.7143313,0.5326005
Grab,1773019916700,6.541385,1,1,135,-0.67435,-0.7362096,0.05698812,1,0,-0.01651642,1.025005,0.3020175,1.068701,-0.4207874,0.2029206,-0.03571815,0.8834509,55.87703,-0.8981132,0.4331064,-0.0762355,0.06651641,-0.02500486,-0.002017498,0.07108971,-0.4029882,-0.6341426,0.4728124,0.4603393,125.182,-0.4539469,-0.7143313,0.5326005
Release,1773019917449,7.291494,1,1,135,-0.67435,-0.7362096,0.05698812,1,0,-0.004021376,1.048395,0.2869363,1.086959,-0.7105194,0.4586677,0.1673428,0.5067371,119.1065,-0.8241723,0.5320351,0.1941106,0.05402138,-0.04839516,0.0130637,0.07369573,0.09416793,-0.58704,0.731672,0.3334255,141.0464,0.09988362,-0.6226715,0.7760822
Grab,1773019918366,8.208084,1,1,135,-0.67435,-0.7362096,0.05698812,1,0,-0.004021376,1.048395,0.2869363,1.086959,-0.7105194,0.4586677,0.1673428,0.5067371,119.1065,-0.8241723,0.5320351,0.1941106,0.05402138,-0.04839516,0.0130637,0.07369573,0.09416793,-0.58704,0.731672,0.3334255,141.0464,0.09988362,-0.6226715,0.7760822
Clutch Start,1773019918685,8.52781,1,1,135,-0.67435,-0.7362096,0.05698812,1,0,-0.003687449,1.033602,0.2928888,1.074305,-0.4102164,0.03449552,0.9043165,0.1128903,167.0361,-0.4128557,0.03471746,0.9101347,0.05368745,-0.03360248,0.007111251,0.06373412,0.7035545,-0.631793,-0.03961546,0.3229232,142.3204,0.743381,-0.6675572,-0.041858
Clutch End,1773019919698,9.541054,1,1,135,-0.67435,-0.7362096,0.05698812,1,0,0.02675089,1.004711,0.2862141,1.045026,-0.4801256,-0.3407081,0.6347702,0.500464,119.9386,-0.5545729,-0.3935377,0.7331964,0.02324911,-0.00471139,0.0137859,0.02743664,0.2857505,-0.5802114,-0.1022673,0.7558061,81.8083,0.4363965,-0.8860953,-0.1561821
Release,1773019919698,9.541054,1,1,135,-0.67435,-0.7362096,0.05698812,1,0,0.02675089,1.004711,0.2862141,1.045026,-0.4801256,-0.3407081,0.6347702,0.500464,119.9386,-0.5545729,-0.3935377,0.7331964,0.02324911,-0.00471139,0.0137859,0.02743664,0.2857505,-0.5802114,-0.1022673,0.7558061,81.8083,0.4363965,-0.8860953,-0.1561821
Grab,1773019920880,10.72167,1,1,135,-0.67435,-0.7362096,0.05698812,1,0,0.02675089,1.004711,0.2862141,1.045026,-0.4801256,-0.3407081,0.6347702,0.500464,119.9386,-0.5545729,-0.3935377,0.7331964,0.02324911,-0.00471139,0.0137859,0.02743664,0.2857505,-0.5802114,-0.1022673,0.7558061,81.8083,0.4363965,-0.8860953,-0.1561821
Clutch Start,1773019921630,11.47175,1,1,135,-0.67435,-0.7362096,0.05698812,1,0,0.03846103,1.00787,0.2822143,1.047343,-0.5040168,-0.6564922,0.09206769,0.5536323,112.7669,-0.6052357,-0.7883318,0.1105571,0.01153897,-0.007870197,0.0177857,0.02261457,-0.123987,-0.1561581,-0.07227395,0.9772505,24.48958,-0.5845993,-0.7362864,-0.3407721
Clutch End,1773019923046,12.88807,1,1,135,-0.67435,-0.7362096,0.05698812,1,0,0.06050041,0.9914534,0.2871859,1.033981,-0.4829053,-0.7277526,0.06808567,0.4822271,122.3381,-0.5512326,-0.830724,0.07771926,-0.0105004,0.008546591,0.01281413,0.01864148,-0.107643,-0.06649061,-0.1256119,0.9839786,20.53997,-0.6037628,-0.3729417,-0.7045494
Release,1773019923046,12.88807,1,1,135,-0.67435,-0.7362096,0.05698812,1,0,0.06050041,0.9914534,0.2871859,1.033981,-0.4829053,-0.7277526,0.06808567,0.4822271,122.3381,-0.5512326,-0.830724,0.07771926,-0.0105004,0.008546591,0.01281413,0.01864148,-0.107643,-0.06649061,-0.1256119,0.9839786,20.53997,-0.6037628,-0.3729417,-0.7045494
Grab,1773019924143,13.98464,1,1,135,-0.67435,-0.7362096,0.05698812,1,0,0.06050041,0.9914534,0.2871859,1.033981,-0.4829053,-0.7277526,0.06808567,0.4822271,122.3381,-0.5512326,-0.830724,0.07771926,-0.0105004,0.008546591,0.01281413,0.01864148,-0.107643,-0.06649061,-0.1256119,0.9839786,20.53997,-0.6037628,-0.3729417,-0.7045494
Clutch Start,1773019925129,14.97067,1,1,135,-0.67435,-0.7362096,0.05698812,1,0,0.0572308,1.005049,0.2922847,1.048251,-0.7744651,-0.4016723,-0.009225583,0.4886493,121.4963,-0.8876591,-0.4603797,-0.01057397,-0.0072308,-0.00504899,0.007715315,0.01171763,-0.03548551,-0.1321273,0.3057759,0.9422231,39.14338,-0.1059313,-0.3944262,0.9128016
Clutch End,1773019927976,17.81793,1,1,135,-0.67435,-0.7362096,0.05698812,1,0,0.05598741,0.9962931,0.29894,1.041681,-0.5924637,-0.6362264,0.2065725,0.4489217,126.651,-0.6630292,-0.7120042,0.2311763,-0.00598741,0.003706872,0.001060009,0.007121348,0.05404645,-0.1593744,-0.04882126,0.9845281,20.18381,0.3084356,-0.9095275,-0.2786161
