Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,-0.67435,-0.7362096,0.05698812,1,21.52654,False,-0.00460558,0.007980466,-0.004980832,0.01047415,0.06679083,0.01484627,-0.01469813,0.9975483,8.025764,0.9544181,0.212148,-0.2100312,0.412071,0.518328,0.5449458,0.8092218,829.7716,0.503234,1467.19,0,0,0,0,0,0,0,0.8489012,1419.428,0.2011129,43.83121
1,3,135,0.7263374,0.3146188,-0.6111047,1,12.52695,False,-0.001308009,-0.005710483,0.0001676679,0.005860769,-0.01263297,0.02893348,-0.03808919,0.9987755,5.671317,-0.2553587,0.5848518,-0.7699224,0.2806621,0.2750492,0.3820385,0.6086252,498.0578,0.3291601,723.1027,0,0,0,0,0,0,0,0.5864335,890.62,0.1480311,32.20246
1,4,135,0.1949045,0.7629126,-0.6164224,0.9999999,6.539953,False,-0.003059328,-0.005008578,0.002706528,0.006463021,0.0004217441,-0.06252768,-0.03370497,0.9974739,8.146757,0.005937214,-0.8802498,-0.4744906,0.06211936,0.1051306,0.1175251,0.2495139,222.9005,0.1121285,351.7693,0,0,0,0,0,0,0,0.2305612,316.9907,0.08110267,16.82455
1,5,135,-0.536817,-0.6889268,-0.4870394,1,12.95704,False,0.001064736,0.002849281,0.003669083,0.004765945,-0.02533857,0.01967155,0.0007245823,0.9994852,3.67712,-0.7897613,0.6131296,0.02258403,0.1887156,0.1957419,0.3074646,0.5129458,519.3678,0.3350827,766.6059,0,0,0,0,0,0,0,0.5342237,764.6113,0.1618891,35.3405
1,6,135,0.6032346,-0.7701766,-0.2072097,1,9.027754,False,0.007349346,0.002452731,0.003416479,0.00846765,0.00966916,0.008285607,-0.03596276,0.9992721,4.372834,0.2534456,0.2171802,-0.9426467,0.1743745,0.2367315,0.3017226,0.4713439,416.6792,0.2437119,710.4489,0,0,0,0,0,0,0,0.4977239,706.5538,0.09815999,19.98314
1,7,135,-0.2439437,-0.4006848,0.8831439,1,14.61019,False,-0.009159759,-0.0007665157,0.008201271,0.01231867,-0.0370429,0.01219048,0.02630445,0.9988931,5.392338,-0.7874869,0.2591547,0.5592005,0.2726929,0.2550867,0.4309791,0.8453979,587.014,0.3579197,745.612,0,0,0,0,0,0,0,0.6602013,969.2495,0.1623697,29.02548
1,8,135,-0.3162373,0.5353301,0.7832086,1,5.374541,False,-0.00320049,0.002993643,-0.005220532,0.006816084,0.03308494,-0.02688275,-0.005495592,0.9990759,4.926778,0.7697532,-0.6254532,-0.1278603,0.1156148,0.09513334,0.1442935,0.3546103,319.2068,0.08938012,111.3948,0,0,0,0,0,0,0,0.2913854,413.9201,0.04297218,5.730814
1,9,135,0.7647063,-0.6394213,-0.07977879,1,13.28977,False,-0.007189684,-0.00308013,0.004303485,0.008927415,-0.01569015,0.05389786,0.02929258,0.9979935,7.26066,-0.2477968,0.8512166,0.4626219,0.1869452,0.2482538,0.3907014,0.4732921,472.1105,0.2962324,943.2227,0,0,0,0,0,0,0,0.4998058,823.5072,0.219675,41.7239
1,10,135,0.1836301,-0.4690276,-0.8638825,1,9.082636,False,-0.0005571358,-0.005244255,-0.0009893775,0.005365769,-0.02877096,0.01019029,0.0002982288,0.9995341,3.4982,-0.9426162,0.3338621,0.009770798,0.1726562,0.2316063,0.2877885,0.3525495,337.6237,0.2300811,424.6602,0,0,0,0,0,0,0,0.3909868,487.3583,0.09854405,18.24626
1,11,135,0.3077413,0.3839562,-0.870559,1,9.776966,False,-0.002212938,-0.002274275,0.00621736,0.006980329,0.005523942,0.07076954,0.01778713,-0.9973189,351.6069,0.07548609,0.967084,0.2430657,0.1838578,0.2057253,0.2875758,0.3820666,331.4806,0.2449309,723.6076,0,0,0,0,0,0,0,0.4207316,721.457,0.1041187,21.37208
