Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773050882666,0,1,1,135,-0.389273,-0.3815957,0.8383622,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.3596414,-0.3525484,0.7745457,0.3826834,135,-0.389273,-0.3815957,0.8383623
Trial Start,1773050885969,0,1,1,135,-0.389273,-0.3815957,0.8383622,1,-1,-0.05096328,1.001367,0.3002611,1.046657,0.005674944,0.007677461,0.0038488,-0.9999471,358.821,0.5515692,0.7462015,0.3740794,0.1009633,-0.001367331,-0.0002610683,0.1009729,0.3647541,0.343812,-0.7752172,-0.3844297,225.2167,0.3951171,0.3724318,-0.8397482
On Target,1773050890234,4.270493,1,1,135,-0.389273,-0.3815957,0.8383622,1,-1,0.0456028,1.004961,0.2911247,1.047273,0.3344687,0.3120477,-0.8213468,-0.3408025,219.8515,0.3557667,0.331918,-0.8736478,0.004397202,-0.004961371,0.00887534,0.01107801,-0.05329825,0.03706294,0.04465754,-0.9968908,350.9614,-0.6764163,0.4703715,0.5667557
Off Target,1773050890400,4.436854,1,1,135,-0.389273,-0.3815957,0.8383622,1,-1,0.04374613,1.010203,0.2838195,1.050227,0.3520944,0.4119813,-0.7538453,-0.3715081,223.6173,0.3792365,0.4437399,-0.8119572,0.006253872,-0.01020265,0.01618049,0.02012493,0.05220041,-0.02828312,0.0247693,-0.9979287,352.6233,0.811459,-0.4396629,0.3850404
On Target,1773050890457,4.492928,1,1,135,-0.389273,-0.3815957,0.8383622,1,-1,0.04475725,1.011482,0.2850738,1.05184,0.351016,0.4265223,-0.7418962,-0.3800745,224.6766,0.3794949,0.4611271,-0.8020881,0.005242754,-0.01148248,0.01492622,0.01954804,0.07116918,-0.03428974,0.01917119,-0.9966903,350.6743,0.8754773,-0.4218102,0.2358316
Off Target,1773050890497,4.534183,1,1,135,-0.389273,-0.3815957,0.8383622,1,-1,0.0454416,1.011032,0.2845057,1.051283,0.3548468,0.4324345,-0.7371578,-0.3790548,224.5503,0.383463,0.4673077,-0.7966051,0.004558403,-0.01103246,0.01549432,0.01955935,0.07558628,-0.04158296,0.01892343,-0.9960921,349.8661,0.8558208,-0.4708204,0.2142593
On Target,1773050890748,4.784172,1,1,135,-0.389273,-0.3815957,0.8383622,1,-1,0.04729301,1.006994,0.2861569,1.047931,0.3551387,0.4291737,-0.7392662,-0.3783807,224.4668,0.3836641,0.4636457,-0.7986454,0.002706993,-0.006993771,0.01384309,0.01574394,0.07196321,-0.0400406,0.01897683,-0.9964226,350.3043,0.8515307,-0.4737949,0.2245502
Trial End,1773050891736,5.770939,1,2,135,-0.389273,-0.3815957,0.8383622,1,-1,0.05226654,1.004835,0.2947006,1.048462,0.3685119,0.383933,-0.7473451,-0.3978313,226.8853,0.401666,0.4184745,-0.8145819,-0.002266537,-0.004834533,0.005299449,0.007522902,0.03595155,-0.02332314,-0.01398207,-0.9989835,354.8328,0.7975496,-0.5174009,-0.3101784
Trial Load,1773050891736,5.770939,1,2,135,-0.9225722,-0.241945,-0.3005382,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.8523456,-0.223528,-0.2776611,0.3826834,135,-0.9225723,-0.241945,-0.3005382
Trial Start,1773050893055,0,1,2,135,-0.9225722,-0.241945,-0.3005382,1,-1,-0.05078666,1.000506,0.3005746,1.045914,-0.002133861,-0.001631544,0.0009382579,0.999996,0.323851,-0.7550466,-0.5773062,0.3319937,0.1007867,-0.0005059242,-0.0005745888,0.1007896,-0.8508629,-0.224295,-0.2789327,0.3846049,134.7616,-0.9217635,-0.242985,-0.3021756
On Target,1773050902595,9.553938,1,2,135,-0.9225722,-0.241945,-0.3005382,1,-1,0.04810309,0.9971888,0.2992004,1.042219,-0.8175079,-0.2192819,-0.3533386,0.3984321,133.0396,-0.8913103,-0.2390781,-0.3852371,0.001896914,0.002811193,0.0007995963,0.003484314,-0.04485013,0.06903129,0.02041966,0.9963967,9.730848,-0.5287958,0.8138986,0.2407536
