Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,-0.389273,-0.3815957,0.8383622,1,5.770939,False,-0.002266537,-0.004834533,0.005299449,0.007522902,0.03595155,-0.02332314,-0.01398207,-0.9989835,354.8328,0.7975496,-0.5174009,-0.3101784,0.244821,0.4554068,0.6160071,1.241134,606.7739,0,0,0.01610956,0.01923808,0.02307033,0.08580054,17.08631,0,0,0.6878231,437.2843,0.1787209,53.36756
1,3,135,-0.9225722,-0.241945,-0.3005382,1,10.54061,False,-0.0008993708,-0.002823234,0.003338695,0.004463899,-0.03768967,0.04727069,0.02625557,0.9978255,7.558328,-0.5718251,0.7171876,0.3983476,0.8036745,0.8130192,0.9567517,2.365058,1282.097,0,0,0.03142053,0.03178658,0.05002733,0.2305197,42.7614,0,0,1.18108,873.6024,0.3544191,112.2228
1,4,135,-0.0007062377,0.6455391,-0.7637269,1,6.542869,False,-0.004013639,-0.004216671,0.00151211,0.006014656,-0.01389785,0.0719507,0.03071817,-0.9968383,350.8851,-0.1749067,0.9055108,0.386593,0.451273,0.5693772,0.7150809,1.696464,737.3792,0,0,0.01798737,0.01790115,0.02476132,0.101689,19.14876,0,0,0.6294594,465.1852,0.1702515,47.42156
1,5,135,0.2228441,0.5781233,0.7849293,1,5.414716,False,0.004409771,-0.001410127,0.002360702,0.005196869,0.004477204,-0.03821378,-0.02493168,-0.9989486,354.7444,0.09765508,-0.8335045,-0.5438004,0.2910262,0.3811231,0.4238491,1.01602,522.258,0,0,0.01315192,0.01151456,0.01752148,0.05523,6.986409,0,0,0.6360419,412.8343,0.1058027,32.64116
1,6,135,0.2484256,0.8371184,0.4873576,1,6.777709,False,0.001741782,0.001443684,-0.002277553,0.003210183,-0.01137925,-0.04866482,0.005634625,-0.9987344,354.2343,-0.2262567,-0.9676154,0.1120347,0.5817611,0.6492378,0.8887126,1.357118,804.9482,0,0,0.0170856,0.01348662,0.0191718,0.07749381,5.727365,0,0,0.7963336,506.9568,0.1832972,60.51627
1,7,135,-0.6440642,0.7354118,-0.2105962,1,5.431601,False,-0.005401455,-0.00634861,0.004440725,0.009444606,-0.02026682,0.0561641,-0.01719169,0.9980679,7.124548,-0.3261835,0.9039307,-0.2766909,0.3678485,0.4691159,0.6718787,1.819778,640.6849,0,0,0.01840016,0.01864039,0.0295805,0.1224417,29.04081,0,0,0.8991575,376.1769,0.2122471,56.82363
1,8,135,0.4173088,-0.3829476,0.8241386,1,8.583557,False,6.277487E-05,-0.002615571,0.003156334,0.004099707,-0.06290727,0.01117281,0.03272189,0.9974203,8.232745,-0.8763615,0.1556485,0.4558488,0.4208791,0.5226098,0.7062626,1.777481,728.0559,0,0,0.02017323,0.01625299,0.03662769,0.09275994,8.234365,0,0,0.7109987,496.369,0.1858422,47.42859
1,9,135,0.3023508,0.5697047,0.7642124,1,10.71638,False,-0.001323622,-0.002138853,0.002501547,0.003547451,-0.01199948,-0.03409785,-0.04548444,-0.9983109,353.3387,-0.2065376,-0.5868995,-0.7828878,0.5010536,0.6709462,0.9096461,2.170011,1023.706,0,0,0.02826431,0.02642934,0.06058146,0.1099009,11.72857,0,0,0.9987143,637.0896,0.3639503,76.08461
1,10,135,-0.3656975,-0.9170347,-0.1590995,0.9999999,5.722656,False,0.002110425,-0.005034089,0.004707634,0.007208174,0.0119062,-0.01795615,0.02575172,0.9994363,3.847935,0.3546303,-0.5348302,0.767024,0.2972864,0.3445767,0.4598369,1.235636,586.1149,0,0,0.02096995,0.02718862,0.03878567,0.112489,24.93709,0,0,0.6216414,396.2968,0.2908131,78.56873
1,11,135,-0.6846102,-0.1835916,-0.7054098,1,6.319793,False,0.001975995,-0.00383389,0.0005369186,0.004346441,0.008042473,0.03750405,0.01558839,0.9991425,4.745793,0.1942474,0.9058238,0.3765015,0.4236779,0.3907447,0.4483544,5.657222,1260.212,0,0,0.01927222,0.02537243,0.03309977,0.1133781,26.56961,0,0,0.7247868,476.0582,0.3118167,88.63627
2,2,135,0.3086904,0.08475816,0.9473786,1,4.597183,False,8.210167E-05,-0.002010822,0.001378417,0.002439299,-0.04600565,0.02563993,0.002396196,0.9986092,6.044262,-0.8726093,0.4863237,0.04544969,0.2633499,0.3152218,0.3713115,0.9147395,414.1704,0,0,0.01180281,0.008831807,0.01708371,0.05499154,5.811438,0,0,0.4929051,296.412,0.09384262,33.09161
2,3,135,-0.6891134,0.4858433,0.5376606,1,8.763371,False,0.003656168,-0.005742192,0.008034438,0.01053055,0.01299022,0.02933342,0.01427758,0.9993833,4.02454,0.3699458,0.8353806,0.4066083,0.5095397,0.6100363,0.800203,1.749593,1133.885,0,0,0.02504077,0.02611616,0.04080261,0.1461759,25.89106,0,0,0.8243076,732.6698,0.3582534,104.1943
2,4,135,-0.6745542,0.6913409,-0.258891,1,6.806508,False,-0.004430737,-0.0009826422,0.0005185902,0.004567927,-0.03640544,-0.03618544,-0.01656165,0.9985445,6.18361,-0.674978,-0.6708989,-0.3070626,0.4767839,0.6050891,0.7208472,1.355764,661.0328,0,0,0.02940299,0.04154179,0.05005689,0.09396657,35.98785,0,0,0.6721123,393.6797,0.2059565,63.22041
2,5,135,0.7744217,-0.6121395,-0.1598634,1,5.540846,False,-0.007686924,-7.903576E-05,-0.003733903,0.008546174,-0.04939253,-0.02110809,-0.001310352,0.9985556,6.159757,-0.9193047,-0.3928685,-0.02438856,0.3159315,0.3519252,0.430991,0.7933252,485.2735,0,0,0.02016254,0.02386576,0.02889155,0.1020263,28.03346,0,0,0.4642362,290.1866,0.1884278,56.68156
2,6,135,-0.6757036,-0.7367225,-0.02578008,1,6.94645,False,0.0001394562,-0.00101161,-0.0009187758,0.001373664,0.01957699,-0.05220853,0.06188425,0.9965246,9.55639,0.2350221,-0.6267646,0.7429218,0.5712751,0.6863098,0.77347,1.734767,811.3558,0,0,0.02665225,0.04019362,0.04545917,0.1686356,39.87947,0,0,0.9322072,432.7859,0.2713599,80.92329
2,7,135,0.5698045,-0.6313959,-0.5259867,1,4.736142,False,-0.0009287633,-0.003202796,0.006636441,0.007427169,0.01999291,-0.01582591,-0.003056612,-0.9996702,357.0569,0.778538,-0.6162721,-0.1190266,0.3136547,0.3253162,0.3765448,0.8266751,499.0489,0,0,0.02045985,0.04224946,0.03644593,0.09606777,23.16505,0,0,0.5189649,313.7379,0.1476766,45.6225
2,8,135,0.5390148,0.4793023,-0.6926272,1,5.92918,False,0.002408538,0.003005326,-0.003818214,0.005423265,0.01513005,0.01265286,0.02554863,0.999479,3.699194,0.4687777,0.3920262,0.7915788,0.4544418,0.5147086,0.6913182,1.05186,507.6655,0,0,0.03289112,0.0664336,0.07961012,0.1213196,54.07355,0,0,0.6076634,333.4259,0.2384144,51.52925
2,9,135,0.5855722,0.7814564,0.2154785,1,14.73619,False,-0.00190128,0.001068592,-0.00136134,0.002570993,-0.002503578,0.002419514,-0.01335165,0.9999048,1.581115,-0.1814486,0.175356,-0.9676705,1.3152,1.596658,1.7891,4.564949,2100.025,0,0,0.05150937,0.09518656,0.1391367,0.2881584,80.34335,0,0,1.677296,1015.432,0.5259297,159.6094
