Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773051101635,0.0139652,0.03378677,0.8716972,0.2502977,0.9075498,0.7136422,0.2932381,0.1877361,-0.6078498,254.8684,0.8987349,0.3692934,0.236428,-0.0392555,0.9841815,0.2866829,1.025837,-0.04466346,0.9976666,0.282463,1.037843,-0.03381826,0.9980367,0.2914771,1.040279,-0.01083457,-0.08201323,0.1058837,0.1343686,-0.01486231,-0.08346567,0.119872,0.146822,-0.001407873,-0.0833174,0.1176327,0.1441569,0,0,0,0,0,0,0,0,0,1,0,0,-0.1618029,0.5827242,0.03284679,0.6056621,-0.07422712,-0.02083343,-0.1397597,-0.9871796,341.6311,-0.465043,-0.1305243,-0.8756133,-0.09216117,0.5201427,0.1322973,0.5445591,-0.1063118,0.4914019,0.1447871,0.523203,-0.1206393,0.4813724,0.1505021,0.5185789,0.04580393,-0.06120038,0.1076991,0.1320704,0.02466756,-0.082025,0.1226962,0.1496361,0.008548818,-0.08661515,0.1286639,0.1553373,0,0,0,0,0,0,0,0,0,1,0,0,-0.05009567,1.00058,0.299525,1.045651,0.0006182364,0.0005504561,0.001006754,0.9999992,0.1480375,0.4785591,0.4260922,0.7792994,0.1000957,-0.0005801916,0.0004750192,0.1000985,0.4150932,0.0929439,-0.820371,0.3821656,135.0642,0.4491895,0.1005784,-0.8877572,-0.008343149,1.120899,0.01824921,1.121079,-0.09113999,-0.03194434,0.06388715,-0.9932731,346.701,-0.7870805,-0.2758698,0.5517263,False
1773051101648,0.0279048,0.03405564,0.8721318,0.2499769,0.9078888,0.7124766,0.2944095,0.184547,-0.609625,255.1248,0.8988086,0.3714056,0.2328111,-0.0391685,0.984297,0.2866238,1.025928,-0.0450078,0.9965751,0.2828341,1.03691,-0.03427501,0.9957498,0.2919349,1.038229,-0.01057187,-0.08160511,0.1061107,0.1342782,-0.01482431,-0.0834489,0.1189467,0.1460541,-0.001634996,-0.08338162,0.115511,0.1424709,0,0,0,0,0,0,0,0,0,1,0,0,-0.1618839,0.5829064,0.03279097,0.605856,-0.07400424,-0.02108419,-0.1400983,-0.987143,341.6049,-0.4629912,-0.1319086,-0.8764941,-0.09222749,0.5204036,0.1322538,0.544809,-0.1063262,0.4916773,0.1446292,0.5234209,-0.1206245,0.4816356,0.1504366,0.5188008,0.04573425,-0.06119984,0.1077059,0.1320515,0.02463003,-0.08203398,0.122574,0.1495346,0.008526671,-0.08662155,0.1286219,0.1553048,0,0,0,0,0,0,0,0,0,1,0,0,-0.05052901,1.000352,0.2997293,1.045512,0.001438475,0.002417355,0.004455458,0.9999861,0.6039294,0.2729414,0.4586776,0.8453945,0.100529,-0.0003523827,0.0002706945,0.10053,0.4129253,0.09433494,-0.8223808,0.3798466,135.3516,0.4463818,0.1019783,-0.8890127,-0.008733019,1.121292,0.01792753,1.121469,-0.08991355,-0.03138521,0.06313551,-0.9934508,346.878,-0.7869142,-0.2746801,0.5525555,False
1773051101662,0.0419256,0.03477461,0.8721544,0.2499216,0.9079225,0.7063013,0.3000589,0.1786073,-0.6157944,256.0193,0.8964274,0.3808304,0.2266858,-0.03897018,0.9832549,0.2873304,1.025118,-0.04676451,0.9939321,0.2843776,1.034871,-0.03594978,0.9920118,0.2935711,1.035164,-0.009519423,-0.08010481,0.1068892,0.1339131,-0.01488838,-0.08341465,0.1183676,0.1455697,-0.001832387,-0.08334769,0.1137469,0.1410268,0,0,0,0,0,0,0,0,0,1,0,0,-0.1618349,0.5828698,0.0326141,0.6057982,-0.07308276,-0.02123842,-0.1403509,-0.9871725,341.626,-0.4577476,-0.133025,-0.8790758,-0.09219843,0.5205627,0.13219,0.5449407,-0.1062426,0.4918833,0.1445636,0.5235793,-0.1205437,0.4818356,0.1503813,0.5189517,0.04567565,-0.06121081,0.1077041,0.1320349,0.02461695,-0.08203418,0.1225176,0.1494863,0.008503553,-0.08662891,0.1285581,0.1552548,0,0,0,0,0,0,0,0,0,1,0,0,-0.05235602,0.9980112,0.3012897,1.043812,0.006788065,0.003873095,0.01506856,0.9998559,1.945142,0.3999011,0.2281733,0.8877249,0.102356,0.001988769,-0.001289725,0.1023835,0.4086517,0.1025652,-0.8264475,0.3734551,136.1423,0.4405244,0.1105648,-0.8909061,-0.009121884,1.12165,0.01759786,1.121825,-0.08867323,-0.03087005,0.06221038,-0.9936368,347.0659,-0.7872832,-0.274079,0.5523334,False
1773051101676,0.0559688,0.03580299,0.872,0.2501656,0.9078814,0.7003406,0.3054533,0.175795,-0.6207394,256.7403,0.8932723,0.3896003,0.2242234,-0.03884955,0.9820275,0.288151,1.024167,-0.04770662,0.9912146,0.2857451,1.032682,-0.03687411,0.9898704,0.2949023,1.033523,-0.008981407,-0.07917496,0.1073691,0.1337066,-0.0150111,-0.08331515,0.1175752,0.1448816,-0.001873504,-0.08323984,0.1134291,0.1407073,0,0,0,0,0,0,0,0,0,1,0,0,-0.1619146,0.5828652,0.03254327,0.6058113,-0.07267962,-0.02167371,-0.1403266,-0.9871963,341.6431,-0.455642,-0.1358765,-0.8797334,-0.09224716,0.5206572,0.1321411,0.5450273,-0.106252,0.4919887,0.1444817,0.5236576,-0.1205415,0.4819385,0.1503246,0.5190303,0.04563485,-0.06119151,0.1077165,0.1320219,0.02460485,-0.08203291,0.122465,0.1494405,0.008495785,-0.08663554,0.1285119,0.1552198,0,0,0,0,0,0,0,0,0,1,0,0,-0.05347398,0.9958513,0.3027095,1.042215,0.01209716,0.002931764,0.02330725,0.9996509,3.028014,0.4578547,0.1109618,0.882136,0.103474,0.004148722,-0.002709538,0.1035926,0.4065466,0.1106853,-0.8285511,0.3687435,136.7237,0.4373673,0.1190765,-0.8913645,-0.009586804,1.121987,0.01723493,1.12216,-0.08757915,-0.03063625,0.06143772,-0.9937891,347.2218,-0.7870147,-0.2753073,0.5520993,False
1773051101690,0.0697743,0.03680837,0.8719273,0.2497717,0.9077433,0.6959678,0.3076504,0.1760564,-0.6244872,257.2891,0.8910839,0.3939009,0.2254142,-0.0372558,0.9818352,0.2880546,1.023896,-0.04738779,0.9916508,0.2856199,1.033052,-0.03665904,0.9885631,0.2954006,1.032406,-0.008182776,-0.07784651,0.1080057,0.1333876,-0.01502185,-0.08269636,0.1190193,0.1457049,-0.001925492,-0.08307729,0.1131621,0.1403966,0,0,0,0,0,0,0,0,0,1,0,0,-0.1619483,0.582498,0.03242636,0.6054607,-0.07115259,-0.02221251,-0.1408139,-0.9872261,341.6645,-0.4465869,-0.1394161,-0.8838139,-0.092198,0.5206604,0.1321799,0.5450314,-0.1061449,0.4920369,0.1445462,0.523699,-0.1204133,0.4819899,0.1504585,0.5190871,0.04559098,-0.06119899,0.1077163,0.13201,0.02458655,-0.08203623,0.1223939,0.1493811,0.008483124,-0.08663609,0.1284695,0.1551844,0,0,0,0,0,0,0,0,0,1,0,0,-0.05342403,0.9946394,0.3033464,1.04124,0.01709072,0.001684692,0.02670555,0.9994958,3.638813,0.5382982,0.05306194,0.8411318,0.103424,0.005360603,-0.003346354,0.1036169,0.4052801,0.1166553,-0.8287453,0.3678598,136.8326,0.4358407,0.1254518,-0.8912377,-0.01003547,1.122267,0.01688252,1.122439,-0.08652481,-0.03026749,0.06046573,-0.9939523,347.391,-0.7879338,-0.2756294,0.5506281,False
1773051101707,0.0863225,0.03768608,0.8721586,0.2492651,0.9078624,0.69235,0.3100663,0.1768266,-0.6270907,257.6716,0.888829,0.3980587,0.2270074,-0.03664559,0.9818059,0.2875538,1.023705,-0.04711924,0.9922516,0.2850835,1.033468,-0.03643232,0.9885973,0.2951991,1.032373,-0.008089001,-0.07713603,0.1084476,0.1333277,-0.0150527,-0.08213232,0.1201445,0.1463113,-0.001887472,-0.08274961,0.1137239,0.1406563,0,0,0,0,0,0,0,0,0,1,0,0,-0.1620193,0.5826066,0.03247227,0.6055866,-0.07053959,-0.02244481,-0.1416065,-0.9871515,341.6109,-0.4414601,-0.1404671,-0.8862204,-0.09218878,0.5209765,0.1322746,0.5453548,-0.1060627,0.4923764,0.1446239,0.5240228,-0.1203172,0.4823021,0.1505589,0.5193837,0.04554689,-0.06121835,0.1077036,0.1319934,0.02457415,-0.08204106,0.1223264,0.1493264,0.008464144,-0.08664908,0.1284107,0.1551419,0,0,0,0,0,0,0,0,0,1,0,0,-0.0534267,0.9939497,0.3034481,1.040611,0.0209165,-0.0002514103,0.02951425,0.9993455,4.14622,0.5782055,-0.006949863,0.8158776,0.1034267,0.006050348,-0.003448129,0.1036609,0.4050817,0.1216868,-0.8285389,0.3669122,136.9494,0.435452,0.1308101,-0.8906572,-0.01035006,1.122521,0.01659479,1.122691,-0.0857496,-0.02997068,0.05966379,-0.994077,347.5218,-0.7890227,-0.2757745,0.5489949,False
1773051101718,0.0972815,0.03854038,0.8724237,0.2487491,0.9080113,0.6887853,0.3124252,0.1777582,-0.6295772,258.0379,0.8865383,0.4021237,0.2287932,-0.03604564,0.98182,0.2870313,1.023551,-0.04687249,0.9923885,0.2846802,1.033477,-0.03618765,0.9885203,0.2949724,1.032226,-0.008006482,-0.07644644,0.1088654,0.1332661,-0.01511,-0.08169913,0.1207454,0.1465691,-0.001869235,-0.08242078,0.114118,0.1407821,0,0,0,0,0,0,0,0,0,1,0,0,-0.1620947,0.5827354,0.03253135,0.6057339,-0.06996255,-0.02264944,-0.1424888,-0.9870609,341.5461,-0.436323,-0.1412537,-0.8886348,-0.09217764,0.521314,0.1323773,0.5457003,-0.105975,0.4927365,0.1447071,0.5243664,-0.120216,0.4826301,0.150659,0.519694,0.04550355,-0.06124107,0.1076878,0.1319762,0.02456259,-0.08204656,0.1222563,0.1492701,0.008443758,-0.08666443,0.1283453,0.1550953,0,0,0,0,0,0,0,0,0,1,0,0,-0.05341801,0.9933228,0.3034981,1.040026,-0.02468446,0.002292425,-0.03214665,-0.9991757,355.347,-0.6080784,0.05647172,-0.7919024,0.103418,0.00667721,-0.003498107,0.1036924,-0.4049996,-0.126636,0.8282108,-0.3660679,222.9466,-0.4352081,-0.1360817,0.8899862,-0.01070149,1.122758,0.01627398,1.122927,-0.08510402,-0.02975194,0.05887005,-0.9941863,347.6376,-0.7903917,-0.276317,0.5467474,False
1773051101731,0.1113282,0.03936508,0.872031,0.2481672,0.9075101,0.6841822,0.3132366,0.1793813,-0.6337191,258.6501,0.8844554,0.404927,0.2318896,-0.03555555,0.9808273,0.2874417,1.022697,-0.04644154,0.9920608,0.2849964,1.03323,-0.03582707,0.9873555,0.2955577,1.031266,-0.007993846,-0.07624228,0.1089926,0.1332523,-0.01510965,-0.08136851,0.1215405,0.1470416,-0.001875798,-0.0823412,0.114176,0.1407826,0,0,0,0,0,0,0,0,0,1,0,0,-0.1618876,0.5827089,0.03249051,0.6056508,-0.06973238,-0.02241489,-0.1424389,-0.9870898,341.5667,-0.4353698,-0.139946,-0.8893082,-0.09205715,0.5213142,0.1324088,0.5456877,-0.1058456,0.4927476,0.1447181,0.5243537,-0.1200948,0.4826465,0.1506807,0.5196874,0.04547772,-0.06123563,0.1076977,0.1319728,0.02455617,-0.08204576,0.1222433,0.1492579,0.008433816,-0.08665965,0.1283455,0.1550923,0,0,0,0,0,0,0,0,0,1,0,0,-0.05313316,0.9919372,0.3041759,1.038887,-0.03075952,0.003598653,-0.0338705,-0.9989463,354.7391,-0.6702313,0.07841247,-0.7380175,0.1031332,0.00806284,-0.004175872,0.1035321,-0.4034913,-0.132812,0.8275788,-0.3669729,223.0581,-0.4337536,-0.1427731,0.8896482,-0.01093393,1.122854,0.01594929,1.12302,-0.08451623,-0.02960761,0.05816516,-0.9942822,347.7401,-0.7914725,-0.2772675,0.5447015,False
1773051101745,0.1253224,0.04047394,0.8722519,0.2473394,0.9075452,0.6826008,0.3142275,0.1783617,-0.63522,258.8726,0.8838187,0.4068559,0.2309394,-0.03474547,0.9807304,0.2868594,1.022413,-0.04578434,0.9916882,0.2845184,1.032711,-0.03513363,0.9873869,0.2950287,1.03112,-0.007952874,-0.07606477,0.1090988,0.1332353,-0.01515007,-0.08130539,0.1214295,0.146919,-0.001850833,-0.08224658,0.1144384,0.14094,0,0,0,0,0,0,0,0,0,1,0,0,-0.161965,0.582828,0.03253958,0.6057888,-0.06955402,-0.02263451,-0.1423459,-0.9871107,341.5817,-0.4346073,-0.1414314,-0.8894464,-0.09212129,0.5214555,0.1324676,0.5458478,-0.1059067,0.492896,0.1447263,0.5245078,-0.1201532,0.4828047,0.150728,0.5198616,0.0454592,-0.06123824,0.1077088,0.1319767,0.02454162,-0.08205862,0.1221894,0.1492185,0.008421648,-0.08666425,0.1283191,0.1550723,0,0,0,0,0,0,0,0,0,1,0,0,-0.05249522,0.9915985,0.3037621,1.03841,-0.03230594,0.00333053,-0.0359434,-0.998826,354.4467,-0.6668898,0.06875195,-0.7419778,0.1024952,0.008401513,-0.003762066,0.1029078,-0.4024385,-0.1348282,0.8282423,-0.3658953,222.9254,-0.4324245,-0.1448743,0.8899553,-0.01100859,1.122912,0.01571641,1.123076,-0.08416937,-0.02961575,0.05779015,-0.9943333,347.795,-0.791756,-0.2785865,0.5436146,False
1773051101760,0.1392037,0.04189391,0.8724081,0.2458267,0.9073488,0.6792085,0.3165478,0.1784538,-0.6376736,259.2371,0.8817378,0.4109373,0.2316659,-0.03400156,0.980203,0.2858471,1.021598,-0.04512678,0.9914702,0.2833892,1.032162,-0.03448677,0.9874033,0.2939364,1.030802,-0.007904048,-0.0759811,0.1091354,0.1332147,-0.01515059,-0.08111598,0.1218307,0.1471464,-0.00178631,-0.08208619,0.1150659,0.1413559,0,0,0,0,0,0,0,0,0,1,0,0,-0.1619719,0.5829607,0.03250229,0.6059162,-0.0694907,-0.02275416,-0.1421326,-0.9871432,341.605,-0.4347563,-0.1423574,-0.8892274,-0.0921644,0.5215855,0.1324479,0.5459744,-0.1059209,0.4930289,0.1446909,0.5246257,-0.1201881,0.4829332,0.1506771,0.5199743,0.04542802,-0.06121728,0.1077286,0.1319724,0.02454454,-0.08205561,0.1221892,0.1492171,0.008405263,-0.08666956,0.1282993,0.155058,0,0,0,0,0,0,0,0,0,1,0,0,-0.0519508,0.9907982,0.3028122,1.03734,-0.03570715,0.004725593,-0.03900118,-0.9985898,353.9137,-0.6725946,0.08901323,-0.7346424,0.1019508,0.009201825,-0.002812207,0.1024038,-0.4019004,-0.1394003,0.828325,-0.3645839,222.764,-0.4316076,-0.1497043,0.8895524,-0.01105421,1.122993,0.01549038,1.123155,-0.08428297,-0.03013654,0.05726773,-0.9943383,347.8004,-0.79317,-0.2836089,0.538935,False
