Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773051485053,0,1,1,135,0.4266305,0.4606874,-0.7783017,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.3941552,0.4256197,-0.7190571,0.3826834,135,0.4266305,0.4606874,-0.7783018
Grab,1773051487941,2.083346,1,1,135,0.4266305,0.4606874,-0.7783017,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.3941552,0.4256197,-0.7190571,0.3826834,135,0.4266305,0.4606874,-0.7783018
Trial Start,1773051487971,0,1,1,135,0.4266305,0.4606874,-0.7783017,1,-1,-0.05,1,0.3,1.045227,0.01305671,-0.001525391,-0.001309236,0.9999127,1.513845,0.9883438,-0.1154664,-0.09910429,0.09999999,0,0,0.09999999,0.3907783,0.4350388,-0.7123349,0.3880886,134.3288,0.4240114,0.472036,-0.7729143
Release,1773051489635,1.680933,1,1,135,0.4266305,0.4606874,-0.7783017,1,0,0.01754793,0.9839033,0.2594514,1.017688,-0.1825359,0.5654021,-0.1196182,0.7954199,74.61014,-0.3011852,0.9329163,-0.1973706,0.03245207,0.01609671,0.04054859,0.05437306,0.02772783,-0.05622553,-0.8267235,0.5591051,112.0121,0.03344341,-0.06781539,-0.9971373
Grab,1773051490914,2.959144,1,1,135,0.4266305,0.4606874,-0.7783017,1,0,0.01754793,0.9839033,0.2594514,1.017688,-0.1825359,0.5654021,-0.1196182,0.7954199,74.61014,-0.3011852,0.9329163,-0.1973706,0.03245207,0.01609671,0.04054859,0.05437306,0.02772783,-0.05622553,-0.8267235,0.5591051,112.0121,0.03344341,-0.06781539,-0.9971373
Clutch Start,1773051491803,3.848577,1,1,135,0.4266305,0.4606874,-0.7783017,1,0,0.05308548,0.9935938,0.283439,1.034594,0.4696296,0.6208773,-0.4237445,0.4630336,124.8339,0.5298523,0.700495,-0.4780831,-0.003085483,0.006406188,0.016561,0.01802294,-0.2633046,0.1301462,-0.2156259,0.9312563,42.737,-0.72264,0.3571865,-0.5917859
Clutch End,1773051492873,4.918465,1,1,135,0.4266305,0.4606874,-0.7783017,1,0,0.03811588,0.9893553,0.2895584,1.031562,0.3853058,0.6413428,-0.4549195,0.4829774,122.2399,0.4400313,0.7324334,-0.5195322,0.01188412,0.01064467,0.01044166,0.01906751,-0.2246214,0.05788148,-0.2619931,0.9367789,40.96507,-0.641919,0.1654126,-0.7487188
Release,1773051492873,4.918465,1,1,135,0.4266305,0.4606874,-0.7783017,1,0,0.03811588,0.9893553,0.2895584,1.031562,0.3853058,0.6413428,-0.4549195,0.4829774,122.2399,0.4400313,0.7324334,-0.5195322,0.01188412,0.01064467,0.01044166,0.01906751,-0.2246214,0.05788148,-0.2619931,0.9367789,40.96507,-0.641919,0.1654126,-0.7487188
Grab,1773051493706,5.751386,1,1,135,0.4266305,0.4606874,-0.7783017,1,0,0.03811588,0.9893553,0.2895584,1.031562,0.3853058,0.6413428,-0.4549195,0.4829774,122.2399,0.4400313,0.7324334,-0.5195322,0.01188412,0.01064467,0.01044166,0.01906751,-0.2246214,0.05788148,-0.2619931,0.9367789,40.96507,-0.641919,0.1654126,-0.7487188
On Target,1773051494594,6.654291,1,1,135,0.4266305,0.4606874,-0.7783017,1,-1,0.05005703,0.9994879,0.2801076,1.039203,0.4158652,0.4682648,-0.6654202,0.406202,132.067,0.4551026,0.5124462,-0.7282035,-5.703047E-05,0.0005120635,0.01989245,0.01989913,-0.05253126,0.03044235,-0.04500578,0.9971401,8.668539,-0.6950858,0.4028086,-0.5955097
Off Target,1773051494885,6.945976,1,1,135,0.4266305,0.4606874,-0.7783017,1,-1,0.05013509,0.9977338,0.2898924,1.040204,0.4561282,0.412612,-0.7249585,0.3100545,143.875,0.4797719,0.434,-0.7625372,-0.0001350902,0.002266228,0.01010758,0.0103594,-0.04047802,0.01630158,0.08598665,0.9953403,11.06672,-0.4197861,0.169059,0.8917432
On Target,1773051495081,7.140393,1,1,135,0.4266305,0.4606874,-0.7783017,1,-1,0.05078663,0.998598,0.296071,1.042802,0.418253,0.3769446,-0.7586744,0.3277047,141.741,0.4426988,0.3989759,-0.8030169,-0.0007866286,0.001401961,0.003929049,0.004245198,0.02097011,-0.003060553,0.08413584,0.996229,9.954965,0.2416911,-0.03527442,0.969708
Off Target,1773051495122,7.182271,1,1,135,0.4266305,0.4606874,-0.7783017,1,-1,0.05144431,0.9998934,0.2967357,1.044263,0.4027919,0.3665648,-0.7669283,0.3394262,140.3162,0.4282137,0.3897002,-0.8153323,-0.001444306,0.0001065731,0.003264308,0.003571146,0.04248363,-0.008470197,0.07637665,0.9961377,10.07485,0.4838324,-0.09646435,0.8698291
On Target,1773051495219,7.279556,1,1,135,0.4266305,0.4606874,-0.7783017,1,-1,0.05339552,1.002489,0.2959432,1.046622,0.3862018,0.3660941,-0.7685979,0.3550783,138.4035,0.4131223,0.391613,-0.8221736,-0.003395516,-0.002488852,0.004056841,0.005846526,0.05605076,-0.01421553,0.05888531,0.9965886,9.467917,0.6791621,-0.1722483,0.713508
Clutch Start,1773051495664,7.709854,1,1,135,0.4266305,0.4606874,-0.7783017,1,0,0.05197726,1.00001,0.292724,1.043268,0.3495374,0.4308536,-0.7389808,0.3822252,135.0568,0.3782589,0.4662569,-0.7997029,-0.001977257,-1.001358E-05,0.007275969,0.007539852,0.02161036,-0.04213374,-0.01309924,0.9987924,5.63211,0.4398613,-0.8575982,-0.2666245
Trial End,1773051496219,8.279529,1,2,135,0.4266305,0.4606874,-0.7783017,1,-1,0.05265786,1.001278,0.2958175,1.045389,0.3471293,0.4357904,-0.7367089,0.3832075,134.935,0.3758184,0.4718071,-0.7975954,-0.002657857,-0.001278162,0.004182518,0.005117749,0.0184022,-0.04444097,-0.01764576,0.9986867,5.873567,0.3591791,-0.8674107,-0.3444146
Trial Load,1773051496221,8.279529,1,2,135,-0.9046965,0.3723964,-0.2069911,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.8358306,0.3440494,-0.1912348,0.3826834,135,-0.9046965,0.3723964,-0.2069911
Grab,1773051497455,9.501439,1,2,135,-0.9046965,0.3723964,-0.2069911,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.8358306,0.3440494,-0.1912348,0.3826834,135,-0.9046965,0.3723964,-0.2069911
Trial Start,1773051497468,0,1,2,135,-0.9046965,0.3723964,-0.2069911,1,-1,-0.04999998,1,0.3,1.045227,0.00390331,0.002659739,0.01203158,0.9999165,1.480914,0.3020361,0.2058093,0.930998,0.09999998,0,0,0.09999998,-0.8419026,0.3336929,-0.1922571,0.3780032,135.5799,-0.9093742,0.3604357,-0.2076649
