Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,0.4266305,0.4606874,-0.7783017,1,8.279529,False,-0.002657857,-0.001278162,0.004182518,0.005117749,0.0184022,-0.04444097,-0.01764576,0.9986867,5.873567,0.3591791,-0.8674107,-0.3444146,0.1756413,0.2647631,0.3030637,0.5079424,326.6851,0.2094114,523.456,0,0,0,0,0,0,0,0.4946863,538.2496,0.1386986,32.68103
1,3,135,-0.9046965,0.3723964,-0.2069911,1,5.597394,False,0.001734558,-0.002930522,0.005301595,0.006301076,0.006574511,-0.02734676,0.003260033,0.9995991,3.244895,0.2322086,-0.9658747,0.1151428,0.1901985,0.1465351,0.2183825,0.3108219,215.4159,0.1720316,480.7553,0,0,0,0,0,0,0,0.3580981,583.0593,0.04826916,8.944072
1,4,135,0.1531053,0.2124211,0.9651093,1,8.041603,False,-0.0001306534,-0.0008696318,0.002997577,0.003123908,0.01620762,0.01621067,0.02249401,0.9994842,3.680524,0.5046973,0.5047923,0.7004525,0.2942282,0.1908612,0.3148268,0.3994784,260.5965,0.2883832,657.0367,0,0,0,0,0,0,0,0.4815757,722.7391,0.08146553,17.99472
1,5,135,0.4818428,-0.5516081,-0.6808496,1,9.93118,False,0.002449986,0.0002433658,0.000895381,0.002619802,-0.01735102,0.04176657,0.01910179,0.9987941,5.628216,-0.3534105,0.8507134,0.3890707,0.2788527,0.2505679,0.2989988,0.4629583,283.5066,0.284268,475.4444,0,0,0,0,0,0,0,0.5607374,548.3985,0.1328266,29.70229
1,6,135,-0.03523527,-0.9896104,0.1393911,1,5.525468,False,-0.002813872,-0.0007338524,0.004056394,0.004991067,-0.01105122,0.03803669,0.02823618,0.9988163,5.576223,-0.227194,0.7819684,0.580487,0.2156909,0.1652772,0.2213668,0.2492413,217.938,0.1752831,594.6401,0,0,0,0,0,0,0,0.3064698,617.7636,0.07222215,17.05412
1,7,135,0.686379,0.3264764,-0.6498439,1,12.05705,False,0.0011659,-0.002057076,0.001823664,0.002986073,-0.0564534,-0.0540132,0.02078313,0.9967265,9.274521,-0.6982741,-0.6680912,0.2570672,0.4385756,0.280634,0.4648678,0.7897264,547.2515,0.3645824,991.4688,0,0,0,0,0,0,0,0.789285,1208.317,0.1421898,35.69018
1,8,135,0.9085681,-0.1342246,-0.3955854,1,7.153465,False,-0.003119897,-0.0007318258,0.001960486,0.003756705,0.01802913,-0.05239091,-0.02813323,0.9980675,7.125208,0.2901422,-0.8431252,-0.4527472,0.1831532,0.1666915,0.2979595,0.3445764,238.5379,0.1772092,664.7692,0,0,0,0,0,0,0,0.4344357,727.5023,0.104929,35.43505
1,9,135,0.7157767,-0.310124,0.625689,1,8.054736,False,0.0002902485,-0.00327456,0.002574474,0.004175512,0.006738009,-0.01080491,-0.05667159,0.9983118,6.659686,0.1160047,-0.1860224,-0.9756846,0.2752904,0.1567506,0.2852727,0.591471,311.433,0.2339509,546.8801,0,0,0,0,0,0,0,0.4916732,657.4656,0.1091791,22.67889
1,10,135,-0.5211877,0.8004625,-0.2960123,1,3.820383,False,0.003763776,0.000767827,-0.0002354085,0.003848505,-0.02337791,-0.04360978,-0.0106132,0.9987188,5.801536,-0.4619587,-0.8617502,-0.209722,0.1193739,0.1476209,0.1777599,0.2758926,183.3335,0.1211524,219.1536,0,0,0,0,0,0,0,0.3097291,283.0275,0.06089421,15.82738
1,11,135,0.7529545,0.1248421,-0.6461222,1,6.402187,False,-0.001185581,-0.0003112555,0.00389123,0.004079724,0.05135316,0.02142375,0.03290427,0.9979085,7.412677,0.7944132,0.331417,0.5090161,0.1474878,0.09930982,0.3661875,0.4129127,237.2683,0.2241744,589.0191,0,0,0,0,0,0,0,0.4347277,720.3962,0.07745919,19.96516
2,2,135,-0.6650674,0.744294,-0.06092513,1,6.305577,False,-0.0007360391,-0.001785159,0.003361404,0.003876543,-0.008891363,0.04880781,-0.04873135,-0.9975791,352.0247,-0.1278577,0.7018557,-0.7007561,0.2008835,0.1515119,0.2048228,0.4959369,268.0743,0.1670349,423.7539,0,0,0,0,0,0,0,0.4262212,554.4001,0.08473928,21.57749
2,3,135,-0.9852313,-0.1511347,0.08048332,0.9999999,6.389534,False,0.002703939,-0.0009577274,0.004676551,0.005486224,-0.02362598,0.05460956,-0.001279056,0.9982275,6.823822,-0.3969835,0.9175957,-0.02149178,0.1470876,0.1161774,0.2751076,0.3874545,260.9924,0.1885417,509.4477,0,0,0,0,0,0,0,0.3818104,616.2416,0.1338161,36.15636
2,4,135,0.2241359,-0.7122805,0.6651464,1,7.124346,False,-6.534532E-05,0.0004047751,-0.0002710223,0.0004914937,-0.06963433,0.009169351,0.02374184,0.9972479,8.50348,-0.9392428,0.1236782,0.320235,0.2423203,0.1969898,0.2841952,0.5088439,328.246,0.1851671,592.2646,0,0,0,0,0,0,0,0.4761544,680.1182,0.09734051,27.13134
2,5,135,0.3646765,-0.7764322,0.5139689,1,6.695211,False,-0.00281046,-0.0008960962,0.001968861,0.003546559,0.03612624,0.01985431,0.01972053,0.9989555,5.238258,0.7905655,0.43448,0.4315525,0.1865294,0.1585519,0.2493355,0.5261444,301.9846,0.1550995,565.1693,0,0,0,0,0,0,0,0.4266648,699.848,0.08875177,24.56202
