Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Thumb Tip Euro Position X,Right Thumb Tip Euro Position Y,Right Thumb Tip Euro Position Z,Right Thumb Tip Euro Position Magnitude,Right Index Tip Euro Position X,Right Index Tip Euro Position Y,Right Index Tip Euro Position Z,Right Index Tip Euro Position Magnitude,Right Middle Tip Euro Position X,Right Middle Tip Euro Position Y,Right Middle Tip Euro Position Z,Right Middle Tip Euro Position Magnitude,Right Triangle Local Position X,Right Triangle Local Position Y,Right Triangle Local Position Z,Right Triangle Local Position Magnitude,Right Triangle Local Rotation X,Right Triangle Local Rotation Y,Right Triangle Local Rotation Z,Right Triangle Local Rotation W,Right Triangle Local Rotation Angle,Right Triangle Local Rotation Axis X,Right Triangle Local Rotation Axis Y,Right Triangle Local Rotation Axis Z,Right Triangle Area,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Right Angle Scale Factor,Right Is Grabbed,Right Is Rotating,Right Is Clutching,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Thumb Tip Euro Position X,Left Thumb Tip Euro Position Y,Left Thumb Tip Euro Position Z,Left Thumb Tip Euro Position Magnitude,Left Index Tip Euro Position X,Left Index Tip Euro Position Y,Left Index Tip Euro Position Z,Left Index Tip Euro Position Magnitude,Left Middle Tip Euro Position X,Left Middle Tip Euro Position Y,Left Middle Tip Euro Position Z,Left Middle Tip Euro Position Magnitude,Left Triangle Local Position X,Left Triangle Local Position Y,Left Triangle Local Position Z,Left Triangle Local Position Magnitude,Left Triangle Local Rotation X,Left Triangle Local Rotation Y,Left Triangle Local Rotation Z,Left Triangle Local Rotation W,Left Triangle Local Rotation Angle,Left Triangle Local Rotation Axis X,Left Triangle Local Rotation Axis Y,Left Triangle Local Rotation Axis Z,Left Triangle Area,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Left Angle Scale Factor,Left Is Grabbed,Left Is Rotating,Left Is Clutching,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773051625538,0.0109307,0.0135882,0.9346979,0.1918986,0.9542902,-0.4433248,-0.1395539,-0.2768495,0.8410364,65.50056,-0.8194868,-0.2579657,-0.511757,-0.06690558,0.9950429,0.2867382,1.037692,-0.04727848,1.019047,0.3124346,1.066915,-0.03607175,0.9894177,0.3088875,1.03714,-0.03946704,-0.08212281,0.101016,0.1360369,-0.01980266,-0.07692635,0.1350211,0.1566541,-0.002602925,-0.08131906,0.1091647,0.1361488,-0.04758711,-0.08008195,0.1007027,0.1371812,-0.02009962,-0.07223261,0.1423057,0.1608491,-0.001926553,-0.08110964,0.1145194,0.1403466,-0.02810358,-0.07808745,0.1161619,0.1427622,-0.07039949,0.5918313,-0.1127652,0.7950243,74.68491,-0.1160602,0.9756895,-0.185904,7.877563,-0.02090102,-0.08031362,0.1137563,0.1408106,0.4725758,0.1595422,0.2841453,0.8188283,70.06464,0.8232477,0.2779295,0.4949936,1.3,True,True,False,-0.135669,0.6212755,0.02971384,0.63661,-0.08504161,-0.08778268,-0.2040976,-0.9712911,332.4754,-0.3574769,-0.3689992,-0.857935,-0.04800035,0.5664492,0.1188072,0.5807615,-0.05931436,0.5473287,0.142545,0.568688,-0.08035788,0.5394504,0.1102542,0.5564352,0.04364522,-0.06396019,0.1097258,0.1342966,0.02269999,-0.07199117,0.1325335,0.1525226,0.005164547,-0.07747211,0.09846397,0.1253944,0.04360623,-0.06406344,0.1096653,0.1342836,0.02267654,-0.07206657,0.1323434,0.1523896,0.005162466,-0.07742305,0.09813964,0.1251094,0.02193845,-0.07178681,0.1108487,0.1338733,-0.78482,-0.1424646,0.5959067,-0.09304241,190.6773,-0.7882392,-0.1430853,0.5985029,5.907367,0,0,0,0,0,0,0,0,0,1,0,0,0.3733519,False,True,False,-0.04999998,1,0.3,1.045227,0.02284772,0.01117409,0.004637744,0.9996657,2.962946,0.883736,0.4322069,0.1793851,0.09999998,0,0,0.09999998,0.1462447,-0.7785956,0.4777595,0.3796673,135.3738,0.1580814,-0.8416131,0.5164281,-0.02268138,1.100909,-0.03536373,1.10171,0.01597861,0.0002628728,0.00795998,-0.9998407,357.9544,0.8951268,0.01472621,0.4459205,False
1773051625552,0.0247157,0.01390568,0.9349215,0.1913001,0.9543937,-0.441099,-0.1400162,-0.2808611,0.8407997,65.55067,-0.8148186,-0.2586445,-0.5188198,-0.06418294,0.9941621,0.287918,1.037003,-0.04771131,1.016666,0.311503,1.064387,-0.03615953,0.9889827,0.3078643,1.036424,-0.0360911,-0.08240671,0.1012181,0.1354198,-0.01958529,-0.07810573,0.1328491,0.1553479,-0.002687985,-0.08130115,0.1085962,0.1356843,-0.04515252,-0.08056923,0.1008094,0.1367212,-0.01999304,-0.07348106,0.1402888,0.159625,-0.002083882,-0.08114958,0.1132595,0.139346,-0.02661392,-0.07864941,0.1155766,0.1423095,-0.06653944,0.5972699,-0.09919154,0.7930966,75.04832,-0.109243,0.9805843,-0.1628505,7.139117,-0.01938701,-0.08088478,0.1131614,0.1404411,0.4853563,0.1664488,0.2912176,0.8074133,72.31205,0.8226573,0.2821232,0.4936008,1.297875,True,True,False,-0.1356348,0.6212977,0.0296935,0.6366233,-0.08515403,-0.08753929,-0.2040891,-0.971305,332.4821,-0.3580343,-0.3680633,-0.8581028,-0.04799512,0.5664379,0.1187988,0.5807483,-0.05931558,0.5473102,0.1426038,0.5686851,-0.08034442,0.5394224,0.1103009,0.5564153,0.04365926,-0.0639654,0.1097203,0.1342991,0.02270807,-0.07198347,0.1326037,0.1525812,0.00516539,-0.07748412,0.09853663,0.1254589,0.04361717,-0.0640432,0.1096766,0.1342868,0.02268305,-0.07204942,0.1323971,0.1524291,0.005163069,-0.07743566,0.09822179,0.1251817,0.02195912,-0.07177591,0.1109081,0.1339201,-0.7842903,-0.1424388,0.5965377,-0.09350261,190.7303,-0.7877413,-0.1430656,0.5991626,5.910659,0,0,0,0,0,0,0,0,0,1,0,0,0.3727523,False,True,False,-0.04941247,0.9990304,0.3001569,1.044317,0.0389621,0.01504634,0.007505069,0.9990992,4.864247,0.9181476,0.3545691,0.1768581,0.09941247,0.0009695888,-0.0001568794,0.09941732,0.144117,-0.7872639,0.4635056,0.3802743,135.2987,0.1558234,-0.8512122,0.5011555,-0.02311294,1.100971,-0.03530685,1.101779,0.01608989,0.001936238,0.007215126,-0.9998427,357.9675,0.9071481,0.1091651,0.4067889,False
1773051625566,0.038387,0.01438024,0.9346237,0.1911661,0.9540822,-0.44199,-0.1411431,-0.2810982,0.8400639,65.70627,-0.814747,-0.2601777,-0.5181652,-0.06244541,0.9935291,0.2885048,1.036453,-0.04780832,1.015028,0.310739,1.062603,-0.0360241,0.9882977,0.3069761,1.035502,-0.03426473,-0.08249991,0.1013203,0.1350782,-0.01943955,-0.07886568,0.1313283,0.1544177,-0.002797266,-0.08135557,0.1077339,0.1350302,-0.04284225,-0.08097152,0.1009145,0.1362922,-0.0198792,-0.07462148,0.1383787,0.1584683,-0.002230401,-0.08119223,0.1120885,0.1384232,-0.02520786,-0.07914323,0.1150221,0.1418773,-0.06257696,0.6028636,-0.08641778,0.790678,75.50216,-0.1022111,0.9846975,-0.141152,6.471865,-0.01795802,-0.08138665,0.1125979,0.1400877,0.4978049,0.1733369,0.2970724,0.7961738,74.46748,0.8227255,0.2864751,0.4909735,1.296743,True,True,False,-0.1355949,0.621308,0.02967341,0.636624,-0.08524569,-0.08723581,-0.2040866,-0.9713248,332.4917,-0.358542,-0.3669124,-0.8583852,-0.04799307,0.5664111,0.1187969,0.5807216,-0.05931689,0.5472785,0.1427055,0.5686802,-0.08033563,0.5393846,0.1103557,0.5563883,0.04367397,-0.06397727,0.1097105,0.1343016,0.02271808,-0.07197565,0.1327064,0.1526683,0.005166303,-0.07749555,0.09860872,0.1255226,0.04362881,-0.06402968,0.1096836,0.1342898,0.02269023,-0.0720343,0.1324606,0.1524782,0.005163732,-0.07744794,0.09830134,0.1252517,0.02197986,-0.07176773,0.110971,0.1339712,-0.7837654,-0.1423316,0.5971864,-0.093925,190.7789,-0.7872456,-0.1429636,0.5998381,5.916334,0,0,0,0,0,0,0,0,0,1,0,0,0.3722793,False,True,False,-0.04846059,0.9978724,0.3002558,1.043193,0.05791208,0.01903717,0.01262199,0.9980603,7.138386,0.9302557,0.3057987,0.2027501,0.09846059,0.002127647,-0.0002558231,0.09848391,0.1426127,-0.7967029,0.4459718,0.3821457,135.0667,0.1543257,-0.8621373,0.4826002,-0.02355181,1.101059,-0.03524511,1.101874,0.01621836,0.003380301,0.006297396,-0.9998429,357.9691,0.9150854,0.1907261,0.3553167,False
1773051625580,0.0521887,0.01547584,0.9340241,0.1915495,0.9535888,-0.443971,-0.1427782,-0.282044,0.8384243,66.05179,-0.8145988,-0.2619697,-0.5174948,-0.06086263,0.9933689,0.2887105,1.036262,-0.04711727,1.014382,0.310344,1.06184,-0.03545867,0.9868965,0.3058265,1.033805,-0.0334823,-0.08243618,0.1013606,0.1348731,-0.01939103,-0.07922224,0.1305938,0.1539705,-0.003028163,-0.08147153,0.1058974,0.1336452,-0.04082881,-0.08127905,0.1010068,0.1359252,-0.01977812,-0.075605,0.1366995,0.1574613,-0.002395591,-0.08125047,0.1107621,0.1373886,-0.02392375,-0.07954462,0.1145331,0.1414833,-0.05848076,0.6112022,-0.0745948,0.7857782,76.41458,-0.09455128,0.9881876,-0.1206043,5.938865,-0.01665293,-0.0817946,0.1121009,0.1397651,0.5112424,0.1831737,0.2991349,0.7845998,76.63264,0.8245813,0.2954402,0.4824736,1.289303,True,True,False,-0.135698,0.6210911,0.02955441,0.6364288,-0.08485817,-0.08744627,-0.2041717,-0.9713219,332.4903,-0.3568942,-0.3677792,-0.8586998,-0.0480748,0.5663219,0.1187408,0.5806299,-0.0593801,0.547155,0.1426174,0.5685458,-0.08040309,0.5392544,0.1102759,0.5562559,0.04366838,-0.0639371,0.1097404,0.134305,0.02270538,-0.07199357,0.1326962,0.1526659,0.005165548,-0.07749183,0.09859243,0.1255075,0.04363698,-0.06401055,0.1096953,0.134293,0.02269336,-0.07202589,0.1325093,0.152517,0.005164106,-0.077457,0.09836163,0.1253047,0.02199504,-0.07175926,0.1110198,0.1340096,-0.7833762,-0.1424243,0.5976264,-0.09423207,190.8142,-0.7868777,-0.1430609,0.6002976,5.920792,0,0,0,0,0,0,0,0,0,1,0,0,0.367512,False,True,False,-0.04733849,0.9966879,0.3005435,1.042091,0.073082,0.02461059,0.01940535,0.9968334,9.121789,0.9190546,0.3094945,0.2440352,0.0973385,0.003312111,-0.0005434752,0.09739635,0.1445898,-0.8044752,0.4303631,0.383016,134.9587,0.1565262,-0.8708875,0.4658911,-0.02388962,1.101054,-0.03521816,1.101876,0.01639247,0.004714323,0.005270322,-0.9998407,357.9544,0.9183112,0.2640978,0.2952451,False
1773051625593,0.0660266,0.01629234,0.9333917,0.1917634,0.9530261,-0.4447088,-0.1449459,-0.2886617,0.8354036,66.68423,-0.8090955,-0.263712,-0.5251861,-0.06008653,0.9938388,0.2881148,1.036502,-0.04677189,1.014028,0.3095137,1.061244,-0.03528786,0.9862564,0.3044725,1.032788,-0.03318844,-0.08240224,0.1013966,0.1348068,-0.01933638,-0.07958043,0.1298518,0.1535202,-0.003213323,-0.08136686,0.1046368,0.1325886,-0.03917523,-0.08151531,0.1010876,0.1356398,-0.01968652,-0.07645752,0.1352149,0.1565771,-0.002565366,-0.08127477,0.1094433,0.1363451,-0.02284265,-0.07987287,0.1140575,0.1411048,-0.05459774,0.6210995,-0.06334395,0.7792573,77.61474,-0.08711886,0.9910572,-0.1010748,5.509846,-0.01555418,-0.08212821,0.1116175,0.1394469,0.5246782,0.1947786,0.2989667,0.7729119,78.76778,0.8268988,0.3069733,0.471175,1.26569,True,True,False,-0.1355851,0.6208571,0.0295977,0.6361784,-0.08507291,-0.08716047,-0.2040579,-0.9713527,332.5051,-0.3579871,-0.3667715,-0.8586761,-0.04800983,0.5660263,0.1187956,0.5803474,-0.05933058,0.5468483,0.1427236,0.5682721,-0.08034359,0.5389641,0.1103545,0.5559816,0.04368205,-0.06393047,0.1097407,0.1343065,0.02271061,-0.07197664,0.1327603,0.1527145,0.005167963,-0.07748289,0.09864356,0.1255423,0.04364631,-0.06399397,0.1097047,0.1342958,0.02269693,-0.0720157,0.1325613,0.1525579,0.005164905,-0.07746236,0.09842016,0.125354,0.0220107,-0.07174966,0.1110694,0.1340481,-0.7829989,-0.1424426,0.5980732,-0.0945058,190.8458,-0.7865192,-0.143083,0.600762,5.926132,0,0,0,0,0,0,0,0,0,1,0,0,0.3669776,False,True,False,-0.04566735,0.9957372,0.301036,1.04125,0.08925161,0.03016789,0.02118075,0.9953268,11.08264,0.9242769,0.3124143,0.2193448,0.09566735,0.004262805,-0.001035959,0.09576788,0.1423102,-0.8132571,0.41577,0.3814395,135.1543,0.1539498,-0.8797734,0.4497758,-0.02420929,1.101034,-0.03518139,1.101862,0.01632978,0.005740869,0.004702594,-0.9998391,357.9445,0.9103825,0.3200524,0.2621688,False
1773051625608,0.0800613,0.01723002,0.9332435,0.1917648,0.9528977,-0.4429528,-0.1474767,-0.29894,0.832273,67.33411,-0.7990258,-0.2660277,-0.5392466,-0.05944747,0.9947458,0.287154,1.037068,-0.04637601,1.014458,0.3086319,1.061381,-0.03508191,0.986465,0.3030832,1.032571,-0.03298857,-0.08237319,0.1014372,0.1347705,-0.01931816,-0.07969322,0.1296178,0.1533785,-0.003354087,-0.08097986,0.1040163,0.131865,-0.03781831,-0.08169769,0.1011608,0.1354188,-0.01960932,-0.07715931,0.1339861,0.1558536,-0.002731041,-0.08121257,0.1082594,0.1353626,-0.02195398,-0.08011405,0.1136452,0.1407674,-0.05149226,0.631039,-0.05228009,0.7722727,78.88316,-0.08105301,0.9933068,-0.08229312,5.168102,-0.01465099,-0.08237334,0.1111985,0.1391586,0.5365631,0.2064908,0.2985659,0.7617872,80.75597,0.8282505,0.3187437,0.4608728,1.19971,True,True,False,-0.1356794,0.6203285,0.02950664,0.6356784,-0.08445691,-0.08727518,-0.2040453,-0.9713988,332.5274,-0.3556772,-0.3675458,-0.8593053,-0.04809286,0.5656289,0.1187767,0.5799628,-0.05943312,0.5464873,0.1426661,0.567921,-0.08046331,0.5385988,0.1103084,0.5556356,0.04369549,-0.0639234,0.1097415,0.1343082,0.02271729,-0.07196762,0.1326968,0.152656,0.005172908,-0.07743261,0.09857354,0.1254564,0.0436566,-0.06397919,0.1097124,0.1342984,0.02270119,-0.07200564,0.1325897,0.1525785,0.005166579,-0.07745613,0.09845235,0.1253755,0.02202233,-0.07173747,0.1110967,0.1340661,-0.7828048,-0.142449,0.5983124,-0.0945904,190.8555,-0.7863305,-0.1430906,0.6010072,5.929266,0,0,0,0,0,0,0,0,0,1,0,0,0.3612668,False,True,False,-0.04458856,0.9952058,0.300933,1.040665,0.1074885,0.032187,0.016078,0.9935551,13.01692,0.9482893,0.2839614,0.141844,0.09458856,0.00479424,-0.0009329915,0.09471458,0.132182,-0.8225173,0.4026141,0.3793351,135.415,0.1428594,-0.8889586,0.4351365,-0.02450477,1.100978,-0.03517293,1.101812,0.01640817,0.006511187,0.004176179,-0.9998356,357.9218,0.9047511,0.3590288,0.2302758,False
1773051625621,0.0938308,0.01853067,0.9327756,0.1915644,0.9524236,-0.4447375,-0.1534667,-0.307466,0.8271162,68.39274,-0.7913043,-0.2730575,-0.5470624,-0.05885153,0.9959855,0.2851568,1.037673,-0.04619754,1.015481,0.3065161,1.061738,-0.03490827,0.9871968,0.3005811,1.032533,-0.03273709,-0.08234602,0.1014546,0.1347057,-0.01928206,-0.07982468,0.1293342,0.1532028,-0.003521176,-0.08047264,0.1031967,0.1309115,-0.03671912,-0.08183338,0.1012214,0.1352434,-0.0195418,-0.07772867,0.1329792,0.1552646,-0.002894603,-0.08105905,0.1071697,0.1344035,-0.02122613,-0.08027261,0.1132845,0.1404551,-0.04924009,0.6410909,-0.04115973,0.764777,80.22569,-0.07642475,0.9950269,-0.06388336,4.900439,-0.01391127,-0.08253447,0.110832,0.1388855,0.5467082,0.2180215,0.2981386,0.7514587,82.56621,0.8286217,0.3304457,0.4518757,1.094745,True,True,False,-0.1357081,0.6197699,0.02941962,0.6351354,-0.08350733,-0.08744422,-0.2037578,-0.971526,332.5888,-0.3524514,-0.3690674,-0.8599811,-0.04814118,0.5652225,0.1187925,0.5795738,-0.05963609,0.5461661,0.1421314,0.5674991,-0.08065817,0.538432,0.1101403,0.5554689,0.04370659,-0.06391726,0.1097333,0.1343022,0.02269089,-0.07199197,0.1320934,0.1521393,0.00519346,-0.07720584,0.0982819,0.1250881,0.0436669,-0.06396642,0.1097167,0.1342991,0.02269907,-0.07200282,0.1324873,0.1524878,0.005172119,-0.07740454,0.09841713,0.1253162,0.022027,-0.07171073,0.1110341,0.1340007,-0.7830833,-0.1425299,0.5980297,-0.09394854,190.7816,-0.7865622,-0.1431631,0.6006865,5.911947,0,0,0,0,0,0,0,0,0,1,0,0,0.3776534,False,True,False,-0.04376435,0.9950865,0.3004857,1.040387,0.1268281,0.03136128,0.008424567,0.991393,15.04543,0.9687505,0.2395467,0.06434933,0.09376435,0.004913509,-0.0004857183,0.09389426,0.1182076,-0.8313129,0.3898124,0.3781431,135.5626,0.1276889,-0.8979913,0.4210786,-0.02470275,1.100952,-0.03512775,1.101789,0.01616472,0.007240308,0.003625945,-0.9998366,357.9282,0.8940864,0.4004684,0.2005545,False
1773051625635,0.1081023,0.01987527,0.9320667,0.1909341,0.9516298,-0.4453308,-0.1593068,-0.3152992,0.8227322,69.28152,-0.7834412,-0.280258,-0.5546851,-0.05828299,0.9966347,0.2828705,1.037638,-0.04596845,1.016022,0.3042198,1.061586,-0.0346101,0.9871359,0.2974727,1.031564,-0.0325395,-0.08230844,0.1014867,0.134659,-0.01923163,-0.07986865,0.1292161,0.1531198,-0.003736554,-0.07978474,0.102074,0.1296097,-0.03578929,-0.08193558,0.1012777,0.1350981,-0.01947599,-0.0781984,0.1321419,0.1547766,-0.003073975,-0.08078757,0.1060403,0.133344,-0.02058698,-0.08034994,0.1129627,0.1401446,-0.04799584,0.6524648,-0.0289985,0.7557415,81.8196,-0.07329063,0.9963271,-0.0442813,4.689687,-0.01326166,-0.08261309,0.1105048,0.1386078,0.5567698,0.2318245,0.2974063,0.7401448,84.5125,0.8279751,0.3447474,0.4422744,1.079781,True,True,False,-0.1356903,0.6195793,0.02954142,0.6349512,-0.08344293,-0.08741874,-0.2037863,-0.9715279,332.5897,-0.352191,-0.3689718,-0.8601292,-0.04811884,0.565063,0.1189262,0.5794438,-0.05984113,0.5460931,0.1413899,0.5672652,-0.08071612,0.5383885,0.110132,0.5554335,0.04372063,-0.06390654,0.1097318,0.1343005,0.02265516,-0.07199152,0.1311989,0.1513578,0.005201256,-0.07708612,0.09811313,0.124882,0.04367829,-0.06395371,0.1097199,0.1342994,0.02268976,-0.07200042,0.1322141,0.152248,0.005178296,-0.07733703,0.09835254,0.125224,0.02203218,-0.07167576,0.1108752,0.1338512,-0.7835631,-0.1426422,0.5975154,-0.09304596,190.6777,-0.7869771,-0.1432637,0.6001188,5.863167,0,0,0,0,0,0,0,0,0,1,0,0,0.4312459,False,True,False,-0.04316634,0.9956702,0.298928,1.040471,0.1392691,0.02950447,0.002486442,0.9898118,16.37137,0.9781393,0.2072209,0.01746321,0.09316634,0.004329801,0.001072049,0.09327305,0.1077539,-0.8364664,0.3820639,0.3778099,135.6038,0.1163796,-0.9034252,0.412648,-0.02486712,1.100929,-0.03509529,1.101769,0.01596198,0.008040282,0.003192609,-0.9998352,357.9195,0.8791931,0.4428623,0.1758503,False
1773051625649,0.1214015,0.02118566,0.9313719,0.1903225,0.950855,-0.4458193,-0.1647381,-0.3225136,0.8185912,70.11196,-0.7761794,-0.286812,-0.561502,-0.05755085,0.997151,0.2807677,1.037522,-0.0456681,1.016268,0.302024,1.061181,-0.03422884,0.9869764,0.2945288,1.030554,-0.0322248,-0.08225308,0.1015204,0.1345749,-0.01911342,-0.07998565,0.1289227,0.1529186,-0.003935771,-0.07915881,0.1009823,0.1283707,-0.03503916,-0.08200011,0.1013264,0.134977,-0.01940329,-0.07856919,0.1314646,0.154378,-0.00324767,-0.08046012,0.1049781,0.1323056,-0.0200535,-0.08036616,0.1126739,0.1398437,-0.04755122,0.6638885,-0.01723894,0.7461193,83.48936,-0.07141834,0.9971103,-0.02589159,4.528378,-0.01271951,-0.08262954,0.1102114,0.1383328,0.5661239,0.2465198,0.2962079,0.7286924,86.44623,0.8266499,0.3599665,0.4325206,1.098366,True,True,False,-0.1356727,0.6194128,0.02965763,0.6347904,-0.08341686,-0.08738393,-0.2038354,-0.971523,332.5873,-0.352051,-0.3687936,-0.8602632,-0.04809462,0.5649231,0.1190489,0.5793305,-0.06005355,0.5460632,0.1406381,0.5670719,-0.08081096,0.538434,0.1100384,0.5554728,0.04373537,-0.06389637,0.1097293,0.1342984,0.02262146,-0.07196442,0.1303002,0.1505615,0.005212304,-0.07690399,0.09785792,0.1245695,0.04368974,-0.06394221,0.1097218,0.1342992,0.02267607,-0.0719932,0.1318296,0.1519088,0.005185113,-0.07725019,0.09825324,0.1250927,0.02203407,-0.07163184,0.1106487,0.1336404,-0.7842978,-0.1427084,0.5967152,-0.09188219,190.5438,-0.7876296,-0.1433146,0.5992501,5.795146,0,0,0,0,0,0,0,0,0,1,0,0,0.4974925,False,True,False,-0.04259366,0.9957221,0.2970366,1.039955,0.1541784,0.02971453,-0.003222695,0.9875908,18.07128,0.9817228,0.1892056,-0.02052034,0.09259365,0.004277945,0.002963364,0.09273978,0.0974681,-0.8431199,0.3717217,0.3761275,135.812,0.1051926,-0.9099386,0.4011813,-0.0252315,1.100925,-0.03500966,1.10177,0.01561145,0.008555139,0.0028199,-0.9998376,357.9347,0.8661735,0.4746667,0.1564572,False
1773051625663,0.1353987,0.02231139,0.9308367,0.1903372,0.9503594,-0.4437232,-0.1674743,-0.3332416,0.8148694,70.8511,-0.7655091,-0.2889259,-0.5749068,-0.05634055,0.9975815,0.2798876,1.037632,-0.0450776,1.01591,0.3009483,1.060507,-0.03383278,0.9869364,0.2933685,1.030171,-0.03165842,-0.08218843,0.1015299,0.134408,-0.01898889,-0.08026814,0.1282364,0.1524733,-0.00399842,-0.07900435,0.1005883,0.1279675,-0.03429898,-0.08203994,0.1013689,0.1348429,-0.01931678,-0.07893577,0.1307581,0.1539534,-0.003405307,-0.08015583,0.1040179,0.1313631,-0.01954533,-0.08038291,0.1123499,0.1395204,-0.04691819,0.6746563,-0.006276506,0.7366127,85.11268,-0.0693733,0.9975477,-0.00928045,4.360801,-0.01220303,-0.08264656,0.1098821,0.1380342,0.5740396,0.2589408,0.2947744,0.7187045,88.10475,0.8255814,0.3724076,0.4239433,0.9876794,True,True,False,-0.1357305,0.619045,0.03002705,0.6344612,-0.0834528,-0.08734844,-0.2038619,-0.9715175,332.5847,-0.3521694,-0.368609,-0.8602939,-0.04812668,0.5645958,0.1194227,0.579091,-0.06016272,0.5457441,0.14075,0.566804,-0.08099703,0.5382962,0.1101814,0.5553947,0.0437784,-0.06386641,0.1097334,0.1343015,0.02263546,-0.0719467,0.1300399,0.1503298,0.005224338,-0.07669081,0.09759084,0.1242286,0.04370825,-0.06392637,0.1097242,0.1342997,0.02266759,-0.07198349,0.1314546,0.1515775,0.005193303,-0.07713329,0.09811484,0.1249121,0.02203215,-0.07157586,0.1104128,0.1334148,-0.785307,-0.1428041,0.5956059,-0.0902971,190.3614,-0.7885282,-0.1433899,0.598049,5.733398,0,0,0,0,0,0,0,0,0,1,0,0,0.4812506,False,True,False,-0.04199583,0.9957786,0.2951836,1.039458,0.1692682,0.03122814,-0.009181094,0.9850324,19.85122,0.982009,0.1811699,-0.05326408,0.09199584,0.00422138,0.004816383,0.0922185,0.08752376,-0.8501408,0.3609785,0.3732222,136.1711,0.09434062,-0.9163548,0.3890936,-0.02536502,1.100858,-0.03493915,1.101705,0.015403,0.009169191,0.002540306,-0.9998361,357.9256,0.8508692,0.5065107,0.1403278,False
