Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773051984544,0,1,1,135,0.4975998,0.5231779,0.6918666,1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0,0,0.1,0.4597223,0.4833534,0.6392014,0.3826834,135,0.4975998,0.5231779,0.6918666
Trial Start,1773051986706,0,1,1,135,0.4975998,0.5231779,0.6918666,1,-0.05006608,0.9996725,0.3000251,1.044924,-0.01578306,-0.0009546967,-0.01485148,0.9997647,2.485706,-0.7276625,-0.04401537,-0.684713,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1000661,0.0003274679,-2.512336E-05,0.1000666,0.4722223,0.486866,0.6375445,0.365383,137.1377,0.5072983,0.5230297,0.6849004
Grab,1773051986718,0.0138398,1,1,135,0.4975998,0.5231779,0.6918666,1,-0.05006608,0.9996725,0.3000251,1.044924,-0.01578306,-0.0009546967,-0.01485148,0.9997647,2.485706,-0.7276625,-0.04401537,-0.684713,0.1729456,-0.08847658,-0.0215492,0.195455,0.4210755,0.7713731,-0.3580892,0.3153588,143.235,0.4437172,0.8128508,-0.3773442,-0.1659501,-0.4652723,-0.258057,0.557325,-0.6852375,-0.2436779,0.68624,0.01205745,178.6183,-0.6852874,-0.2436956,0.6862899,0.1000661,0.0003274679,-2.512336E-05,0.1000666,0.4722223,0.486866,0.6375445,0.365383,137.1377,0.5072983,0.5230297,0.6849004
Release,1773051986732,0.0365999,1,1,135,0.4975998,0.5231779,0.6918666,1,-0.05006608,0.9996725,0.3000251,1.044924,-0.01578306,-0.0009546967,-0.01485148,0.9997647,2.485706,-0.7276625,-0.04401537,-0.684713,0.2371468,-0.05617151,-0.04094912,0.2471248,0.4183937,0.7694981,-0.3617756,0.3192773,142.7616,0.4415013,0.8119968,-0.3817562,-0.1451981,-0.5276932,-0.2812431,0.6153375,-0.6851289,-0.2444462,0.6860765,0.01198563,178.6265,-0.6851781,-0.2444638,0.6861258,0.1000661,0.0003274679,-2.512336E-05,0.1000666,0.4722223,0.486866,0.6375445,0.365383,137.1377,0.5072983,0.5230297,0.6849004
Grab,1773051988010,1.308923,1,1,135,0.4975998,0.5231779,0.6918666,1,-0.05248196,1.009862,0.342388,1.067617,0.2953304,-0.237086,-0.1183763,0.9179092,46.75538,0.7442981,-0.5975093,-0.2983346,0.1065181,-0.08560405,0.01040031,0.1370486,0.5458663,0.6410132,-0.3101095,0.4415477,127.5947,0.6083853,0.7144296,-0.3456269,-0.2393471,-0.4327112,-0.2415183,0.5503245,-0.4588833,-0.05683352,0.8533062,0.2409662,152.1129,-0.4728155,-0.05855905,0.8792136,0.102482,-0.009861946,-0.04238802,0.1113398,0.2146372,0.2912076,0.8837722,0.296776,145.4719,0.2247634,0.3049462,0.925467
Release,1773051988107,1.407293,1,1,135,0.4975998,0.5231779,0.6918666,1,-0.05648282,1.008735,0.3379103,1.065326,0.2466732,-0.2639287,-0.1527315,0.9198735,46.18482,0.6289229,-0.6729181,-0.3894075,0.1069238,-0.09766668,0.0006152138,0.1448167,0.5649421,0.6741228,-0.1546155,0.4499922,126.5136,0.6326109,0.7548692,-0.1731353,-0.23528,-0.4355619,-0.2321129,0.5467607,-0.4237927,-0.1175691,0.8639887,0.2451549,151.618,-0.4371322,-0.1212697,0.8911842,0.1064828,-0.00873518,-0.03791025,0.113367,0.2336083,0.3177372,0.8869964,0.2402244,152.2004,0.2406553,0.327322,0.9137534
Grab,1773051988872,2.171572,1,1,135,0.4975998,0.5231779,0.6918666,1,-0.06042656,1.004825,0.322247,1.056961,0.3609989,0.2361025,-0.3602984,0.8271158,68.39281,0.6423108,0.4200877,-0.6410645,0.1047625,-0.0588558,0.01243544,0.1208049,0.2809712,0.8478476,-0.4496381,0.005931097,179.3203,0.2809761,0.8478626,-0.449646,-0.212401,-0.4358784,-0.2188442,0.5319746,-0.6719641,-0.1702494,0.4923169,0.5264062,116.4741,-0.7903292,-0.2002385,0.5790375,0.1104266,-0.004824638,-0.02224702,0.1127485,0.5671638,-0.08695151,0.7325223,0.3663005,137.0247,0.609528,-0.09344633,0.7872379
Release,1773051990512,3.810283,1,1,135,0.4975998,0.5231779,0.6918666,1,0.01480208,0.9859717,0.2355186,1.013819,0.5068963,-0.2456941,-0.8011786,0.2019985,156.6923,0.5175654,-0.2508655,-0.8180419,0.1300656,-0.0810995,0.02680021,0.1556035,-0.1978247,0.7077203,-0.6776817,0.02729531,176.8718,-0.1978984,0.707984,-0.6779343,-0.1279009,-0.3699406,-0.2833194,0.4832025,0.2011902,-0.2458816,0.4008408,0.8592972,61.52451,0.3933514,-0.4807286,0.7836929,0.03519792,0.01402825,0.06448139,0.07478994,0.1290868,-0.5006688,0.7936766,-0.3205386,217.391,0.1362775,-0.5285579,0.8378874
Grab,1773051992969,6.269784,1,1,135,0.4975998,0.5231779,0.6918666,1,0.005949715,0.9666678,0.2529669,0.9992368,0.4644707,-0.5462601,-0.03951101,0.6959209,91.79871,0.6467884,-0.7606824,-0.05502018,0.1155717,-0.06997484,0.01018816,0.1354883,0.8586667,0.334557,-0.3502905,0.1675109,160.7137,0.8709733,0.339352,-0.3553109,-0.137142,-0.3598636,-0.2687539,0.4696151,-0.08979683,0.1510848,0.9577733,0.2275525,153.694,-0.09221604,0.1551552,0.9835767,0.04405028,0.03333223,0.04703313,0.07255054,-0.1878874,0.230366,0.9355853,0.1905527,158.0299,-0.1913942,0.2346657,0.9530478
Release,1773051993218,6.519518,1,1,135,0.4975998,0.5231779,0.6918666,1,0.01014903,0.9645355,0.2517619,0.9969031,0.3647337,-0.4986659,0.1032951,0.7795074,77.56901,0.5822762,-0.7960911,0.1649046,0.111359,-0.08550908,0.01837868,0.1415994,0.8216598,0.2235116,-0.3626796,0.3786572,135.4989,0.8877655,0.241494,-0.3918586,-0.1361176,-0.3566668,-0.2709903,0.4681613,-0.2352572,0.15545,0.956052,0.08033603,170.7842,-0.2360201,0.155954,0.9591521,0.03985098,0.03546453,0.0482381,0.07192181,-0.1498966,0.3819575,0.864276,0.2909753,146.1673,-0.1566759,0.399232,0.903364
Grab,1773051994428,7.727564,1,1,135,0.4975998,0.5231779,0.6918666,1,0.005186186,0.9621563,0.2612714,0.9970127,0.301796,-0.2486064,0.2068525,0.8968423,52.50788,0.6822556,-0.5620123,0.4676213,0.1089194,-0.06871475,0.0330907,0.1329667,0.9178169,0.2729754,-0.1207309,0.2617647,149.6504,0.9509758,0.2828375,-0.1250927,-0.1510063,-0.3601952,-0.2629969,0.4708619,-0.514008,0.1556376,0.8434497,0.01287166,178.525,-0.5140505,0.1556504,0.8435194,0.04481382,0.0378437,0.03872862,0.07028748,0.03791365,0.4308155,0.7542679,0.4940047,120.7917,0.04360601,0.4954982,0.8675137
Release,1773051995844,9.143348,1,1,135,0.4975998,0.5231779,0.6918666,1,0.05382765,1.002624,0.2904638,1.045237,0.4767568,0.2635043,0.6747926,0.4979191,120.2752,0.5497508,0.3038483,0.778107,0.1236505,-0.04816192,0.04265075,0.1393847,0.7961633,0.1581329,-0.2842459,0.5102179,118.6433,0.9257226,0.1838658,-0.3305011,-0.1964512,-0.3886584,-0.3207353,0.5408508,-0.6548108,0.7067772,0.2558417,-0.07895585,189.0571,-0.6568614,0.7089906,0.2566429,-0.003827654,-0.002623916,0.009536207,0.01060543,-0.1112733,0.1453057,0.1693419,0.9684152,28.87735,-0.446265,0.5827529,0.6791506
Grab,1773051997136,10.43742,1,1,135,0.4975998,0.5231779,0.6918666,1,0.04994753,0.9995878,0.2906793,1.042192,0.3489695,0.4276966,0.671252,0.4946886,120.7016,0.4015435,0.4921312,0.7723793,0.1064773,-0.05698797,0.01949212,0.1223314,0.9613308,0.08547261,0.2502938,-0.07675125,188.8037,0.9641748,0.08572547,0.2510343,-0.1685728,-0.3942965,-0.3182328,0.5340025,-0.776098,0.606842,0.1019754,-0.1378982,195.8525,-0.783584,0.6126955,0.102959,5.247071E-05,0.0004121661,0.009320706,0.009329963,0.04280687,0.1609647,0.03138261,0.985532,19.51637,0.2525624,0.9496987,0.1851588
Release,1773051998136,11.43674,1,1,135,0.4975998,0.5231779,0.6918666,1,0.04637264,1.006674,0.2960923,1.050339,0.330745,0.4649246,0.653699,0.4971222,120.3804,0.3811829,0.5358247,0.7533867,0.1011945,-0.05307163,0.01262734,0.1149625,0.9457805,0.1501949,0.2867211,0.02705179,176.8997,0.9461267,0.1502499,0.2868261,-0.2010916,-0.3973372,-0.316935,0.5465917,-0.7883754,0.5960426,0.08598011,-0.125718,194.4444,-0.7946803,0.6008094,0.08666772,0.00362736,-0.006673694,0.00390771,0.008542021,0.08318037,0.151474,0.01373193,0.9848595,19.96585,0.4798278,0.8737814,0.07921293
Grab,1773051998831,12.13048,1,1,135,0.4975998,0.5231779,0.6918666,1,0.04549109,1.006046,0.2961628,1.049719,0.3186933,0.4445265,0.6724656,0.4986188,120.1827,0.3676575,0.5128237,0.7757834,0.1078652,-0.07409659,0.02021873,0.1324161,0.8667917,0.08060592,0.4553202,-0.186705,201.5211,0.882306,0.08204865,0.4634697,-0.188901,-0.3968294,-0.3178106,0.5423659,-0.7879019,0.5922219,0.08838116,-0.1437808,196.5334,-0.7961744,0.5984399,0.08930913,0.004508913,-0.006046295,0.003837168,0.008462378,0.06637094,0.1763343,0.01105911,0.9820279,21.758,0.3516611,0.9342931,0.05859581
Release,1773052002038,15.3405,1,1,135,0.4975998,0.5231779,0.6918666,1,0.03856057,1.003721,0.2969363,1.047432,0.1488867,0.4851057,0.6693985,0.5425965,114.2789,0.1772474,0.5775113,0.7969093,0.1085782,-0.08791571,0.02938847,0.1427658,0.8211717,0.2386659,0.508015,0.1031334,168.1607,0.825574,0.2399454,0.5107385,-0.1725498,-0.398259,-0.326304,0.5430083,-0.8571327,0.447043,0.05625179,-0.2496237,208.9105,-0.8851541,0.4616578,0.05809077,0.01143944,-0.003720522,0.003063709,0.01241327,0.1789914,0.2891928,-0.0603883,0.9384472,40.41525,0.5181801,0.8372131,-0.1748241
Grab,1773052002901,16.1997,1,1,135,0.4975998,0.5231779,0.6918666,1,0.04854864,1.003984,0.301112,1.04929,0.03705034,0.4632058,0.6539804,0.5969734,106.6931,0.0461824,0.5773754,0.8151715,0.1084521,-0.06863912,0.01277553,0.1289822,0.8099576,0.2511586,0.5295172,0.02235621,177.438,0.81016,0.2512214,0.5296496,-0.1762933,-0.3977905,-0.3341473,0.5486082,-0.877988,0.3447441,0.08586756,-0.3208045,217.4232,-0.9269832,0.3639822,0.09065931,0.001451358,-0.003983617,-0.001112014,0.004383175,0.2402416,0.3882546,-0.06371884,0.887402,54.90285,0.5211356,0.8422076,-0.1382198
Release,1773052004262,17.56033,1,1,135,0.4975998,0.5231779,0.6918666,1,0.04646623,1.001043,0.2913643,1.043619,0.3424658,0.4095719,0.6789609,0.5039644,119.4747,0.396499,0.4741928,0.7860851,0.0880774,-0.06142252,0.02558666,0.1103858,0.9272774,0.2652386,0.2477895,0.09168301,169.4791,0.9311993,0.2663604,0.2488375,-0.1846332,-0.3735903,-0.3380681,0.5366089,-0.7827536,0.5915238,0.1513996,-0.1203106,193.8201,-0.7884809,0.5958518,0.1525074,0.003533773,-0.0010432,0.0086357,0.009388884,0.03424852,0.1800854,0.03955039,0.9822587,21.6175,0.1826283,0.9602948,0.2109002
Grab,1773052004427,17.72805,1,1,135,0.4975998,0.5231779,0.6918666,1,0.05320331,0.9986907,0.294118,1.042458,0.328154,0.4634262,0.7244138,0.3908657,133.9833,0.3565156,0.5034791,0.7870232,0.08960316,-0.05975315,0.02515795,0.1105988,0.9206526,0.2452434,0.2986481,0.05535284,173.6538,0.9220662,0.24562,0.2991067,-0.1724779,-0.3789856,-0.3372424,0.5358275,-0.7548602,0.6347557,0.01711166,-0.164252,198.9076,-0.7652534,0.6434953,0.01734726,-0.003203314,0.001309335,0.005881965,0.006824448,0.0001853686,0.1348533,-0.08181224,0.9874824,18.1503,0.001175229,0.8549644,-0.5186861
