Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Total Thumb Tip Translation,Total Index Tip Translation,Total Middle Tip Translation,Total Thumb Tip Translation_left,Total Index Tip Translation_left,Total Middle Tip Translation_left,Total Wrist Translation,Total Wrist Rotation,Total Wrist Translation_left,Total Wrist Rotation_left,Total Die Translation,Total Die Rotation,Total Die Local Translation,Total Die Local Rotation,Total Die Local Translation_left,Total Die Local Rotation_left,Total Head Translation,Total Head Rotation,Total Grabbed Time,Total Grabbed Time_left
1,1,135,0.4975998,0.5231779,0.6918666,1,21.90846,False,0.001076791,-0.002666593,-5.218387E-05,0.002876268,0.03091137,0.03709046,0.05062945,0.9975498,8.023518,0.4418365,0.5301583,0.72368,0.5116206,0.4569952,0.6755433,0,0,0,0.9396569,529.689,0,0,0.7293661,1026.525,0.4884182,896.5873,0,0,0.3031572,67.29219,10.16013,0
1,2,135,-0.3953865,-0.1285243,-0.9094784,1,14.85015,False,-0.0004695915,-0.0004972219,-0.002283275,0.002383504,-0.006159873,0.06752415,0.03516007,0.997079,8.760775,-0.08065006,0.8840809,0.4603442,0.3085808,0.2753686,0.3479523,0,0,0,0.578783,327.0083,0,0,0.4092936,643.8677,0.3173349,507.1563,0,0,0.1337324,31.97293,7.595433,0
1,3,135,-0.867744,0.3321632,-0.3697134,1,18.52004,False,-0.001019321,-0.000882268,-1.370907E-06,0.001348115,-0.0186555,-0.02419762,-0.007684654,-0.9995037,356.3891,-0.5921171,-0.7680213,-0.2439074,0.6633613,0.5783624,0.6147946,0,0,0,0.9763027,699.6653,0,0,0.7912415,1240.133,0.5776482,1020.138,0,0,0.2028559,66.23852,10.00428,0
1,4,135,-0.7950538,0.5600793,0.2328101,1,10.09915,False,-0.0008068494,-0.0005840063,-0.002173752,0.00239108,-0.03320213,-0.03786922,-0.007308913,-0.9987043,354.166,-0.6524406,-0.7441517,-0.1436243,0.3279501,0.2610957,0.2684293,0,0,0,0.4491417,383.4409,0,0,0.3352527,547.7215,0.2267211,417.1529,0,0,0.115044,36.93814,5.636719,0
1,5,135,0.378571,-0.4148155,0.8274128,1,14.88055,False,-0.0008474775,-0.0009428263,0.001072019,0.00166023,-0.03443045,0.03862809,-0.005919412,0.9986428,5.97088,-0.6610799,0.7416766,-0.1136554,0.2698951,0.2470686,0.2690746,0,0,0,0.48906,264.1486,0,0,0.3391849,519.5006,0.2202112,399.7364,0,0,0.1085411,27.42303,5.548243,0
1,6,135,0.860979,0.4159275,0.2927787,0.9999999,9.47434,False,-0.001604475,-0.001683235,0.006507725,0.006910724,0.002269121,-0.03960207,-0.03648946,0.9985465,6.179049,0.04210146,-0.73478,-0.6770284,0.2417299,0.2456951,0.2801888,0,0,0,0.5248418,349.3347,0,0,0.3437904,629.4877,0.216521,453.7201,0,0,0.1500074,40.9502,5.125374,0
1,7,135,0.8012931,0.1195164,-0.5862126,1,10.03262,False,-0.001820035,-0.001681328,0.004734844,0.005343982,-0.05660707,-0.003508022,0.01249208,0.9983123,6.65851,-0.9747461,-0.06040642,0.2151075,0.2692693,0.2338263,0.32856,0,0,0,0.4448346,320.4961,0,0,0.3200121,612.7896,0.2534014,455.5686,0,0,0.1092597,32.24998,6.724809,0
1,8,135,-0.3561037,-0.9191687,-0.1682829,1,13.45627,False,-0.0005476288,0.00113672,-0.005734146,0.005871325,0.07326344,-0.01830988,0.02809089,0.9967488,9.24287,0.909292,-0.2272488,0.3486435,0.4252019,0.3529766,0.4252461,0,0,0,0.8524131,645.0691,0,0,0.557915,928.2902,0.3945663,686.125,0,0,0.2588994,66.42491,6.247629,0
1,9,135,0.7492467,-0.5973735,0.2859621,1,11.14416,False,3.389269E-05,-0.0055722,0.003381848,0.006518241,0.00040985,-0.0288776,0.01717223,0.9994354,3.850782,0.0121985,-0.8594934,0.5111027,0.1630258,0.1335828,0.1428279,0,0,0,0.3387306,248.3701,0,0,0.2339135,333.1457,0.1347056,247.2711,0,0,0.118199,29.92318,4.207238,0
1,10,135,0.8641423,-0.1823566,-0.469046,1,13.87859,False,0.000759542,0.0001447201,0.0002184808,0.000803481,-0.0732377,0.02248339,0.01155451,-0.9969941,351.1129,-0.9452848,0.2901949,0.149135,0.4036458,0.4559464,0.4899001,0,0,0,0.6303387,512.517,0,0,0.4888609,846.1671,0.4109861,644.8851,0,0,0.1245305,44.81982,4.299462,0
