Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773036499115,0,1,1,135,0.5267588,-0.8466444,-0.07562006,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.4866617,-0.7821975,-0.06986383,0.3826834,135,0.5267588,-0.8466445,-0.07562006
Grab,1773036514964,15.00318,1,1,135,0.5267588,-0.8466444,-0.07562006,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.4866617,-0.7821975,-0.06986383,0.3826834,135,0.5267588,-0.8466445,-0.07562006
Trial Start,1773036514981,0,1,1,135,0.5267588,-0.8466444,-0.07562006,1,-1,-0.05000002,1,0.3,1.045227,0.02165845,-0.003809576,-0.0008662049,0.9997578,2.52197,0.9841824,-0.1731111,-0.03936125,0.1,0,0,0.1,0.4778441,-0.7794586,-0.08460263,0.3961715,133.3219,0.5204273,-0.8489202,-0.09214201
Release,1773036515685,0.7083454,1,1,135,0.5267588,-0.8466444,-0.07562006,1,0,-0.04182312,0.9790987,0.2599995,1.013895,0.8092508,-0.5717196,0.1216682,0.05870892,173.2686,0.810649,-0.5727074,0.1218784,0.09182312,0.02090126,0.04000056,0.1023152,-0.1460044,0.2886142,-0.4054219,0.8549957,62.48148,-0.2815167,0.5564882,-0.7817094
Grab,1773036517353,2.375381,1,1,135,0.5267588,-0.8466444,-0.07562006,1,0,-0.04182312,0.9790987,0.2599995,1.013895,0.8092508,-0.5717196,0.1216682,0.05870892,173.2686,0.810649,-0.5727074,0.1218784,0.09182312,0.02090126,0.04000056,0.1023152,-0.1460044,0.2886142,-0.4054219,0.8549957,62.48148,-0.2815167,0.5564882,-0.7817094
Release,1773036518241,3.264132,1,1,135,0.5267588,-0.8466444,-0.07562006,1,0,-0.002447709,0.9899944,0.2177732,1.013667,0.3911171,-0.6856166,0.1805497,0.5868212,108.1365,0.4830297,-0.8467366,0.2229789,0.05244771,0.01000559,0.08222677,0.0980414,0.3250347,-0.08144441,-0.08235843,0.9385821,40.37042,0.9419767,-0.2360325,-0.2386814
Grab,1773036519823,4.847658,1,1,135,0.5267588,-0.8466444,-0.07562006,1,0,-0.002447709,0.9899944,0.2177732,1.013667,0.3911171,-0.6856166,0.1805497,0.5868212,108.1365,0.4830297,-0.8467366,0.2229789,0.05244771,0.01000559,0.08222677,0.0980414,0.3250347,-0.08144441,-0.08235843,0.9385821,40.37042,0.9419767,-0.2360325,-0.2386814
Clutch Start,1773036520284,5.306061,1,1,135,0.5267588,-0.8466444,-0.07562006,1,0,0.008798383,0.9988195,0.2271364,1.024358,0.537156,-0.7586517,-0.05934835,0.363853,137.326,0.576684,-0.814479,-0.06371565,0.04120162,0.00118047,0.07286361,0.08371423,-0.02190719,0.01436372,-0.05366387,0.9982155,6.847081,-0.3668519,0.2405309,-0.8986406
On Target,1773036521477,6.51374,1,1,135,0.5267588,-0.8466444,-0.07562006,1,-1,0.05306029,1.00583,0.2819629,1.045951,0.4879484,-0.7651649,-0.01591703,0.4197329,130.3645,0.5375967,-0.8430197,-0.01753657,-0.003060289,-0.005830288,0.01803708,0.0192014,0.05854525,-0.009154396,-0.03252856,0.9977127,7.752017,0.8660871,-0.1354252,-0.4812101
Trial End,1773036522477,7.513332,1,2,135,0.5267588,-0.8466444,-0.07562006,1,-1,0.04983786,1.001344,0.2974466,1.045776,0.48393,-0.7879767,-0.03181542,0.3793312,135.4155,0.52302,-0.8516265,-0.03438535,0.0001621395,-0.001343846,0.002553374,0.00288997,0.02957911,0.02315959,-0.00937701,0.9992501,4.438052,0.763924,0.5981304,-0.2421751
Trial Load,1773036522477,7.513332,1,2,135,-0.1856847,0.652462,0.7347207,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.1715503,0.6027963,0.6787934,0.3826834,135,-0.1856847,0.6524621,0.7347207
Grab,1773036524380,9.402663,1,2,135,-0.1856847,0.652462,0.7347207,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.1715503,0.6027963,0.6787934,0.3826834,135,-0.1856847,0.6524621,0.7347207
Trial Start,1773036524393,0,1,2,135,-0.1856847,0.652462,0.7347207,1,-1,-0.05000001,1,0.3,1.045227,0.03386925,0.008448225,0.003772305,0.9993835,4.023956,0.9646956,0.2406302,0.1074463,0.1,0,-2.980232E-08,0.1,-0.1809451,0.5755543,0.6987969,0.3842904,134.8006,-0.1959951,0.6234257,0.756919
Release,1773036524727,0.3331832,1,2,135,-0.1856847,0.652462,0.7347207,1,0,-0.03474295,0.9561681,0.2668198,0.9933062,0.5886007,0.2493962,-0.5967449,0.485022,121.9722,0.6730697,0.2851866,-0.6823826,0.08474295,0.04383194,0.03318024,0.1010126,0.2205507,-0.1002369,0.9551845,-0.1700961,199.5868,0.2238123,-0.1017192,0.9693097
Grab,1773036525685,1.291183,1,2,135,-0.1856847,0.652462,0.7347207,1,0,-0.03474295,0.9561681,0.2668198,0.9933062,0.5886007,0.2493962,-0.5967449,0.485022,121.9722,0.6730697,0.2851866,-0.6823826,0.08474295,0.04383194,0.03318024,0.1010126,0.2205507,-0.1002369,0.9551845,-0.1700961,199.5868,0.2238123,-0.1017192,0.9693097
Release,1773036525976,1.582952,1,2,135,-0.1856847,0.652462,0.7347207,1,0,-0.01552024,0.978583,0.2503237,1.010212,0.5309549,0.428614,-0.7309668,-0.008030624,180.9203,0.5309721,0.4286278,-0.7309904,0.06552024,0.02141702,0.0496763,0.08496661,0.5297545,-0.4038754,0.6678643,-0.3319672,218.7764,0.5616024,-0.4281557,0.7080151
Grab,1773036526698,2.3052,1,2,135,-0.1856847,0.652462,0.7347207,1,0,-0.01552024,0.978583,0.2503237,1.010212,0.5309549,0.428614,-0.7309668,-0.008030624,180.9203,0.5309721,0.4286278,-0.7309904,0.06552024,0.02141702,0.0496763,0.08496661,0.5297545,-0.4038754,0.6678643,-0.3319672,218.7764,0.5616024,-0.4281557,0.7080151
Release,1773036527380,2.985769,1,2,135,-0.1856847,0.652462,0.7347207,1,0,0.009889856,0.9373286,0.2378565,0.9670876,0.4306121,0.07130509,-0.6951205,-0.5712235,249.6712,0.5246283,0.08687326,-0.8468874,0.04011014,0.06267142,0.0621435,0.09694507,0.400623,-0.5446672,0.1500721,-0.7213302,272.3288,0.5784407,-0.7864194,0.2166821
Grab,1773036528004,3.61072,1,2,135,-0.1856847,0.652462,0.7347207,1,0,0.009889856,0.9373286,0.2378565,0.9670876,0.4306121,0.07130509,-0.6951205,-0.5712235,249.6712,0.5246283,0.08687326,-0.8468874,0.04011014,0.06267142,0.0621435,0.09694507,0.400623,-0.5446672,0.1500721,-0.7213302,272.3288,0.5784407,-0.7864194,0.2166821
Release,1773036528365,3.972022,1,2,135,-0.1856847,0.652462,0.7347207,1,0,-0.006423704,0.9159125,0.2117621,0.9400958,-0.01347742,-0.3915761,-0.6684411,-0.6321971,258.4248,-0.01739454,-0.505385,-0.8627188,0.05642371,0.08408749,0.08823787,0.134314,0.2507457,-0.1074167,-0.248629,-0.9293934,316.6809,0.6793605,-0.2910306,-0.6736257
Grab,1773036528392,3.999695,1,2,135,-0.1856847,0.652462,0.7347207,1,0,-0.006423704,0.9159125,0.2117621,0.9400958,-0.01347742,-0.3915761,-0.6684411,-0.6321971,258.4248,-0.01739454,-0.505385,-0.8627188,0.05642371,0.08408749,0.08823787,0.134314,0.2507457,-0.1074167,-0.248629,-0.9293934,316.6809,0.6793605,-0.2910306,-0.6736257
Clutch Start,1773036528519,4.124583,1,2,135,-0.1856847,0.652462,0.7347207,1,0,-0.0002234206,0.9408883,0.2297591,0.9685351,-0.01860589,-0.5285468,-0.4701151,-0.7066002,269.9179,-0.02629388,-0.7469433,-0.6643676,0.05022342,0.05911165,0.07024096,0.104644,0.05294726,-0.130392,-0.4016183,-0.9049295,309.6276,0.1244174,-0.3063998,-0.9437371
Clutch End,1773036528546,4.152591,1,2,135,-0.1856847,0.652462,0.7347207,1,0,-0.0001831129,0.9460641,0.2312278,0.9739115,-0.01211344,-0.5329381,-0.4651895,-0.706703,269.9346,-0.01712122,-0.7532583,-0.6575019,0.05018311,0.05393595,0.0687722,0.1007822,0.04453036,-0.1340255,-0.4004127,-0.9053861,309.7507,0.1048787,-0.3156592,-0.9430589
Release,1773036528546,4.152591,1,2,135,-0.1856847,0.652462,0.7347207,1,0,-0.0001831129,0.9460641,0.2312278,0.9739115,-0.01211344,-0.5329381,-0.4651895,-0.706703,269.9346,-0.01712122,-0.7532583,-0.6575019,0.05018311,0.05393595,0.0687722,0.1007822,0.04453036,-0.1340255,-0.4004127,-0.9053861,309.7507,0.1048787,-0.3156592,-0.9430589
Grab,1773036529393,4.999532,1,2,135,-0.1856847,0.652462,0.7347207,1,0,-0.0001831129,0.9460641,0.2312278,0.9739115,-0.01211344,-0.5329381,-0.4651895,-0.706703,269.9346,-0.01712122,-0.7532583,-0.6575019,0.05018311,0.05393595,0.0687722,0.1007822,0.04453036,-0.1340255,-0.4004127,-0.9053861,309.7507,0.1048787,-0.3156592,-0.9430589
Clutch Start,1773036531866,7.471616,1,2,135,-0.1856847,0.652462,0.7347207,1,0,0.03977162,1.003383,0.2576711,1.036703,0.09932143,-0.5812032,-0.7059941,-0.3923143,226.1972,0.1079779,-0.6318585,-0.7675257,0.01022838,-0.003382683,0.04232886,0.04367831,0.06034675,0.03962595,-0.03596313,-0.9967421,350.7477,0.748214,0.4913054,-0.4458918
On Target,1773036532268,7.888397,1,2,135,-0.1856847,0.652462,0.7347207,1,-1,0.0418318,1.001414,0.2828503,1.041434,0.09962042,-0.5774469,-0.7112705,-0.3882335,225.6892,0.1080996,-0.6265965,-0.7718105,0.008168202,-0.001413822,0.01714969,0.0190481,0.0652625,0.04135066,-0.03034928,-0.996549,350.4772,0.7862349,0.4981624,-0.3656259
Trial End,1773036533268,8.888273,1,3,135,-0.1856847,0.652462,0.7347207,1,-1,0.05019724,0.99869,0.2989774,1.04369,0.137191,-0.5763376,-0.7139478,-0.3732187,223.8285,0.1478761,-0.6212253,-0.7695531,-0.0001972355,0.001309991,0.001022607,0.00167353,0.05067593,0.0249336,0.003704938,-0.9983971,353.5109,0.8953663,0.4405386,0.06546059
Trial Load,1773036533269,8.888273,1,3,135,-0.4730334,-0.4290815,0.7694988,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.4370259,-0.3964196,0.7109242,0.3826834,135,-0.4730334,-0.4290815,0.7694988
Grab,1773036534656,10.26282,1,3,135,-0.4730334,-0.4290815,0.7694988,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.4370259,-0.3964196,0.7109242,0.3826834,135,-0.4730334,-0.4290815,0.7694988
Trial Start,1773036534671,0,1,3,135,-0.4730334,-0.4290815,0.7694988,1,-1,-0.05000002,1,0.3,1.045227,-0.007470634,0.004087164,-0.002803407,0.9999599,1.0264,-0.8340553,0.4563095,-0.3129851,0.1,0,0,0.1,-0.4323551,-0.3914316,0.7167162,0.3823197,135.0451,-0.4679016,-0.4236135,0.7756416
Release,1773036535129,0.4585191,1,3,135,-0.4730334,-0.4290815,0.7694988,1,0,-0.02843574,0.9818729,0.2551238,1.014875,-0.2266905,0.3220306,0.5948954,0.7007191,91.03055,-0.3177441,0.451379,0.8338441,0.07843573,0.01812714,0.04487622,0.09216633,0.2452858,-0.4998395,0.5011019,0.6624895,97.01997,0.3274533,-0.6672791,0.6689643
Grab,1773036535199,0.5278665,1,3,135,-0.4730334,-0.4290815,0.7694988,1,0,-0.02843574,0.9818729,0.2551238,1.014875,-0.2266905,0.3220306,0.5948954,0.7007191,91.03055,-0.3177441,0.451379,0.8338441,0.07843573,0.01812714,0.04487622,0.09216633,0.2452858,-0.4998395,0.5011019,0.6624895,97.01997,0.3274533,-0.6672791,0.6689643
Release,1773036535933,1.263832,1,3,135,-0.4730334,-0.4290815,0.7694988,1,0,-0.00187277,1.037961,0.2407377,1.065514,-0.2771038,0.3272326,0.6236063,0.6536418,98.36652,-0.36615,0.4323875,0.8239997,0.05187277,-0.03796053,0.05926228,0.08742885,0.300232,-0.4598752,0.4789045,0.6848548,93.55162,0.412022,-0.6311076,0.6572223
Grab,1773036537434,2.763728,1,3,135,-0.4730334,-0.4290815,0.7694988,1,0,-0.00187277,1.037961,0.2407377,1.065514,-0.2771038,0.3272326,0.6236063,0.6536418,98.36652,-0.36615,0.4323875,0.8239997,0.05187277,-0.03796053,0.05926228,0.08742885,0.300232,-0.4598752,0.4789045,0.6848548,93.55162,0.412022,-0.6311076,0.6572223
Release,1773036538281,3.611316,1,3,135,-0.4730334,-0.4290815,0.7694988,1,0,0.03787661,1.047978,0.2410107,1.076002,-0.0853034,0.2551356,0.6983168,0.663312,96.89408,-0.1139897,0.340934,0.9331508,0.01212339,-0.0479784,0.05898935,0.0769977,0.2009682,-0.6051244,0.3496471,0.6864279,93.30399,0.2763597,-0.8321316,0.4808142
