Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,0.5267588,-0.8466444,-0.07562006,1,7.513332,False,0.0001621395,-0.001343846,0.002553374,0.00288997,0.02957911,0.02315959,-0.00937701,0.9992501,4.438052,0.763924,0.5981304,-0.2421751,0.1102542,0.1532771,0.200283,0.3636118,227.0068,0.1388668,432.6893,0,0,0,0,0,0,0,0.370766,497.1639,0.1198681,34.75256
1,3,135,-0.1856847,0.652462,0.7347207,1,8.888273,False,-0.0001972355,0.001309991,0.001022607,0.00167353,0.05067593,0.0249336,0.003704938,-0.9983971,353.5109,0.8953663,0.4405386,0.06546059,0.1301178,0.2188471,0.2451106,0.4979583,264.9101,0.2781602,760.1091,0,0,0,0,0,0,0,0.5409113,726.9732,0.1462164,41.61338
1,4,135,-0.4730334,-0.4290815,0.7694988,1,17.08115,False,-0.001409288,-0.003598809,0.001125097,0.004025341,-0.003058792,0.04739818,0.02202594,0.9986285,6.002272,-0.05842351,0.9053142,0.4206996,0.4231884,0.3180126,0.4634194,1.100414,568.7804,0.4429924,925.6875,0,0,0,0,0,0,0,1.060073,1079.734,0.2818258,88.16161
1,5,135,0.6722972,-0.3577809,-0.6480813,1,27.0248,False,-0.002515238,-4.351139E-05,-0.006458759,0.00693137,0.05129719,-0.009905211,0.0008670861,0.998634,5.990257,0.9817413,-0.189569,0.01659456,0.3357126,0.3489174,0.7910591,0.8099741,506.1269,0.5625332,1082.992,0,0,0,0,0,0,0,0.9839091,1146.735,0.4747427,126.5348
1,6,135,-0.6093577,0.4228337,-0.670742,1,17.72146,False,-0.004046429,-0.002239227,0.005316317,0.007046343,-0.06731683,0.01987642,0.01691518,-0.9973902,351.7195,-0.9323819,0.2753013,0.2342862,0.3106005,0.3110551,0.5005473,0.9320978,549.0197,0.4361831,1005.568,0,0,0,0,0,0,0,0.8353288,1051.162,0.2788346,80.51756
1,7,135,-0.3176061,-0.8548592,-0.4102951,1,9.151525,False,-8.89264E-05,-0.001834512,0.003103644,0.003606376,0.0129598,-0.001070695,-0.03157203,0.9994169,3.913296,0.3795737,-0.0313591,-0.9246986,0.1416846,0.2363466,0.1760602,0.4278417,215.3783,0.1725925,319.8767,0,0,0,0,0,0,0,0.5130268,358.8401,0.1313706,40.1557
1,8,135,0.7603584,0.1598751,0.6295197,1,10.77546,False,0.001132388,-0.001496315,0.0003888309,0.001916364,0.05234801,0.0215934,0.004670644,0.9983845,6.514407,0.9213248,0.3800437,0.08220332,0.1941119,0.2140852,0.2888375,0.3489794,205.2601,0.2874657,646.1095,0,0,0,0,0,0,0,0.4363304,567.3253,0.1342939,38.00989
1,9,135,-0.9168805,0.2982398,-0.2652982,1,6.846386,False,-0.0009922199,-0.0005757809,-0.004374862,0.004522769,0.01998446,-0.02360941,-0.02712554,0.9991534,4.715673,0.4857624,-0.5738739,-0.6593405,0.09783635,0.104197,0.09540694,0.3492824,220.4749,0.1229509,294.7517,0,0,0,0,0,0,0,0.4285592,384.4824,0.06585221,19.61138
1,10,135,-0.04310089,-0.3451419,0.9375603,1,8.457352,False,-0.005839635,4.565716E-05,-4.1008E-05,0.005839957,-0.03645937,-0.021615,0.04419293,0.9981236,7.021238,-0.5954146,-0.3529926,0.7217107,0.1693121,0.1235221,0.1751535,0.3645037,174.0884,0.1742245,539.8168,0,0,0,0,0,0,0,0.3843418,488.5012,0.1348931,39.76152
1,11,135,-0.02769292,0.1942418,-0.9805627,1,12.77804,False,0.002498206,-0.0009764433,0.003857523,0.004698399,-0.01266635,0.02715956,0.03109474,0.9990671,4.950083,-0.2933119,0.6289278,0.7200539,0.3021703,0.3117098,0.4385325,0.7099054,398.0124,0.4746224,723.4014,0,0,0,0,0,0,0,0.7947125,782.4996,0.2328139,70.97726
