Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Thumb Tip Euro Position X,Right Thumb Tip Euro Position Y,Right Thumb Tip Euro Position Z,Right Thumb Tip Euro Position Magnitude,Right Index Tip Euro Position X,Right Index Tip Euro Position Y,Right Index Tip Euro Position Z,Right Index Tip Euro Position Magnitude,Right Middle Tip Euro Position X,Right Middle Tip Euro Position Y,Right Middle Tip Euro Position Z,Right Middle Tip Euro Position Magnitude,Right Triangle Local Position X,Right Triangle Local Position Y,Right Triangle Local Position Z,Right Triangle Local Position Magnitude,Right Triangle Local Rotation X,Right Triangle Local Rotation Y,Right Triangle Local Rotation Z,Right Triangle Local Rotation W,Right Triangle Local Rotation Angle,Right Triangle Local Rotation Axis X,Right Triangle Local Rotation Axis Y,Right Triangle Local Rotation Axis Z,Right Triangle Area,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Right Angle Scale Factor,Right Is Grabbed,Right Is Rotating,Right Is Clutching,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Thumb Tip Euro Position X,Left Thumb Tip Euro Position Y,Left Thumb Tip Euro Position Z,Left Thumb Tip Euro Position Magnitude,Left Index Tip Euro Position X,Left Index Tip Euro Position Y,Left Index Tip Euro Position Z,Left Index Tip Euro Position Magnitude,Left Middle Tip Euro Position X,Left Middle Tip Euro Position Y,Left Middle Tip Euro Position Z,Left Middle Tip Euro Position Magnitude,Left Triangle Local Position X,Left Triangle Local Position Y,Left Triangle Local Position Z,Left Triangle Local Position Magnitude,Left Triangle Local Rotation X,Left Triangle Local Rotation Y,Left Triangle Local Rotation Z,Left Triangle Local Rotation W,Left Triangle Local Rotation Angle,Left Triangle Local Rotation Axis X,Left Triangle Local Rotation Axis Y,Left Triangle Local Rotation Axis Z,Left Triangle Area,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Left Angle Scale Factor,Left Is Grabbed,Left Is Rotating,Left Is Clutching,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773036678697,0.0140722,0.048239,0.905298,0.2541692,0.9415378,0.07954166,0.3449222,0.7545853,-0.5525422,247.0832,0.09543262,0.4138314,0.9053376,-0.04796128,1.004014,0.2751132,1.042128,-0.05594722,1.011266,0.3220073,1.062769,-0.06822714,0.9958736,0.3142964,1.046519,-0.02954878,-0.08953321,0.09883243,0.1365913,-0.009108785,-0.07768583,0.1396277,0.1600436,0.003384575,-0.08936274,0.1279326,0.1560894,-0.03261161,-0.08892269,0.09856165,0.1366937,-0.008970417,-0.07571431,0.1424876,0.161604,0.004224343,-0.08764954,0.1319228,0.1584422,-0.02140582,-0.08605351,0.1132199,0.143813,-0.1354667,0.3822531,-0.2753892,0.8716033,58.70903,-0.276343,0.7797711,-0.5617757,5.109265,-0.01238684,-0.08246569,0.1153425,0.1423303,-0.08656664,-0.3379294,-0.7599338,-0.5484622,246.5231,-0.1035269,-0.404137,-0.9088209,1.299986,True,True,False,-0.1960148,0.6319017,0.1195854,0.672326,-0.2640634,-0.1981483,-0.1283768,-0.9351616,318.5085,-0.7454758,-0.559391,-0.3624196,-0.09404394,0.5438685,0.1607137,0.5748618,-0.09919849,0.5142158,0.1969469,0.5595054,-0.1225338,0.5017872,0.1858417,0.5489463,0.04682912,-0.0629584,0.1135154,0.1379945,0.02157787,-0.06697848,0.1519313,0.1674361,0.000361408,-0.07988553,0.1387948,0.1601431,0.04680169,-0.06290638,0.1135664,0.1380034,0.021546,-0.06683379,0.1520749,0.1675045,0.0003068923,-0.07982365,0.1389688,0.160263,0.02892523,-0.06849723,0.1276233,0.1477032,-0.5199878,-0.03526442,0.8199134,-0.2368781,207.4047,-0.5352205,-0.03629747,0.8439322,6.488795,0,0,0,0,0,0,0,0,0,1,0,0,0.3659003,False,True,False,-0.05000002,1,0.3,1.045227,-0.0006778996,-0.004173588,0.00437135,0.9999815,0.6966092,-0.111514,-0.6865523,0.719084,0.1,0,0,0.1,-0.5011298,0.7285748,-0.2730596,0.3787957,135.4818,-0.5414808,0.7872397,-0.2950464,0.0334409,1.12277,0.0462287,1.124219,0.001834742,0.1297987,0.009309075,-0.991495,345.0441,0.01409767,0.9973391,0.07152846,False
1773036678712,0.0278147,0.04822716,0.903335,0.2527095,0.9392561,0.08150959,0.3459845,0.7533311,-0.553302,247.1877,0.09785292,0.4153571,0.9043801,-0.04819123,1.001767,0.273482,1.039544,-0.05615678,1.009082,0.3194315,1.059923,-0.06828338,0.9938979,0.3123248,1.044051,-0.02929237,-0.08960361,0.09874198,0.1365168,-0.009176925,-0.07820622,0.1387955,0.1595764,0.003313103,-0.0895756,0.1275855,0.1559257,-0.03188999,-0.08906478,0.098599,0.1366429,-0.009013022,-0.0762369,0.1417081,0.161166,0.004035322,-0.08805443,0.1309891,0.1578861,-0.02084957,-0.08626034,0.1131549,0.143804,-0.1326561,0.3842731,-0.2737387,0.8716673,58.69407,-0.2706726,0.7840737,-0.5585385,4.955702,-0.01181906,-0.08267677,0.1152761,0.1423507,-0.08945287,-0.3357993,-0.7611262,-0.5476531,246.4123,-0.1069108,-0.4013352,-0.9096705,1.013685,True,True,False,-0.1960485,0.6318092,0.1196763,0.6722651,-0.2641574,-0.198065,-0.1287373,-0.9351032,318.4897,-0.7454165,-0.5589125,-0.3632793,-0.09404258,0.5438115,0.1607834,0.5748271,-0.09917472,0.5141481,0.1969706,0.5594473,-0.1224674,0.5017253,0.1859175,0.5489006,0.04682558,-0.06297687,0.1135032,0.1379916,0.02159945,-0.06701212,0.1518974,0.1674216,0.000397102,-0.07987648,0.1388164,0.1601575,0.04680661,-0.0629209,0.1135534,0.138001,0.021557,-0.06687056,0.1520384,0.1674874,0.0003254612,-0.07983453,0.1389373,0.1602412,0.02893796,-0.06851393,0.1275974,0.1476911,-0.5200492,-0.03548517,0.8199607,-0.2365459,207.3655,-0.5352392,-0.03652165,0.8439108,6.481058,0,0,0,0,0,0,0,0,0,1,0,0,0.3657762,False,True,False,-0.05050482,0.9976168,0.2987204,1.042604,-0.002915314,-0.00733204,0.00901324,0.9999283,1.372281,-0.2434431,-0.6122614,0.75265,0.1005048,0.002383232,0.001279593,0.1005412,-0.5027835,0.7268254,-0.2780307,0.3763412,135.7856,-0.5426807,0.784501,-0.3000931,0.03327002,1.122813,0.04616074,1.124254,0.002465953,0.1303074,0.008408518,-0.9914349,344.9913,0.0188815,0.9977481,0.06438299,False
1773036678725,0.0416209,0.04813658,0.9016527,0.2506678,0.9370854,0.08691043,0.3477039,0.7481744,-0.558376,247.8871,0.1047634,0.4191283,0.9018626,-0.04924768,0.9989244,0.2716272,1.036367,-0.05656844,1.007217,0.3171977,1.057497,-0.06905111,0.992874,0.3125798,1.043203,-0.02874695,-0.08962227,0.09872974,0.1364042,-0.009310515,-0.07824676,0.1387736,0.159585,0.003654767,-0.08922667,0.1298951,0.1576308,-0.03120509,-0.08918148,0.09862617,0.1365804,-0.009074592,-0.07666013,0.1410857,0.1608238,0.003956113,-0.08830161,0.1307533,0.1578267,-0.02041719,-0.08647348,0.1130137,0.1437589,-0.1308555,0.3816616,-0.2750094,0.8726862,58.45541,-0.2679918,0.7816422,-0.5632187,4.800159,-0.01137772,-0.08289438,0.115132,0.1423246,-0.0880191,-0.3340226,-0.7609875,-0.5491628,246.6192,-0.1053219,-0.3996845,-0.9105821,0.7709723,True,True,False,-0.1961931,0.6315771,0.1201502,0.6721737,-0.2647083,-0.1979527,-0.128681,-0.9349788,318.4495,-0.7462807,-0.5580794,-0.3627847,-0.09423301,0.5434804,0.1611576,0.5746499,-0.09931403,0.5138099,0.1973651,0.5593003,-0.1226254,0.5013941,0.1862852,0.5487579,0.04680657,-0.0629902,0.1135032,0.1379913,0.02162843,-0.06698017,0.1519509,0.167461,0.0004132556,-0.07986066,0.1388592,0.1601867,0.0468066,-0.06293523,0.113543,0.137999,0.02157176,-0.06689323,0.1520202,0.1674819,0.0003436003,-0.07983993,0.1389212,0.1602299,0.028947,-0.06852662,0.1275836,0.1476868,-0.5200095,-0.03561291,0.8200484,-0.2363102,207.3377,-0.5351667,-0.03665095,0.843951,6.476531,0,0,0,0,0,0,0,0,0,1,0,0,0.36132,False,True,False,-0.05091196,0.9952715,0.2972383,1.039956,-0.005514299,-0.009029616,0.0121469,0.9998703,1.845618,-0.342378,-0.5606409,0.7541901,0.100912,0.004728496,0.002761662,0.1010604,-0.5035892,0.7251694,-0.2819575,0.3755362,135.8851,-0.5433589,0.7824377,-0.3042244,0.03315335,1.122624,0.04601211,1.124055,0.002416813,0.1306191,0.007841492,-0.9913987,344.9595,0.01846637,0.9980335,0.05991522,False
1773036678739,0.0555058,0.04863003,0.9002784,0.2476276,0.9349789,0.09508154,0.3493183,0.7396694,-0.5672966,249.1239,0.1154584,0.4241804,0.8981873,-0.05014408,0.9960175,0.2688667,1.032887,-0.05667905,1.005194,0.3142316,1.054689,-0.0690757,0.9917431,0.3116286,1.041844,-0.02857755,-0.08966532,0.09868436,0.136364,-0.009493098,-0.07830076,0.1387312,0.1595853,0.003429529,-0.08886283,0.1317233,0.1589321,-0.03063095,-0.08928316,0.09863831,0.1365257,-0.009161547,-0.07700718,0.1405841,0.160555,0.003846028,-0.08842035,0.1309624,0.1580636,-0.02016231,-0.0866829,0.112799,0.1436804,-0.1300308,0.3757227,-0.2783025,0.874341,58.06584,-0.2679324,0.7741878,-0.5734505,4.635783,-0.01111757,-0.08310811,0.1149128,0.1422516,-0.08455676,-0.3325687,-0.7602301,-0.5516328,246.9582,-0.1013764,-0.3987217,-0.9114515,0.6472556,True,True,False,-0.1967974,0.6321706,0.1199783,0.6728772,-0.2647533,-0.1983669,-0.1288411,-0.9348563,318.4099,-0.7457286,-0.5587386,-0.3629057,-0.09472315,0.544161,0.1608801,0.5752965,-0.09980223,0.5144413,0.1971743,0.5599,-0.1231182,0.5020197,0.1860473,0.5493591,0.04685684,-0.06297557,0.1134875,0.1379888,0.02160305,-0.06694858,0.152002,0.1674915,0.0004058394,-0.07985812,0.1388583,0.1601847,0.04681702,-0.06294361,0.1135315,0.1379968,0.02157825,-0.06690474,0.1520164,0.1674839,0.0003565178,-0.07984371,0.1389081,0.1602205,0.0289613,-0.06853253,0.1275722,0.1476825,-0.5200045,-0.03564092,0.8200796,-0.2362086,207.3257,-0.5351478,-0.03667884,0.8439617,6.476998,0,0,0,0,0,0,0,0,0,1,0,0,0.3584902,False,True,False,-0.05175556,0.992708,0.2952411,1.036974,-0.01327138,-0.004151762,0.01562207,0.9997813,2.396566,-0.6346244,-0.1985332,0.7470321,0.1017556,0.007291973,0.004758865,0.1021274,-0.5044221,0.7194173,-0.2864855,0.381999,135.0849,-0.5458152,0.778453,-0.3099946,0.03301163,1.122374,0.04594583,1.123799,0.001350915,0.1309629,0.007319001,-0.9913594,344.9251,0.01029865,0.9983909,0.05579614,False
1773036678753,0.0694121,0.04914451,0.8987245,0.2457425,0.9330114,0.09347278,0.3496584,0.739338,-0.5677863,249.192,0.1135514,0.4247674,0.898153,-0.0500754,0.9939668,0.2666613,1.030333,-0.05652801,1.003493,0.3120036,1.052397,-0.06885401,0.9901762,0.3096665,1.039751,-0.02843784,-0.08987608,0.098435,0.1362933,-0.00975008,-0.07837766,0.1386712,0.1595864,0.003203985,-0.08880192,0.1319768,0.1591035,-0.03015211,-0.08940785,0.09859587,0.13647,-0.009283889,-0.07729738,0.1401761,0.1603447,0.00371164,-0.08850109,0.1311805,0.1582862,-0.019976,-0.08688134,0.1125828,0.1436047,-0.1294788,0.3696167,-0.2808449,0.8762105,57.62287,-0.268668,0.7669533,-0.5827522,4.501419,-0.01092738,-0.08331066,0.1146922,0.1421772,-0.08133893,-0.3312985,-0.7598228,-0.553439,247.2065,-0.09765872,-0.39777,-0.912273,0.5696545,True,True,False,-0.1966356,0.632166,0.1196734,0.6727713,-0.2642262,-0.1981302,-0.1288895,-0.9350489,318.4721,-0.7453098,-0.5588712,-0.3635619,-0.0945715,0.544196,0.1606807,0.5752489,-0.09966738,0.5145245,0.1970146,0.5598962,-0.1229983,0.5021044,0.1858446,0.5493411,0.04687333,-0.06301624,0.1134565,0.1379874,0.02162345,-0.0669728,0.1519775,0.1674816,0.0004223799,-0.07988766,0.1387864,0.160137,0.04682872,-0.06295871,0.1135159,0.1379949,0.02158764,-0.0669189,0.1520084,0.1674834,0.0003702043,-0.07985284,0.1388828,0.1602031,0.0289741,-0.06854481,0.1275574,0.147678,-0.5200568,-0.03565243,0.8200756,-0.2361054,207.3136,-0.535188,-0.03668975,0.8439359,6.478889,0,0,0,0,0,0,0,0,0,1,0,0,0.3607909,False,True,False,-0.0522567,0.9899824,0.2924672,1.033602,-0.02405273,0.005709447,0.02116611,0.9994703,3.729963,-0.7390823,0.1754375,0.6503834,0.1022567,0.01001763,0.007532775,0.103022,-0.5068354,0.7097502,-0.2914629,0.3929655,133.7217,-0.5511757,0.7718424,-0.3169614,0.03292404,1.122028,0.04592308,1.12345,0.0006890606,0.1313815,0.007104964,-0.9913062,344.8788,0.005237008,0.9985272,0.05399924,False
1773036678768,0.0835098,0.04966149,0.8972474,0.2434655,0.9310181,0.09389147,0.351381,0.7383412,-0.5679508,249.2149,0.1140758,0.426919,0.8970659,-0.04987864,0.9920176,0.2641516,1.027795,-0.05614594,1.002466,0.3089829,1.050505,-0.06847852,0.988974,0.3069599,1.037778,-0.02795709,-0.08988977,0.09838592,0.1361674,-0.01017595,-0.07844366,0.13869,0.1596617,0.003046599,-0.08876456,0.1321112,0.159191,-0.02966862,-0.08951025,0.09855159,0.1363991,-0.009471185,-0.07754263,0.139856,0.1601944,0.003570923,-0.08855737,0.131382,0.1584815,-0.019765,-0.08703801,0.1124368,0.1435559,-0.1284031,0.3636324,-0.282153,0.8784497,57.08816,-0.2687187,0.7610002,-0.5904824,4.393689,-0.01071203,-0.08347058,0.1145431,0.1421345,-0.07833474,-0.3296818,-0.7598984,-0.5547327,247.3846,-0.09414908,-0.3962384,-0.9133077,0.5517378,True,True,False,-0.1967035,0.6321307,0.1195386,0.672734,-0.2638761,-0.1982214,-0.1289542,-0.9351196,318.4949,-0.7447135,-0.5594222,-0.3639357,-0.09459966,0.5442312,0.160594,0.5752627,-0.09968435,0.5145683,0.1969143,0.5599043,-0.1230636,0.5021734,0.1856654,0.5493582,0.04689262,-0.0630135,0.1134486,0.1379863,0.02164951,-0.06700067,0.1519508,0.1674719,0.0004428912,-0.07992337,0.1386529,0.1600392,0.04684214,-0.06297023,0.1135018,0.1379931,0.02160063,-0.0669361,0.1519963,0.167481,0.0003854736,-0.07986766,0.1388344,0.1601686,0.02898316,-0.06855888,0.1275418,0.1476728,-0.5202807,-0.03577676,0.8199709,-0.2359573,207.2961,-0.5353985,-0.03681632,0.8437968,6.482942,0,0,0,0,0,0,0,0,0,1,0,0,0.3654378,False,True,False,-0.05224334,0.9878818,0.2903053,1.030979,-0.02628521,0.005477923,0.01971192,0.9994451,3.817502,-0.7891565,0.1644628,0.5918078,0.1022433,0.01211822,0.009694666,0.1034144,-0.5048456,0.7099465,-0.2926435,0.3942927,133.5563,-0.5493514,0.7725334,-0.3184421,0.03282228,1.121777,0.0458831,1.123195,7.518641E-05,0.1322174,0.006920204,-0.9911966,344.7836,0.0005678814,0.9986352,0.05226817,False
1773036678782,0.0972926,0.05013133,0.8958639,0.2413836,0.929167,0.09434277,0.3533411,0.7372527,-0.5680741,249.2321,0.1146359,0.4293448,0.8958358,-0.04973254,0.9901745,0.2617597,1.025396,-0.055834,1.001543,0.3060624,1.048751,-0.06816339,0.9879138,0.3043779,1.035985,-0.02749318,-0.08990445,0.09833214,0.1360437,-0.0106044,-0.07851702,0.13869,0.1597257,0.002865657,-0.08872274,0.1322622,0.1592897,-0.02919861,-0.08959248,0.09850615,0.1363189,-0.009705159,-0.07774731,0.1396094,0.1600925,0.003424324,-0.08859203,0.1315686,0.1586523,-0.01954736,-0.08715882,0.1123447,0.1435273,-0.1269561,0.3578458,-0.2824491,0.8809376,56.48866,-0.2682743,0.7561734,-0.5968506,4.308343,-0.0104899,-0.08359393,0.1144491,0.1421147,-0.07549591,-0.327818,-0.7603422,-0.555622,247.5071,-0.09080193,-0.3942798,-0.9144937,0.5477971,True,True,False,-0.1966716,0.6318405,0.1196504,0.6724718,-0.2638718,-0.1982958,-0.1288303,-0.9351221,318.4957,-0.7447153,-0.5596429,-0.3635929,-0.09455737,0.5439402,0.160683,0.5750052,-0.09964786,0.5142714,0.196999,0.5596547,-0.12309,0.501933,0.1856235,0.5491302,0.04691698,-0.06300819,0.1134431,0.1379876,0.0216663,-0.06700633,0.1519405,0.167467,0.0004662274,-0.07994895,0.1384933,0.1599138,0.04685758,-0.06297807,0.1134897,0.1379919,0.02161418,-0.0669506,0.1519847,0.1674781,0.0004021373,-0.07988444,0.1387639,0.1601159,0.02898901,-0.0685721,0.1275269,0.1476672,-0.5206757,-0.03595008,0.8197561,-0.2358058,207.2783,-0.5357847,-0.03699328,0.8435438,6.490015,0,0,0,0,0,0,0,0,0,1,0,0,0.3706504,False,True,False,-0.05207597,0.9861834,0.2875346,1.028565,-0.0311906,0.005830713,0.01857395,0.9993239,4.214015,-0.8483623,0.1585913,0.5051981,0.102076,0.0138166,0.01246542,0.1037583,-0.5021728,0.7089727,-0.2955771,0.3972589,133.1861,-0.547204,0.7725483,-0.3220823,0.03272932,1.121569,0.04589087,1.122985,-0.0006321907,0.1332359,0.006113128,-0.9910653,344.6704,-0.004739863,0.9989392,0.0458333,False
1773036678795,0.1111297,0.05105363,0.8942664,0.2402129,0.9273732,0.09754617,0.3610699,0.7333136,-0.5677716,249.1899,0.1184983,0.4386248,0.8908235,-0.04923655,0.9884244,0.2586405,1.022889,-0.05541135,1.001226,0.301242,1.047029,-0.06774902,0.9871114,0.3011849,1.034259,-0.02729474,-0.08989864,0.09829973,0.1359765,-0.01173726,-0.07906886,0.1380057,0.1594842,0.002836847,-0.08870183,0.1323375,0.1593402,-0.02878675,-0.0896565,0.0984633,0.1362424,-0.01012686,-0.07802574,0.1392694,0.1599579,0.003301833,-0.08861509,0.1317316,0.1587979,-0.01933757,-0.08728509,0.1122788,0.1435241,-0.1244333,0.3531727,-0.2796007,0.8840865,55.72137,-0.2662682,0.7557353,-0.5983024,4.236767,-0.01027576,-0.08372279,0.1143819,0.1421208,-0.07294027,-0.3248335,-0.762198,-0.5551733,247.4453,-0.08769654,-0.3905493,-0.9163954,0.6431783,True,True,False,-0.1966226,0.6314343,0.1198115,0.6721045,-0.2639048,-0.198375,-0.1286719,-0.9351178,318.4944,-0.7447841,-0.559848,-0.3631339,-0.09450075,0.5435256,0.1608145,0.5746406,-0.09959959,0.5138487,0.1971235,0.5593016,-0.1231358,0.5015985,0.1855436,0.5488077,0.04694341,-0.06299991,0.1134393,0.1379897,0.02168389,-0.06700981,0.1519303,0.1674614,0.0004974542,-0.07998619,0.1382485,0.1597206,0.04687534,-0.06298259,0.1134792,0.1379915,0.02162861,-0.06696287,0.1519735,0.1674746,0.0004218686,-0.07990551,0.138657,0.1600338,0.02898985,-0.06858589,0.127512,0.1476609,-0.5213338,-0.03619975,0.8193741,-0.2356412,207.2588,-0.5364399,-0.03724867,0.8431162,6.50176,0,0,0,0,0,0,0,0,0,1,0,0,0.3796872,False,True,False,-0.05195414,0.9846147,0.2849545,1.026335,-0.03650704,0.005974072,0.01804541,0.9991526,4.717831,-0.8869708,0.1451453,0.4384292,0.1019541,0.01538533,0.01504546,0.1042004,-0.4997057,0.7076277,-0.2991348,0.4000947,132.8318,-0.5452482,0.7721198,-0.3263975,0.03263446,1.12147,0.04591137,1.122884,-0.001169781,0.1339375,0.006213429,-0.9909697,344.5884,-0.008724085,0.99889,0.04633902,False
1773036678809,0.124842,0.05163393,0.892814,0.2401624,0.9259919,0.100392,0.3698106,0.7296783,-0.5663314,248.9896,0.1218086,0.4487025,0.885341,-0.04907707,0.9866909,0.256558,1.020681,-0.05520645,1.001333,0.2973792,1.046016,-0.06761353,0.9868285,0.2986156,1.033234,-0.02671511,-0.08984978,0.09831315,0.1358387,-0.01286235,-0.07944224,0.1375692,0.1593794,0.002624569,-0.08866685,0.1324509,0.1594112,-0.02834243,-0.08969661,0.09843237,0.1361533,-0.01069187,-0.07832202,0.1389116,0.1598283,0.003161624,-0.08862587,0.1318827,0.1589263,-0.01908563,-0.0873889,0.1122821,0.1435561,-0.1209629,0.3485443,-0.2747359,0.8879218,54.77351,-0.2629659,0.757714,-0.5972592,4.177016,-0.01001862,-0.08382875,0.1143853,0.1421676,-0.07010436,-0.3203738,-0.7654507,-0.5536529,247.2359,-0.08418439,-0.3847189,-0.9191868,0.7542177,True,True,False,-0.1969928,0.6316684,0.1199458,0.6724568,-0.2638775,-0.2005869,-0.1281073,-0.9347311,318.3695,-0.7425723,-0.5644676,-0.3605043,-0.0946216,0.543875,0.1605674,0.5749219,-0.09958415,0.5141665,0.1969128,0.5595166,-0.1231941,0.5019211,0.1854038,0.5490684,0.04699407,-0.06293526,0.1134526,0.1379883,0.02168613,-0.06698689,0.1519466,0.1674674,0.0004984834,-0.07997015,0.1382127,0.1596817,0.04689974,-0.06297286,0.1134738,0.1379908,0.02164043,-0.06696781,0.151968,0.1674732,0.0004376151,-0.07991879,0.1385655,0.1599612,0.02899546,-0.06858803,0.127501,0.1476535,-0.5219616,-0.03646711,0.8190055,-0.2354915,207.2412,-0.5370658,-0.03752238,0.8427054,6.513351,0,0,0,0,0,0,0,0,0,1,0,0,0.375533,False,True,False,-0.0516394,0.9832548,0.2818485,1.024156,-0.04974354,0.004836266,0.02028849,0.9985442,6.18399,-0.9222174,0.08966167,0.3761373,0.1016394,0.01674521,0.01815149,0.1045966,-0.4956667,0.7029411,-0.3100519,0.4050384,132.2129,-0.5421272,0.7688301,-0.339114,0.03254283,1.121475,0.04597129,1.122888,-0.001265882,0.1345481,0.006115426,-0.9908874,344.5183,-0.009398285,0.9989254,0.04540275,False
1773036678822,0.1387543,0.05162162,0.891192,0.2398821,0.9243546,0.1023018,0.3730954,0.7312831,-0.5617466,248.3534,0.1236561,0.4509744,0.8839295,-0.04874061,0.984897,0.25617,1.018833,-0.05437006,1.001409,0.2956052,1.045542,-0.06697231,0.9868867,0.2971896,1.032837,-0.02512816,-0.08972249,0.09833095,0.1354641,-0.01328941,-0.07949674,0.1375743,0.159446,0.002492319,-0.08862714,0.1325912,0.1595037,-0.02764539,-0.08970204,0.09841124,0.1359981,-0.01123574,-0.07857049,0.1386271,0.1597405,0.00302146,-0.08862614,0.1320328,0.1590483,-0.01865486,-0.08743899,0.1123687,0.1435977,-0.1166738,0.3421661,-0.269785,0.8924829,53.62616,-0.2586536,0.7585464,-0.5980852,4.119747,-0.009578895,-0.08387986,0.1144736,0.1422385,-0.06640542,-0.3151436,-0.7687632,-0.55252,247.0801,-0.07967059,-0.3780968,-0.9223316,0.7147831,True,True,False,-0.196792,0.6316594,0.1198175,0.6723667,-0.2634931,-0.2004033,-0.1284398,-0.9348332,318.4024,-0.7420521,-0.5643781,-0.3617137,-0.09439503,0.5439512,0.1605483,0.5749514,-0.0994164,0.5142394,0.1968202,0.5595212,-0.1229523,0.5020155,0.1853845,0.549094,0.04699098,-0.0629447,0.1134453,0.1379856,0.021655,-0.06705348,0.151858,0.1674096,0.0005084033,-0.0799654,0.1381929,0.1596621,0.0469187,-0.062967,0.1134678,0.1379897,0.02164345,-0.06698564,0.1519451,0.1674599,0.0004523324,-0.07992849,0.1384878,0.1598988,0.02900445,-0.06859174,0.1274806,0.1476394,-0.5224678,-0.03673853,0.8187394,-0.2352521,207.213,-0.5375546,-0.03779939,0.8423814,6.516434,0,0,0,0,0,0,0,0,0,1,0,0,0.3717271,False,True,False,-0.05163744,0.9822161,0.2795821,1.022537,-0.06518191,0.002382542,0.02327265,0.9975991,7.942173,-0.9412152,0.03440348,0.3360529,0.1016374,0.01778388,0.0204179,0.1051823,-0.4908037,0.6975507,-0.3234251,0.4097938,131.6162,-0.5380569,0.7647089,-0.3545635,0.03249721,1.12151,0.04601359,1.122924,-0.001415837,0.1351827,0.005838118,-0.9908025,344.4463,-0.01046321,0.9990162,0.04314439,False
