Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773037447536,0,1,1,135,0.4714407,-0.13622,-0.8713138,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.4355544,-0.1258509,-0.804989,0.3826834,135,0.4714407,-0.1362201,-0.8713138
Trial Start,1773037453441,0,1,1,135,0.4714407,-0.13622,-0.8713138,1,-1,-0.04905485,1.002435,0.2972499,1.046728,0.001608478,0.009326828,0.01045119,-0.9999006,358.3846,0.1141017,0.6616238,0.7413837,0.09905486,-0.002434611,0.002750099,0.09912293,-0.4423194,0.1281161,0.7966447,-0.3915317,226.0997,-0.4806959,0.1392317,0.8657633
On Target,1773037460412,6.977998,1,1,135,0.4714407,-0.13622,-0.8713138,1,-1,0.05230504,1.006817,0.2820381,1.046882,0.4756391,-0.1811012,-0.7890432,0.344065,139.7505,0.5065671,-0.1928771,-0.84035,-0.002305042,-0.006816983,0.01796192,0.01934981,0.01432249,0.06521647,0.04400502,0.9967975,9.173351,0.1791047,0.8155408,0.5502887
Off Target,1773037460635,7.200511,1,1,135,0.4714407,-0.13622,-0.8713138,1,-1,0.0520834,1.00459,0.2881835,1.046405,0.476022,-0.1858686,-0.7912034,0.3359362,140.741,0.5053931,-0.1973369,-0.8400216,-0.002083402,-0.004589796,0.01181656,0.01284671,0.01420127,0.06743126,0.05340363,0.9961925,10.00287,0.1628945,0.7734649,0.6125621
On Target,1773037460648,7.214221,1,1,135,0.4714407,-0.13622,-0.8713138,1,-1,0.05203839,1.004537,0.2884035,1.046413,0.476072,-0.185721,-0.7911867,0.3359862,140.735,0.5054557,-0.1971839,-0.8400196,-0.002038386,-0.004537344,0.0115965,0.01261829,0.01408721,0.06741599,0.05328642,0.9962014,9.99119,0.1617747,0.7741918,0.6119306
Off Target,1773037460677,7.242035,1,1,135,0.4714407,-0.13622,-0.8713138,1,-1,0.05186943,1.004482,0.2886434,1.046418,0.4763099,-0.1857614,-0.7910824,0.3358722,140.7488,0.5056865,-0.1972183,-0.8398727,-0.001869429,-0.00448215,0.01135662,0.01235141,0.01399219,0.06768274,0.0533259,0.9961825,10.01594,0.1602871,0.7753379,0.6108734
On Target,1773037460690,7.255832,1,1,135,0.4714407,-0.13622,-0.8713138,1,-1,0.05179243,1.004391,0.2890567,1.046441,0.4762905,-0.1855153,-0.7911459,0.3358865,140.7471,0.5056686,-0.196958,-0.8399445,-0.001792427,-0.004391313,0.01094335,0.011927,0.01379969,0.06754347,0.0532339,0.9961996,9.993543,0.1584355,0.7754729,0.6111833
Off Target,1773037460705,7.269882,1,1,135,0.4714407,-0.13622,-0.8713138,1,-1,0.05168555,1.004285,0.2893363,1.046411,0.4763312,-0.1856739,-0.7910329,0.3360072,140.7324,0.5057349,-0.1971355,-0.8398629,-0.001685549,-0.004285336,0.01066369,0.01161548,0.01397858,0.06767103,0.05315745,0.9961925,10.00287,0.1603402,0.7762151,0.6097382
On Target,1773037460719,7.283936,1,1,135,0.4714407,-0.13622,-0.8713138,1,-1,0.05139826,1.004125,0.2900559,1.046442,0.4762298,-0.1856054,-0.7910622,0.3361197,140.7187,0.5056488,-0.1970711,-0.8399298,-0.001398262,-0.004125237,0.009944081,0.01085622,0.01400754,0.06753626,0.05306103,0.9962064,9.984599,0.1609654,0.7760826,0.6097426
Trial End,1773037461706,8.270345,1,2,135,0.4714407,-0.13622,-0.8713138,1,-1,0.05033803,1.003109,0.2950259,1.046805,0.452676,-0.1346629,-0.7922449,0.3863916,134.5397,0.4907936,-0.1460022,-0.8589559,-0.0003380291,-0.003108859,0.004974097,0.00587545,0.003760414,0.02223898,-0.006178695,0.9997265,2.679966,0.1608024,0.9509807,-0.2642127
