Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,0.4714407,-0.13622,-0.8713138,1,8.270345,False,-0.0003380291,-0.003108859,0.004974097,0.00587545,0.003760414,0.02223898,-0.006178695,0.9997265,2.679966,0.1608024,0.9509807,-0.2642127,0.4828963,0.4711261,0.508789,1.252972,781.4093,0,0,0.04858975,0.04758621,0.03575671,0.4003297,90.36167,0,0,0.6899707,494.4435,0.1618292,42.33416
1,3,135,0.6693614,0.5622724,0.4855976,1,9.458034,False,0.002154063,0.002181768,-0.002205074,0.003776566,0.0003746063,0.03621532,0.001680568,0.9993426,4.155461,0.0103324,0.9988918,0.04635346,0.5526708,0.5420395,0.7140276,1.586338,908.1932,0,0,0.03952217,0.04362248,0.03678283,0.5548912,90.17078,0,0,0.884622,689.1082,0.1495032,48.85262
1,4,135,-0.8484447,0.4734971,-0.2365206,1,10.04144,False,0.0008322857,-0.002267361,0.005315304,0.005838329,-0.00151059,0.06817672,0.02314084,0.9974038,8.259251,-0.02097656,0.9467252,0.3213415,0.8864415,0.6678351,0.7841267,1.19607,1014.381,0,0,0.0485438,0.05837873,0.04393701,0.5243756,99.4561,0,0,0.9784422,738.3944,0.1280363,39.90317
1,5,135,-0.689143,0.3065175,-0.6566041,1,9.082656,False,0.001640026,-0.003306031,-0.002716243,0.004582303,-0.04771361,-0.03253952,0.002668502,0.9983274,6.628806,-0.8252813,-0.5628217,0.0461559,0.6022254,0.4760423,0.5386403,1.247201,831.026,0,0,0.04375751,0.04639566,0.03287447,0.4274694,91.44445,0,0,0.9117327,554.4808,0.1142188,33.06271
1,6,135,-0.140536,0.9679548,-0.2081186,1,7.583567,False,0.0002367608,-0.00315845,0.005163044,0.006057135,-0.02402684,-0.03237929,-0.02005711,-0.9989856,354.8378,-0.5335284,-0.7189988,-0.4453785,0.4841338,0.6569775,0.7608033,1.106328,659.2606,0,0,0.04943189,0.04702495,0.03234128,0.3858447,100.9535,0,0,0.6448596,355.2671,0.1302432,39.43991
1,7,135,0.7377758,-0.03586619,-0.6740923,0.9999999,8.983635,False,0.001003895,-9.536743E-07,0.004267335,0.004383828,-0.03890579,0.03507783,0.01191761,0.998556,6.158994,-0.7242129,0.6529572,0.2218406,0.7437907,0.7238751,0.7776246,1.125528,907.3804,0,0,0.05198867,0.04716152,0.0415084,0.5052959,102.9637,0,0,1.003379,707.1644,0.114571,35.56622
1,8,135,-0.7732987,-0.5323774,0.3443594,1,8.208858,False,-0.0002208315,-5.853176E-05,0.0002738833,0.0003566575,0.03073493,0.001113662,0.006062377,0.9995086,3.592481,0.98053,0.03552893,0.1934067,0.7352648,0.5565352,0.6345722,1.718867,947.4379,0,0,0.04901348,0.04678932,0.04097976,0.4937874,94.74146,0,0,0.8361648,501.8866,0.1636644,52.34657
1,9,135,-0.05586231,0.1838907,-0.9813581,1,7.306592,False,0.001696434,0.0002208352,-0.002055198,0.002674041,0.006246878,-0.01206164,-0.02108248,-0.9996855,357.1261,0.2491132,-0.4809944,-0.8407278,0.5705057,0.4483524,0.4698184,1.627757,943.6245,0,0,0.04006053,0.04640854,0.02950668,0.2861519,62.49635,0,0,0.8991753,549.7754,0.1505048,50.96309
1,10,135,-0.2445851,0.9332263,0.2631857,1,12.40254,False,-0.0003024787,-0.001746416,0.004093885,0.004461094,-0.04225702,0.05949021,-0.001295498,0.9973333,8.370516,-0.5790083,0.8151386,-0.01775099,0.9750031,0.953449,1.129346,1.985187,1496.408,0,0,0.07962273,0.06567913,0.05594368,0.6221058,121.7054,0,0,0.9228714,666.137,0.1821689,55.76238
1,11,135,0.6273546,-0.7747275,-0.0788883,0.9999999,6.179958,False,-9.367242E-05,-0.0003533363,-0.0003324151,0.0004940859,-0.03460726,-0.03223391,-0.02306307,0.9986148,6.032332,-0.6577097,-0.6126043,-0.4383129,0.3358018,0.2451323,0.2967489,0.6364329,534.1934,0,0,0.05931476,0.04258436,0.03242955,0.4012853,65.68996,0,0,0.5594946,405.9608,0.07603505,18.4572
