Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773037533106,0.0138306,0.03655778,0.904062,0.2437335,0.9370543,0.1719213,0.3254163,0.7144184,-0.5951081,253.0407,0.2139267,0.4049251,0.8889719,-0.05632424,0.9985023,0.2785217,1.038149,-0.04628082,1.026866,0.3197019,1.076478,-0.05398838,1.011182,0.3436663,1.069351,-0.02613419,-0.08792652,0.101835,0.1370563,-0.0233466,-0.06979436,0.149464,0.1666008,0.005216968,-0.06971844,0.157533,0.17235,0,0,0,0,0,0,0,0,0,1,0,0,-0.1327076,0.6244165,0.115361,0.6487029,-0.3021796,-0.3371997,-0.08761241,-0.8873038,305.0728,-0.6552237,-0.7311585,-0.1899722,-0.03322695,0.5276977,0.1181626,0.5417853,-0.03070743,0.5085835,0.1486918,0.5307631,-0.05202656,0.5021006,0.1455485,0.5253534,0.03908407,-0.07115006,0.1126846,0.1388802,0.01745656,-0.06818096,0.1414791,0.1580181,0.0006857036,-0.07628781,0.1288224,0.1497181,0,0,0,0,0,0,0,0,0,1,0,0,-0.04915805,1.000702,0.3004763,1.045996,0.003396251,-0.00350837,-0.005998189,0.9999701,0.886463,0.4390286,-0.4535221,-0.7753776,0.09915805,-0.0007021427,-0.0004762709,0.09916168,-0.2229416,0.8640351,0.2475755,0.3774212,135.6519,-0.2407468,0.9330413,0.2673481,0.03141728,1.105201,-0.007108343,1.10567,-0.003944819,-0.04293379,0.006761252,0.9990473,5.002475,-0.09039225,-0.9837921,0.1549285,False
1773037533121,0.027945,0.03662488,0.9040458,0.2438671,0.937076,0.1719154,0.3244688,0.7156941,-0.5940936,252.8961,0.2137198,0.4033695,0.8897285,-0.05588246,0.9982773,0.27961,1.038201,-0.04750191,1.025173,0.3179764,1.074405,-0.05510564,1.01012,0.3414482,1.067692,-0.02532439,-0.08762564,0.1020945,0.1369046,-0.02293055,-0.07181732,0.146965,0.1651734,0.004823759,-0.07176724,0.1551073,0.1709739,0,0,0,0,0,0,0,0,0,1,0,0,-0.1333265,0.6243514,0.1157936,0.6488442,-0.3032605,-0.3374164,-0.0877921,-0.8868347,304.9563,-0.6562848,-0.7302015,-0.1899905,-0.03397612,0.5274924,0.1180114,0.5415989,-0.03140222,0.5083541,0.1489981,0.5306697,-0.0526033,0.5019363,0.145689,0.5252927,0.03911247,-0.07141777,0.1124978,0.1388742,0.01725297,-0.06810942,0.1415889,0.1580632,0.000685163,-0.07626743,0.1288872,0.1497635,0,0,0,0,0,0,0,0,0,1,0,0,-0.04877151,1.000863,0.3007898,1.046222,0.004311633,-0.003498158,-0.007646648,0.9999554,1.082805,0.4562951,-0.370206,-0.8092358,0.09877151,-0.0008628368,-0.0007897913,0.09877844,-0.2218648,0.8641685,0.2489943,0.3768167,135.7267,-0.2395203,0.9329372,0.2688087,0.03083373,1.105001,-0.00707674,1.105454,-0.002876401,-0.04315015,0.007683828,0.9990349,5.034768,-0.06548849,-0.9824213,0.1749416,False
1773037533134,0.0416655,0.03666598,0.9040092,0.2437373,0.9370084,0.1715272,0.3242405,0.7175966,-0.5920319,252.6027,0.2128355,0.4023261,0.8904127,-0.05541902,0.9985877,0.2795271,1.038453,-0.04792579,1.024431,0.3166531,1.073324,-0.05557191,1.009819,0.3398841,1.066932,-0.02519473,-0.08755773,0.1021403,0.1368714,-0.02268316,-0.07290327,0.1455506,0.1643605,0.00460133,-0.07286165,0.1538222,0.1702682,0,0,0,0,0,0,0,0,0,1,0,0,-0.1331794,0.6244228,0.1155639,0.6488417,-0.3031599,-0.3362893,-0.08781522,-0.8872949,305.0705,-0.6573248,-0.7291574,-0.1904049,-0.03394575,0.5274575,0.1180151,0.5415637,-0.03139467,0.5083454,0.1490696,0.530681,-0.05259236,0.5019702,0.1456462,0.5253122,0.0390737,-0.07146721,0.1124732,0.1388688,0.01723765,-0.06810538,0.141629,0.1580957,0.0007163745,-0.07627925,0.1288738,0.1497581,0,0,0,0,0,0,0,0,0,1,0,0,-0.04837125,1.001181,0.3005935,1.046451,0.00496832,-0.004642026,-0.01016285,0.9999253,1.401068,0.4063551,-0.3796677,-0.8312114,0.09837125,-0.001180649,-0.0005934834,0.09838013,-0.220218,0.8649892,0.2502576,0.3750587,135.9441,-0.2375596,0.9331048,0.2699647,0.03032853,1.10486,-0.007068486,1.105299,-0.001759739,-0.0435138,0.008194111,0.9990177,5.07951,-0.03971183,-0.9819714,0.1849156,False
1773037533148,0.0554862,0.03678524,0.9039857,0.2436555,0.9369692,0.1700509,0.3240302,0.7183646,-0.5916413,252.5471,0.2109286,0.4019222,0.8910486,-0.05523963,0.9986317,0.2794377,1.038461,-0.04824804,1.023892,0.3162311,1.0727,-0.0569113,1.00869,0.3377296,1.065249,-0.0253007,-0.08748424,0.1021827,0.1368756,-0.02258303,-0.07330628,0.1450243,0.1640605,0.004276971,-0.07457622,0.1518387,0.1692185,0,0,0,0,0,0,0,0,0,1,0,0,-0.1332978,0.6247618,0.1155272,0.6491858,-0.3030787,-0.3365114,-0.08787907,-0.887232,305.0549,-0.6569766,-0.7294477,-0.1904934,-0.03403786,0.5278177,0.1179802,0.5419128,-0.03143643,0.5087027,0.1490425,0.5310182,-0.05267562,0.5023188,0.145593,0.5256389,0.03904981,-0.07145759,0.1124926,0.1388728,0.01723221,-0.06809569,0.1416767,0.1581337,0.0006972532,-0.07629383,0.1288744,0.149766,0,0,0,0,0,0,0,0,0,1,0,0,-0.04833097,1.00107,0.300543,1.046328,0.006185912,-0.005824608,-0.01045465,0.9999093,1.543541,0.4592417,-0.4324185,-0.7761522,0.09833097,-0.001069665,-0.0005430281,0.09833829,-0.2207163,0.8651978,0.2511479,0.3736869,136.1136,-0.2379549,0.9327725,0.2707634,0.0298221,1.104727,-0.007047879,1.105152,-0.00138487,-0.04390969,0.009336298,0.998991,5.148252,-0.03083523,-0.9776846,0.2078802,False
1773037533163,0.0694491,0.03690666,0.9039654,0.2435738,0.9369332,0.1684459,0.3238462,0.7190837,-0.5913277,252.5026,0.2088781,0.4015793,0.8916861,-0.0549591,0.9988607,0.2791782,1.038597,-0.04888435,1.022985,0.3154181,1.071624,-0.05820083,1.007585,0.3355419,1.063581,-0.0256985,-0.08735076,0.1022236,0.136895,-0.02240293,-0.07404596,0.1440239,0.1634857,0.003888046,-0.0762234,0.1498599,0.1681759,0,0,0,0,0,0,0,0,0,1,0,0,-0.1335278,0.6254509,0.1154637,0.6498849,-0.3029616,-0.3368189,-0.08795633,-0.8871477,305.034,-0.6564919,-0.7298579,-0.1905939,-0.03422813,0.5285403,0.1179207,0.5426156,-0.03157094,0.5094208,0.148979,0.5316963,-0.05285973,0.5030242,0.1455071,0.5263076,0.03902256,-0.07143947,0.1125199,0.138878,0.01722787,-0.06808782,0.1417261,0.158174,0.0006724913,-0.07631184,0.1288719,0.1497729,0,0,0,0,0,0,0,0,0,1,0,0,-0.04832234,1.000934,0.3004901,1.046182,0.007459553,-0.007080177,-0.01061647,0.9998907,1.69392,0.5046341,-0.4789695,-0.7181974,0.09832235,-0.0009335279,-0.0004900992,0.098328,-0.2213653,0.8653892,0.2520197,0.3722701,136.2886,-0.2385082,0.9324064,0.2715366,0.02928632,1.104671,-0.006974057,1.105081,-0.001316668,-0.04477895,0.01085189,0.9989371,5.283798,-0.02856517,-0.9714816,0.2354322,False
1773037533176,0.08319271,0.03696123,0.9037892,0.243423,0.9367261,0.1627395,0.3245161,0.7250515,-0.5852396,251.6398,0.2006998,0.400212,0.8941755,-0.05428568,0.9993693,0.2785483,1.038882,-0.0485229,1.02323,0.3148871,1.071685,-0.05818818,1.008519,0.3351141,1.06433,-0.02549878,-0.08727764,0.102254,0.1368336,-0.02235718,-0.07408024,0.14399,0.1634651,0.003582085,-0.07610425,0.1505555,0.1687355,0,0,0,0,0,0,0,0,0,1,0,0,-0.1337585,0.6253135,0.1147817,0.6496793,-0.3022975,-0.3360503,-0.08810531,-0.8876508,305.159,-0.6564305,-0.7297237,-0.1913182,-0.03441019,0.5284587,0.1175341,0.5424638,-0.03182107,0.509321,0.1486166,0.5315142,-0.05309366,0.5029215,0.1451368,0.5261308,0.03907322,-0.07141706,0.1125182,0.1388793,0.01725151,-0.06811484,0.1417414,0.158202,0.0006908185,-0.0763198,0.1289052,0.1498057,0,0,0,0,0,0,0,0,0,1,0,0,-0.04795834,1.001338,0.2998064,1.046357,0.01129587,-0.01455951,-0.01653193,0.9996935,2.837167,0.4562897,-0.5881227,-0.6677975,0.09795834,-0.001338363,0.0001936257,0.09796768,-0.2195072,0.8684853,0.2558531,0.3634408,137.3767,-0.2356195,0.932234,0.2746333,0.02873748,1.104567,-0.006941993,1.104963,-0.001626954,-0.04566618,0.01242723,0.9988782,5.428372,-0.03435737,-0.9643607,0.2624334,False
1773037533190,0.09715701,0.03776455,0.9030209,0.2422155,0.9357036,0.1542112,0.3307421,0.7330047,-0.5740493,250.0661,0.1883332,0.4039249,0.8951957,-0.05280073,0.9999181,0.2751074,1.038416,-0.04769856,1.023676,0.3115919,1.07111,-0.05798192,1.009703,0.3321705,1.064518,-0.02518428,-0.08723171,0.1022617,0.1367519,-0.02214659,-0.07407895,0.1440019,0.1634464,0.003689902,-0.07574189,0.1514361,0.1693616,0,0,0,0,0,0,0,0,0,1,0,0,-0.1336388,0.6254372,0.1147529,0.6497686,-0.3014317,-0.3369046,-0.08609866,-0.8878182,305.2007,-0.6550096,-0.7320921,-0.187092,-0.03448544,0.5283719,0.1175288,0.5423828,-0.03188822,0.509276,0.148726,0.5315057,-0.05327006,0.5029175,0.1452678,0.526181,0.03913339,-0.07141385,0.1125093,0.1388874,0.01724467,-0.06811594,0.1417787,0.1582351,0.000646965,-0.07635632,0.1288578,0.1497833,0,0,0,0,0,0,0,0,0,1,0,0,-0.04701937,1.001959,0.2963378,1.04592,0.01264353,-0.02938694,-0.02536554,0.9991663,4.679675,0.3096911,-0.7198046,-0.6213044,0.09701937,-0.001958847,0.003662169,0.09710822,-0.2158929,0.8753733,0.2569168,0.3480026,139.2696,-0.2302873,0.9337378,0.2740464,0.02817074,1.10448,-0.006906933,1.10486,-0.001344009,-0.04617979,0.01374889,0.9988376,5.525584,-0.02788346,-0.9580684,0.2852413,False
1773037533203,0.1111023,0.03874853,0.9016852,0.2410413,0.9341513,0.1380595,0.3364379,0.7472669,-0.5561846,247.5847,0.1661248,0.4048304,0.8991746,-0.05049185,1.000319,0.2716658,1.037781,-0.04620147,1.023961,0.3083035,1.070366,-0.05769543,1.010391,0.3287595,1.064096,-0.0244367,-0.08712195,0.1023276,0.1365955,-0.02209241,-0.07401477,0.1441041,0.1635,0.003767845,-0.07539099,0.1521777,0.1698707,0,0,0,0,0,0,0,0,0,1,0,0,-0.1339353,0.6254582,0.1151125,0.6499134,-0.3020261,-0.3370688,-0.0866229,-0.8875029,305.1223,-0.6554356,-0.7314827,-0.1879829,-0.03469538,0.5284768,0.1177081,0.5425373,-0.03206497,0.5093062,0.1489088,0.5315965,-0.05344512,0.5029234,0.1454574,0.5262568,0.03915488,-0.07139603,0.1125128,0.1388871,0.01724604,-0.06809926,0.1418227,0.1582676,0.000635941,-0.07634564,0.1289142,0.1498263,0,0,0,0,0,0,0,0,0,1,0,0,-0.04548238,1.002423,0.2926482,1.045258,0.01983781,-0.05258349,-0.04031819,0.9976051,7.932205,0.2868128,-0.7602465,-0.5829161,0.09548238,-0.002423286,0.007351816,0.09579565,-0.2110415,0.8845338,0.2632205,0.3221439,142.4147,-0.2229255,0.9343427,0.2780427,0.02768404,1.104251,-0.006971077,1.10462,-0.001165039,-0.04711402,0.0149309,0.9987773,5.667312,-0.02356637,-0.9530207,0.3020217,False
1773037533217,0.1250673,0.03998736,0.900438,0.2397122,0.9326572,0.1212053,0.3419279,0.7591721,-0.5404187,245.4243,0.1440526,0.4063816,0.9022766,-0.0484542,1.000294,0.2681831,1.036754,-0.04499153,1.023765,0.3052208,1.069242,-0.0576797,1.010291,0.324781,1.062779,-0.02373181,-0.0870951,0.1023863,0.136498,-0.02187792,-0.07385349,0.1443241,0.1635923,0.003812649,-0.07527189,0.1523361,0.1699608,0,0,0,0,0,0,0,0,0,1,0,0,-0.1337575,0.6253176,0.1150349,0.6497278,-0.3019382,-0.3366202,-0.08669465,-0.8876961,305.1703,-0.6557745,-0.7310997,-0.1882907,-0.03454578,0.5283098,0.1176896,0.542361,-0.03193856,0.5091494,0.1489458,0.531449,-0.05331524,0.5027716,0.1454575,0.5260985,0.03916767,-0.07144043,0.1124796,0.1388866,0.017241,-0.06810854,0.1418227,0.158271,0.0006416898,-0.0763624,0.1289034,0.1498256,0,0,0,0,0,0,0,0,0,1,0,0,-0.04409415,1.002476,0.2889549,1.044221,0.02719538,-0.07505826,-0.05217502,0.9954419,10.94528,0.2851557,-0.7870194,-0.5470784,0.09409414,-0.002475858,0.01104516,0.09477253,-0.2086103,0.8921596,0.2684969,0.297393,145.3978,-0.218496,0.9344379,0.2812207,0.02717979,1.104096,-0.006968954,1.104453,-0.0005734792,-0.04813732,0.01576552,0.9987161,5.807337,-0.0113209,-0.9502659,0.311223,False
1773037533231,0.1389402,0.04164173,0.8992578,0.2381302,0.9311846,0.1018115,0.3450209,0.7702204,-0.5266457,243.5582,0.1197662,0.4058664,0.9060512,-0.04679014,0.9993072,0.2655061,1.035035,-0.04381241,1.022883,0.3029938,1.067714,-0.05722352,1.00964,0.3222889,1.061375,-0.02236802,-0.087137,0.102539,0.136409,-0.0215987,-0.07348286,0.1447992,0.1638079,0.003965404,-0.07437581,0.1534189,0.1705428,0,0,0,0,0,0,0,0,0,1,0,0,-0.1340777,0.6247613,0.1152165,0.6492907,-0.3020293,-0.3369031,-0.08626289,-0.8875998,305.1463,-0.6557081,-0.7314194,-0.1872774,-0.03491765,0.527705,0.1178414,0.5418287,-0.03228898,0.5085174,0.1491637,0.5309259,-0.05366963,0.5021547,0.1456445,0.5255969,0.039156,-0.07140306,0.1125029,0.138883,0.0171884,-0.06805504,0.1419038,0.1583149,0.0006192243,-0.07633688,0.1289562,0.149858,0,0,0,0,0,0,0,0,0,1,0,0,-0.04268432,1.001891,0.2856887,1.042701,0.03784418,-0.09709493,-0.06169255,0.9926401,13.91135,0.3125,-0.8017657,-0.509429,0.09268433,-0.001891017,0.01431128,0.09380178,-0.2092046,0.8977384,0.2756596,0.2726006,148.3619,-0.2174396,0.9330765,0.2865106,0.02667973,1.103972,-0.007019898,1.104317,-0.0004317291,-0.04927593,0.01675341,0.9986446,5.966944,-0.00829486,-0.9467441,0.3218851,False
