Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773038048176,0,1,1,135,-0.5113389,0.03418778,-0.8586988,1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0,0,0.1,-0.4724157,0.0315854,-0.7933343,0.3826834,135,-0.511339,0.03418779,-0.8586989
Trial Start,1773038051951,0,1,1,135,-0.5113389,0.03418778,-0.8586988,1,-0.05001428,0.999971,0.3000998,1.045229,0.001143727,-0.003472676,-0.0009377399,0.9999929,0.4316,0.3036644,-0.9220102,-0.2489739,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1000143,2.896786E-05,-9.977818E-05,0.1000143,-0.4700654,0.03426447,-0.7945743,0.3827747,134.9887,-0.5088158,0.03708911,-0.860076
Grab,1773038052547,0.5983308,1,1,135,-0.5113389,0.03418778,-0.8586988,1,-0.06211552,0.9970127,0.3008009,1.043252,-0.1036499,0.2542213,0.03939673,0.9607686,32.20437,-0.3737133,0.916604,0.1420463,0.1303033,-0.07946903,0.008116826,0.1528403,0.3856741,0.5747887,0.7208251,0.03584488,175.8916,0.385922,0.5751582,0.7212885,0.01330729,-0.437488,0.1002884,0.449033,0.5500178,0.2672704,-0.7693414,0.1848256,158.6981,0.5596601,0.2719558,-0.7828286,0.1121155,0.002987266,-0.0008008778,0.1121582,-0.6171439,-0.1677806,-0.6604629,0.3934109,133.6662,-0.6712734,-0.1824967,-0.7183919
Release,1773038053521,1.571059,1,1,135,-0.5113389,0.03418778,-0.8586988,1,-0.06306724,0.9977414,0.2490127,1.030278,-0.3186067,0.4825406,0.1386103,0.8040097,72.97056,-0.5358191,0.811516,0.2331089,0.139573,-0.09311907,-0.005308428,0.1678689,0.3080517,0.470053,0.8230219,-0.08239813,189.4529,0.3091028,0.4716569,0.8258302,0.05221776,-0.4185774,0.05794746,0.4257836,0.666472,0.4661056,-0.5127401,0.2750605,148.0688,0.6932114,0.4848061,-0.5333117,0.1130672,0.002258599,0.05098729,0.1240524,-0.6450953,-0.4775087,-0.4729959,0.3634729,137.3727,-0.692456,-0.5125657,-0.5077216
Grab,1773038060758,8.810374,1,1,135,-0.5113389,0.03418778,-0.8586988,1,-0.08677559,0.9524261,0.2642592,0.9922088,-0.2644683,0.007841705,-0.7853767,0.5596236,111.9405,-0.3191183,0.009462123,-0.9476677,0.1169406,-0.07634733,0.01292483,0.1402535,-0.2344486,0.6812715,0.2018036,0.6634595,96.8715,-0.313345,0.9105325,0.2697144,0.04861129,-0.3845585,0.08107942,0.3960078,0.006110347,0.5975507,-0.5885606,-0.5445111,245.9825,0.007285031,0.712427,-0.7017086,0.1367756,0.04757392,0.03574079,0.1491584,-0.144582,0.1758875,-0.1480668,0.9624116,31.51842,-0.5323436,0.6476089,-0.5451744
Release,1773038062132,10.18452,1,1,135,-0.5113389,0.03418778,-0.8586988,1,-0.03452946,0.9517723,0.2245346,0.9785084,-0.5525451,-0.03107374,-0.6593059,0.5089638,118.8103,-0.6419061,-0.03609919,-0.7659331,0.1224293,-0.0891211,0.03767553,0.1560479,-0.1820716,0.8144942,0.1518921,0.5295075,116.0556,-0.2146297,0.9601426,0.1790535,0.03792802,-0.3732939,0.004696386,0.3752452,-0.08711022,0.8149089,-0.4691742,-0.3289542,218.4106,-0.09224397,0.8629348,-0.4968245,0.08452946,0.04822767,0.07546543,0.123151,0.01648367,-0.09891929,-0.1836051,0.9778715,24.15171,0.07879135,-0.4728307,-0.8776258
Grab,1773038062994,11.04552,1,1,135,-0.5113389,0.03418778,-0.8586988,1,-0.03837961,0.9496152,0.2255619,0.9767907,-0.4667029,-0.08733957,-0.6987289,0.5351059,115.2978,-0.5524518,-0.1033867,-0.8271086,0.109246,-0.06751727,0.02376939,0.1306073,-0.3513885,0.7348137,-0.008714925,0.5800856,109.0869,-0.4313867,0.9021037,-0.01069899,0.04329911,-0.3705138,0.008370292,0.3731291,-0.1317733,0.7385191,-0.5406957,-0.3806224,224.7445,-0.1424991,0.7986318,-0.5847062,0.08837961,0.05038482,0.07443808,0.126058,0.01716618,0.01016394,-0.2131275,0.9768208,24.72067,0.08019364,0.04748191,-0.9956476
Release,1773038063272,11.32393,1,1,135,-0.5113389,0.03418778,-0.8586988,1,-0.03319117,0.957154,0.2203808,0.9827579,-0.4547521,-0.08851752,-0.7273085,0.5063472,119.1583,-0.527353,-0.1026493,-0.8434228,0.1068447,-0.0690643,0.02769698,0.1302029,-0.3438875,0.750903,-0.03466484,0.5627475,111.508,-0.4160119,0.9083917,-0.04193518,0.05285903,-0.3745836,0.001749562,0.3782988,-0.1453926,0.7384725,-0.5250527,-0.3972896,226.8177,-0.1584326,0.8047052,-0.5721442,0.08319117,0.04284596,0.07961926,0.1228649,0.02801605,0.03268884,-0.1795543,0.9828057,21.28071,0.1517304,0.1770374,-0.9724371
Grab,1773038063898,11.94939,1,1,135,-0.5113389,0.03418778,-0.8586988,1,-0.03384478,0.9595569,0.2176142,0.9845054,-0.4143511,-0.1467835,-0.7505463,0.4934045,120.8708,-0.4763752,-0.1687554,-0.8628953,0.1098712,-0.06026032,-0.006383803,0.1254741,-0.2082907,0.7395529,0.1379603,0.6250149,102.6334,-0.2668296,0.9474004,0.1767333,0.06071603,-0.3742677,0.002854267,0.3791713,-0.1947322,0.693187,-0.5479011,-0.425882,230.413,-0.2152264,0.7661398,-0.6055636,0.08384478,0.04044306,0.08238584,0.1243102,0.06562795,0.09760685,-0.1866434,0.9753616,25.48999,0.297481,0.4424362,-0.8460246
On Target,1773038066121,14.18438,1,1,135,-0.5113389,0.03418778,-0.8586988,1,0.05256456,1.00852,0.2894427,1.050548,-0.4351473,0.04014459,-0.8389798,0.3242656,142.1578,-0.460003,0.04243766,-0.8869026,0.09655602,-0.06333428,0.007097292,0.1156921,-0.190066,0.8650996,0.2484865,0.392087,133.8312,-0.2066096,0.9403989,0.270115,-0.01183004,-0.467448,-0.01248039,0.4677642,-0.09186562,0.7349764,-0.3461615,-0.5757976,250.311,-0.1123612,0.8989521,-0.4233913,-0.002564557,-0.00851953,0.01055732,0.01380639,0.007986912,0.04600933,0.06903324,0.9965209,9.561555,0.0958312,0.5520443,0.8282974
