Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Total Thumb Tip Translation,Total Index Tip Translation,Total Middle Tip Translation,Total Thumb Tip Translation_left,Total Index Tip Translation_left,Total Middle Tip Translation_left,Total Wrist Translation,Total Wrist Rotation,Total Wrist Translation_left,Total Wrist Rotation_left,Total Die Translation,Total Die Rotation,Total Die Local Translation,Total Die Local Rotation,Total Die Local Translation_left,Total Die Local Rotation_left,Total Head Translation,Total Head Rotation,Total Grabbed Time,Total Grabbed Time_left
1,1,135,-0.5113389,0.03418778,-0.8586988,1,16.57269,False,-0.003319949,-0.004955053,0.008972079,0.01077371,0.01801072,0.03331194,-0.005154236,0.9992695,4.380347,0.4712827,0.8716663,-0.1348698,0.1853035,0.1826278,0.2099613,0,0,0,0.4306992,223.8839,0,0,0.4156015,439.0365,0.2249175,379.5915,0,0,0.08259907,22.51543,7.248585,0
1,2,135,0.6457938,-0.7036741,0.2962992,1,21.52215,False,-0.001970571,0.0006420612,-0.001895964,0.002808927,-0.02713563,-0.0006203744,-0.01390439,0.9995348,3.495289,-0.8897785,-0.0203421,-0.4559256,0.3803978,0.3642111,0.2934555,0,0,0,0.7307369,345.7208,0,0,0.6520482,693.3522,0.2955424,559.9218,0,0,0.1683809,41.83851,7.997608,0
1,3,135,0.7418965,-0.6172694,0.2618549,0.9999999,13.16788,False,-0.0004643723,0.0008385777,0.0008700788,0.001294562,-0.02962229,-0.008179358,0.03731119,0.9988311,5.54115,-0.6128316,-0.1692161,0.7719008,0.4111096,0.3146623,0.3162895,0,0,0,0.6182448,457.3436,0,0,0.4500532,818.6317,0.3342777,586.7655,0,0,0.08740327,23.95574,6.542684,0
1,4,135,0.09000204,-0.006984293,-0.9959171,1,19.76377,False,0.001547404,-0.003658533,0.004817516,0.00624402,0.004633225,0.001884759,-0.01350347,0.9998963,1.649914,0.3217945,0.1309034,-0.9378656,0.4443761,0.3699079,0.3879597,0,0,0,1.10104,606.6991,0,0,0.721652,858.3845,0.362209,669.4422,0,0,0.3252759,62.30164,9.513899,0
1,5,135,-0.05818585,0.3654972,0.928992,1,14.46975,False,0.0005281679,0.001149178,-0.004494876,0.004669419,-0.01776114,-0.0006675316,0.007245665,0.9998158,2.199346,-0.92549,-0.03478345,0.377554,0.1881154,0.1482311,0.1262192,0,0,0,0.2784733,94.45412,0,0,0.2202867,238.668,0.1397563,224.6163,0,0,0.04578763,13.91102,3.235343,0
1,6,135,-0.733398,0.6760491,-0.07131016,1,8.477558,False,0.003180262,-0.0005023479,0.004758328,0.005745268,-0.05254066,0.02557523,0.02281026,0.9980307,7.192817,-0.8375952,0.4077164,0.3636377,0.1332551,0.09294265,0.1178103,0,0,0,0.3086999,148.7165,0,0,0.2663662,249.6928,0.1323063,237.7162,0,0,0.0691021,20.86082,3.682454,0
1,7,135,0.6153302,0.0182571,0.788058,1,12.82955,False,0.001769394,-0.002352357,0.004237473,0.005159507,0.04494573,-0.0316491,-0.02551592,-0.998162,353.051,0.7416244,-0.5222241,-0.421024,0.1504755,0.1074893,0.1433003,0,0,0,0.314801,191.201,0,0,0.2451292,291.9384,0.1136993,201.6735,0,0,0.03604991,10.50419,3.498338,0
1,8,135,0.0454431,0.8686392,-0.4933568,1,6.476384,False,0.001581285,-0.003127694,0.005959988,0.006914072,0.02803494,-0.03760484,0.006072956,0.998881,5.421878,0.5927402,-0.795076,0.1284,0.009035527,0.004123602,0.01868388,0,0,0,0.01668101,9.254887,0,0,0.01528653,18.30766,0.005815199,16.44636,0,0,0.002841124,0.5635055,0.4445801,0
1,9,135,0.6892932,-0.1461611,0.7095857,1,5.971418,False,-0.002839845,-0.002732158,-0.001367688,0.004171328,-0.0320883,0.05786535,-0.03281693,0.9972688,8.471174,-0.4344612,0.7834709,-0.4443265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,135,0.4569247,-0.3922188,0.7983634,1,9.874537,False,-0.002438605,0.001155555,-0.001706809,0.003193008,-0.03730052,-0.03708642,0.01179102,0.9985461,6.180063,-0.6919633,-0.6879916,0.2187356,0.07247833,0.05913371,0.051549,0,0,0,0.2026577,103.5264,0,0,0.1643975,176.4735,0.06741139,138.8208,0,0,0.04339439,15.19522,2.56803,0
