Timestamp,Trial Duration,Wrist World Position X,Wrist World Position Y,Wrist World Position Z,Wrist World Position Magnitude,Wrist World Rotation X,Wrist World Rotation Y,Wrist World Rotation Z,Wrist World Rotation W,Wrist World Rotation Angle,Wrist World Rotation Axis X,Wrist World Rotation Axis Y,Wrist World Rotation Axis Z,Wrist World Position_left X,Wrist World Position_left Y,Wrist World Position_left Z,Wrist World Position_left Magnitude,Wrist World Rotation_left X,Wrist World Rotation_left Y,Wrist World Rotation_left Z,Wrist World Rotation_left W,Wrist World Rotation_left Angle,Wrist World Rotation_left Axis X,Wrist World Rotation_left Axis Y,Wrist World Rotation_left Axis Z,Thumb Tip World Position X,Thumb Tip World Position Y,Thumb Tip World Position Z,Thumb Tip World Position Magnitude,Index Tip World Position X,Index Tip World Position Y,Index Tip World Position Z,Index Tip World Position Magnitude,Middle Tip World Position X,Middle Tip World Position Y,Middle Tip World Position Z,Middle Tip World Position Magnitude,Thumb Tip World Position_left X,Thumb Tip World Position_left Y,Thumb Tip World Position_left Z,Thumb Tip World Position_left Magnitude,Index Tip World Position_left X,Index Tip World Position_left Y,Index Tip World Position_left Z,Index Tip World Position_left Magnitude,Middle Tip World Position_left X,Middle Tip World Position_left Y,Middle Tip World Position_left Z,Middle Tip World Position_left Magnitude,Thumb Tip Local Position X,Thumb Tip Local Position Y,Thumb Tip Local Position Z,Thumb Tip Local Position Magnitude,Index Tip Local Position X,Index Tip Local Position Y,Index Tip Local Position Z,Index Tip Local Position Magnitude,Middle Tip Local Position X,Middle Tip Local Position Y,Middle Tip Local Position Z,Middle Tip Local Position Magnitude,Thumb Tip Local Position_left X,Thumb Tip Local Position_left Y,Thumb Tip Local Position_left Z,Thumb Tip Local Position_left Magnitude,Index Tip Local Position_left X,Index Tip Local Position_left Y,Index Tip Local Position_left Z,Index Tip Local Position_left Magnitude,Middle Tip Local Position_left X,Middle Tip Local Position_left Y,Middle Tip Local Position_left Z,Middle Tip Local Position_left Magnitude,Thumb Tip Euro Position X,Thumb Tip Euro Position Y,Thumb Tip Euro Position Z,Thumb Tip Euro Position Magnitude,Index Tip Euro Position X,Index Tip Euro Position Y,Index Tip Euro Position Z,Index Tip Euro Position Magnitude,Middle Tip Euro Position X,Middle Tip Euro Position Y,Middle Tip Euro Position Z,Middle Tip Euro Position Magnitude,Thumb Tip Euro Position_left X,Thumb Tip Euro Position_left Y,Thumb Tip Euro Position_left Z,Thumb Tip Euro Position_left Magnitude,Index Tip Euro Position_left X,Index Tip Euro Position_left Y,Index Tip Euro Position_left Z,Index Tip Euro Position_left Magnitude,Middle Tip Euro Position_left X,Middle Tip Euro Position_left Y,Middle Tip Euro Position_left Z,Middle Tip Euro Position_left Magnitude,Triangle Local Position X,Triangle Local Position Y,Triangle Local Position Z,Triangle Local Position Magnitude,Triangle Local Rotation X,Triangle Local Rotation Y,Triangle Local Rotation Z,Triangle Local Rotation W,Triangle Local Rotation Angle,Triangle Local Rotation Axis X,Triangle Local Rotation Axis Y,Triangle Local Rotation Axis Z,Triangle Local Position_left X,Triangle Local Position_left Y,Triangle Local Position_left Z,Triangle Local Position_left Magnitude,Triangle Local Rotation_left X,Triangle Local Rotation_left Y,Triangle Local Rotation_left Z,Triangle Local Rotation_left W,Triangle Local Rotation_left Angle,Triangle Local Rotation_left Axis X,Triangle Local Rotation_left Axis Y,Triangle Local Rotation_left Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is Grabbed,Is Grabbed_right,Is Grabbed_left,Is On Target
1773038152300,0.0136026,0.1702231,0.9705002,0.2875849,1.026427,-0.3513879,-0.9174857,0.1446106,0.1176197,166.4905,-0.353844,-0.9238987,0.1456214,-0.06962669,0.6373152,0.04461268,0.6426576,-0.2516233,-0.2971871,0.9188159,0.06436638,172.6191,-0.2521462,-0.2978046,0.9207252,0.03633882,0.9700946,0.3010252,1.016376,0.02384529,1.005224,0.3167094,1.054205,0.03292734,0.9945958,0.3309527,1.04873,0.05424051,0.5860538,0.0289332,0.5892693,0.03156167,0.5669474,0.03554957,0.5689369,0.01022823,0.5596306,0.03725085,0.5609623,0.09837713,-0.08673826,0.03007032,0.1345578,0.1330767,-0.07484245,0.01302437,0.1532332,0.120901,-0.08181119,-0.00117068,0.1459846,-0.1142353,0.05472668,-0.04660395,0.1349691,-0.1025399,0.06576286,-0.02082447,0.1235834,-0.08676595,0.07007512,-0.005199742,0.1116508,0.09852485,-0.08671933,0.02947359,0.1345217,0.133549,-0.0747669,0.01303258,0.1536076,0.1218921,-0.08171826,-0.001289384,0.1467557,-0.1143873,0.05474574,-0.04643041,0.1350457,-0.1033749,0.06623803,-0.02077679,0.1245212,-0.08729453,0.07065006,-0.005135662,0.1124195,0.1112812,-0.08297142,0.0194555,0.1401652,-0.2050674,0.9234782,-0.002488397,0.3242362,142.1614,-0.2167786,0.9762173,-0.002630507,-0.1027634,0.06175461,-0.0283865,0.1232061,-0.2112191,0.2396957,-0.1803564,0.930271,43.04581,-0.5757278,0.6533475,-0.4916042,-0.04981091,1.00073,0.2991638,1.045677,0.004872801,-0.01249265,-0.009489797,0.9998651,1.882153,0.2966753,-0.7606016,-0.5777761,0.1108098,-0.05657757,0.02660695,0.1272311,0.1139683,0.5818542,0.7413995,-0.3142993,216.637,0.1200521,0.6129142,0.7809762,-0.1097178,-0.437427,-0.07037625,0.4564354,0.6319658,0.7716483,-0.04873108,-0.05294939,186.0704,0.6328535,0.7727323,-0.04879954,0.09981091,-0.0007300377,0.0008361936,0.09981708,0.5576141,0.01270321,0.7387882,0.378282,135.5454,0.6023764,0.01372295,0.7980943,-0.001805362,1.128733,-0.05885257,1.130268,-0.06172279,-0.01284178,-0.007492994,0.9979827,7.279943,-0.9722132,-0.2022745,-0.1180243,False,False,False,False
1773038152314,0.02788,0.03538445,0.9260135,0.2560505,0.961413,-0.4709933,-0.497638,-0.7277789,0.02932296,176.6394,-0.4711959,-0.4978521,-0.728092,-0.06656157,0.6408697,0.04696497,0.6460264,-0.2390222,-0.2564293,0.9307643,0.103876,168.0752,-0.2403223,-0.2578241,0.9358269,0.00116433,1.03913,0.3194678,1.087131,-0.07252247,1.033256,0.3286045,1.086673,-0.09520775,1.018001,0.3329118,1.075277,0.05269798,0.5767854,0.02860418,0.5798937,0.03699343,0.5534559,0.03748585,0.5559561,0.009367311,0.5518732,0.04034318,0.5534251,0.1125036,-0.03021492,0.0664698,0.1341202,0.1573983,-0.05858133,0.01424387,0.1685494,0.1665586,-0.05950978,-0.01185412,0.1772674,-0.1161151,0.05550814,-0.04585728,0.1366263,-0.1133936,0.07169705,-0.0213563,0.135848,-0.09113953,0.07348706,-0.004760429,0.1171726,0.09962551,-0.08227028,0.0323866,0.1332011,0.1354269,-0.07349247,0.01312796,0.1546413,0.1254091,-0.07996961,-0.002121232,0.1487517,-0.1145234,0.05480577,-0.04638528,0.1351698,-0.1041638,0.06666786,-0.02082242,0.1254124,-0.08759728,0.07087345,-0.005106117,0.1127936,0.1120563,-0.08008949,0.02124975,0.1393646,-0.1862176,0.9302121,-0.0342741,0.3144103,143.3496,-0.1961657,0.9799058,-0.0361051,-0.1028675,0.06199357,-0.02812019,0.1233518,-0.2153341,0.2355292,-0.1907163,0.9283236,43.65004,-0.579208,0.633529,-0.5129908,-0.04995509,1.001197,0.2985166,1.045946,0.01203514,-0.009963185,-0.01461416,0.9997712,2.451461,0.5626202,-0.4657602,-0.6831847,0.109901,-0.05111715,0.002895844,0.1212418,0.475442,0.5052205,0.7190936,0.04014724,175.3982,0.4758255,0.505628,0.7196737,0.0004441677,-0.4388648,0.02795934,0.4397548,0.225435,0.2528298,-0.93586,0.09706797,168.8593,0.2265046,0.2540295,-0.9403003,0.09995509,-0.0011971,0.001483381,0.09997326,0.5567479,0.003605792,0.7393637,0.3786295,135.5024,0.6015329,0.003895843,0.7988385,-0.001755494,1.128789,-0.05900149,1.130332,-0.06195195,-0.0128386,-0.007252957,0.9979702,7.302393,-0.9728279,-0.2016038,-0.1138927,False,False,False,False
1773038152328,0.0418724,0.03570358,0.9259171,0.2555145,0.9611893,-0.46767,-0.4900994,-0.7352666,0.02168599,177.5148,-0.46778,-0.4902147,-0.7354396,-0.06621418,0.6411349,0.0471011,0.6462637,-0.2378384,-0.2546293,0.931308,0.1061236,167.8162,-0.2391891,-0.2560754,0.936597,0.002432188,1.038499,0.3201341,1.086725,-0.07197516,1.034066,0.3266806,1.086827,-0.09490488,1.019145,0.3306572,1.075638,0.05266879,0.5762666,0.02863096,0.5793763,0.03723532,0.553041,0.03745614,0.5555572,0.009377347,0.5515797,0.04034734,0.5531328,0.1125186,-0.02944412,0.06655796,0.134005,0.1570585,-0.05904138,0.01422099,0.1683909,0.1663916,-0.05975941,-0.01179074,0.1771902,-0.1162506,0.05558784,-0.04558484,0.1366828,-0.1137475,0.07182884,-0.02138844,0.136218,-0.09125914,0.07368307,-0.004733227,0.1173875,0.1006869,-0.07792149,0.03519968,0.1320933,0.1372077,-0.07230283,0.01321794,0.1556546,0.1287829,-0.07830585,-0.00291725,0.1507493,-0.1146656,0.05487015,-0.04631939,0.1352938,-0.1049528,0.06709272,-0.02086901,0.1263013,-0.08789873,0.07110474,-0.00507542,0.1131717,0.11289,-0.07710212,0.02308773,0.1386432,-0.1633401,0.9358339,-0.05790122,0.3068912,144.256,-0.1716218,0.9832826,-0.06083693,-0.1029788,0.06224323,-0.02784005,0.1235068,-0.218986,0.2319002,-0.1990221,0.9266378,44.16673,-0.5824789,0.6168293,-0.5293771,-0.04987381,1.002986,0.2963355,1.047036,0.03165435,-0.00875981,-0.01347305,0.9993697,4.068841,0.891682,-0.246758,-0.379527,0.1107044,-0.05092377,0.002226786,0.1218756,0.4679871,0.5054548,0.7242236,0.03168081,176.369,0.4682222,0.5057087,0.7245873,0.002940466,-0.4384386,0.02969579,0.4394529,0.2260612,0.245781,-0.9380799,0.09216349,169.4238,0.2270275,0.2468316,-0.9420896,0.09987381,-0.002986431,0.003664464,0.09998562,0.5498685,-0.01049695,0.7382815,0.3904803,134.0312,0.5972863,-0.01140215,0.8019471,-0.001698421,1.128874,-0.05916215,1.130425,-0.06208382,-0.01302343,-0.007192454,0.9979601,7.320604,-0.9724789,-0.2039986,-0.1126624,False,False,False,False
1773038152342,0.0560699,0.03623155,0.9264139,0.2539587,0.9612755,-0.4634505,-0.4832185,-0.7426598,0.01303403,178.5064,-0.4634899,-0.4832596,-0.742723,-0.06558922,0.6416203,0.04732847,0.6466982,-0.237079,-0.253402,0.9315931,0.1082371,167.5726,-0.2384801,-0.2548995,0.9370986,0.003851531,1.037607,0.320743,1.086056,-0.07121404,1.035701,0.3226346,1.087126,-0.09440404,1.021457,0.3255313,1.076223,0.05303767,0.5762179,0.02838659,0.5793495,0.03788467,0.5529967,0.03752254,0.5555615,0.00965965,0.5516205,0.04045467,0.5531863,0.1129233,-0.02723125,0.06617592,0.1336879,0.1562267,-0.05995631,0.01425357,0.1679425,0.1653731,-0.06116025,-0.01151415,0.1766958,-0.1162319,0.05571627,-0.04576516,0.1367794,-0.1141448,0.0718641,-0.02153308,0.1365912,-0.09133117,0.0737972,-0.004712079,0.1175143,0.1016757,-0.07382511,0.03770293,0.1311854,0.1387446,-0.07130508,0.01330163,0.1565612,0.1317398,-0.07692028,-0.003611984,0.1525947,-0.1147921,0.05493853,-0.0462746,0.1354135,-0.1056956,0.06747831,-0.02092268,0.1271324,-0.08817612,0.07132232,-0.005046058,0.1135225,0.1137382,-0.07419603,0.02477428,0.1380406,-0.1381785,0.9404556,-0.07637563,0.3010263,144.9615,-0.1448996,0.9861996,-0.08009057,-0.1030815,0.06248626,-0.02758442,0.1236577,-0.2217055,0.2289038,-0.2046705,0.9255051,44.51072,-0.5853841,0.6043903,-0.5404053,-0.04989304,1.003877,0.2954786,1.047647,0.03698996,-0.009590865,-0.03105971,0.9987867,5.645163,0.7511684,-0.1947652,-0.6307406,0.1116065,-0.05111698,0.002078823,0.1227733,0.4635661,0.5125522,0.7226604,0.01259439,178.5567,0.4636029,0.512593,0.7227178,0.006381014,-0.4381161,0.02916498,0.4391321,0.2287811,0.2259993,-0.9425622,0.09033266,169.6345,0.2297203,0.2269271,-0.9464315,0.09989304,-0.003876567,0.004521459,0.1000704,0.5471869,-0.02407131,0.7451497,0.3804722,135.2741,0.5916862,-0.02602888,0.8057481,-0.001556218,1.128936,-0.05946005,1.130502,-0.06259174,-0.01330706,-0.006729405,0.9979278,7.378258,-0.9727828,-0.2068145,-0.1045865,False,False,False,False
1773038152355,0.07050639,0.0364203,0.926199,0.2539197,0.9610651,-0.4588405,-0.4770438,-0.7495884,0.003453201,179.6043,-0.4588433,-0.4770466,-0.7495928,-0.06552327,0.6416255,0.04735634,0.6466987,-0.2364335,-0.2524892,0.9317509,0.1104019,167.323,-0.2378877,-0.2540422,0.9374818,0.004498559,1.036743,0.3216945,1.085515,-0.07068691,1.036826,0.3199967,1.087384,-0.09394231,1.023501,0.3209378,1.076745,0.05282075,0.575799,0.0280304,0.5788957,0.03761921,0.5525576,0.0373265,0.5550931,0.009356717,0.5512667,0.04033788,0.5528197,0.1131451,-0.02611204,0.06594485,0.1335379,0.1555331,-0.06066972,0.01432344,0.1675605,0.1638817,-0.0630406,-0.0110526,0.1759361,-0.1161926,0.05571301,-0.04590483,0.1367915,-0.1141952,0.07187778,-0.02156604,0.1366457,-0.09136008,0.07383873,-0.004707351,0.1175627,0.1026151,-0.06991743,0.04001594,0.1304591,0.1401196,-0.07043405,0.01338531,0.1573964,0.1343722,-0.07578354,-0.004221367,0.1543271,-0.1149068,0.05500196,-0.04624432,0.1355261,-0.1063917,0.06783862,-0.02097537,0.127911,-0.08843688,0.07152841,-0.005018318,0.1138533,0.1145976,-0.07136919,0.02636711,0.1375551,-0.1120116,0.9440826,-0.09186348,0.29618,145.5434,-0.1172734,0.9884314,-0.09617881,-0.1031857,0.06271519,-0.02735816,0.1238102,-0.223974,0.2262013,-0.2090242,0.9246499,44.76874,-0.5881391,0.5939877,-0.5488821,-0.0498626,1.004831,0.2946986,1.048341,0.04079986,-0.00932646,-0.04603711,0.9980626,7.134215,0.6557612,-0.1499008,-0.7399377,0.112295,-0.05096399,0.001854504,0.1233327,0.450784,0.5184106,0.7265252,0.01433378,178.3574,0.4508303,0.5184639,0.7265999,0.008787991,-0.4382806,0.02945505,0.4393571,0.2234519,0.2240021,-0.9456567,0.07500398,171.3971,0.2240831,0.2246349,-0.9483281,0.09986261,-0.004830956,0.005301446,0.1001198,0.5457624,-0.0354731,0.750268,0.3714608,136.3885,0.5878218,-0.03820685,0.8080878,-0.001711958,1.129013,-0.05963353,1.130589,-0.06262286,-0.01377797,-0.006025003,0.997924,7.385154,-0.9723568,-0.2139331,-0.09355135,False,False,False,False
1773038152369,0.0837466,0.03650851,0.9259434,0.254088,0.9608666,-0.4551509,-0.4720308,-0.75498,-0.005454856,180.6251,-0.4551577,-0.4720379,-0.7549913,-0.06545668,0.6417826,0.04736636,0.6468486,-0.2359679,-0.2517179,0.9318484,0.1123203,167.1018,-0.2374706,-0.2533209,0.9377827,0.004917196,1.035885,0.3226604,1.084985,-0.07010627,1.037946,0.3183588,1.087934,-0.09306727,1.025773,0.3162773,1.077452,0.05267601,0.5756611,0.02772215,0.5787305,0.03747617,0.5523083,0.03720548,0.5548272,0.009139786,0.5510427,0.04023654,0.5525854,0.1134207,-0.02504132,0.0655442,0.1333693,0.1553243,-0.06089015,0.01445382,0.1674579,0.1620197,-0.06531322,-0.01035224,0.1749953,-0.1161645,0.05563564,-0.04608432,0.1367965,-0.1143378,0.07186437,-0.02159737,0.1367628,-0.09144882,0.07392047,-0.004697461,0.1176826,0.1035137,-0.06618537,0.04213896,0.1298895,0.1413841,-0.06964035,0.01347418,0.1581796,0.1366715,-0.07491279,-0.004731233,0.1559276,-0.1150114,0.05505466,-0.04623101,0.1356317,-0.1070525,0.06817342,-0.0210271,0.1286468,-0.08868736,0.07172734,-0.004991634,0.1141717,0.1154612,-0.06864836,0.02785336,0.1371849,-0.08715066,0.9465482,-0.1062545,0.2918241,146.0656,-0.09111679,0.9896247,-0.1110901,-0.1032938,0.0629292,-0.02715989,0.1239651,-0.2259017,0.2236969,-0.2121889,0.9240692,44.94316,-0.5910175,0.585249,-0.5551412,-0.04925778,1.007086,0.2920231,1.049726,0.05590237,-0.01288103,-0.05200369,0.9969978,8.881652,0.7219772,-0.1663581,-0.671626,0.1128281,-0.05098321,0.001718533,0.1238242,0.4393569,0.5229241,0.7302647,0.01514509,178.2644,0.4394073,0.5229841,0.7303485,0.01087715,-0.4384335,0.02963544,0.4395686,0.2198142,0.2230267,-0.9476848,0.06192322,172.8996,0.2202368,0.2234555,-0.9495069,0.09925778,-0.007085681,0.00797689,0.09982958,0.5368902,-0.04851843,0.7540516,0.3752349,135.9223,0.5792134,-0.05234315,0.8134937,-0.001856096,1.129099,-0.0597969,1.130683,-0.06276364,-0.01438021,-0.005740268,0.9979084,7.412889,-0.9709011,-0.2224498,-0.08879714,False,False,False,False
1773038152383,0.0972793,0.03720782,0.9265805,0.2519371,0.9609413,-0.4521095,-0.4681342,-0.7591152,-0.01383518,181.5854,-0.4521528,-0.4681791,-0.7591879,-0.06511188,0.6426175,0.04736303,0.647642,-0.2357561,-0.251175,0.9318408,0.1140295,166.9047,-0.2373039,-0.2528241,0.9379588,0.005351237,1.035692,0.321393,1.084426,-0.06890617,1.039873,0.3161641,1.089056,-0.09167397,1.028378,0.3121717,1.078618,0.05299399,0.5765159,0.02709491,0.5795801,0.03764926,0.5527619,0.03706791,0.5552812,0.009186232,0.551572,0.04013963,0.5531068,0.1140749,-0.02382824,0.0645248,0.1332078,0.1562831,-0.05982976,0.01471174,0.1679894,0.1619388,-0.06542455,-0.00984725,0.1749329,-0.1160375,0.05550784,-0.04672697,0.1368547,-0.1144694,0.07188582,-0.0216576,0.1368936,-0.09147806,0.07396951,-0.004685506,0.1177356,0.1043248,-0.06293228,0.04385823,0.1294901,0.1425283,-0.06888688,0.01356922,0.1588831,0.138612,-0.07418407,-0.005124151,0.1572986,-0.1150902,0.05508947,-0.0462691,0.1357256,-0.1076221,0.06845853,-0.02107552,0.1292798,-0.08890169,0.07189955,-0.004968123,0.1144454,0.1162821,-0.06623223,0.02907859,0.1369445,-0.06589559,0.9477391,-0.1176732,0.2891391,146.3872,-0.06883577,0.990026,-0.1229237,-0.1033944,0.06310453,-0.02702983,0.1241096,-0.2272254,0.2214418,-0.214016,0.9238665,45.0039,-0.5937197,0.5786078,-0.5592049,-0.04903041,1.008111,0.2907768,1.050353,0.06393704,-0.01294546,-0.06263994,0.995902,10.37772,0.7069641,-0.1431405,-0.6926219,0.1138494,-0.05098125,0.001869172,0.1247568,0.4354122,0.5328547,0.7255622,0.006439209,179.2621,0.4354213,0.5328658,0.7255773,0.01345759,-0.4381761,0.02770333,0.4392572,0.2163577,0.2091202,-0.9520513,0.0552841,173.6617,0.2166891,0.2094405,-0.9535096,0.09903041,-0.008110642,0.009223163,0.09978913,0.533325,-0.06040867,0.7574962,0.3716381,136.3666,0.5744699,-0.06506907,0.8159354,-0.001890427,1.12916,-0.05993097,1.13075,-0.06285278,-0.01502206,-0.005325671,0.9978955,7.43557,-0.9693189,-0.231671,-0.08213278,False,False,False,False
1773038152396,0.1106842,0.03768766,0.926292,0.2510964,0.9604617,-0.4495841,-0.465148,-0.7622553,-0.02186793,182.5061,-0.4496916,-0.4652593,-0.7624376,-0.064947,0.6429477,0.04735826,0.6479526,-0.2358023,-0.2508462,0.9317274,0.1155749,166.7264,-0.2373932,-0.2525385,0.9380132,0.006302951,1.035713,0.32018,1.084093,-0.06783889,1.040897,0.3137768,1.089277,-0.09061956,1.02988,0.3088905,1.079017,0.05304702,0.5766557,0.0267721,0.579709,0.03755663,0.5527793,0.03695923,0.555285,0.009073349,0.5516551,0.04006691,0.5531827,0.1140245,-0.02370033,0.06455438,0.1331561,0.1562058,-0.05984023,0.01475957,0.1679255,0.1615309,-0.06593078,-0.009709913,0.174738,-0.1159878,0.05546971,-0.04702092,0.1368978,-0.1144862,0.07189,-0.02168451,0.1369142,-0.09149183,0.07398541,-0.004682019,0.1177562,0.1050849,-0.05985786,0.04548008,0.1292062,0.1436002,-0.06817793,0.0136625,0.1595491,0.1404081,-0.0735373,-0.005483515,0.1585946,-0.1151606,0.05511926,-0.04632802,0.1358174,-0.1081601,0.06872744,-0.02112324,0.1298778,-0.08910467,0.07206301,-0.004945702,0.1147047,0.117064,-0.06392602,0.03025289,0.1367689,-0.04536289,0.9482805,-0.127328,0.2872176,146.6171,-0.04735832,0.9899936,-0.1329289,-0.103497,0.063267,-0.02692786,0.1242556,-0.2283025,0.2192743,-0.2153226,0.9238143,45.01951,-0.5963381,0.5727561,-0.5624338,-0.04875323,1.008963,0.2894655,1.050797,0.07341126,-0.007513315,-0.06422818,0.9952031,11.22853,0.7503912,-0.07679919,-0.6565241,0.1149168,-0.05079531,0.001679168,0.1256537,0.4270744,0.5404232,0.7249411,0.003245788,179.6281,0.4270767,0.5404261,0.724945,0.01527645,-0.4380492,0.02701016,0.4391469,0.2144509,0.2035208,-0.9542397,0.04490873,174.8521,0.2146675,0.2037263,-0.9552034,0.09875323,-0.008963346,0.0105345,0.09971718,0.5332838,-0.07030006,0.7546668,0.375692,135.8658,0.5754377,-0.07585699,0.81432,-0.001840062,1.129146,-0.06004624,1.130743,-0.06269664,-0.01555421,-0.005358075,0.997897,7.432936,-0.9672538,-0.239963,-0.08266182,False,False,False,False
1773038152412,0.1247945,0.03821402,0.9260595,0.2495796,0.9598627,-0.4476451,-0.4627338,-0.7646148,-0.02924835,183.3521,-0.4478368,-0.4629319,-0.7649421,-0.06475693,0.6430197,0.04736469,0.6480055,-0.2359575,-0.2506005,0.9315921,0.1168737,166.5766,-0.2375858,-0.2523298,0.9380206,0.007260439,1.035883,0.3181813,1.083672,-0.06686541,1.04183,0.311703,1.089514,-0.08943928,1.031273,0.3052871,1.079224,0.05317707,0.576608,0.02646508,0.5796594,0.03747371,0.5526125,0.03688125,0.5551082,0.008994522,0.5515448,0.04002239,0.5530682,0.1140098,-0.02370255,0.06454077,0.1331373,0.1567716,-0.0592401,0.01473629,0.1682376,0.1611956,-0.06627224,-0.00961899,0.1745525,-0.1159317,0.05543317,-0.04735752,0.1369516,-0.114438,0.07188369,-0.02170556,0.1368738,-0.09146376,0.07398175,-0.004680477,0.117732,0.1057783,-0.05704922,0.04696077,0.1290309,0.1446234,-0.06748362,0.01374592,0.160184,0.1420229,-0.07297294,-0.00580477,0.1597788,-0.1152205,0.05514365,-0.04640799,0.1359054,-0.1086477,0.06897262,-0.02116848,0.1304211,-0.08928793,0.07221206,-0.004925099,0.1149399,0.1177967,-0.06179778,0.03133484,0.1366635,-0.02789403,0.9482458,-0.13569,0.2857272,146.7953,-0.0291075,0.9894969,-0.1415929,-0.1035969,0.06341105,-0.02685839,0.1243971,-0.2291105,0.2172559,-0.2161699,0.9238933,44.99587,-0.5987467,0.5677664,-0.5649282,-0.04718547,1.011003,0.2844554,1.051318,0.0930682,0.005084781,-0.06412547,0.9935796,12.99219,0.8226267,0.04494421,-0.5668029,0.1162423,-0.05012915,0.001426164,0.1265987,0.4193749,0.5456166,0.7254924,-0.009383762,181.0753,0.4193934,0.5456407,0.7255244,0.01692596,-0.4379691,0.02607998,0.4390713,0.2203105,0.195286,-0.9547997,0.04103952,175.2959,0.2204963,0.1954507,-0.9556047,0.09718547,-0.01100338,0.01554456,0.09903395,0.5340091,-0.08940179,0.7466151,0.3865328,134.5222,0.5790125,-0.09693608,0.8095357,-0.001795261,1.129091,-0.06015507,1.130694,-0.0623277,-0.0157391,-0.005240608,0.9979179,7.395964,-0.9663653,-0.2440283,-0.08125347,False,False,False,False
1773038152425,0.1398177,0.04045491,0.9265599,0.2441876,0.9590503,-0.4457685,-0.4597027,-0.7671893,-0.03720616,184.2645,-0.4460775,-0.4600213,-0.767721,-0.06463431,0.643006,0.04732899,0.6479771,-0.2360812,-0.2503966,0.9314673,0.1180498,166.4409,-0.2377436,-0.2521598,0.9380264,0.0109259,1.037011,0.3124094,1.083102,-0.06410746,1.043377,0.3068959,1.089463,-0.08668439,1.033328,0.2987868,1.079146,0.05309862,0.5762037,0.02654316,0.5792536,0.03761533,0.5523307,0.03685308,0.5548354,0.008989999,0.5512463,0.03995298,0.5527654,0.1136132,-0.02349533,0.06531133,0.1331374,0.1580092,-0.05769345,0.01471074,0.1688545,0.16159,-0.06587262,-0.009717289,0.1747712,-0.1160041,0.05544581,-0.047164,0.1369512,-0.1146757,0.07185037,-0.02176576,0.1370647,-0.0915858,0.07406075,-0.004672877,0.1178762,0.1064163,-0.05431668,0.04845519,0.1289288,0.1457135,-0.06668633,0.01382449,0.1608434,0.1436164,-0.07239471,-0.006123396,0.1609477,-0.1152843,0.05516826,-0.04646956,0.1359905,-0.1091386,0.06920698,-0.02121712,0.1309619,-0.08947507,0.07236262,-0.004904558,0.115179,0.1185109,-0.05969034,0.03243509,0.1366009,-0.01410314,0.9477882,-0.1434992,0.2844411,146.9491,-0.01471079,0.9886249,-0.149682,-0.103699,0.06355883,-0.02677367,0.1245393,-0.2299389,0.215365,-0.2167636,0.9239911,44.96658,-0.6012827,0.5631723,-0.5668297,-0.0465118,1.011874,0.2826169,1.051629,0.09703538,0.01259071,-0.06347192,0.9931752,13.39552,0.8319788,0.1079524,-0.5442066,0.1181618,-0.04969585,0.001065095,0.1281914,0.4060642,0.5565481,0.7241324,-0.03159527,183.6212,0.406267,0.5568261,0.7244942,0.01914913,-0.4371993,0.02110482,0.4381271,0.2342316,0.177838,-0.9551604,0.03431626,176.0669,0.2343697,0.1779428,-0.9557233,0.0965118,-0.0118736,0.01738316,0.098781,0.5377148,-0.09479784,0.7418705,0.3892358,134.1861,0.5837505,-0.1029138,0.8053846,-0.001697019,1.128969,-0.06023205,1.130576,-0.06180683,-0.01634826,-0.004918889,0.9979421,7.352737,-0.9639133,-0.2549606,-0.07671292,False,False,False,False
