Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773033151573,0,1,1,135,0.03352352,-0.5924299,0.8049242,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.03097169,-0.5473339,0.7436531,0.3826834,135,0.03352352,-0.5924299,0.8049243
Grab,1773033156882,4.444357,1,1,135,0.03352352,-0.5924299,0.8049242,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.03097169,-0.5473339,0.7436531,0.3826834,135,0.03352352,-0.5924299,0.8049243
Trial Start,1773033156906,0,1,1,135,0.03352352,-0.5924299,0.8049242,1,-1,-0.05000002,1,0.3,1.045227,0.005286383,-0.008201546,0.002581147,0.9999491,1.156215,0.5239317,-0.8128525,0.2558166,0.1,0,0,0.1,0.02426075,-0.5480188,0.739988,0.3892361,134.1861,0.0263378,-0.5949365,0.803341
On Target,1773033158494,1.611609,1,1,135,0.03352352,-0.5924299,0.8049242,1,-1,0.0493176,1.005088,0.2941508,1.048408,-0.02642262,-0.5092614,0.7814036,0.359671,137.84,-0.02831766,-0.5457858,0.8374462,0.0006824024,-0.005088449,0.005849183,0.007782732,0.07022602,0.04187641,-0.001325089,0.996651,9.381118,0.858778,0.5120971,-0.01620421
Clutch Start,1773033158827,1.931164,1,1,135,0.03352352,-0.5924299,0.8049242,1,0,0.05167051,1.005761,0.3038861,1.051937,0.007623411,-0.5542393,0.7229893,0.4123679,131.2927,0.00836802,-0.6083741,0.7936065,-0.001670513,-0.00576055,-0.003886104,0.007146772,-0.006590867,0.003118318,0.04297581,0.9990496,4.99668,-0.1511994,0.07153654,0.9858972
Trial End,1773033159480,2.598083,1,2,135,0.03352352,-0.5924299,0.8049242,1,-1,0.0479254,1.000787,0.3006083,1.046057,0.02157814,-0.5602252,0.744649,0.3621878,137.5308,0.0231499,-0.6010323,0.7988895,0.002074603,-0.0007866621,-0.0006082654,0.002300609,-0.006081613,0.02316766,-0.01008211,0.9996623,2.977967,-0.2340465,0.8915908,-0.3880025
Trial Load,1773033159482,2.598083,1,2,135,0.04950865,-0.5598108,0.8271401,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.04574004,-0.5171978,0.7641779,0.3826833,135,0.04950866,-0.5598109,0.8271402
Grab,1773033161202,4.306787,1,2,135,0.04950865,-0.5598108,0.8271401,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.04574004,-0.5171978,0.7641779,0.3826833,135,0.04950866,-0.5598109,0.8271402
Trial Start,1773033161216,0,1,2,135,0.04950865,-0.5598108,0.8271401,1,-1,-0.05000001,1,0.3,1.045227,0.01099836,-0.006020271,0.01130037,0.9998576,1.933842,0.6517255,-0.3567409,0.6696216,0.1,0,0,0.1,0.04276861,-0.5227081,0.7543317,0.3948811,133.4829,0.04655176,-0.5689449,0.821057
On Target,1773033163314,2.111116,1,2,135,0.04950865,-0.5598108,0.8271401,1,-1,0.05529561,1.002507,0.3038158,1.048991,0.09599154,-0.5355155,0.7181464,0.4339063,128.5686,0.1065438,-0.5943846,0.7970919,-0.005295608,-0.002507329,-0.00381577,0.006992158,-0.05469291,-0.05998905,0.03160682,0.9961984,9.995268,-0.6278258,-0.6886208,0.3628181
