Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,0.03352352,-0.5924299,0.8049242,1,2.598083,False,0.002074603,-0.0007866621,-0.0006082654,0.002300609,-0.006081613,0.02316766,-0.01008211,0.9996623,2.977967,-0.2340465,0.8915908,-0.3880025,0.05926047,0.07149832,0.06288884,0.3932863,140.8993,0.03922353,179.5739,0,0,0,0,0,0,0,0.3117265,240.5279,0.04640587,12.17767
1,3,135,0.04950865,-0.5598108,0.8271401,1,3.542292,False,-0.0006339364,0.0003468394,0.0006470084,0.0009699448,-0.04921652,-0.000639713,0.01303023,0.9987031,5.837059,-0.9666207,-0.01256407,0.255916,0.0724007,0.08366083,0.08887611,0.4236625,172.4705,0.05413129,189.3915,0,0,0,0,0,0,0,0.3211102,281.5349,0.03410325,9.617491
1,4,135,0.8686278,0.3362893,-0.3638617,1,5.848597,False,0.001860406,0.000264883,0.008581668,0.008785005,0.0256313,0.0227889,0.03690117,0.9987303,5.775429,0.5087714,0.4523509,0.7324739,0.1090723,0.1568007,0.1704258,0.8997742,417.4656,0.111862,88.94286,0,0,0,0,0,0,0,0.7382607,488.3322,0.07085105,23.18608
1,5,135,0.3413611,-0.4620279,-0.818537,1,7.096042,False,0.001406472,-0.0003679991,0.003241122,0.003552247,0.03086245,0.004154811,-0.02660363,0.9991609,4.694707,0.7535245,0.1014421,-0.6495429,0.1699339,0.1762322,0.2144189,0.5523311,375.0312,0.1444975,396.7141,0,0,0,0,0,0,0,0.5891278,634.1918,0.146402,40.52885
1,6,135,-0.1571595,-0.02012761,0.9873681,1,3.055601,False,0.002099279,-0.001811504,0.00432539,0.005137851,0.01420146,-0.04478263,-0.03726225,-0.9982006,353.1246,0.2368361,-0.7468346,-0.6214181,0.05191188,0.07699954,0.07408959,0.2421481,136.9164,0.1054588,243.3758,0,0,0,0,0,0,0,0.2632631,280.8993,0.04610606,15.68363
1,7,135,-0.2330747,0.9443223,0.2322315,1,5.263224,False,0.0008949451,-0.0008749962,0.005751967,0.005886567,-0.02226583,0.01905381,0.02101011,-0.9993497,355.8672,-0.617506,0.5284259,0.5826806,0.164349,0.2244908,0.2188094,0.4507786,370.9419,0.1532178,538.1738,0,0,0,0,0,0,0,0.5124624,596.2094,0.0708359,22.69758
1,8,135,-0.4410193,0.2053139,0.873698,1,4.707144,False,0.00104345,0.001610994,0.003661066,0.004133703,-0.03900284,-0.05291159,0.01536092,0.997719,7.741197,-0.5777904,-0.7838355,0.2275576,0.08868352,0.07532519,0.09447771,0.3684646,186.7569,0.08603221,185.7048,0,0,0,0,0,0,0,0.3316398,271.73,0.06049049,22.67127
1,9,135,-0.8406456,0.4481154,0.3041506,1,7.317782,False,0.004400156,0.0006067753,0.002392232,0.00504503,-0.05299114,0.03442501,0.006019968,0.9979833,7.278759,-0.8348143,0.5423263,0.09483764,0.184805,0.1650134,0.2254099,0.4972641,311.5181,0.1171356,401.6774,0,0,0,0,0,0,0,0.5250894,630.7166,0.07443347,24.16998
1,10,135,0.1395978,0.4189623,-0.8972085,1,6.55625,False,-0.0006854571,-0.002447248,0.0008030534,0.002665289,0.02297471,-0.03043983,-0.01322751,0.9991851,4.626845,0.5691602,-0.754096,-0.3276896,0.2093039,0.2127653,0.2466707,0.5716506,364.0576,0.2003859,405.9182,0,0,0,0,0,0,0,0.5595461,509.9514,0.09402942,30.58253
1,11,135,0.6984178,-0.7035529,0.1312476,1,6.470906,False,0.0008195601,-0.0007334948,0.006149918,0.006247494,-0.05016999,-0.02400876,0.001663703,0.9984507,6.379578,-0.901629,-0.431473,0.0298992,0.2300825,0.2370891,0.2836201,0.6205484,471.0033,0.1680586,493.9003,0,0,0,0,0,0,0,0.7623074,801.3135,0.05783408,17.19093
2,2,135,0.5656131,-0.6524882,0.5043223,1,3.542278,False,-0.0001867078,-0.004139781,-0.001686513,0.004474033,0.03249731,-0.04706897,-0.02600962,0.9980241,7.205002,0.5171942,-0.7491021,-0.4139428,0.1135493,0.09503524,0.1088403,0.4476366,249.1889,0.06312653,290.1498,0,0,0,0,0,0,0,0.3740114,453.2847,0.03709943,14.53379
