Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Thumb Tip Euro Position X,Right Thumb Tip Euro Position Y,Right Thumb Tip Euro Position Z,Right Thumb Tip Euro Position Magnitude,Right Index Tip Euro Position X,Right Index Tip Euro Position Y,Right Index Tip Euro Position Z,Right Index Tip Euro Position Magnitude,Right Middle Tip Euro Position X,Right Middle Tip Euro Position Y,Right Middle Tip Euro Position Z,Right Middle Tip Euro Position Magnitude,Right Triangle Local Position X,Right Triangle Local Position Y,Right Triangle Local Position Z,Right Triangle Local Position Magnitude,Right Triangle Local Rotation X,Right Triangle Local Rotation Y,Right Triangle Local Rotation Z,Right Triangle Local Rotation W,Right Triangle Local Rotation Angle,Right Triangle Local Rotation Axis X,Right Triangle Local Rotation Axis Y,Right Triangle Local Rotation Axis Z,Right Triangle Area,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Right Angle Scale Factor,Right Is Grabbed,Right Is Rotating,Right Is Clutching,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Thumb Tip Euro Position X,Left Thumb Tip Euro Position Y,Left Thumb Tip Euro Position Z,Left Thumb Tip Euro Position Magnitude,Left Index Tip Euro Position X,Left Index Tip Euro Position Y,Left Index Tip Euro Position Z,Left Index Tip Euro Position Magnitude,Left Middle Tip Euro Position X,Left Middle Tip Euro Position Y,Left Middle Tip Euro Position Z,Left Middle Tip Euro Position Magnitude,Left Triangle Local Position X,Left Triangle Local Position Y,Left Triangle Local Position Z,Left Triangle Local Position Magnitude,Left Triangle Local Rotation X,Left Triangle Local Rotation Y,Left Triangle Local Rotation Z,Left Triangle Local Rotation W,Left Triangle Local Rotation Angle,Left Triangle Local Rotation Axis X,Left Triangle Local Rotation Axis Y,Left Triangle Local Rotation Axis Z,Left Triangle Area,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Left Angle Scale Factor,Left Is Grabbed,Left Is Rotating,Left Is Clutching,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773033200019,0.0140619,0.004916146,0.8936286,0.2196252,0.9202344,0.4450228,0.2016298,0.5863321,-0.6461539,260.5045,0.5830957,0.2641876,0.7682478,-0.04563028,1.000187,0.2769375,1.038822,-0.03764673,1.008425,0.2968723,1.051889,-0.03931947,0.984113,0.2944678,1.027977,-0.02896512,-0.07704347,0.1050599,0.1334625,-0.01605985,-0.07700098,0.1245905,0.1473427,-0.004059344,-0.07569762,0.1027853,0.1277162,-0.03121016,-0.07630966,0.1059827,0.1342742,-0.01599347,-0.0751266,0.12827,0.1495091,-0.003848939,-0.07497023,0.1046058,0.1287545,-0.01714625,-0.07547884,0.1127641,0.1367727,-0.0246034,0.7242194,0.01030573,0.6890535,92.88954,-0.03394927,0.9993224,0.01422047,3.158289,-0.0103174,-0.08802961,0.1132647,0.1438213,-0.4661663,-0.2043036,-0.5819789,-0.6342317,258.7261,-0.6029496,-0.2642507,-0.752744,1.299947,True,True,False,0.00341785,0.564478,0.08231997,0.5704592,0.05970106,-0.3235066,-0.2627795,-0.9070426,310.1996,0.1417947,-0.7683533,-0.6241217,0.1193361,0.5853066,0.1385827,0.6132129,0.1310153,0.5398738,0.1616486,0.5785836,0.1272847,0.5306113,0.1748667,0.5729992,0.05087655,-0.03914519,0.1163089,0.1328478,0.02386211,-0.08334808,0.1284372,0.1549594,0.008936663,-0.08861922,0.1342456,0.1611059,0.05166337,-0.03888572,0.1164639,0.1332105,0.0239135,-0.08320416,0.1286667,0.1550804,0.008917103,-0.08849947,0.1344627,0.16122,0.0409162,-0.0519022,0.1210123,0.1378839,-0.1416043,-0.5894428,0.7071064,0.3640139,137.3062,-0.1520348,-0.6328611,0.7591918,2.763309,0,0,0,0,0,0,0,0,0,1,0,0,0.4139689,False,True,False,-0.05,1,0.3,1.045227,0.01016704,-0.004840046,0.004100347,0.9999282,1.372851,0.8486457,-0.4039998,0.342257,0.1,0,0,0.1,-0.7835479,0.4097857,0.2798594,0.3739081,136.0863,-0.8448266,0.4418336,0.3017463,-0.03009285,1.068347,-0.06121751,1.070522,0.0596556,-0.02933705,-0.0568458,-0.9961672,349.964,0.6820188,-0.3353989,-0.6498954,False
1773033200033,0.0277831,0.004867464,0.8934997,0.2196838,0.920123,0.443426,0.2005311,0.5873187,-0.6466973,260.5861,0.5813541,0.2629065,0.7700049,-0.04529379,0.9990879,0.2781813,1.038081,-0.03784665,1.007453,0.2968747,1.050965,-0.03935266,0.9837443,0.2948796,1.027743,-0.02779678,-0.07691997,0.1049363,0.133045,-0.01616414,-0.07695235,0.1238206,0.1466782,-0.004061539,-0.07569683,0.1028275,0.1277498,-0.03050177,-0.07643607,0.1057645,0.134011,-0.01602857,-0.07551055,0.1273316,0.148903,-0.003892878,-0.07512063,0.1042226,0.1285326,-0.01678603,-0.07568989,0.1122382,0.1364117,-0.02136822,0.7269331,0.01373313,0.6862384,93.33385,-0.0293771,0.9993902,0.01888036,2.984819,-0.009963462,-0.08823694,0.1127481,0.1435171,-0.4714308,-0.2041591,-0.5810217,-0.6312575,258.2859,-0.6078482,-0.2632364,-0.7491512,0.9992967,True,True,False,0.003441244,0.5646906,0.08231001,0.5706682,0.05943419,-0.3233376,-0.262807,-0.9071124,310.2186,0.1412113,-0.7682265,-0.6244102,0.1192888,0.5853627,0.1386265,0.6132671,0.1310319,0.5400202,0.1616346,0.5787201,0.1272908,0.5307404,0.1748307,0.5731092,0.05077703,-0.03920444,0.1162574,0.1327821,0.02388035,-0.08335663,0.1284317,0.1549623,0.008956183,-0.08863407,0.1342213,0.1610949,0.05148065,-0.03895126,0.1164214,0.1331218,0.02390668,-0.08323554,0.1286183,0.155056,0.008925137,-0.08852716,0.134413,0.1611942,0.04077183,-0.0519742,0.1209731,0.1378338,-0.1412092,-0.5893347,0.7076915,0.3632045,137.4057,-0.1515592,-0.6325306,0.7595625,2.762521,0,0,0,0,0,0,0,0,0,1,0,0,0.4068566,False,True,False,-0.05037265,0.9988794,0.300557,1.044333,0.02141313,-0.01020289,0.00725074,0.9996923,2.842404,0.8633766,-0.4113801,0.2923496,0.1003727,0.001120567,-0.0005570054,0.1003805,-0.7904797,0.4061334,0.2790783,0.3637485,137.3388,-0.848612,0.4360006,0.2996019,-0.03042986,1.068245,-0.06123706,1.070431,0.05954848,-0.02875904,-0.05752311,-0.9961517,349.9436,0.6794193,-0.3281267,-0.6563107,False
1773033200047,0.0417243,0.005062461,0.8932549,0.219514,0.9198458,0.4373215,0.2025164,0.5922248,-0.6457606,260.4455,0.5727553,0.2652336,0.7756305,-0.04448189,0.9966227,0.2798364,1.03612,-0.03834589,1.006187,0.2961317,1.04956,-0.03992913,0.9831809,0.294699,1.027174,-0.02489245,-0.07628543,0.1046045,0.1318378,-0.01633273,-0.07660902,0.1229206,0.1457572,-0.004055825,-0.07568713,0.1028841,0.1277894,-0.02931727,-0.0764045,0.1055195,0.1335347,-0.01609189,-0.07574429,0.1263876,0.1482227,-0.003926971,-0.07523937,0.1039313,0.1283671,-0.01621758,-0.07578586,0.1118252,0.1360565,-0.01760512,0.7286099,0.01485597,0.6845415,93.60088,-0.02415055,0.9995005,0.02037928,2.757176,-0.009404987,-0.08833123,0.1123422,0.1432188,-0.4758067,-0.2026891,-0.5790946,-0.6302179,258.1324,-0.6128227,-0.2610565,-0.7458538,1.115428,True,True,False,0.00346984,0.5649191,0.0823027,0.5708934,0.05907893,-0.323141,-0.2628695,-0.9071876,310.2391,0.1404213,-0.768055,-0.6247993,0.1192217,0.5853825,0.1386996,0.6132895,0.1310552,0.5401697,0.1616165,0.5788597,0.1273041,0.5308706,0.1747913,0.5732206,0.05062846,-0.03928564,0.1161982,0.1326975,0.023902,-0.08336458,0.128426,0.1549651,0.008977894,-0.08864773,0.134199,0.161085,0.05130263,-0.03902091,0.1163749,0.1330327,0.02390571,-0.08326244,0.1285782,0.155037,0.008936121,-0.08855227,0.1343684,0.1611714,0.0406304,-0.05205011,0.1209331,0.1377856,-0.1410416,-0.5891117,0.708435,0.3621803,137.5317,-0.1513146,-0.6320208,0.7600353,2.761097,0,0,0,0,0,0,0,0,0,1,0,0,0.4051052,False,True,False,-0.05065755,0.9978541,0.3010735,1.043515,0.02835066,-0.01379761,0.009002874,0.9994623,3.75798,0.8646514,-0.4208057,0.2745737,0.1006576,0.002145886,-0.00107345,0.1006861,-0.7946914,0.4041035,0.2784235,0.3572765,138.1339,-0.8508483,0.4326596,0.2980983,-0.03083387,1.06815,-0.06124836,1.070349,0.05949825,-0.02803897,-0.05807859,-0.9961429,349.9321,0.6780732,-0.3195468,-0.661894,False
1773033200061,0.0556152,0.004791707,0.8927323,0.2190411,0.9192241,0.4372489,0.2025811,0.5940142,-0.644144,260.2031,0.5716388,0.2648451,0.7765864,-0.0435556,0.9947772,0.28049,1.034482,-0.03861676,1.004683,0.2944179,1.047646,-0.03982119,0.9828394,0.2939534,1.026629,-0.02271296,-0.07570112,0.1042779,0.130845,-0.01651217,-0.07642542,0.1212752,0.1442954,-0.004066013,-0.07546993,0.1028305,0.127618,-0.02791922,-0.07625768,0.1052581,0.1329435,-0.01617911,-0.07588866,0.1252935,0.1473747,-0.003955971,-0.07528754,0.103693,0.1282034,-0.01557757,-0.07579344,0.1113821,0.1356218,-0.01289698,0.729653,0.01557922,0.6835185,93.7616,-0.01766872,0.9996161,0.02134335,2.494482,-0.008776186,-0.0883387,0.1119069,0.1428423,-0.4804236,-0.1995721,-0.5768716,-0.6297487,258.0632,-0.6184658,-0.256916,-0.7426267,1.208163,True,True,False,0.003390267,0.5651532,0.0821569,0.5711037,0.05930326,-0.3231801,-0.2625807,-0.9072426,310.2541,0.1409942,-0.7683647,-0.6242887,0.1191434,0.5856035,0.1385096,0.6134424,0.1309591,0.5403901,0.1614882,0.5790079,0.1271915,0.531081,0.1746446,0.5733458,0.05065668,-0.03928794,0.1161619,0.1326772,0.02390762,-0.08337495,0.128415,0.1549625,0.008982231,-0.08867089,0.1341574,0.1610634,0.05116804,-0.03907638,0.1163306,0.1329584,0.0239061,-0.08328582,0.1285443,0.1550215,0.008945693,-0.08857691,0.1343245,0.1611489,0.04052481,-0.05210968,0.1208934,0.1377422,-0.1411155,-0.5889027,0.7091305,0.3611287,137.6609,-0.1513277,-0.6315202,0.7604487,2.759172,0,0,0,0,0,0,0,0,0,1,0,0,0.3911777,False,True,False,-0.05137386,0.9965985,0.3010411,1.042341,0.03441071,-0.02527489,0.008444145,0.9990525,4.98884,0.7906486,-0.5807364,0.1940196,0.1013739,0.003401458,-0.001041114,0.1014363,-0.799686,0.4070571,0.2721171,0.3475044,139.3305,-0.852836,0.4341116,0.2902031,-0.03145153,1.06804,-0.06119806,1.070254,0.05956459,-0.02692389,-0.05904686,-0.9961128,349.8929,0.6762013,-0.3056509,-0.6703237,False
1773033200073,0.0694166,0.005449593,0.8912525,0.2190298,0.917788,0.4352831,0.2057073,0.5975968,-0.641164,259.7574,0.5672151,0.2680561,0.7787253,-0.04240195,0.9921499,0.2811013,1.032074,-0.03842101,1.002607,0.2928037,1.045195,-0.03916659,0.9820011,0.2933901,1.02564,-0.02056828,-0.07534512,0.1039688,0.1300364,-0.01666516,-0.07622629,0.119955,0.1430991,-0.004033743,-0.0751757,0.1032174,0.1277556,-0.02636233,-0.07606845,0.1049879,0.1323021,-0.0162795,-0.07595976,0.1241537,0.146455,-0.003972104,-0.07526431,0.1035908,0.1281076,-0.0149145,-0.07574325,0.110987,0.1351947,-0.008409924,0.7287303,0.0166782,0.6845461,93.60017,-0.01153673,0.9996717,0.02287914,2.217614,-0.008124701,-0.08828935,0.1115187,0.1424691,-0.4831667,-0.1942421,-0.5766236,-0.6295437,258.0329,-0.6218641,-0.2500011,-0.7421486,1.248294,True,True,False,0.003239214,0.5662735,0.08173053,0.5721503,0.05927487,-0.3230242,-0.2624286,-0.907344,310.2817,0.1410001,-0.7683937,-0.624252,0.1189742,0.5866606,0.1380908,0.6143245,0.1307643,0.5414373,0.1610675,0.5798244,0.1269903,0.5321275,0.1742232,0.5741428,0.05066472,-0.03930691,0.1161255,0.132654,0.02391418,-0.08339717,0.1283727,0.1549404,0.008988374,-0.08869473,0.1341163,0.1610426,0.05106368,-0.03912403,0.1162882,0.1328952,0.02390777,-0.08330884,0.1285088,0.1550047,0.008954508,-0.08860126,0.1342815,0.1611269,0.0404432,-0.05216084,0.1208544,0.1377033,-0.1411563,-0.5887492,0.7096643,0.3603136,137.7611,-0.1513202,-0.6311422,0.7607638,2.757704,0,0,0,0,0,0,0,0,0,1,0,0,0.3828878,False,True,False,-0.05139685,0.9956447,0.3006241,1.041309,0.03579044,-0.03216401,0.007570776,0.9988129,5.584081,0.7347538,-0.6603057,0.1554229,0.1013969,0.004355252,-0.0006240904,0.1014923,-0.8016021,0.4098849,0.2676048,0.3432436,139.8508,-0.8534524,0.4363976,0.2849143,-0.03180239,1.068024,-0.06119243,1.070248,0.05969464,-0.02590809,-0.05992629,-0.9960794,349.8495,0.6747915,-0.2928664,-0.67741,False
1773033200088,0.0833783,0.007098734,0.888137,0.2187872,0.9147161,0.4359578,0.2080243,0.5974143,-0.6401274,259.6027,0.5674547,0.2707703,0.777611,-0.04087689,0.989113,0.2804745,1.028922,-0.03708478,0.9993411,0.2915307,1.041656,-0.03736673,0.9796151,0.2928983,1.023148,-0.02028729,-0.07529461,0.103962,0.1299575,-0.01673212,-0.07610407,0.1193441,0.14253,-0.003979329,-0.07492074,0.1038172,0.1280897,-0.02505892,-0.07590669,0.1047711,0.131783,-0.01637389,-0.07599039,0.1231155,0.1456024,-0.003973616,-0.07519235,0.1036397,0.1281049,-0.01439623,-0.07567503,0.1106488,0.1348226,-0.00499284,0.7257743,0.01856207,0.6876642,93.10901,-0.006876916,0.9996493,0.02556657,1.984587,-0.007615498,-0.08822236,0.1111865,0.1421394,-0.4833754,-0.1878773,-0.5789543,-0.6291761,257.9787,-0.6218943,-0.2417165,-0.7448629,1.171324,True,True,False,0.003040478,0.5666851,0.08168665,0.5725504,0.05935186,-0.3230058,-0.2621962,-0.9074127,310.3004,0.141233,-0.7686211,-0.6239192,0.1187696,0.5870491,0.1380216,0.6146404,0.1305387,0.5418034,0.161044,0.580109,0.1267762,0.5325254,0.1742183,0.5744628,0.05068765,-0.03929869,0.1160952,0.1326338,0.02390702,-0.08340807,0.1283615,0.1549359,0.008994144,-0.08869041,0.1341356,0.1610566,0.050985,-0.03916047,0.1162479,0.1328405,0.02390761,-0.08332954,0.1284781,0.1549903,0.00896277,-0.08861985,0.134251,0.1611122,0.04038329,-0.05219856,0.1208186,0.1376685,-0.1410008,-0.5886156,0.710009,0.3599135,137.8102,-0.1511286,-0.6308946,0.7610074,2.757015,0,0,0,0,0,0,0,0,0,1,0,0,0.3755587,False,True,False,-0.0510525,0.993916,0.3000555,1.039475,0.03322227,-0.04270503,0.00833761,0.9985004,6.276372,0.6068643,-0.780084,0.1523014,0.1010525,0.006083965,-5.549192E-05,0.1012355,-0.8036561,0.4139155,0.2579735,0.3409701,140.128,-0.8548859,0.4403009,0.2744183,-0.03215778,1.067992,-0.06118977,1.070227,0.05974637,-0.02472752,-0.06063673,-0.9960634,349.8288,0.6740018,-0.2789524,-0.684046,False
1773033200102,0.0972264,0.008053869,0.8845487,0.2194757,0.911406,0.4399664,0.2115994,0.5962584,-0.6372843,259.1792,0.5709187,0.2745802,0.7737297,-0.03982236,0.9862405,0.2800196,1.025996,-0.03609426,0.9965655,0.2907509,1.03874,-0.03609223,0.9770104,0.2924255,1.020473,-0.02015388,-0.07527452,0.1039815,0.1299407,-0.01675067,-0.07608493,0.1192095,0.1424093,-0.003976186,-0.0746544,0.1039185,0.1280162,-0.02401073,-0.07577551,0.1046053,0.13138,-0.01645198,-0.07601029,0.1222769,0.1449133,-0.00397415,-0.0750805,0.1036994,0.1280876,-0.01399256,-0.07560011,0.1103902,0.1345257,-0.002558443,0.7228848,0.02150905,0.690629,92.64016,-0.003537625,0.9995514,0.02974111,1.80633,-0.007218891,-0.08814874,0.1109323,0.1418742,-0.4834078,-0.1830163,-0.5818738,-0.6278893,257.7891,-0.6211051,-0.2351479,-0.7476189,1.032589,True,True,False,0.002995685,0.5667347,0.08162595,0.5725906,0.05950709,-0.3228626,-0.2625423,-0.9073535,310.2843,0.1415593,-0.7680464,-0.6245526,0.1187016,0.5872039,0.1379561,0.6147604,0.1304735,0.5419198,0.1609992,0.5801906,0.1267443,0.5326709,0.1741774,0.5745782,0.0507218,-0.03929097,0.1160757,0.1326275,0.02389128,-0.08342663,0.1283281,0.1549158,0.009009258,-0.08869618,0.134132,0.1610577,0.05093029,-0.03918752,0.1162122,0.1327962,0.02390423,-0.08334967,0.128447,0.1549748,0.008972398,-0.08863567,0.1342263,0.1611009,0.04034533,-0.05222336,0.1207855,0.1376378,-0.1406028,-0.5885646,0.7101141,0.3599454,137.8063,-0.150704,-0.6308482,0.76113,2.756131,0,0,0,0,0,0,0,0,0,1,0,0,0.3697081,False,True,False,-0.04959476,0.9905598,0.2994038,1.036007,0.02693164,-0.04699426,0.01337305,0.9984425,6.396495,0.4827254,-0.8423298,0.2396998,0.09959476,0.009440243,0.0005962253,0.1000429,-0.8044938,0.4133897,0.2500947,0.3454728,139.5787,-0.8572775,0.4405127,0.2665036,-0.03257291,1.067917,-0.06118999,1.070164,0.05987243,-0.02379224,-0.06154219,-0.996023,349.7768,0.6719945,-0.2670386,-0.6907354,False
1773033200115,0.111165,0.009633422,0.8813484,0.2197846,0.9083904,0.4420684,0.2170834,0.5956792,-0.6345208,258.7689,0.5719564,0.2808666,0.770701,-0.03847503,0.9834393,0.2794271,1.02309,-0.03507737,0.9940582,0.2894247,1.035929,-0.03460097,0.9753636,0.2919467,1.018707,-0.01951264,-0.0752131,0.1041247,0.1299219,-0.01676798,-0.07609846,0.1190912,0.1423196,-0.003882214,-0.07450245,0.1049392,0.1287553,-0.02304283,-0.07565829,0.1045039,0.1310581,-0.01651783,-0.07602893,0.1215894,0.144351,-0.003954951,-0.07495981,0.103965,0.1282316,-0.01365298,-0.07552755,0.1102709,0.1343521,-0.0004703548,0.7170077,0.02503373,0.6966154,91.68783,-0.0006555974,0.9993911,0.03489292,1.650275,-0.00688527,-0.08807744,0.1108152,0.1417217,-0.4810818,-0.1760545,-0.5869322,-0.6269574,257.652,-0.6175209,-0.2259851,-0.7533914,0.9601312,True,True,False,0.002983004,0.5667946,0.08159897,0.572646,0.05944106,-0.3227232,-0.2629743,-0.9072822,310.2649,0.1413506,-0.7674343,-0.6253517,0.1186768,0.5873804,0.1379083,0.6149135,0.1304601,0.542021,0.1609568,0.5802703,0.1267584,0.5327882,0.1741371,0.5746779,0.05077957,-0.03925537,0.1160609,0.1326261,0.02388586,-0.08344235,0.1283,0.1549001,0.009025168,-0.08870096,0.1341287,0.1610585,0.0508988,-0.03920165,0.1161807,0.1327607,0.02390041,-0.08336898,0.1284163,0.1549592,0.008983383,-0.08864927,0.134206,0.161092,0.04032815,-0.05223381,0.120755,0.13761,-0.1400506,-0.5885851,0.7100428,0.3602676,137.7668,-0.1501322,-0.6309544,0.7611551,2.75572,0,0,0,0,0,0,0,0,0,1,0,0,0.3642464,False,True,False,-0.04850454,0.9875454,0.2989812,1.032951,0.01781884,-0.04845867,0.0182026,0.9985003,6.276496,0.3254866,-0.8851668,0.3324966,0.09850454,0.01245457,0.001018852,0.099294,-0.8034623,0.4127839,0.2433527,0.3533232,138.6186,-0.8588575,0.4412435,0.2601307,-0.03302589,1.067746,-0.06116012,1.070006,0.05991339,-0.02285427,-0.06205288,-0.9960108,349.7611,0.6714317,-0.256121,-0.6954082,False
1773033200129,0.1249943,0.01097628,0.8786186,0.2200572,0.9058235,0.4442969,0.2230325,0.5949527,-0.6315759,258.333,0.5730541,0.2876673,0.7673699,-0.03718921,0.9812753,0.2786829,1.020759,-0.03438601,0.9920011,0.2878968,1.033505,-0.03342523,0.9741542,0.2912333,1.017305,-0.01889922,-0.07494369,0.1044369,0.1299261,-0.01679056,-0.07612988,0.1189078,0.1421856,-0.003799121,-0.07433961,0.1058517,0.129404,-0.0221555,-0.07551041,0.1044899,0.1308083,-0.01657432,-0.07605011,0.1210143,0.1438847,-0.003922626,-0.07483123,0.1043651,0.1284803,-0.01335322,-0.07544529,0.1102511,0.1342595,0.00278308,0.7095141,0.02899326,0.704089,90.48801,0.003919215,0.9991584,0.04082916,1.51249,-0.00659072,-0.08799663,0.1107957,0.1416423,-0.4784642,-0.1674396,-0.592413,-0.6261653,257.5355,-0.6136591,-0.2147514,-0.7598054,0.8988981,True,True,False,0.002972186,0.5668468,0.08157402,0.5726941,0.0592677,-0.3224589,-0.2638996,-0.9071189,310.2204,0.1408204,-0.766164,-0.6270268,0.118635,0.5876312,0.1378781,0.6151383,0.1304652,0.5421821,0.160908,0.5804085,0.1268011,0.532958,0.1740875,0.5748297,0.05084554,-0.03921183,0.1160488,0.1326279,0.02387983,-0.08345832,0.1282701,0.1548831,0.00904226,-0.08870438,0.1341281,0.1610608,0.05088775,-0.03920376,0.1161533,0.1327332,0.02389615,-0.08338748,0.128386,0.1549434,0.008995564,-0.08866067,0.1341899,0.1610855,0.04032921,-0.05223107,0.1207272,0.1375848,-0.1393452,-0.588674,0.7098052,0.3608634,137.6935,-0.1494129,-0.6312056,0.7610884,2.755822,0,0,0,0,0,0,0,0,0,1,0,0,0.3619758,False,True,False,-0.04736899,0.9849122,0.2979531,1.030083,0.005557174,-0.05149806,0.02556196,0.9983305,6.622541,0.09621098,-0.8915825,0.4425525,0.09736899,0.01508784,0.002046883,0.09855228,-0.8025389,0.4116065,0.2330517,0.363591,137.3582,-0.8615012,0.4418471,0.2501739,-0.03344161,1.067693,-0.06114341,1.069965,0.05953562,-0.02170309,-0.06290004,-0.9960061,349.755,0.6668013,-0.2430755,-0.7044829,False
1773033200144,0.138872,0.0115916,0.8758332,0.2207429,0.9032971,0.4481577,0.2290728,0.5934733,-0.6280683,257.8155,0.5759211,0.2943782,0.7626641,-0.03648037,0.979216,0.2782381,1.018632,-0.03417099,0.9901723,0.286589,1.031379,-0.03264252,0.9734067,0.290927,1.016477,-0.01819783,-0.07471847,0.1047687,0.1299634,-0.01680623,-0.07614069,0.1188457,0.1421413,-0.003673125,-0.07413589,0.107158,0.1303551,-0.02130478,-0.07534619,0.1045483,0.1306189,-0.01662249,-0.07606915,0.1205484,0.1435087,-0.003870753,-0.07468681,0.1049562,0.1288756,-0.01308461,-0.07535297,0.1103493,0.1342618,0.006550604,0.6987633,0.03373495,0.7145271,88.79109,0.009363252,0.9987929,0.0482198,1.388455,-0.006326824,-0.08790593,0.1108922,0.1416494,-0.4741374,-0.1562245,-0.5996374,-0.6254781,257.4346,-0.60768,-0.2002257,-0.7685276,0.8688325,True,True,False,0.002932966,0.5669571,0.08154024,0.5727982,0.05952553,-0.3224363,-0.263628,-0.907189,310.2395,0.1414838,-0.7663857,-0.6266066,0.1186296,0.5879337,0.1377917,0.6154069,0.1303928,0.5422844,0.1609246,0.5804923,0.1267497,0.533102,0.1741046,0.5749571,0.05100501,-0.0390647,0.1160727,0.1326667,0.02387046,-0.08346595,0.1282667,0.1548829,0.009068361,-0.08869877,0.1341459,0.161074,0.05091215,-0.0391749,0.1161366,0.1327194,0.02389082,-0.08340377,0.1283612,0.1549308,0.009010667,-0.08866858,0.1341807,0.1610831,0.0403645,-0.05219524,0.1207056,0.1375626,-0.1384716,-0.588891,0.7093533,0.3617332,137.5867,-0.1485298,-0.6316664,0.7608787,2.756768,0,0,0,0,0,0,0,0,0,1,0,0,0.3631265,False,True,False,-0.04650268,0.9828899,0.2967788,1.027771,-0.008525497,-0.05536072,0.03393524,0.9978532,7.509987,-0.1301797,-0.8453278,0.5181724,0.09650268,0.01711011,0.003221184,0.09806069,-0.801331,0.4103412,0.220883,0.3750994,135.9391,-0.864449,0.4426623,0.2382812,-0.03384063,1.067577,-0.06111175,1.06986,0.05939324,-0.02079357,-0.06368158,-0.9959843,349.7271,0.6634061,-0.2322584,-0.7113056,False
