Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773033749223,0,1,1,135,-0.254133,-0.467726,0.8465512,1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0,0,0.1,-0.2347883,-0.4321224,0.7821113,0.3826833,135,-0.254133,-0.467726,0.8465512
Trial Start,1773033753720,0,1,1,135,-0.254133,-0.467726,0.8465512,1,-0.04997082,1.000014,0.3000556,1.045255,0.000267645,-0.001736256,0.0002923954,0.9999984,0.2017411,0.1520258,-0.9862161,0.1660844,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.09997083,-1.382828E-05,-5.555153E-05,0.09997084,-0.2361219,-0.4317353,0.7814749,0.3835988,134.8864,-0.2556816,-0.467499,0.8462102
Grab,1773033753830,0.1155393,1,1,135,-0.254133,-0.467726,0.8465512,1,-0.04984867,1.000514,0.299253,1.045497,-0.003584036,0.002365233,0.01033451,0.9999374,1.282049,-0.3203484,0.2114094,0.9237196,0.118286,-0.08648406,0.01773973,0.1476,0.7597654,0.4883597,0.3491917,0.2496533,151.086,0.7846097,0.504329,0.3606103,-0.1149768,-0.4232199,-0.03501596,0.4399555,-0.490692,-0.1078673,0.8591369,0.09731247,168.8311,-0.493032,-0.1083817,0.863234,0.09984867,-0.0005135536,0.0007469654,0.09985279,-0.2270864,-0.4326238,0.7802116,0.3905616,134.0211,-0.2466784,-0.4699486,0.8475248
Release,1773033754236,0.5196706,1,1,135,-0.254133,-0.467726,0.8465512,1,-0.03678136,1.000569,0.2949274,1.043779,0.02031522,0.2670909,0.06720712,0.9611104,32.06286,0.073562,0.9671438,0.2433589,0.1181056,-0.107802,0.01345035,0.1604716,0.6875765,0.5515175,0.4716617,0.0245418,177.1874,0.6877837,0.5516836,0.4718038,-0.1566088,-0.3939054,-0.08213323,0.4317797,-0.7014841,-0.03436185,0.7003005,0.1277438,165.3215,-0.7072787,-0.0346457,0.7060853,0.08678135,-0.0005691051,0.005072594,0.08693134,0.004504749,-0.5491968,0.7799074,0.3001786,145.0633,0.004722537,-0.5757486,0.8176132
Grab,1773033755223,1.506641,1,1,135,-0.254133,-0.467726,0.8465512,1,-0.03855379,0.9906592,0.2930462,1.033813,0.01696323,0.30228,-0.05215121,0.9516404,35.78286,0.05521628,0.9839385,-0.1697552,0.1198609,-0.06550792,0.01129464,0.1370602,0.6187767,0.7852182,-0.006102029,0.02259823,177.4102,0.6189348,0.7854187,-0.006103588,-0.1650008,-0.3750608,-0.09102707,0.4197401,-0.7246145,-0.1017402,0.635528,0.2463472,151.4771,-0.747656,-0.1049754,0.6557368,0.08855379,0.009340763,0.006953776,0.08931617,-0.01604466,-0.5279253,0.8278877,0.1887841,158.2363,-0.01633845,-0.537592,0.8430469
Release,1773033755403,1.686651,1,1,135,-0.254133,-0.467726,0.8465512,1,-0.02668077,0.9926105,0.2822586,1.032307,-0.0138516,0.302459,-0.1734308,0.9371491,40.84366,-0.03969746,0.8668208,-0.4970374,0.1075449,-0.0994144,0.01049335,0.1468306,0.6005214,0.7968665,0.06606723,0.003592622,179.5883,0.6005253,0.7968718,0.06606766,-0.161778,-0.3695508,-0.1093421,0.4179661,-0.6822312,-0.1761598,0.6266666,0.3328919,141.1112,-0.7234959,-0.1868148,0.6645705,0.07668076,0.007389486,0.01774141,0.07905252,-0.05311759,-0.4691561,0.8763235,0.095542,169.035,-0.0533617,-0.4713122,0.8803507
Grab,1773033758182,4.466085,1,1,135,-0.254133,-0.467726,0.8465512,1,-0.004877738,0.9902185,0.2698812,1.026349,0.1510835,0.2038226,-0.06119772,0.9653419,30.25744,0.5788894,0.7809637,-0.2344843,0.1204436,-0.07821947,0.0214426,0.1452058,0.7701944,0.4556504,0.4325162,0.1100606,167.3624,0.7749018,0.4584354,0.4351598,-0.1321244,-0.2103613,-0.2311249,0.3393044,-0.5213215,-0.2848435,0.7023017,0.3922505,133.8108,-0.5667409,-0.3096602,0.7634889,0.05487774,0.00978148,0.03011876,0.06335916,-0.1515011,-0.598941,0.7609928,0.1980079,157.159,-0.1545613,-0.6110393,0.7763645
Release,1773033758613,4.896433,1,1,135,-0.254133,-0.467726,0.8465512,1,0.0574059,0.9999967,0.2777136,1.03943,-0.2685309,-0.1317774,0.575885,0.7608432,80.92282,-0.413802,-0.203067,0.88743,0.1098144,-0.09836255,0.01889607,0.1486319,0.853717,-0.1503272,0.3247331,0.3783087,135.5421,0.9222597,-0.1623966,0.3508051,-0.2221602,-0.335685,-0.1752812,0.4390479,-0.3685731,-0.07505757,0.7841175,-0.4936393,239.1601,-0.4238097,-0.08630615,0.90163,-0.007405903,3.278255E-06,0.02228644,0.02348474,0.06991343,-0.2035384,0.459781,0.8615601,61.01559,0.1377182,-0.4009379,0.9056946
Grab,1773033758627,4.910547,1,1,135,-0.254133,-0.467726,0.8465512,1,0.05758256,1.000188,0.2780711,1.039719,-0.2770932,-0.1438299,0.5786703,0.7534408,82.22137,-0.4214244,-0.2187475,0.8800858,0.108988,-0.09893339,0.0204596,0.1486095,0.8476042,-0.1304337,0.3289367,0.3954174,133.416,0.9228119,-0.142007,0.3581232,-0.2249319,-0.3355289,-0.1763475,0.4407635,-0.3732875,-0.08531207,0.7838953,-0.48876,238.5182,-0.4278768,-0.09778804,0.8985316,-0.00758256,-0.0001877546,0.02192888,0.02320358,0.06670529,-0.1896847,0.4537957,0.8681242,59.51722,0.1343925,-0.3821614,0.9142712
Release,1773033758641,4.92531,1,1,135,-0.254133,-0.467726,0.8465512,1,0.05714495,1.000266,0.2784116,1.03986,-0.282891,-0.1444874,0.5747251,0.7541798,82.0925,-0.4307977,-0.2200311,0.8752141,0.1087606,-0.09925764,0.02094789,0.1487271,0.8402306,-0.1305353,0.3234752,0.4151347,130.9444,0.923574,-0.1434832,0.3555611,-0.2257493,-0.3353728,-0.176396,0.4410819,-0.3616351,-0.09252726,0.7829205,-0.4976889,239.6944,-0.4169399,-0.1066774,0.9026523,-0.007144954,-0.0002655983,0.02158839,0.02274158,0.0665315,-0.1842915,0.4582345,0.8669668,59.7839,0.1334993,-0.3697916,0.9194739
