Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Total Thumb Tip Translation,Total Index Tip Translation,Total Middle Tip Translation,Total Thumb Tip Translation_left,Total Index Tip Translation_left,Total Middle Tip Translation_left,Total Wrist Translation,Total Wrist Rotation,Total Wrist Translation_left,Total Wrist Rotation_left,Total Die Translation,Total Die Rotation,Total Die Local Translation,Total Die Local Rotation,Total Die Local Translation_left,Total Die Local Rotation_left,Total Head Translation,Total Head Rotation,Total Grabbed Time,Total Grabbed Time_left
1,1,135,-0.254133,-0.467726,0.8465512,1,10.38118,False,0.002829127,0.002762854,0.008403271,0.009287211,-0.03244876,-0.00426755,0.02193561,0.9992236,4.515869,-0.8236087,-0.1083182,0.5567659,0.1707473,0.1719073,0.1711523,0,0,0,0.472389,177.6116,0,0,0.2106128,401.2183,0.2160836,367.1146,0,0,0.04097023,9.268113,5.255473,0
1,2,135,-0.7010791,-0.1583174,-0.6952868,0.9999999,29.66799,False,0.004266087,0.004205823,-0.002009839,0.006318852,-0.05337194,-0.04231678,-0.05030787,0.9964085,9.714809,-0.6303053,-0.4997474,-0.5941197,0.2917542,0.2619077,0.2599284,0,0,0,0.4406846,287.2548,0,0,0.35167,579.0072,0.301883,534.9028,0,0,0.05148011,9.862949,7.180107,0
1,3,135,-0.2830885,0.6982875,0.6574614,1,12.36527,False,-0.0002791323,0.0007694364,0.004717052,0.004787539,-0.0339652,-0.04793549,0.009752027,0.9982252,6.828182,-0.5703471,-0.8049378,0.1637571,0.1501448,0.09876809,0.0984343,0,0,0,0.3076679,139.7738,0,0,0.227538,242.7061,0.1039494,214.2036,0,0,0.04164185,9.275248,5.320989,0
1,4,135,0.981197,0.1393971,-0.133495,1,12.6298,False,-0.0002767779,0.0005245805,-0.003480226,0.003530405,-0.02455701,0.02274587,0.01371509,0.9993455,4.146031,-0.6788729,0.6288044,0.3791505,0.325492,0.2338911,0.216186,0,0,0,0.4972582,274.6113,0,0,0.4430695,544.9402,0.2192327,484.9303,0,0,0.05798395,15.23789,7.865118,0
1,5,135,-0.5170621,-0.6743788,-0.5271244,1,14.77968,False,0.002896864,-0.001431584,0.00508967,0.006028764,0.04382551,-0.05140597,-0.03493023,-0.9971042,351.277,0.5762835,-0.6759626,-0.4593149,0.4039183,0.3730783,0.37745,0,0,0,0.8073329,427.0086,0,0,0.5404109,840.636,0.3478335,660.1321,0,0,0.06986742,15.44668,7.956687,0
1,6,135,-0.01932602,0.4632483,0.8860178,1,10.64152,False,0.007048566,0.007264614,0.00285241,0.01051633,-0.03365126,0.05388796,-0.01496692,0.9978677,7.48481,-0.5155622,0.8256035,-0.2293043,0.1792825,0.1557365,0.1866305,0,0,0,0.4508658,231.1238,0,0,0.2449535,412.0619,0.21349,342.0082,0,0,0.03271318,9.00142,3.931715,0
1,7,135,-0.8780558,0.2231885,0.4233262,1,8.280706,False,-0.001602281,0.0006713271,0.002829373,0.003320141,0.01302009,0.05947616,0.01639126,0.9980103,7.22996,0.2064987,0.9432927,0.2599657,0.06799725,0.05972329,0.05341129,0,0,0,0.1329073,66.0069,0,0,0.1063269,182.7812,0.07794511,193.8456,0,0,0.02308896,6.330358,1.4856,0
1,8,135,0.2251683,0.9604642,-0.1637305,0.9999999,20.60222,False,0.001605798,-0.001271844,-0.0007181168,0.002170683,0.001047904,-0.01063362,-0.04353237,0.9989949,5.138053,0.02337875,-0.2372363,-0.9712079,0.2208067,0.1809494,0.2472509,0,0,0,0.4388517,280.1278,0,0,0.3348052,500.4635,0.2094953,399.6344,0,0,0.04143584,9.856813,6.877781,0
1,9,135,0.2363397,-0.2568825,0.9370992,1,7.611917,False,-8.885562E-05,-0.0006765127,0.005334496,0.005377957,-0.01152889,0.02577846,-0.02211444,0.9993566,4.110761,-0.3214488,0.7187554,-0.6165953,0.1572921,0.1798955,0.1690592,0,0,0,0.4699798,199.0553,0,0,0.2831472,357.5973,0.1430172,294.9121,0,0,0.04347243,11.58187,4.164466,0
1,10,135,0.8668461,-0.2703356,-0.418923,1,8.6567,False,-0.0001464672,-0.0005983114,0.007213324,0.007239577,-0.02359139,0.06255424,-0.02278043,0.9975026,8.100278,-0.3340173,0.8856704,-0.3225353,0.2213133,0.1497151,0.1542082,0,0,0,0.302146,217.5407,0,0,0.2830216,426.3026,0.1628648,320.5515,0,0,0.03996769,11.03179,3.746073,0
2,1,135,0.1312755,0.6170739,-0.775878,1,6.588801,False,-0.00146997,-0.001412511,0.0007328987,0.002166365,0.002989418,-0.02383927,0.02524365,0.9993927,3.994276,0.0857802,-0.6840588,0.7243569,0.1564827,0.1596002,0.1863397,0,0,0,0.3141168,119.2174,0,0,0.2258877,321.8781,0.134771,277.8353,0,0,0.05298016,16.4101,4.508206,0
2,2,135,0.7888688,0.3238724,-0.5222955,0.9999999,17.86891,False,-0.002616189,0.0001872778,0.006498754,0.00700809,0.02485277,0.06249192,-0.01534168,0.9976181,7.910846,0.3602872,0.9059371,-0.2224063,0.3622468,0.2278205,0.3155194,0,0,0,0.4955718,329.4814,0,0,0.4268708,708.3744,0.2914973,594.7367,0,0,0.08366362,24.17338,9.708944,0
2,3,135,-0.8362985,0.5245841,-0.1594249,1,7.822744,False,-0.0009854548,0.0008190274,-0.001504958,0.001976569,-0.02673747,0.003129771,0.01855218,0.9994655,3.746924,-0.8178581,0.09573489,0.5674828,0.1932786,0.1226894,0.1478473,0,0,0,0.3995994,223.8947,0,0,0.244716,376.1746,0.1497328,274.6153,0,0,0.05651944,13.42269,2.394404,0
2,4,135,0.503922,0.6394058,-0.580709,1,12.12659,False,-0.001088198,-0.0005115271,0.005730182,0.005854982,0.02527837,0.0738451,0.002847041,0.9969453,8.959206,0.3236501,0.945471,0.03645191,0.211022,0.2609572,0.1977954,0,0,0,0.3424575,320.3765,0,0,0.3072737,482.7099,0.2104149,370.404,0,0,0.05172964,16.87432,4.96041,0
