Timestamp,Trial Duration,Wrist World Position X,Wrist World Position Y,Wrist World Position Z,Wrist World Position Magnitude,Wrist World Rotation X,Wrist World Rotation Y,Wrist World Rotation Z,Wrist World Rotation W,Wrist World Rotation Angle,Wrist World Rotation Axis X,Wrist World Rotation Axis Y,Wrist World Rotation Axis Z,Wrist World Position_left X,Wrist World Position_left Y,Wrist World Position_left Z,Wrist World Position_left Magnitude,Wrist World Rotation_left X,Wrist World Rotation_left Y,Wrist World Rotation_left Z,Wrist World Rotation_left W,Wrist World Rotation_left Angle,Wrist World Rotation_left Axis X,Wrist World Rotation_left Axis Y,Wrist World Rotation_left Axis Z,Thumb Tip World Position X,Thumb Tip World Position Y,Thumb Tip World Position Z,Thumb Tip World Position Magnitude,Index Tip World Position X,Index Tip World Position Y,Index Tip World Position Z,Index Tip World Position Magnitude,Middle Tip World Position X,Middle Tip World Position Y,Middle Tip World Position Z,Middle Tip World Position Magnitude,Thumb Tip World Position_left X,Thumb Tip World Position_left Y,Thumb Tip World Position_left Z,Thumb Tip World Position_left Magnitude,Index Tip World Position_left X,Index Tip World Position_left Y,Index Tip World Position_left Z,Index Tip World Position_left Magnitude,Middle Tip World Position_left X,Middle Tip World Position_left Y,Middle Tip World Position_left Z,Middle Tip World Position_left Magnitude,Thumb Tip Local Position X,Thumb Tip Local Position Y,Thumb Tip Local Position Z,Thumb Tip Local Position Magnitude,Index Tip Local Position X,Index Tip Local Position Y,Index Tip Local Position Z,Index Tip Local Position Magnitude,Middle Tip Local Position X,Middle Tip Local Position Y,Middle Tip Local Position Z,Middle Tip Local Position Magnitude,Thumb Tip Local Position_left X,Thumb Tip Local Position_left Y,Thumb Tip Local Position_left Z,Thumb Tip Local Position_left Magnitude,Index Tip Local Position_left X,Index Tip Local Position_left Y,Index Tip Local Position_left Z,Index Tip Local Position_left Magnitude,Middle Tip Local Position_left X,Middle Tip Local Position_left Y,Middle Tip Local Position_left Z,Middle Tip Local Position_left Magnitude,Thumb Tip Euro Position X,Thumb Tip Euro Position Y,Thumb Tip Euro Position Z,Thumb Tip Euro Position Magnitude,Index Tip Euro Position X,Index Tip Euro Position Y,Index Tip Euro Position Z,Index Tip Euro Position Magnitude,Middle Tip Euro Position X,Middle Tip Euro Position Y,Middle Tip Euro Position Z,Middle Tip Euro Position Magnitude,Thumb Tip Euro Position_left X,Thumb Tip Euro Position_left Y,Thumb Tip Euro Position_left Z,Thumb Tip Euro Position_left Magnitude,Index Tip Euro Position_left X,Index Tip Euro Position_left Y,Index Tip Euro Position_left Z,Index Tip Euro Position_left Magnitude,Middle Tip Euro Position_left X,Middle Tip Euro Position_left Y,Middle Tip Euro Position_left Z,Middle Tip Euro Position_left Magnitude,Triangle Local Position X,Triangle Local Position Y,Triangle Local Position Z,Triangle Local Position Magnitude,Triangle Local Rotation X,Triangle Local Rotation Y,Triangle Local Rotation Z,Triangle Local Rotation W,Triangle Local Rotation Angle,Triangle Local Rotation Axis X,Triangle Local Rotation Axis Y,Triangle Local Rotation Axis Z,Triangle Local Position_left X,Triangle Local Position_left Y,Triangle Local Position_left Z,Triangle Local Position_left Magnitude,Triangle Local Rotation_left X,Triangle Local Rotation_left Y,Triangle Local Rotation_left Z,Triangle Local Rotation_left W,Triangle Local Rotation_left Angle,Triangle Local Rotation_left Axis X,Triangle Local Rotation_left Axis Y,Triangle Local Rotation_left Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is Grabbed,Is Grabbed_right,Is Grabbed_left,Is On Target
1773033824739,0.0140679,0.1474734,0.9005958,0.2567245,0.9480131,-0.6406092,-0.7365203,-0.1894618,0.1061224,167.8163,-0.6442472,-0.740703,-0.1905377,-0.04031183,0.5856451,0.1531972,0.6066915,0.463789,0.1489267,-0.8460454,0.2166275,154.9779,0.4750699,0.1525491,-0.8666241,0.05361954,0.9800941,0.2888032,1.023165,0.05591841,1.026322,0.284878,1.066593,0.05266077,1.031883,0.3119612,1.079294,0.0750161,0.5977068,0.2201968,0.6413794,0.08455937,0.5635921,0.246599,0.6209649,0.07826989,0.5511562,0.2645023,0.6163285,0.09933102,-0.07920565,-0.004168097,0.1271124,0.1391686,-0.0725385,0.01877268,0.1580574,0.1555104,-0.07126999,-0.003729902,0.1711047,-0.1145473,0.04438984,-0.05332376,0.1339215,-0.1337204,0.07725784,-0.03087273,0.1574899,-0.1430917,0.08388652,-0.01130296,0.1662526,0.09923775,-0.07941363,-0.004121772,0.1271678,0.1393586,-0.0725451,0.0187145,0.1582209,0.1556658,-0.07118612,-0.003920148,0.1712153,-0.1146034,0.04428106,-0.0532121,0.133889,-0.1337948,0.07721597,-0.0308723,0.1575323,-0.143112,0.08387333,-0.01130667,0.1662637,0.1222699,-0.07588801,-0.0003101261,0.1439063,-0.0666667,0.7027003,0.03554168,0.7074636,89.94217,-0.09432856,0.9942701,0.0502889,-0.1246178,0.05849344,-0.03877628,0.1430198,-0.1043964,-0.404124,-0.5811923,0.6985704,91.37516,-0.1458985,-0.5647808,-0.8122415,-0.05006129,1.000088,0.2998751,1.045279,0.00058053,-0.006027756,-0.004584023,0.9999712,0.8704251,0.07642703,-0.7935567,-0.6034886,0.1232735,-0.07835389,-0.009741345,0.1463919,0.2309431,0.5196451,-0.5496178,-0.6120088,255.4698,0.2920185,0.6570706,-0.6949699,-0.2652949,-0.3186398,-0.1736699,0.4495263,-0.04589546,0.699427,0.3690852,0.6103044,104.777,-0.05793661,0.8829288,0.4659185,0.1000613,-8.821487E-05,0.0001249611,0.1000614,-0.477832,-0.6182476,-0.4884724,0.388383,134.2921,-0.5185382,-0.6709157,-0.5300851,-0.01641968,1.051326,-0.02125954,1.051669,-0.024414,-0.007597724,0.02070363,0.9994587,3.770666,-0.7420837,-0.2309391,0.6293041,False,False,False,False
1773033824750,0.0295493,0.02924275,0.8969798,0.2360803,0.9279881,-0.6025528,-0.5511615,-0.5727819,0.07121906,171.832,-0.6040868,-0.5525646,-0.5742401,-0.04142236,0.5875606,0.1528364,0.6085246,0.4653527,0.1552732,-0.8450539,0.212652,155.4444,0.4762455,0.1589078,-0.8648345,-0.04514856,1.00426,0.2564378,1.037466,-0.02897545,1.029855,0.3307245,1.082044,-0.05780092,1.008171,0.3348952,1.06391,0.07497971,0.5976336,0.2187324,0.6408055,0.08382052,0.5646598,0.2468245,0.6219236,0.07759376,0.5527051,0.2650243,0.6178524,0.09777209,-0.08538713,0.02464042,0.1321268,0.1655285,-0.04258206,0.02810226,0.1732127,0.1637032,-0.05351496,-0.006475464,0.17235,-0.1138032,0.04572979,-0.05432133,0.1341387,-0.1348792,0.07677419,-0.03094077,0.158253,-0.1448593,0.08275932,-0.01151165,0.1672299,0.09911872,-0.07989875,-0.001785916,0.1273245,0.1414839,-0.07011171,0.01947691,0.1590997,0.1563186,-0.06975099,-0.004127672,0.1712242,-0.1145384,0.04439871,-0.05330219,0.1339082,-0.1338828,0.0771801,-0.03087786,0.1575907,-0.1432539,0.08378286,-0.01132332,0.1663414,0.1222318,-0.0754234,0.001064006,0.143633,-0.09796932,0.7145215,0.02723061,0.6921847,92.39341,-0.1357441,0.9900253,0.03773013,-0.1246247,0.0585339,-0.03883976,0.1430596,-0.1023775,-0.4040104,-0.5804502,0.6995513,91.21797,-0.143269,-0.5653797,-0.8122928,-0.0500705,1.000169,0.2997851,1.04533,0.0005336805,-0.009070694,-0.007309393,0.999932,1.336451,0.04575974,-0.7777547,-0.6267343,0.1300304,-0.06375843,0.004148205,0.1448801,0.6035028,0.5538109,0.5684869,0.07681512,171.1889,0.6052912,0.555452,0.5701716,-0.209888,-0.369165,-0.1074158,0.4380341,-0.4594103,-0.1581931,0.8469498,0.2158538,155.0688,-0.4705021,-0.1620125,0.8673983,0.1000705,-0.0001685619,0.0002148747,0.1000709,-0.4780115,-0.6157796,-0.4888348,0.3916136,133.8901,-0.5195044,-0.6692312,-0.5312672,-0.01619483,1.051251,-0.02125784,1.051591,-0.02408374,-0.00695675,0.02058438,0.9994738,3.717559,-0.7425048,-0.2144775,0.6346189,False,False,False,False
1773033824765,0.0459379,0.0289942,0.8970007,0.2357381,0.9279135,-0.6032984,-0.5512181,-0.571999,0.07075968,171.8848,-0.6048144,-0.5526032,-0.5734364,-0.04142827,0.5876247,0.152788,0.6085748,0.4653527,0.1552732,-0.8450539,0.212652,155.4444,0.4762455,0.1589078,-0.8648345,-0.04498497,1.004313,0.2574992,1.037774,-0.0290356,1.030059,0.3301608,1.082068,-0.05827989,1.008402,0.3330715,1.063583,0.07497157,0.5977045,0.2186845,0.6408544,0.08383106,0.5647489,0.2468442,0.6220137,0.07759877,0.5527958,0.2650042,0.6179256,0.09878917,-0.0843535,0.02424189,0.1321457,0.165466,-0.04268098,0.02805176,0.1731692,0.1627148,-0.05463238,-0.006332684,0.1717583,-0.113804,0.04572283,-0.05432253,0.1341375,-0.1349504,0.07675651,-0.03092882,0.1583028,-0.1448944,0.08274009,-0.01151706,0.1672512,0.09908951,-0.08029366,0.0005214332,0.1275385,0.1436099,-0.06767999,0.02023706,0.1600435,0.1568856,-0.06841074,-0.004323145,0.1712069,-0.1144733,0.04451609,-0.05339264,0.1339276,-0.1339775,0.07714254,-0.03088238,0.1576536,-0.1433994,0.08369042,-0.0113405,0.1664214,0.12225,-0.07495223,0.002507683,0.1434197,-0.1267697,0.7244612,0.020015,0.6772627,94.73978,-0.1723021,0.9846684,0.02720386,-0.1246316,0.05857174,-0.03890541,0.143099,-0.1004123,-0.403887,-0.5795557,0.7006482,91.04194,-0.1407307,-0.566059,-0.8122637,-0.05010838,1.000514,0.2993114,1.045527,0.002925785,-0.02415475,-0.01846268,0.9995335,3.500437,0.09579552,-0.7908705,-0.6045016,0.1301838,-0.06350807,0.003969092,0.1449029,0.6044545,0.5552538,0.5656764,0.0796138,170.8673,0.6063792,0.5570219,0.5674777,-0.2098546,-0.3691779,-0.1074424,0.4380355,-0.4564074,-0.160142,0.847746,0.2176543,154.8574,-0.4676182,-0.1640756,0.8685691,0.1001084,-0.0005142689,0.0006885827,0.1001121,-0.4783396,-0.6032659,-0.4930686,0.4051481,132.1992,-0.5232036,-0.659847,-0.5393141,-0.0159181,1.05117,-0.02124912,1.051505,-0.02385864,-0.006052288,0.0202395,0.9994922,3.652127,-0.7487241,-0.1899309,0.6351493,False,False,False,False
1773033824779,0.060336,0.0284781,0.8972393,0.2347604,0.9278802,-0.6040648,-0.5513786,-0.5710911,0.07030259,171.9373,-0.6055632,-0.5527462,-0.5725076,-0.04133844,0.5877506,0.1525762,0.608637,0.4653527,0.1552732,-0.8450539,0.212652,155.4444,0.4762455,0.1589078,-0.8648345,-0.04518522,1.004187,0.2591868,1.038081,-0.02951679,1.030436,0.3288312,1.082034,-0.05941262,1.008659,0.3292045,1.062684,0.07507818,0.597864,0.2184537,0.6409369,0.08399731,0.565018,0.2467749,0.6222529,0.07769788,0.5529454,0.264817,0.6179916,0.1005774,-0.08253892,0.02307155,0.1321393,0.1653265,-0.04292737,0.02789966,0.1730722,0.1606379,-0.05671876,-0.006099567,0.1704663,-0.1138031,0.04570346,-0.05436004,0.1341453,-0.135139,0.07666247,-0.03097592,0.1584273,-0.144925,0.08272275,-0.0115219,0.1672694,0.09922842,-0.08050328,0.002626693,0.1278044,0.1456374,-0.06536911,0.02095243,0.1610043,0.1572359,-0.06731918,-0.00448899,0.1710998,-0.1144107,0.04462695,-0.05348296,0.133947,-0.1340859,0.07709772,-0.03089111,0.1577256,-0.1435418,0.08360008,-0.01135743,0.1664999,0.122379,-0.07445139,0.003924996,0.1433005,-0.1514991,0.7324162,0.01295252,0.6636617,96.84053,-0.20253,0.9791231,0.01731544,-0.1246391,0.05860482,-0.03897204,0.1431372,-0.09891834,-0.4036651,-0.5779792,0.702289,90.77812,-0.1389513,-0.5670314,-0.8118917,-0.05009037,1.000619,0.299189,1.045591,0.003081718,-0.0273441,-0.02120635,0.9993964,3.981516,0.08871216,-0.7871436,-0.6104587,0.1305021,-0.06294891,0.0038763,0.1449428,0.6076033,0.5622468,0.5533224,0.09236471,169.4007,0.6102118,0.5646605,0.5556979,-0.2096177,-0.3694148,-0.1075875,0.4381574,-0.4412346,-0.1664565,0.8524283,0.2257657,153.9042,-0.4529286,-0.1708681,0.87502,0.1000904,-0.0006189346,0.0008110404,0.1000956,-0.47849,-0.6005735,-0.4935727,0.4083444,131.7982,-0.5241842,-0.6579262,-0.5407071,-0.01565052,1.051118,-0.02123582,1.051449,-0.02318555,-0.00519131,0.0199671,0.9995183,3.557005,-0.7470622,-0.1672693,0.6433604,False,False,False,False
1773033824794,0.073073,0.02817555,0.8973681,0.2344469,0.9279163,-0.6047817,-0.5515084,-0.570263,0.06984158,171.9902,-0.6062621,-0.5528584,-0.571659,-0.04131586,0.5877414,0.1525705,0.6086253,0.4653527,0.1552732,-0.8450539,0.212652,155.4444,0.4762455,0.1589078,-0.8648345,-0.04552563,1.004086,0.2596045,1.038102,-0.02968486,1.030698,0.3283101,1.082131,-0.05995104,1.009022,0.3276432,1.062577,0.07511333,0.597873,0.2184349,0.640943,0.08402791,0.5650192,0.24677,0.6222562,0.07771426,0.5529208,0.264795,0.6179622,0.1010484,-0.0820944,0.02243313,0.1321117,0.1652666,-0.0430169,0.0277776,0.1730177,0.1598524,-0.05770228,-0.006006785,0.1700542,-0.1138018,0.04569507,-0.05438417,0.1341511,-0.1351458,0.07665758,-0.03098602,0.1584326,-0.1449047,0.08273404,-0.01151877,0.1672572,0.09937941,-0.08063528,0.004269852,0.128049,0.1472658,-0.06351475,0.02151866,0.161816,0.157453,-0.06652136,-0.004614908,0.1709907,-0.1143602,0.04471556,-0.05355772,0.1339633,-0.1341738,0.07706121,-0.03089899,0.157784,-0.1436549,0.08352824,-0.01137082,0.1665622,0.1225545,-0.07403097,0.005081079,0.143269,-0.1698983,0.7380098,0.007930261,0.6530033,98.46316,-0.2243311,0.9744568,0.01047099,-0.1246444,0.05863111,-0.03902718,0.1431675,-0.09777538,-0.4034629,-0.5766296,0.7036731,90.55511,-0.1376103,-0.5678387,-0.8115556,-0.0500888,1.001033,0.2986472,1.045833,0.005393516,-0.04307884,-0.03308165,0.9985093,6.257629,0.0988165,-0.7892624,-0.6061006,0.1305462,-0.06262393,0.003709836,0.1448373,0.6085297,0.5638484,0.5502009,0.09510936,169.0848,0.6113008,0.566416,0.5527063,-0.2095405,-0.3695076,-0.1076971,0.4382256,-0.4380165,-0.1682585,0.8532374,0.2276324,153.6846,-0.4498258,-0.1727948,0.8762413,0.1000888,-0.001033068,0.001352787,0.1001033,-0.478687,-0.5872006,-0.497553,0.4224873,130.0166,-0.528137,-0.6478605,-0.5489519,-0.01543355,1.051071,-0.02122449,1.051399,-0.02255584,-0.003981444,0.01999186,0.9995378,3.484298,-0.7419405,-0.1309636,0.6576023,False,False,False,False
1773033824807,0.0877912,0.02756944,0.8977067,0.2339903,0.9281104,-0.6056329,-0.5519191,-0.5690016,0.06950825,172.0285,-0.6071013,-0.5532572,-0.5703811,-0.04136296,0.5878392,0.1525414,0.6087156,0.4653527,0.1552732,-0.8450539,0.212652,155.4444,0.4762455,0.1589078,-0.8648345,-0.04679699,1.003708,0.259453,1.037755,-0.03050124,1.03075,0.327983,1.082104,-0.06122154,1.009526,0.3243157,1.062107,0.07503158,0.5979327,0.218454,0.6409956,0.08398937,0.5651233,0.2467333,0.622331,0.07766752,0.553019,0.2647668,0.6180321,0.1010763,-0.08214702,0.02122536,0.1319661,0.1653209,-0.04299679,0.02697459,0.1729375,0.1578898,-0.05986995,-0.005701303,0.1689559,-0.1138181,0.04570727,-0.05431676,0.1341418,-0.1351447,0.07665689,-0.0309991,0.1584339,-0.1449057,0.08273375,-0.01151883,0.1672579,0.09950514,-0.0807473,0.005526236,0.1282651,0.1486037,-0.06199439,0.02192293,0.1625022,0.1574853,-0.0660285,-0.004695409,0.1708316,-0.11432,0.04478905,-0.05361397,0.1339761,-0.1342458,0.07703125,-0.03090641,0.157832,-0.1437475,0.08346937,-0.01138178,0.1666134,0.1226749,-0.07371735,0.006015175,0.1432465,-0.1847179,0.7416848,0.002915476,0.6448058,99.69777,-0.2416678,0.9703515,0.003814338,-0.1246503,0.05865445,-0.03906808,0.1431934,-0.09686028,-0.403315,-0.5754923,0.7048148,90.37083,-0.13654,-0.5685367,-0.8112479,-0.0500592,1.001201,0.2984754,1.045943,0.003779514,-0.04726352,-0.03668279,0.9982015,6.873565,0.06304723,-0.7884173,-0.6119169,0.130365,-0.06227103,0.003867404,0.1445257,0.6113585,0.5712063,0.5367872,0.1087377,167.5149,0.6150051,0.5746135,0.5399889,-0.2091945,-0.3697225,-0.1081438,0.4383516,-0.4219715,-0.1750394,0.8576436,0.2361117,152.6857,-0.4342495,-0.1801324,0.8825982,0.1000592,-0.001201034,0.001524657,0.100078,-0.478128,-0.5844732,-0.4970185,0.4275015,129.3818,-0.528894,-0.6465306,-0.5497902,-0.01523472,1.051008,-0.02119355,1.051332,-0.02227145,-0.003067202,0.01996988,0.9995478,3.446121,-0.7406788,-0.1020056,0.6641361,False,False,False,False
1773033824821,0.1010833,0.02722756,0.8977789,0.2339078,0.9281493,-0.6064681,-0.5522743,-0.5677897,0.06931346,172.0509,-0.6079302,-0.5536057,-0.5691586,-0.04135133,0.5878326,0.1525343,0.6087067,0.4653217,0.1555136,-0.8450394,0.2126017,155.4503,0.4762084,0.159152,-0.8648099,-0.04720443,1.003843,0.2588988,1.037766,-0.03094666,1.030781,0.3277307,1.08207,-0.06163293,1.009932,0.3236813,1.062323,0.0750629,0.597926,0.2184192,0.6409812,0.08402112,0.565097,0.2466975,0.6222972,0.07772067,0.5530199,0.2647702,0.618041,0.1007898,-0.08249111,0.02123595,0.1319634,0.1652462,-0.04318629,0.0265571,0.1728486,0.1576402,-0.06042597,-0.005656186,0.1689192,-0.1138139,0.04570399,-0.05433704,0.1341453,-0.1351471,0.07665532,-0.03100118,0.1584357,-0.144961,0.08270662,-0.01152701,0.167293,0.09961388,-0.08089491,0.006856049,0.1285065,0.1500125,-0.0604023,0.02231521,0.1632487,0.1574984,-0.06555425,-0.004776738,0.1706632,-0.1142772,0.04486649,-0.05367517,0.1339899,-0.1343221,0.07699943,-0.03091443,0.157883,-0.1438503,0.0834048,-0.01139408,0.1666706,0.1228294,-0.0733975,0.007012577,0.14326,-0.1996927,0.7452986,-0.001731281,0.6361209,100.9937,-0.258807,0.9659266,-0.002243786,-0.1246578,0.05867829,-0.03911265,0.1432219,-0.09577999,-0.4031882,-0.5744067,0.7059196,90.19224,-0.1352267,-0.5692401,-0.8109745,-0.05004977,1.001397,0.2982545,1.046067,0.0008671322,-0.05307659,-0.04071844,0.9977595,7.672085,0.0129613,-0.7933524,-0.6086314,0.1302412,-0.06212988,0.003930659,0.1443549,0.6122162,0.5723979,0.5334748,0.1138272,166.928,0.6162212,0.5761425,0.5369648,-0.2089761,-0.3698775,-0.1084786,0.4384609,-0.4180371,-0.1791577,0.8583013,0.2376263,152.507,-0.4303643,-0.1844407,0.8836109,0.1000498,-0.001396537,0.001745522,0.1000747,-0.4764858,-0.5814637,-0.4962212,0.4343108,128.5171,-0.5289801,-0.6455234,-0.5508898,-0.01505122,1.050949,-0.02114045,1.05127,-0.02198813,-0.002248292,0.0200613,0.9995545,3.420814,-0.7366671,-0.07532439,0.6721125,False,False,False,False
1773033824835,0.114588,0.02677775,0.8979844,0.2339583,0.9283477,-0.6076292,-0.5527732,-0.566028,0.06957608,172.0207,-0.6091053,-0.554116,-0.567403,-0.04133159,0.5877618,0.1525663,0.6086449,0.4653217,0.1555136,-0.8450394,0.2126017,155.4503,0.4762084,0.159152,-0.8648099,-0.04781139,1.003947,0.2585891,1.037817,-0.03136117,1.030967,0.3276309,1.082228,-0.06195211,1.01036,0.3232359,1.062613,0.07510398,0.5978742,0.21843,0.6409414,0.08405681,0.5650441,0.2467538,0.6222764,0.07775442,0.5529819,0.2648377,0.6180402,0.1004616,-0.08283187,0.02108812,0.1319028,0.1651428,-0.04336469,0.02619772,0.1727396,0.1572675,-0.06088857,-0.005592965,0.1687357,-0.1138101,0.04569974,-0.05437212,0.1341549,-0.1351794,0.07664637,-0.03100822,0.1584602,-0.1450051,0.08268313,-0.0115337,0.16732,0.09967922,-0.08104421,0.007953048,0.1287143,0.1511787,-0.05908905,0.02261447,0.1638839,0.1574806,-0.06519462,-0.004839652,0.1705107,-0.1142412,0.04493072,-0.05372889,0.1340023,-0.1343882,0.07697222,-0.03092166,0.1579273,-0.1439393,0.08334918,-0.01140484,0.1667203,0.1229713,-0.07314039,0.007844355,0.1432934,-0.2115753,0.7480683,-0.005032217,0.6289709,102.0515,-0.2721475,0.9622338,-0.006472897,-0.1246648,0.05869685,-0.03915223,0.1432464,-0.09484898,-0.4030842,-0.5734973,0.7068435,90.04266,-0.1340868,-0.569835,-0.8107459,-0.05001646,1.00186,0.2975589,1.046311,0.0003120005,-0.07039092,-0.05073828,0.9962283,9.955752,0.003595679,-0.8112268,-0.584738,0.1298485,-0.06207696,0.004043933,0.143981,0.613863,0.5730744,0.5291966,0.1212804,166.068,0.6184281,0.5773362,0.5331321,-0.2088128,-0.3700957,-0.1087249,0.4386282,-0.4129108,-0.1846638,0.8593218,0.2386834,152.3823,-0.4252002,-0.1901599,0.8848977,0.1000165,-0.001860023,0.002441078,0.1000635,-0.4733526,-0.5693676,-0.4995663,0.4496572,126.5566,-0.5299506,-0.637446,-0.5592987,-0.01490118,1.050916,-0.02108047,1.051233,-0.02182868,-0.001648465,0.02040225,0.9995522,3.429498,-0.7294726,-0.05508855,0.6818043,False,False,False,False
1773033824848,0.1294959,0.02583242,0.898549,0.2338852,0.9288487,-0.6094293,-0.5541115,-0.5626829,0.07031546,171.9358,-0.6109415,-0.5554865,-0.5640791,-0.04139614,0.5876614,0.1526574,0.6085752,0.4653217,0.1555136,-0.8450394,0.2126017,155.4503,0.4762084,0.159152,-0.8648099,-0.04929848,1.003697,0.2585612,1.037637,-0.03228746,1.031379,0.3274426,1.082591,-0.06278367,1.010993,0.3221922,1.062947,0.07503881,0.5977675,0.2185236,0.6408662,0.08400789,0.5649667,0.2468737,0.622247,0.07769087,0.552882,0.2649305,0.6179826,0.1001212,-0.08295372,0.02010038,0.1315659,0.1650285,-0.04347856,0.02549308,0.1725534,0.1564053,-0.06164677,-0.005631115,0.1682101,-0.1138106,0.04570471,-0.05436748,0.1341551,-0.1352162,0.07663257,-0.03101522,0.1584864,-0.145007,0.08268312,-0.01153384,0.1673217,0.09971379,-0.08119357,0.008903161,0.1288972,0.152262,-0.05786807,0.02283963,0.1644812,0.1573965,-0.06491712,-0.004901557,0.1703289,-0.1142075,0.04499126,-0.05377884,0.1340139,-0.1344529,0.07694565,-0.03092897,0.157971,-0.1440228,0.08329708,-0.01141493,0.1667671,0.1230953,-0.07290454,0.008584549,0.143322,-0.2222175,0.7502298,-0.008060657,0.6226633,102.9782,-0.2839877,0.9587726,-0.01030129,-0.1246713,0.05871429,-0.03918926,0.1432693,-0.09404961,-0.4029715,-0.5725119,0.7078127,89.88555,-0.1331393,-0.5704578,-0.810464,-0.04987983,1.002051,0.2974069,1.046444,-0.002295869,-0.07126469,-0.05336428,0.9960263,10.21897,-0.02577916,-0.8001952,-0.5992005,0.1289884,-0.06182896,0.004443447,0.1431103,0.6186457,0.578169,0.5139218,0.1374141,164.2035,0.6245706,0.5837062,0.5188437,-0.2083097,-0.3704808,-0.1094631,0.4388977,-0.3961267,-0.1932383,0.863868,0.2438741,151.7694,-0.4084594,-0.1992544,0.8907629,0.09987983,-0.002051234,0.00259316,0.09993454,-0.4734687,-0.568923,-0.4972556,0.452649,126.1725,-0.5309797,-0.6380286,-0.5576559,-0.01477446,1.050875,-0.02106359,1.05119,-0.02177632,-0.0008622155,0.02031994,0.999556,3.414859,-0.7308433,-0.02893713,0.681965,False,False,False,False
1773033824862,0.1429906,0.02536178,0.8985962,0.2337359,0.9288438,-0.6113362,-0.5558823,-0.5587275,0.07132018,171.8204,-0.612897,-0.5573015,-0.5601539,-0.04143378,0.5876635,0.1526518,0.6085785,0.4653217,0.1555136,-0.8450394,0.2126017,155.4503,0.4762084,0.159152,-0.8648099,-0.04983485,1.003439,0.2586265,1.03743,-0.03249587,1.031596,0.3269889,1.082667,-0.06284641,1.011284,0.3219766,1.063162,0.07499759,0.5977632,0.218522,0.6408567,0.0839725,0.5649725,0.2468723,0.6222469,0.07765447,0.552887,0.264928,0.6179814,0.1001045,-0.08279284,0.01976397,0.1314008,0.1649168,-0.04359179,0.02519477,0.1724313,0.1562647,-0.06176288,-0.005688898,0.168124,-0.1138108,0.04570825,-0.05435988,0.1341534,-0.1352216,0.07663035,-0.0310163,0.1584901,-0.1450109,0.08268107,-0.01153442,0.1673241,0.09974725,-0.08133054,0.009833353,0.129077,0.1533458,-0.05664535,0.02304134,0.1650895,0.1572996,-0.06464697,-0.00496899,0.1701384,-0.1141735,0.04505267,-0.0538286,0.1340256,-0.1345188,0.07691865,-0.03093645,0.1580153,-0.1441074,0.08324432,-0.01142516,0.1668146,0.1232592,-0.07264212,0.009312036,0.1433751,-0.2322116,0.7523213,-0.01062295,0.6164232,103.8892,-0.2949037,0.9554317,-0.01349092,-0.124678,0.05873206,-0.03922625,0.1432926,-0.09324969,-0.4028606,-0.5714961,0.708802,89.72496,-0.1321926,-0.5711033,-0.8101643,-0.04965777,1.002366,0.2967774,1.046557,0.00028935,-0.08379322,-0.05779001,0.994806,11.68442,0.002842644,-0.8232045,-0.5677427,0.12885,-0.06160322,0.004580257,0.1428924,0.6188965,0.5799316,0.5104109,0.1418712,163.6877,0.6252205,0.5858574,0.5156264,-0.2083084,-0.3705463,-0.1097518,0.4390244,-0.3954405,-0.1968183,0.8631401,0.2447008,151.6717,-0.4078394,-0.2029895,0.8902035,0.09965777,-0.002366185,0.003222644,0.09973793,-0.4705311,-0.5599951,-0.5025633,0.4609082,125.1086,-0.530207,-0.6310173,-0.5663017,-0.01466226,1.050846,-0.02108627,1.05116,-0.0213417,-0.0003351957,0.02019134,0.9995683,3.367306,-0.726373,-0.01140851,0.6872202,False,False,False,False
