Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773034568449,0,1,1,135,0.09710766,-0.9139276,-0.3940893,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.08971579,-0.8443591,-0.3640911,0.3826832,135,0.09710766,-0.9139276,-0.3940893
Trial Start,1773034572511,0,1,1,135,0.09710766,-0.9139276,-0.3940893,1,-1,-0.02199531,1.020983,0.2659239,1.055275,0,0,0,1,0,1,0,0,0.07199531,-0.02098286,0.03407609,0.08236981,0.08971579,-0.8443591,-0.3640911,0.3826832,135,0.09710766,-0.9139276,-0.3940893
On Target,1773034585064,12.57046,1,1,135,0.09710766,-0.9139276,-0.3940893,1,-1,0.04901666,1.006531,0.2908261,1.048851,-0.1196095,0.8253188,0.4303607,-0.3454449,220.4179,-0.1274558,0.8794591,0.4585921,0.0009833388,-0.006531477,0.00917393,0.01130434,0.07766848,-0.02909477,-0.01196915,-0.9964828,350.3862,0.926859,-0.3472032,-0.1428342
Trial End,1773034586065,13.57067,1,2,135,0.09710766,-0.9139276,-0.3940893,1,-1,0.05078824,1.005019,0.2932679,1.048164,-0.06647447,0.8416989,0.3712972,-0.3863453,225.4546,-0.07207044,0.9125549,0.4025537,-0.0007882379,-0.005018711,0.006732136,0.008433886,-0.00216952,0.01321853,-0.02080969,-0.9996938,357.1639,-0.08767056,0.5341625,-0.840922
Trial Load,1773034586067,13.57067,1,2,135,-0.8919175,0.1468746,-0.4276811,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.8240243,0.1356945,-0.3951258,0.3826834,135,-0.8919175,0.1468746,-0.4276811
Trial Start,1773034587452,0,1,2,135,-0.8919175,0.1468746,-0.4276811,1,-1,-0.02763985,1.007588,0.292214,1.04947,0,0,0,1,0,1,0,0,0.07763985,-0.007588387,0.007785976,0.07839739,-0.8240243,0.1356945,-0.3951258,0.3826834,135,-0.8919175,0.1468746,-0.4276811
On Target,1773034607381,19.94293,1,2,135,-0.8919175,0.1468746,-0.4276811,1,-1,0.05508147,1.001074,0.2923671,1.044348,-0.7853203,0.1281037,-0.4704312,0.381518,135.1445,-0.8495815,0.1385862,-0.5089257,-0.005081471,-0.001074076,0.007632911,0.009232352,-0.0006331995,0.08009317,0.02827557,0.9963861,9.745092,-0.007454708,0.9429433,0.3328906
Trial End,1773034608369,20.92963,1,3,135,-0.8919175,0.1468746,-0.4276811,1,-1,0.05153649,1.002038,0.29501,1.045833,-0.8458157,0.1054099,-0.3919491,0.3462088,139.4888,-0.9015712,0.1123585,-0.417786,-0.001536492,-0.002038002,0.004989982,0.005604835,0.04993033,-0.004588082,-0.01471578,0.9986339,5.99078,0.9554985,-0.08780044,-0.2816104
Trial Load,1773034608369,20.92963,1,3,135,0.7219679,0.1950848,-0.6638556,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.6670114,0.1802348,-0.6133226,0.3826833,135,0.721968,0.1950848,-0.6638556
Trial Start,1773034609452,0,1,3,135,0.7219679,0.1950848,-0.6638556,1,-1,-0.0301574,1.008179,0.2865528,1.048545,0,0,0,1,0,1,0,0,0.0801574,-0.008179188,0.01344723,0.08168804,0.6670114,0.1802348,-0.6133226,0.3826833,135,0.721968,0.1950848,-0.6638556
