Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,0.09710766,-0.9139276,-0.3940893,1,13.57067,False,-0.0007882379,-0.005018711,0.006732136,0.008433886,-0.00216952,0.01321853,-0.02080969,-0.9996938,357.1639,-0.08767056,0.5341625,-0.840922,1.148212,1.25923,1.460105,2.451726,1481.925,0,0,0.08130452,0.04178832,0.06461482,0.1461718,59.16293,0,0,1.093218,671.6176,0.1645261,56.37503
1,3,135,-0.8919175,0.1468746,-0.4276811,1,20.92963,False,-0.001536492,-0.002038002,0.004989982,0.005604835,0.04993033,-0.004588082,-0.01471578,0.9986339,5.99078,0.9554985,-0.08780044,-0.2816104,1.569456,1.411678,1.614275,2.90989,1854.828,0,0,0.1251136,0.07762743,0.08903674,0.2564773,89.79167,0,0,1.780895,929.0071,0.3291317,95.8536
1,4,135,0.7219679,0.1950848,-0.6638556,1,9.527967,False,0.0007072724,-0.0004599094,0.007830113,0.007875431,0.01864867,0.04695007,0.003740291,0.9987162,5.807202,0.368147,0.9268503,0.07383779,0.81425,0.878466,1.037636,1.506829,1063.012,0,0,0.05282848,0.03260486,0.04001158,0.1025937,40.25697,0,0,0.961768,615.605,0.1067032,39.35511
1,5,135,0.2387018,-0.04410426,0.9700909,1,5.802126,False,-0.000148844,-0.002660275,0.002410173,0.003592792,0.06681801,-0.01591018,-0.03563784,0.9970016,8.876093,0.8634934,-0.2056083,-0.4605502,0.2709258,0.3308101,0.4197367,1.134878,533.7291,0,0,0.05940594,0.01692522,0.02514541,0.09838507,28.0798,0,0,0.6268366,377.7031,0.2010898,49.36881
1,6,135,-0.9396229,-0.006053058,0.342158,1,4.208998,False,0.003996242,0.000610292,0.003586173,0.005403984,0.03534256,-0.04008522,0.009681695,0.9985242,6.226643,0.6507473,-0.7380718,0.1782649,0.2562672,0.1998547,0.2703167,0.6486088,316.9664,0,0,0.02282335,0.0112986,0.0149662,0.04819225,13.90807,0,0,0.4212449,228.9105,0.06374249,21.26272
1,7,135,0.01285103,0.2370618,-0.9714096,1,4.457952,False,0.0008731373,-0.0002772808,0.0005937219,0.001091677,-0.02204006,-0.04654729,-0.01741076,-0.9985211,353.7672,-0.4054129,-0.8562079,-0.3202599,0.2189858,0.3025655,0.352942,0.714887,360.1172,0,0,0.01741473,0.009984758,0.01815046,0.05052677,13.837,0,0,0.4116814,241.0801,0.09023089,31.849
1,8,135,0.5229467,0.7884397,0.3238668,1,11.0968,False,0.001918081,0.0008682609,0.002889454,0.003575173,-0.03715879,-0.0006661519,0.0235629,-0.9990314,354.9559,-0.844449,-0.01513858,0.5354766,1.023411,1.048386,1.286729,2.137681,1236.704,0,0,0.06458826,0.02722099,0.04276848,0.1402237,45.43962,0,0,0.940019,616.8594,0.1591182,51.62798
1,9,135,-0.3217943,0.8521818,-0.4125949,1,4.232678,False,0.0006461702,-0.0003457069,0.003025711,0.003113193,0.01983921,0.02602514,0.005326401,-0.9994503,356.2002,0.5984007,0.7849841,0.1606577,0.2717776,0.325194,0.3600377,0.8810101,473.2713,0,0,0.03572389,0.02009179,0.03252281,0.06606951,31.60064,0,0,0.4572585,261.1127,0.06630789,20.35391
1,10,135,-0.5136111,0.4098203,0.7538242,1,8.831827,False,-0.001462568,-0.001078844,0.006719232,0.006960681,-0.01857158,-0.03193251,0.01488328,0.9992067,4.56501,-0.4663137,-0.8017933,0.3737043,0.525019,0.6625651,0.8800095,1.489994,839.9705,0,0,0.05832611,0.02111506,0.0364602,0.1210334,41.77597,0,0,1.071157,477.9788,0.2064185,67.63366
1,11,135,0.7166195,0.04080758,-0.6962695,1,5.264626,False,-0.001365539,-0.001924515,-0.0005731881,0.002428374,-0.04676531,0.01247855,0.01786553,0.9986683,5.914882,-0.9064093,0.2418603,0.3462712,0.3566205,0.3389029,0.4035841,0.7197732,560.8173,0,0,0.02240185,0.02239662,0.03480026,0.06066189,18.91653,0,0,0.59255,382.9027,0.0861233,27.53796
