Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773034698168,0.0140347,0.0485367,0.9156114,0.2383151,0.9473616,0.6017697,0.3340036,0.08670729,-0.7202754,272.1544,0.8674931,0.4814894,0.1249946,-0.04747161,0.9795434,0.2917816,1.023179,-0.0503315,1.009495,0.2877566,1.050913,-0.03791086,1.01212,0.3036489,1.057368,-0.02562155,-0.08195961,0.1042023,0.1350258,-0.02162444,-0.07180851,0.1345402,0.1540297,-0.0009195478,-0.07778513,0.1330366,0.1541107,0,0,0,0,0,0,0,0,0,1,0,0,-0.07293722,0.5760286,0.1101582,0.5909853,0.2778825,0.02511211,0.9285762,0.2447385,151.6673,0.2865982,0.02589974,0.9577007,-0.05112761,0.6382613,0.2214513,0.6775191,0.007767349,0.6249546,0.2370633,0.6684517,0.02194719,0.6325163,0.2000529,0.6637619,0.073699,-0.04670867,0.1061271,0.1373907,0.03003469,-0.05881549,0.1544385,0.167966,0.003064954,-0.07968862,0.1284906,0.1512267,0,0,0,0,0,0,0,0,0,1,0,0,-0.02019296,0.9907073,0.2760375,1.028643,0,0,0,1,0,1,0,0,0.07019296,0.009292722,0.0239625,0.0747503,0.6737897,-0.3420921,-0.5315392,0.3826834,135,0.7293048,-0.3702778,-0.5753339,-0.02649831,1.060537,-0.01947736,1.061047,-0.0167421,0.04129042,0.02921154,0.9985797,6.108054,-0.3142434,0.7750067,0.5482904,False
1773034698182,0.0278602,0.04767069,0.9131179,0.2387045,0.9450061,0.6170856,0.3284994,0.1007075,-0.7079206,270.132,0.8736975,0.4651042,0.1425862,-0.04608521,0.9822624,0.2895182,1.025078,-0.04678614,1.008089,0.2848513,1.048605,-0.03518657,1.009088,0.3009502,1.053598,-0.0249544,-0.08212959,0.1041741,0.1349824,-0.02123482,-0.07255177,0.1300961,0.1504648,-0.001467828,-0.07937638,0.1272807,0.1500105,0,0,0,0,0,0,0,0,0,1,0,0,-0.07299168,0.5759323,0.1101289,0.5908927,0.2777959,0.02522226,0.928659,0.2445114,151.6941,0.2864919,0.02601181,0.9577295,-0.05124223,0.6381902,0.2214176,0.6774498,0.007677115,0.6248916,0.2370737,0.6683953,0.02186184,0.6324864,0.2000242,0.6637218,0.07370817,-0.04670408,0.1061203,0.1373888,0.03003465,-0.05879014,0.1544757,0.1679914,0.003055466,-0.07970076,0.1284909,0.1512332,0,0,0,0,0,0,0,0,0,1,0,0,-0.01857198,0.9918222,0.2733986,1.028982,0.01331299,0.007259105,0.0195832,-0.9996933,357.1617,0.5375609,0.2931132,0.7907439,0.06857198,0.008177817,0.0266014,0.07400425,-0.675837,0.3594806,0.5144366,-0.3864884,225.4724,-0.732778,0.3897677,0.5577791,-0.02660106,1.060576,-0.01949002,1.061088,-0.01714474,0.04069064,0.02961565,0.9985856,6.095349,-0.3224718,0.7653418,0.5570346,False
1773034698196,0.0417064,0.0481818,0.9101338,0.2385223,0.942103,0.628059,0.3244918,0.1186135,-0.6972645,268.4159,0.8761814,0.4526863,0.1654733,-0.04346942,0.9838676,0.2865566,1.02567,-0.04290179,1.007623,0.281752,1.047153,-0.03159106,1.006735,0.2977148,1.050309,-0.02444961,-0.08220427,0.1041848,0.1349437,-0.02094972,-0.07316682,0.1280384,0.14895,-0.001835531,-0.07999938,0.1235027,0.1471604,0,0,0,0,0,0,0,0,0,1,0,0,-0.0730784,0.5760068,0.1102051,0.5909902,0.2778276,0.02507047,0.9286293,0.2446038,151.6832,0.2865315,0.02585589,0.9577219,-0.05137903,0.6382299,0.2215256,0.6775329,0.007609226,0.6249025,0.2371861,0.6684448,0.0217846,0.6325001,0.2000975,0.6637544,0.07376757,-0.04666813,0.1060979,0.1373912,0.03003771,-0.05877842,0.1545016,0.1680116,0.003044206,-0.07968926,0.1284738,0.1512123,0,0,0,0,0,0,0,0,0,1,0,0,-0.01558516,0.9919543,0.2705429,1.028304,0.02130145,0.01775544,0.03948111,-0.9988354,354.4692,0.4415113,0.3680139,0.8183181,0.06558517,0.008045733,0.02945709,0.07234548,-0.6770883,0.3728235,0.4965609,-0.3949448,226.5251,-0.7370031,0.4058143,0.5405011,-0.02669031,1.060582,-0.01949256,1.061096,-0.01738145,0.03987492,0.02988213,0.9986065,6.050219,-0.3293602,0.755588,0.5662351,False
1773034698210,0.0556999,0.0493545,0.9065906,0.2373862,0.9384533,0.6335264,0.3228825,0.1350006,-0.6900478,267.2678,0.8753222,0.4461158,0.1865258,-0.04055039,0.9835186,0.2835996,1.024393,-0.03932951,1.005715,0.2784799,1.044299,-0.02834095,1.004554,0.2940165,1.04708,-0.02362533,-0.08234694,0.1042221,0.1349126,-0.02074734,-0.0735033,0.126593,0.1478478,-0.002034862,-0.07974124,0.1220185,0.1457783,0,0,0,0,0,0,0,0,0,1,0,0,-0.07318024,0.5761389,0.1101371,0.5911189,0.2780754,0.02512676,0.9287033,0.2440347,151.7504,0.2867447,0.02591012,0.9576566,-0.0514972,0.6383175,0.2214837,0.6776107,0.007516466,0.6250689,0.2371116,0.6685728,0.02163829,0.6327046,0.1999822,0.6639097,0.07376041,-0.04663601,0.1061147,0.1373894,0.03003715,-0.05876498,0.1545183,0.1680222,0.003050164,-0.07967935,0.1284413,0.1511796,0,0,0,0,0,0,0,0,0,1,0,0,-0.01259112,0.9904819,0.2675709,1.026064,0.02396931,0.02839381,0.05470456,-0.997811,352.4165,0.3624568,0.4293627,0.8272262,0.06259112,0.009518087,0.03242907,0.07113288,-0.6778659,0.3800774,0.48211,-0.4044864,227.7179,-0.7412063,0.4155922,0.5271587,-0.02687341,1.060574,-0.01949515,1.061094,-0.0174923,0.03924887,0.03031042,0.9986165,6.028437,-0.3326554,0.7464057,0.576421,False
1773034698224,0.0695592,0.05068015,0.9033273,0.2359741,0.9350147,0.634305,0.3234521,0.1564468,-0.6845147,266.3949,0.870104,0.4436933,0.2146049,-0.03804773,0.9830941,0.2797414,1.022828,-0.03570427,1.003883,0.2750639,1.041497,-0.02558699,1.002856,0.2906519,1.04444,-0.02347682,-0.08211208,0.1045188,0.1349731,-0.02048543,-0.07351509,0.1253871,0.1467858,-0.002111776,-0.07966504,0.121474,0.1452821,0,0,0,0,0,0,0,0,0,1,0,0,-0.07316113,0.5761818,0.1100977,0.591151,0.278027,0.02486201,0.9287345,0.2439985,151.7547,0.2866921,0.02563687,0.9576796,-0.0515393,0.6382685,0.2215053,0.6775748,0.0075031,0.6250327,0.2371392,0.6685486,0.02164516,0.6326721,0.1999928,0.6638822,0.07378626,-0.04657935,0.1061191,0.1373874,0.03004863,-0.05874663,0.1545379,0.1680358,0.003033476,-0.07965808,0.1284468,0.1511728,0,0,0,0,0,0,0,0,0,1,0,0,-0.009571426,0.9889401,0.2647203,1.023802,0.02074585,0.0434903,0.07054892,-0.9963439,350.1981,0.2428293,0.5090522,0.8257723,0.05957143,0.01105994,0.03527975,0.07011233,-0.6782479,0.3827607,0.4661976,-0.4196832,229.6292,-0.7472399,0.4216955,0.5136197,-0.02709037,1.060569,-0.01948983,1.061094,-0.01743399,0.03847149,0.03091889,0.9986291,6.000967,-0.333065,0.7349727,0.5906851,False
1773034698237,0.0834283,0.05277774,0.8989893,0.235576,0.9308401,0.6342835,0.3256939,0.1796181,-0.6777502,265.3362,0.8626277,0.4429449,0.2442812,-0.03482816,0.9822367,0.2754798,1.020731,-0.03134735,1.001631,0.2723389,1.038468,-0.02235279,1.00048,0.2880428,1.041359,-0.02393002,-0.08100554,0.1055245,0.1351664,-0.01999358,-0.07340532,0.1249096,0.1462549,-0.002127768,-0.07968079,0.1213954,0.1452253,0,0,0,0,0,0,0,0,0,1,0,0,-0.07315005,0.5762442,0.1101036,0.5912116,0.2780304,0.02470321,0.9286654,0.2442731,151.7222,0.2867161,0.02547494,0.9576768,-0.05155286,0.6382704,0.2215518,0.6775928,0.007553577,0.6250103,0.2371622,0.6685363,0.02169499,0.632635,0.2000126,0.6638545,0.07383256,-0.04651669,0.1061168,0.1373893,0.03003298,-0.0587371,0.1545532,0.1680438,0.003015371,-0.07963597,0.1284548,0.1511675,0,0,0,0,0,0,0,0,0,1,0,0,-0.005822979,0.9862836,0.2626278,1.020668,0.01725622,0.06131002,0.08646873,-0.9942166,347.6698,0.1606817,0.5708895,0.8051552,0.05582298,0.0137164,0.03737223,0.06856404,-0.679505,0.3840854,0.4481617,-0.4357783,231.6697,-0.7549601,0.4267358,0.4979274,-0.02730953,1.060547,-0.01949251,1.061077,-0.01720634,0.03800509,0.03144217,0.9986346,5.988819,-0.3293793,0.7275279,0.6018945,False
1773034698251,0.0972725,0.05554452,0.8943206,0.2332446,0.9259037,0.6360108,0.3270197,0.1974862,-0.6704831,264.2087,0.8572444,0.4407721,0.2661809,-0.03030163,0.9823601,0.2678943,1.018684,-0.02645936,0.9995946,0.267742,1.035169,-0.01837469,0.9977945,0.2835666,1.037469,-0.02504594,-0.07813938,0.1080584,0.1356823,-0.01950119,-0.07317618,0.1252729,0.1463843,-0.002117987,-0.07970962,0.1214022,0.1452467,0,0,0,0,0,0,0,0,0,1,0,0,-0.07312416,0.5762676,0.1100886,0.5912284,0.2780474,0.02436547,0.9286829,0.2442212,151.7284,0.2867298,0.02512631,0.957682,-0.05158962,0.6381932,0.2216083,0.6775414,0.00756909,0.6249427,0.2371963,0.6684854,0.02171771,0.6325642,0.2000721,0.6638057,0.07387518,-0.04646412,0.1061143,0.1373925,0.0300334,-0.05873798,0.15456,0.1680504,0.003011272,-0.07960905,0.1284812,0.1511757,0,0,0,0,0,0,0,0,0,1,0,0,-0.001491167,0.9831447,0.2586088,1.01659,0.01702042,0.07529484,0.0997479,-0.9920138,345.5081,0.1349442,0.5969656,0.7908385,0.05149117,0.0168553,0.04139119,0.06818117,-0.6808214,0.3868021,0.4325669,-0.4469368,233.0946,-0.7610636,0.432391,0.4835496,-0.02750922,1.060485,-0.01949568,1.06102,-0.01714671,0.03735911,0.03203541,0.9986411,5.974681,-0.3290149,0.7168549,0.6147025,False
1773034698269,0.1144312,0.05522025,0.8894672,0.2292807,0.9202015,0.6379696,0.3245836,0.2244329,-0.6612641,262.7927,0.8504525,0.4326898,0.2991827,-0.02681398,0.9835559,0.2585515,1.017325,-0.02321617,0.998087,0.2613117,1.031989,-0.0159662,0.9951478,0.2775935,1.033263,-0.02601844,-0.07512445,0.1105536,0.1361717,-0.01947886,-0.07313839,0.1252048,0.1463041,-0.00216846,-0.08000078,0.1205883,0.1447286,0,0,0,0,0,0,0,0,0,1,0,0,-0.07312981,0.5764003,0.1100371,0.5913488,0.2779425,0.02422251,0.9286816,0.24436,151.712,0.2866319,0.02497978,0.9577151,-0.05163415,0.6382915,0.2215853,0.6776298,0.007559575,0.6250225,0.2371748,0.6685523,0.0217059,0.6326327,0.200046,0.6638626,0.07389948,-0.04643654,0.1061118,0.1373943,0.03001889,-0.05873639,0.1545702,0.1680567,0.002997338,-0.0795913,0.1284758,0.1511615,0,0,0,0,0,0,0,0,0,1,0,0,0.001269534,0.9806387,0.2530127,1.012753,0.01476753,0.09266528,0.1220767,-0.9880751,342.2856,0.09591021,0.6018303,0.7928478,0.04873047,0.01936132,0.0469873,0.07040827,-0.6788999,0.3926548,0.4109952,-0.4647584,235.3892,-0.7667394,0.4434584,0.4641718,-0.02769974,1.060408,-0.01948665,1.060949,-0.01694493,0.0367801,0.03285869,0.9986393,5.978612,-0.3249292,0.7052804,0.6300851,False
1773034698283,0.1282844,0.05511096,0.8853109,0.2261016,0.9153876,0.6393983,0.322262,0.2489383,-0.6521862,261.4133,0.843468,0.4251148,0.3283891,-0.02307029,0.9842563,0.2510461,1.01603,-0.01984389,0.996726,0.2559323,1.029251,-0.01353714,0.9925721,0.2726695,1.029433,-0.02674124,-0.07288758,0.1123016,0.136526,-0.01946015,-0.07308484,0.1249906,0.1460916,-0.00223813,-0.08038042,0.1194693,0.1440102,0,0,0,0,0,0,0,0,0,1,0,0,-0.07313412,0.5765433,0.1099812,0.5914784,0.2778138,0.0240862,0.9286776,0.244535,151.6913,0.2865122,0.02484034,0.9577546,-0.05167414,0.6384056,0.2215543,0.6777302,0.007551081,0.6251138,0.2371469,0.6686276,0.02169494,0.6327087,0.200015,0.6639254,0.07392071,-0.04641283,0.1061097,0.1373961,0.03000153,-0.05873689,0.1545785,0.1680614,0.002982208,-0.07957312,0.1284684,0.1511453,0,0,0,0,0,0,0,0,0,1,0,0,0.004113518,0.9785216,0.2483985,1.009566,0.0128732,0.1086479,0.1423886,-0.9837456,339.3109,0.07169002,0.6050529,0.7929528,0.04588648,0.02147841,0.05160153,0.07231604,-0.6768047,0.3977365,0.3908,-0.480642,237.4547,-0.7718001,0.4535622,0.4456521,-0.02795395,1.06029,-0.0194495,1.060836,-0.01695343,0.03600031,0.03341847,0.998649,5.957225,-0.3262599,0.6928071,0.6431209,False
1773034698292,0.1390473,0.05521785,0.881606,0.2272918,0.9121073,0.6514733,0.3120031,0.2657555,-0.6384439,259.3518,0.8464339,0.4053735,0.3452858,-0.01894316,0.9847355,0.2491172,1.015934,-0.01439553,0.9971058,0.2543867,1.029145,-0.009168357,0.9897077,0.2718256,1.026399,-0.02768364,-0.07309924,0.1123735,0.1368857,-0.01942621,-0.07309401,0.1249858,0.1460875,-0.002475637,-0.0813667,0.1160511,0.1417552,0,0,0,0,0,0,0,0,0,1,0,0,-0.07303772,0.5766182,0.1098859,0.5915217,0.2776646,0.02394787,0.9286913,0.244666,151.6758,0.286368,0.02469852,0.9578013,-0.05158424,0.6383854,0.2215135,0.677691,0.007634565,0.6251543,0.2370598,0.6686356,0.02176384,0.6327328,0.1999577,0.6639334,0.07389305,-0.0463411,0.106161,0.1373966,0.02997601,-0.05875454,0.1545646,0.1680502,0.002984732,-0.0795569,0.1284605,0.1511301,0,0,0,0,0,0,0,0,0,1,0,0,0.008689404,0.9776088,0.247409,1.008467,0.02333368,0.1149218,0.1658999,-0.9791454,336.5563,0.1148533,0.5656695,0.8165947,0.0413106,0.0223912,0.05259098,0.07052477,-0.6729999,0.4151637,0.3715516,-0.4864769,238.2186,-0.7702929,0.4751823,0.4252654,-0.02827315,1.060171,-0.019394,1.060725,-0.01690076,0.03548748,0.03380686,0.9986552,5.94354,-0.3259918,0.6845036,0.6520867,False
