Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773029033699,0,1,1,135,-0.1739995,-0.9690703,-0.1750056,0.9999999,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0,0,0.1,-0.1607546,-0.8953042,-0.1616841,0.3826834,135,-0.1739995,-0.9690703,-0.1750056
Grab,1773029035414,0,1,1,135,-0.1739995,-0.9690703,-0.1750056,0.9999999,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0,0,0.1,-0.1607546,-0.8953042,-0.1616841,0.3826834,135,-0.1739995,-0.9690703,-0.1750056
Release,1773029035424,0,1,1,135,-0.1739995,-0.9690703,-0.1750056,0.9999999,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0,0,0.1,-0.1607546,-0.8953042,-0.1616841,0.3826834,135,-0.1739995,-0.9690703,-0.1750056
Trial Start,1773029037217,0,1,1,135,-0.1739995,-0.9690703,-0.1750056,0.9999999,-0.05002438,0.9999895,0.3000237,1.045225,0.0004650252,0.0009608526,0.0009050985,0.999999,0.1582587,0.3367142,0.6957316,0.6553613,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1000244,1.049042E-05,-2.372265E-05,0.1000244,-0.1602774,-0.8957413,-0.1622922,0.3816017,135.1341,-0.1733991,-0.9690742,-0.1755788
Grab,1773029043695,6.479284,1,1,135,-0.1739995,-0.9690703,-0.1750056,0.9999999,-0.02789968,0.9442185,0.2494923,0.9770226,0.278954,-0.9405692,-0.1856282,0.05528602,173.6615,0.2793813,-0.94201,-0.1859125,0.09769186,-0.06077057,0.01125797,0.1156006,-0.01631456,-0.1182007,-0.7209716,0.6826144,93.90343,-0.0223249,-0.1617462,-0.9865799,-0.1348663,-0.3222322,-0.2229786,0.4144176,-0.8567709,-0.01436885,-0.515355,-0.01209353,181.3858,-0.8568337,-0.0143699,-0.5153928,0.07789968,0.05578154,0.05050772,0.1083096,-0.1297572,0.3853854,-0.3388515,0.8484225,63.91899,-0.2451396,0.728077,-0.6401644
Release,1773029044126,6.9094,1,1,135,-0.1739995,-0.9690703,-0.1750056,0.9999999,0.00369063,0.9710744,0.2592921,1.005103,0.1242623,-0.944621,-0.2958214,0.06884678,172.1045,0.1245579,-0.9468676,-0.296525,0.09441028,-0.070677,0.02320777,0.1201963,-0.2292973,-0.1134127,-0.7662942,0.5893672,107.7758,-0.2838311,-0.1403856,-0.9485419,-0.160101,-0.3329408,-0.2527611,0.4476272,-0.8697391,0.1729642,-0.46097,-0.03382251,183.8765,-0.870237,0.1730632,-0.4612338,0.04630937,0.0289256,0.04070792,0.06810567,-0.1707405,0.3674979,-0.1610302,0.8999235,51.70397,-0.3915638,0.8427926,-0.3692949
Grab,1773029044139,6.923208,1,1,135,-0.1739995,-0.9690703,-0.1750056,0.9999999,0.004198358,0.9717579,0.2593913,1.005791,0.114214,-0.9424924,-0.3073854,0.0646323,172.5885,0.1144533,-0.9444672,-0.3080295,0.09450396,-0.07075337,0.02342357,0.1203566,-0.2324875,-0.1138387,-0.7722312,0.580215,109.0687,-0.2854486,-0.1397714,-0.948147,-0.1618098,-0.3336045,-0.2545317,0.4497341,-0.869451,0.1731478,-0.4611379,-0.03776936,184.3291,-0.8700719,0.1732715,-0.4614672,0.04580164,0.02824205,0.0406087,0.06741269,-0.1769152,0.3706909,-0.146585,0.8998901,51.71276,-0.4056602,0.8499808,-0.336114
Release,1773029044264,7.048292,1,1,135,-0.1739995,-0.9690703,-0.1750056,0.9999999,0.01230331,0.9781145,0.2650705,1.01347,0.07213919,-0.9289392,-0.363136,-0.0003634628,180.0417,0.0721392,-0.9289393,-0.363136,0.0913795,-0.07486263,0.0288285,0.1215965,-0.3319578,-0.1338589,-0.7772372,0.5174827,117.6729,-0.38794,-0.1564331,-0.9083123,-0.1708149,-0.3369527,-0.2616074,0.4595142,-0.8954194,0.2214783,-0.3812026,-0.06209739,187.1204,-0.8971508,0.2219066,-0.3819397,0.0376967,0.02188551,0.03492948,0.05585773,-0.2024706,0.4258546,-0.07489289,0.8786607,57.03756,-0.4240694,0.8919415,-0.1568612
Grab,1773029049193,11.97634,1,1,135,-0.1739995,-0.9690703,-0.1750056,0.9999999,0.0542482,1.000403,0.2951202,1.044435,-0.06705675,-0.8819358,-0.3755698,0.2768393,147.8567,-0.06978419,-0.9178072,-0.3908456,0.1116715,-0.06471501,0.02118057,0.1307944,-0.1596302,0.1475253,-0.7878829,0.5761904,109.6339,-0.1953103,0.1804997,-0.9639884,-0.2205874,-0.3351107,-0.2987476,0.500208,-0.7256144,0.4276108,-0.5360421,-0.05737229,186.578,-0.7268116,0.4283164,-0.5369265,-0.004248202,-0.0004030466,0.004879802,0.006482448,-0.212496,0.1391794,0.01722478,0.967046,29.49996,-0.8346212,0.5466554,0.06765386
On Target,1773029049917,12.7127,1,1,135,-0.1739995,-0.9690703,-0.1750056,0.9999999,0.05050447,0.9953409,0.2910142,1.038241,-0.1722461,-0.8824823,-0.2439882,0.3633538,137.3874,-0.1848826,-0.947224,-0.2618879,0.1007718,-0.06855495,0.02219573,0.1238845,-0.1882416,0.1151699,-0.7398049,0.6356019,101.0707,-0.2438309,0.1491805,-0.9582754,-0.2167246,-0.3307091,-0.295148,0.4934069,-0.650593,0.4767506,-0.5859657,0.07798482,171.0545,-0.6525805,0.478207,-0.5877557,-0.0005044676,0.004659116,0.008985788,0.01013441,-0.06825541,0.02377198,0.04697124,0.996278,9.889887,-0.7918391,0.2757816,0.5449189
