Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Total Thumb Tip Translation,Total Index Tip Translation,Total Middle Tip Translation,Total Thumb Tip Translation_left,Total Index Tip Translation_left,Total Middle Tip Translation_left,Total Wrist Translation,Total Wrist Rotation,Total Wrist Translation_left,Total Wrist Rotation_left,Total Die Translation,Total Die Rotation,Total Die Local Translation,Total Die Local Rotation,Total Die Local Translation_left,Total Die Local Rotation_left,Total Head Translation,Total Head Rotation,Total Grabbed Time,Total Grabbed Time_left
1,1,135,-0.1739995,-0.9690703,-0.1750056,0.9999999,13.71193,False,-0.001440484,0.003542662,0.01132375,0.0119521,0.01901854,-0.03242642,0.04607865,0.9982303,6.818427,0.3198185,-0.5452874,0.7748653,0.06814589,0.07741265,0.05961832,0,0,0,0.05845589,67.83778,0,0,0.09079524,147.1646,0.05711402,136.1006,0,0,0.00879615,0.2074234,2.290792,0
1,2,135,-0.9450775,0.2684524,-0.1864451,1,13.461,False,-0.001295291,-0.002474904,-0.003177285,0.004230611,-0.02714327,-0.0165839,0.05517689,0.9979699,7.303037,-0.4261916,-0.260393,0.8663629,0.2925876,0.2389769,0.2787286,0,0,0,0.2871971,253.913,0,0,0.2585787,523.8981,0.1899881,402.3025,0,0,0.03352025,1.555435,7.695542,0
1,3,135,0.6328474,-0.2405238,-0.7359705,1,30.00108,True,0.000114169,0.005316794,0.008340001,0.009891257,-0.03695466,-0.04392923,-0.06246381,0.9963951,9.733184,-0.4356013,-0.5178137,-0.7362891,0.3356482,0.3172257,0.3520854,0,0,0,0.2770311,135.7479,0,0,0.333508,575.4633,0.2629572,530.7218,0,0,0.05418414,2.410442,13.65521,0
1,4,135,-0.1818498,-0.588437,-0.7878277,1,18.05615,False,0.006683506,-0.004240274,0.01102841,0.01357479,0.007661296,0.008692398,0.002559617,-0.9999297,358.6404,0.6456872,0.7325876,0.2157222,0.3896635,0.3680579,0.4303813,0,0,0,0.3289536,322.6046,0,0,0.3471992,760.3431,0.3197944,662.0951,0,0,0.03639475,4.625619,5.794637,0
1,5,135,-0.2946456,0.3227029,-0.8994703,1,19.99633,False,0.004698399,-0.00137341,3.07858E-05,0.004895116,0.007960577,-0.0402326,0.01926467,0.998973,5.193978,0.1756903,-0.8879352,0.425172,0.2570492,0.2962511,0.2369963,0,0,0,0.3410934,220.7746,0,0,0.2528894,510.7554,0.2063014,416.3044,0,0,0.08418851,13.08212,4.18284,0
1,6,135,0.196382,-0.9149518,-0.3525583,1,15.75023,False,-0.005952723,-0.0002757311,0.003749996,0.007040839,-0.04576365,0.004245163,-0.01300129,-0.9988587,354.5248,-0.9581643,0.08888198,-0.2722111,0.2027316,0.1601656,0.1509694,0,0,0,0.2942219,271.8402,0,0,0.18789,345.5163,0.1412946,247.5955,0,0,0.02443215,4.258187,1.848583,0
1,7,135,-0.6364951,0.75822,0.141338,1,25.56885,False,-0.001625836,8.302927E-05,0.004072368,0.004385706,-0.05539044,-0.01720623,-0.04065617,0.9974884,8.123358,-0.7820168,-0.2429221,-0.5739945,0.1742859,0.1401321,0.1421378,0,0,0,0.2265697,162.9994,0,0,0.1918715,317.6475,0.1406077,296.6458,0,0,0.02350933,2.352755,4.011622,0
1,8,135,-0.7480604,0.4924821,0.4448225,1,8.945608,False,-0.003053084,0.00192678,-0.0008097887,0.003699941,0.08536007,-0.005313576,-0.009390542,0.9962918,9.871566,0.9921085,-0.06175772,-0.1091428,0.1621539,0.1196742,0.131511,0,0,0,0.1649146,169.4373,0,0,0.1428912,258.3262,0.1060172,184.4658,0,0,0.01497992,1.869779,1.694992,0
1,9,135,-0.2305583,-0.0774727,0.9699695,1,10.05655,False,0.003820077,0.005939364,0.003023386,0.00768179,0.03253197,0.01166194,0.02210978,0.9991581,4.702539,0.7929637,0.2842587,0.5389239,0.3446558,0.279695,0.2794392,0,0,0,0.3465706,279.0463,0,0,0.3806966,607.1452,0.2487721,459.619,0,0,0.0344133,5.230001,3.118551,0
1,10,135,-0.8744433,0.4831953,-0.04325759,1,9.359935,False,-0.004262406,-0.001898408,0.0009789765,0.004767647,0.01398321,0.08466027,0.003091073,0.9963071,9.851302,0.162855,0.9859934,0.03600009,0.202303,0.1874088,0.1746074,0,0,0,0.3784667,276.5907,0,0,0.2654268,451.7533,0.1619329,322.3644,0,0,0.02545705,2.927728,4.768488,0
