Timestamp,Trial Duration,Wrist World Position X,Wrist World Position Y,Wrist World Position Z,Wrist World Position Magnitude,Wrist World Rotation X,Wrist World Rotation Y,Wrist World Rotation Z,Wrist World Rotation W,Wrist World Rotation Angle,Wrist World Rotation Axis X,Wrist World Rotation Axis Y,Wrist World Rotation Axis Z,Wrist World Position_left X,Wrist World Position_left Y,Wrist World Position_left Z,Wrist World Position_left Magnitude,Wrist World Rotation_left X,Wrist World Rotation_left Y,Wrist World Rotation_left Z,Wrist World Rotation_left W,Wrist World Rotation_left Angle,Wrist World Rotation_left Axis X,Wrist World Rotation_left Axis Y,Wrist World Rotation_left Axis Z,Thumb Tip World Position X,Thumb Tip World Position Y,Thumb Tip World Position Z,Thumb Tip World Position Magnitude,Index Tip World Position X,Index Tip World Position Y,Index Tip World Position Z,Index Tip World Position Magnitude,Middle Tip World Position X,Middle Tip World Position Y,Middle Tip World Position Z,Middle Tip World Position Magnitude,Thumb Tip World Position_left X,Thumb Tip World Position_left Y,Thumb Tip World Position_left Z,Thumb Tip World Position_left Magnitude,Index Tip World Position_left X,Index Tip World Position_left Y,Index Tip World Position_left Z,Index Tip World Position_left Magnitude,Middle Tip World Position_left X,Middle Tip World Position_left Y,Middle Tip World Position_left Z,Middle Tip World Position_left Magnitude,Thumb Tip Local Position X,Thumb Tip Local Position Y,Thumb Tip Local Position Z,Thumb Tip Local Position Magnitude,Index Tip Local Position X,Index Tip Local Position Y,Index Tip Local Position Z,Index Tip Local Position Magnitude,Middle Tip Local Position X,Middle Tip Local Position Y,Middle Tip Local Position Z,Middle Tip Local Position Magnitude,Thumb Tip Local Position_left X,Thumb Tip Local Position_left Y,Thumb Tip Local Position_left Z,Thumb Tip Local Position_left Magnitude,Index Tip Local Position_left X,Index Tip Local Position_left Y,Index Tip Local Position_left Z,Index Tip Local Position_left Magnitude,Middle Tip Local Position_left X,Middle Tip Local Position_left Y,Middle Tip Local Position_left Z,Middle Tip Local Position_left Magnitude,Thumb Tip Euro Position X,Thumb Tip Euro Position Y,Thumb Tip Euro Position Z,Thumb Tip Euro Position Magnitude,Index Tip Euro Position X,Index Tip Euro Position Y,Index Tip Euro Position Z,Index Tip Euro Position Magnitude,Middle Tip Euro Position X,Middle Tip Euro Position Y,Middle Tip Euro Position Z,Middle Tip Euro Position Magnitude,Thumb Tip Euro Position_left X,Thumb Tip Euro Position_left Y,Thumb Tip Euro Position_left Z,Thumb Tip Euro Position_left Magnitude,Index Tip Euro Position_left X,Index Tip Euro Position_left Y,Index Tip Euro Position_left Z,Index Tip Euro Position_left Magnitude,Middle Tip Euro Position_left X,Middle Tip Euro Position_left Y,Middle Tip Euro Position_left Z,Middle Tip Euro Position_left Magnitude,Triangle Local Position X,Triangle Local Position Y,Triangle Local Position Z,Triangle Local Position Magnitude,Triangle Local Rotation X,Triangle Local Rotation Y,Triangle Local Rotation Z,Triangle Local Rotation W,Triangle Local Rotation Angle,Triangle Local Rotation Axis X,Triangle Local Rotation Axis Y,Triangle Local Rotation Axis Z,Triangle Local Position_left X,Triangle Local Position_left Y,Triangle Local Position_left Z,Triangle Local Position_left Magnitude,Triangle Local Rotation_left X,Triangle Local Rotation_left Y,Triangle Local Rotation_left Z,Triangle Local Rotation_left W,Triangle Local Rotation_left Angle,Triangle Local Rotation_left Axis X,Triangle Local Rotation_left Axis Y,Triangle Local Rotation_left Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is Grabbed,Is Grabbed_right,Is Grabbed_left,Is On Target
1773029597006,0.0135333,0.1265797,0.6512559,0.2578946,0.711805,-0.6310053,-0.6023675,0.222444,0.435321,128.3885,-0.7009026,-0.6690925,0.2470845,-0.02998381,0.600262,0.1700583,0.6246066,0.3948157,-0.2263012,-0.8473376,0.2737282,148.2275,0.4104937,-0.2352876,-0.880985,0.0786346,0.7585233,0.3180212,0.8262436,0.1179173,0.8026995,0.3215036,0.8726944,0.1318441,0.8054234,0.3377856,0.883283,0.08041126,0.6236257,0.2330569,0.6705897,0.09165367,0.6541643,0.2743148,0.7152482,0.0787473,0.6571475,0.2944814,0.7244054,0.1085656,-0.06507641,0.0374007,0.1319858,0.1584404,-0.04104286,0.01638428,0.164488,0.1674488,-0.04617609,-0.002562374,0.1737179,-0.1087946,0.0517908,-0.04672466,0.1292353,-0.1569643,0.05690292,-0.02635908,0.1690282,-0.1629273,0.06308459,-0.003811426,0.1747555,0.1057295,-0.05111056,0.05346013,0.129031,0.1699987,-0.03150996,0.01581974,0.1736166,0.1774261,-0.03968404,-0.002152542,0.1818226,-0.1087774,0.05162739,-0.04608932,0.1289268,-0.1551524,0.05907995,-0.02617568,0.168071,-0.1612034,0.06526473,-0.003876342,0.173957,0.1232225,-0.04774506,0.04064508,0.1382584,-0.3801295,0.8121272,-0.1222186,0.4254569,129.6408,-0.4200424,0.8973992,-0.1350513,-0.1272738,0.05608188,-0.03254513,0.142839,-0.1264324,-0.4203342,0.03386244,0.8978794,52.23858,-0.2871887,-0.9547811,0.07691788,-0.05115104,0.9990836,0.3007412,1.044619,0.001732861,0.0003115663,0.02231401,0.9997495,2.565054,0.07742032,0.01392008,0.9969394,0.3290161,-0.04384197,0.1435804,0.3616477,0.1988362,0.2636561,-0.9078823,-0.2582619,209.9339,0.2058187,0.2729148,-0.939764,-0.3674598,-0.2012207,0.08403845,0.4272926,0.1602445,0.441896,0.1151097,0.8750995,57.88647,0.3311227,0.9131161,0.237858,0.101151,0.0009164214,-0.000741154,0.1011579,-0.6673436,0.04982102,-0.6460033,0.3672196,136.9115,-0.7174702,0.05356326,-0.694527,-0.05555613,1.051809,0.07732657,1.05611,0.04862843,0.02591908,0.1152049,0.9918122,14.67401,0.3807867,0.2029603,0.9021164,False,False,False,False
1773029597020,0.02784429,0.03142653,0.8995807,0.3115475,0.9525203,-0.5801326,-0.6851339,0.4403793,0.01019228,178.832,-0.5801628,-0.6851695,0.4404022,-0.03254229,0.6053055,0.1678216,0.6289816,0.3937748,-0.2197136,-0.8563709,0.2515873,150.8571,0.4068617,-0.2270157,-0.8848318,-0.08199628,0.9656635,0.2906789,1.011792,-0.07454775,1.016159,0.2577299,1.050981,-0.07286506,1.023767,0.2796459,1.063772,0.08627753,0.612996,0.2317034,0.6609799,0.09072503,0.6524394,0.274482,0.7136165,0.07735535,0.6521101,0.2949251,0.7198696,0.1005499,-0.08033558,0.03321283,0.1329179,0.1550857,-0.05728798,0.01959171,0.1664852,0.1497606,-0.06991346,0.0007961467,0.1652779,-0.1075964,0.06136245,-0.05399864,0.1351229,-0.158045,0.05644149,-0.02508007,0.1696846,-0.1618426,0.06499322,-0.002514061,0.1744233,0.1053236,-0.05340087,0.05187338,0.1289789,0.16883,-0.03353014,0.01611535,0.1728802,0.175258,-0.04205307,-0.001921458,0.1802429,-0.1086848,0.05239031,-0.04670916,0.1293788,-0.1553791,0.05887317,-0.02608982,0.1681945,-0.1612535,0.06524345,-0.003769582,0.1739931,0.1227344,-0.04992765,0.03936762,0.1382256,-0.3712161,0.8152056,-0.1170556,0.4288779,129.2072,-0.4109271,0.9024127,-0.1295777,-0.1271623,0.05652596,-0.03297327,0.1430129,-0.1271088,-0.4160064,0.05106235,0.8989853,51.94996,-0.2902169,-0.9498326,0.1165864,-0.05148291,0.9989507,0.3014834,1.044723,0.02386292,-0.01066266,0.04493136,0.9986482,5.959065,0.4590875,-0.2051339,0.8644133,0.1123393,-0.06432118,-0.008907586,0.1297562,0.5954303,0.6712573,-0.441048,0.0187976,177.8458,0.5955354,0.6713758,-0.4411259,-0.3022867,-0.2343531,0.1636349,0.4160229,-0.3886043,0.2300076,0.8612669,0.2330291,153.0491,-0.3996055,0.236519,0.885649,0.1014829,0.00104928,-0.001483381,0.1014992,-0.6695195,0.05302254,-0.6598468,0.3369491,140.6178,-0.7111027,0.05631572,-0.7008292,-0.0558591,1.051741,0.07737353,1.056061,0.04850528,0.02578705,0.1153199,0.9918082,14.67754,0.3797315,0.2018782,0.9028007,False,False,False,False
1773029597034,0.04236779,0.03114358,0.8995885,0.3087159,0.951596,-0.5823287,-0.695133,0.4212804,0.01436517,178.3538,-0.5823888,-0.6952047,0.4213239,-0.03253001,0.6053498,0.1678086,0.6290202,0.3939547,-0.2190785,-0.856493,0.2514435,150.8741,0.4070319,-0.2263507,-0.884924,-0.08214828,0.9662842,0.2885909,1.011799,-0.07453537,1.016987,0.2607404,1.052522,-0.07349057,1.023045,0.2825824,1.063896,0.08618896,0.6130335,0.2318198,0.6610439,0.09072331,0.6523775,0.2745338,0.7135797,0.07739161,0.6520046,0.2949462,0.7197866,0.1006849,-0.08043731,0.03287493,0.1329977,0.1530091,-0.05927002,0.01809312,0.1650821,0.1473709,-0.07179585,3.265403E-05,0.1639293,-0.1076376,0.06137101,-0.05383682,0.135095,-0.1580479,0.05644093,-0.0250706,0.1696857,-0.1618413,0.06499421,-0.002554186,0.174423,0.1049409,-0.05563139,0.050306,0.1289889,0.1675248,-0.03565369,0.01627851,0.1720486,0.1729573,-0.04450686,-0.001760243,0.1786006,-0.1085984,0.05313122,-0.04729719,0.1298213,-0.1555993,0.05867251,-0.02600573,0.1683149,-0.161302,0.06522289,-0.003669311,0.1740282,0.1222345,-0.05208339,0.03809298,0.138221,-0.3636551,0.8180137,-0.1129312,0.431109,128.9241,-0.4030313,0.9065874,-0.1251593,-0.1270546,0.05695883,-0.03338611,0.1431845,-0.1276049,-0.4120079,0.06744017,0.8996768,51.76877,-0.2922985,-0.9437674,0.1544821,-0.05176395,0.9987291,0.3020938,1.044701,0.04247209,-0.02253701,0.065098,0.9967199,9.283894,0.5248102,-0.2784806,0.8043894,0.1116037,-0.06483223,-0.009680307,0.1294307,0.6086256,0.6578223,-0.4428626,0.02679036,176.9297,0.608844,0.6580585,-0.4430215,-0.3022809,-0.2342924,0.1639605,0.4161126,-0.368446,0.2542406,0.8656056,0.2243571,154.0699,-0.3780845,0.2608915,0.8882498,0.1017639,0.00127095,-0.002093822,0.1017934,-0.6690676,0.0559,-0.673048,0.3102104,143.8562,-0.7037868,0.05880076,-0.7079737,-0.05599781,1.051753,0.07740643,1.056083,0.04827799,0.02557066,0.1155144,0.9918024,14.68278,0.3778176,0.2001128,0.9040012,False,False,False,False
1773029597047,0.05631059,0.03062221,0.8998417,0.3048728,0.9505789,-0.5858839,-0.7034504,0.4018582,0.02019047,177.6862,-0.5860034,-0.7035938,0.4019401,-0.03257165,0.6054461,0.167809,0.629115,0.3940409,-0.2186017,-0.8566259,0.2512709,150.8945,0.4071021,-0.2258476,-0.8850202,-0.08185046,0.9683819,0.2861977,1.0131,-0.07436623,1.017553,0.2636892,1.053791,-0.07393809,1.022347,0.2849126,1.063877,0.08613534,0.61314,0.2318292,0.661139,0.09067648,0.652347,0.274577,0.7135624,0.07737124,0.6519399,0.2949665,0.7197341,0.1010382,-0.08053476,0.03165538,0.1330287,0.1499861,-0.06169593,0.01650237,0.163017,0.1444908,-0.0738968,-0.0006598048,0.1622922,-0.1076787,0.06131907,-0.05379984,0.1350894,-0.1580313,0.05645758,-0.02505699,0.1696738,-0.1618174,0.06501254,-0.002575811,0.174408,0.1046145,-0.05771388,0.04874638,0.1290399,0.1660582,-0.03783142,0.01629723,0.171091,0.1705768,-0.04696453,-0.001668221,0.1769319,-0.1085215,0.05381592,-0.04784096,0.1302376,-0.1558027,0.0584873,-0.02592639,0.1684263,-0.1613451,0.0652053,-0.003577869,0.1740597,0.1217511,-0.05413498,0.0368051,0.1382337,-0.357563,0.8205225,-0.1100845,0.4321724,128.789,-0.3965032,0.9098809,-0.1220732,-0.1269539,0.0573605,-0.03377296,0.1433462,-0.1279313,-0.4084089,0.08231241,0.9000335,51.67503,-0.2935413,-0.9371033,0.1888677,-0.05351083,0.9960907,0.3030141,1.042534,0.03624881,-0.0340808,0.08173227,0.9954117,10.98146,0.3788359,-0.356178,0.8541828,0.1101045,-0.0658749,-0.0105551,0.1287397,0.6215562,0.6454803,-0.4423068,0.03725436,175.73,0.6219881,0.6459288,-0.4426141,-0.3021513,-0.234106,0.1642289,0.4160195,-0.3485401,0.2742557,0.8697693,0.2163445,155.0112,-0.3569948,0.2809085,0.8908677,0.1035108,0.003909349,-0.003014058,0.1036285,-0.659511,0.04519864,-0.6866547,0.3025027,144.784,-0.6919289,0.04742035,-0.7204067,-0.05609618,1.05172,0.07740815,1.056056,0.04812426,0.02526224,0.1156235,0.991805,14.68048,0.3766737,0.1977302,0.9049975,False,False,False,False
1773029597061,0.0696012,0.02954558,0.8986332,0.2984763,0.9473662,-0.5906932,-0.7116573,0.379295,0.02758338,176.8388,-0.5909181,-0.7119282,0.3794393,-0.03259375,0.6054448,0.1678312,0.6291209,0.3941668,-0.2180824,-0.8567348,0.2511535,150.9084,0.4072194,-0.225304,-0.8851049,-0.08087219,0.9711738,0.2832338,1.01486,-0.07419603,1.015743,0.2656232,1.052518,-0.07481997,1.019119,0.2857981,1.061076,0.08604456,0.6132497,0.2319162,0.6612594,0.09065723,0.6522964,0.2746458,0.7135402,0.0773589,0.6518766,0.2950404,0.7197057,0.1019336,-0.08074996,0.02784851,0.1329908,0.1455298,-0.06455237,0.01450313,0.1598633,0.1403787,-0.07656413,-0.00124494,0.1599056,-0.1077693,0.06121649,-0.05367663,0.1350661,-0.1580617,0.0564291,-0.02504984,0.1696916,-0.1618607,0.0649784,-0.002567865,0.1744353,0.1043986,-0.05956941,0.04706309,0.1290834,0.1644046,-0.03998376,0.01615272,0.1699662,0.1681444,-0.04934874,-0.001634126,0.1752442,-0.1084609,0.05441202,-0.04831102,0.1306078,-0.1559846,0.05832151,-0.02585579,0.1685263,-0.1613866,0.06518702,-0.003496515,0.1740897,0.1213278,-0.05600747,0.03540033,0.1382406,-0.3533682,0.8223301,-0.1089886,0.4324647,128.7519,-0.3919124,0.9120272,-0.1208767,-0.1268717,0.05771032,-0.03410957,0.1434935,-0.1280973,-0.4053634,0.09507484,0.9001291,51.64991,-0.2940553,-0.9305369,0.2182502,-0.05394677,0.9956225,0.3038781,1.042361,0.05244018,-0.06185605,0.09409759,0.9922547,14.27134,0.4221579,-0.4979582,0.7575116,0.1070908,-0.06928207,-0.01218451,0.1281285,0.6342215,0.6454242,-0.4212282,0.06129938,172.9712,0.6354164,0.6466402,-0.4220218,-0.2999869,-0.2323306,0.1653674,0.4139034,-0.3362317,0.271794,0.8788595,0.2016987,156.7274,-0.3432871,0.2774972,0.8973012,0.1039468,0.004377544,-0.003878087,0.1041112,-0.6466757,0.05773009,-0.7068183,0.2808661,147.3762,-0.6737981,0.06015136,-0.7364631,-0.0561345,1.051655,0.07739356,1.055992,0.04785553,0.02477534,0.1158559,0.9918032,14.68208,0.3745293,0.1938979,0.9067169,False,False,False,False
1773029597074,0.0831948,0.02937281,0.8973174,0.2961946,0.9453955,-0.595778,-0.7190785,0.3559694,0.03550389,175.9307,-0.5961539,-0.7195322,0.356194,-0.03250325,0.6053098,0.1678455,0.6289901,0.3943992,-0.2174113,-0.8567991,0.2511508,150.9088,0.4074591,-0.2246105,-0.8851707,-0.07983089,0.9721259,0.2832573,1.015695,-0.07324623,1.014689,0.2683931,1.052138,-0.07446729,1.018516,0.2877115,1.060989,0.08611651,0.6131421,0.2319543,0.6611823,0.09074294,0.6520995,0.2747049,0.7133939,0.07742819,0.651741,0.2951159,0.7196214,0.1022198,-0.08089428,0.02638889,0.1330006,0.1434169,-0.0656197,0.01433036,0.1583657,0.1399364,-0.07720185,-0.001260728,0.1598247,-0.1077929,0.06118879,-0.053652,0.1350627,-0.1580676,0.05642267,-0.02507851,0.1696992,-0.1619246,0.06490295,-0.002556816,0.1744664,0.1042307,-0.06121294,0.0454697,0.1291455,0.1627871,-0.04195955,0.01601227,0.1688687,0.1659704,-0.05149542,-0.001605348,0.173783,-0.1084094,0.05493432,-0.04872265,0.1309362,-0.1561452,0.05817516,-0.02579588,0.1686152,-0.1614281,0.06516513,-0.003424091,0.1741185,0.1209893,-0.05767465,0.03405456,0.1382914,-0.3505441,0.8233692,-0.1088524,0.43282,128.7067,-0.3888538,0.9133523,-0.1207485,-0.1268027,0.05801631,-0.03440532,0.1436264,-0.1280508,-0.4028041,0.1059484,0.9000705,51.66533,-0.2938668,-0.9244048,0.2431434,-0.0550859,0.9928911,0.3053911,1.040255,0.08814002,-0.1056938,0.09711763,0.9857121,19.39412,0.5232762,-0.6274905,0.5765751,0.1078088,-0.06993786,-0.01228944,0.1290933,0.6386701,0.6365846,-0.4244326,0.08196142,170.5974,0.6408262,0.6387336,-0.4258654,-0.2999293,-0.2320974,0.1657763,0.4138944,-0.304718,0.2822349,0.8867906,0.2027134,156.6086,-0.3111787,0.2882189,0.9055924,0.1050859,0.007108927,-0.005391091,0.105464,-0.6282116,0.09485472,-0.7306883,0.2498951,151.0574,-0.648796,0.0979628,-0.7546306,-0.05615614,1.05161,0.07741282,1.05595,0.04788282,0.02451512,0.1160537,0.9917852,14.69822,0.3743338,0.191652,0.9072735,False,False,False,False
1773029597088,0.0976564,0.02972032,0.8944274,0.2943959,0.9421,-0.6007131,-0.7256796,0.3325144,0.04435286,174.9159,-0.6013048,-0.7263945,0.3328419,-0.03257477,0.6053913,0.167852,0.6290739,0.3945148,-0.2168839,-0.8568803,0.2511485,150.909,0.4075783,-0.2240655,-0.885254,-0.07879785,0.9711146,0.2826816,1.014486,-0.0722058,1.010495,0.2725867,1.049103,-0.07410046,1.017861,0.2900116,1.060961,0.08603295,0.61322,0.2319655,0.6612477,0.09072828,0.6520318,0.2746781,0.7133198,0.07734792,0.6517689,0.2951536,0.7196534,0.1028198,-0.08075015,0.0264927,0.1333955,0.13989,-0.06753672,0.01435124,0.1560012,0.1412095,-0.07804944,-0.001435291,0.1613502,-0.1077967,0.0611831,-0.05362948,0.1350541,-0.1580099,0.05647597,-0.02518217,0.1696785,-0.1619374,0.06487969,-0.002548099,0.1744694,0.1041196,-0.06275032,0.0439764,0.1292766,0.1609853,-0.04397222,0.01588156,0.1676367,0.164022,-0.05358496,-0.001591966,0.1725604,-0.1083612,0.05542603,-0.04910877,0.1312473,-0.1562919,0.05804145,-0.02574759,0.1686977,-0.1614681,0.06514267,-0.003355159,0.1741459,0.1207383,-0.05927358,0.03273981,0.1384304,-0.3502044,0.8233213,-0.1106525,0.4327297,128.7182,-0.3884583,0.9132553,-0.1227395,-0.1267425,0.05830592,-0.03468065,0.1437567,-0.1278078,-0.4005019,0.1157699,0.8999226,51.70421,-0.2931037,-0.9184778,0.265497,-0.05520244,0.9921016,0.3067171,1.039898,0.1161448,-0.1354135,0.08304832,0.9804471,22.69777,0.5902185,-0.6881371,0.4220304,0.1083321,-0.07170128,-0.01145363,0.1304151,0.631371,0.6229757,-0.4509091,0.09976511,168.5487,0.6345367,0.6260993,-0.4531699,-0.2984383,-0.2296213,0.1666986,0.4118007,-0.2551116,0.30108,0.8916098,0.2220377,154.3425,-0.2616428,0.308788,0.914436,0.1052024,0.00789845,-0.006717056,0.1057121,-0.6155705,0.1331174,-0.7399321,0.2363331,152.6596,-0.6335167,0.1369982,-0.7615038,-0.05609906,1.051586,0.07746644,1.055926,0.04787236,0.02399865,0.1160535,0.9917983,14.68641,0.3745516,0.1877645,0.9079985,False,False,False,False
1773029597102,0.1107088,0.03015376,0.893046,0.2933801,0.9404851,-0.6048466,-0.7317258,0.3093301,0.05525307,173.6652,-0.605772,-0.7328453,0.3098033,-0.03264308,0.6054876,0.1678333,0.6291652,0.3946195,-0.2164159,-0.8569613,0.2511114,150.9134,0.4076824,-0.2235798,-0.8853288,-0.07753856,0.9713075,0.2822598,1.014456,-0.07061966,1.009426,0.2764875,1.048987,-0.07216027,1.020614,0.2924054,1.064124,0.08593579,0.6132655,0.2319941,0.6612872,0.09068404,0.6520944,0.2746737,0.7133697,0.07728919,0.6518202,0.2951682,0.7196996,0.10345,-0.0798445,0.02773296,0.1335895,0.1383731,-0.06802449,0.01450886,0.1548708,0.1443933,-0.07674444,-0.001881443,0.1635318,-0.1077905,0.06122693,-0.05357726,0.1350483,-0.1580321,0.0564538,-0.02520858,0.1696957,-0.1619674,0.06485423,-0.002548747,0.1744878,0.1040639,-0.06417421,0.04262338,0.1294773,0.1591018,-0.04597569,0.01576722,0.1663603,0.162387,-0.05551405,-0.001616079,0.1716215,-0.1083137,0.05590922,-0.04948098,0.1315525,-0.1564368,0.05790921,-0.02570269,0.1687797,-0.1615097,0.06511864,-0.003287988,0.1741742,0.1205691,-0.0607854,0.031497,0.13865,-0.3511114,0.8226767,-0.1132093,0.4325592,128.7398,-0.3894291,0.9124575,-0.1255641,-0.1266852,0.0585908,-0.03494726,0.1438866,-0.1274691,-0.3983569,0.1251934,0.8996611,51.7729,-0.2919659,-0.91243,0.2867535,-0.05519595,0.9912903,0.3081755,1.039555,0.1500173,-0.1815981,0.07017598,0.9693257,28.45583,0.6103731,-0.7388657,0.285524,0.1095359,-0.07194303,-0.01008215,0.1314365,0.6183186,0.6237779,-0.4655837,0.1086978,167.5195,0.622004,0.6274959,-0.4683588,-0.2985785,-0.2284579,0.1671101,0.4114218,-0.2237211,0.3104846,0.8893608,0.2501709,151.0247,-0.2310687,0.3206818,0.9185698,0.1051959,0.008709669,-0.008175462,0.105872,-0.5908517,0.1802547,-0.7564771,0.2148143,155.1907,-0.6049749,0.1845634,-0.7745591,-0.05601096,1.051565,0.07751471,1.055905,0.04810169,0.02394671,0.1156987,0.9918299,14.65806,0.3770696,0.1877185,0.9069635,False,False,False,False
1773029597117,0.1242886,0.03154808,0.8923092,0.2920323,0.9394114,-0.6088148,-0.7376333,0.2839933,0.06774654,172.2309,-0.6102167,-0.7393319,0.2846473,-0.03270184,0.6056232,0.1678061,0.6292915,0.3946771,-0.216029,-0.8570441,0.2510711,150.9182,0.4077375,-0.2231777,-0.8854049,-0.07496887,0.9726743,0.2796199,1.014841,-0.06782167,1.00819,0.2806116,1.048709,-0.06982492,1.021931,0.2969947,1.066501,0.08583659,0.6133335,0.2320367,0.6613523,0.09063347,0.6521811,0.2746692,0.7134408,0.07723598,0.651867,0.295157,0.7197317,0.1049022,-0.07752041,0.03073457,0.1340093,0.1361406,-0.06841468,0.01477597,0.1530789,0.1454827,-0.07701409,-0.002544515,0.1646294,-0.1077826,0.06129538,-0.05349922,0.1350421,-0.1580398,0.05645337,-0.02520712,0.1697026,-0.1619543,0.06486424,-0.002551518,0.1744794,0.1041274,-0.06518578,0.04172227,0.1297399,0.1573615,-0.04767644,0.01569209,0.1651724,0.1611057,-0.05714364,-0.001686449,0.1709482,-0.1082734,0.05631747,-0.04978554,0.1318081,-0.1565583,0.05779887,-0.02566513,0.1688488,-0.1615434,0.06509936,-0.003232168,0.1741972,0.1205751,-0.06193423,0.03054325,0.13895,-0.3536427,0.8222238,-0.1172194,0.4302843,129.0288,-0.3917639,0.9108561,-0.1298551,-0.1266369,0.05883243,-0.03516704,0.1439961,-0.1271289,-0.3966407,0.1329657,0.8993523,51.85389,-0.2907633,-0.9071779,0.3041128,-0.05519702,0.9894486,0.3101491,1.038387,0.1936322,-0.2511498,0.05047322,0.947039,37.46117,0.6029928,-0.7821093,0.1571794,0.1103847,-0.07302838,-0.008030251,0.1325987,0.6004944,0.6173763,-0.4917452,0.1282181,165.2667,0.6054921,0.6225144,-0.4958378,-0.2988244,-0.2270956,0.1675713,0.4110336,-0.174108,0.3200766,0.8876386,0.2816646,147.2809,-0.1814545,0.3335824,0.9250929,0.105197,0.01055139,-0.01014909,0.1062109,-0.5470918,0.246382,-0.7782091,0.1854109,158.6298,-0.5567452,0.2507294,-0.7919404,-0.05587387,1.051551,0.0775639,1.055887,0.04834834,0.02365855,0.1158463,0.9918076,14.67807,0.3784891,0.1852081,0.9068887,True,True,False,False
1773029597131,0.1391966,0.03291445,0.8915908,0.2910687,0.9384767,-0.613213,-0.7428386,0.2559692,0.08148942,170.6516,-0.6152592,-0.7453174,0.2568234,-0.03275138,0.6057438,0.1678328,0.6294172,0.3947115,-0.2156174,-0.8571289,0.2510814,150.917,0.4077742,-0.2227531,-0.8854949,-0.06805221,0.9786279,0.2727395,1.0182,-0.06445818,1.008578,0.2848427,1.05001,-0.06691778,1.021285,0.3037873,1.067609,0.08572766,0.6133938,0.2321616,0.6614379,0.09059414,0.6523344,0.2747201,0.7135955,0.07721692,0.6519818,0.2951979,0.7198504,0.1101526,-0.06879547,0.03520328,0.1345574,0.1355103,-0.06798227,0.0148869,0.152336,0.1445407,-0.07773267,-0.003816083,0.1641613,-0.1077802,0.06138269,-0.05338147,0.1350333,-0.1580944,0.05640505,-0.02518589,0.1697342,-0.1619992,0.06482756,-0.002553388,0.1745075,0.1046011,-0.06546956,0.04120977,0.1300996,0.1556436,-0.04927281,0.01562879,0.164003,0.1598034,-0.05876228,-0.001853873,0.170275,-0.1082346,0.05671568,-0.05006824,0.1320539,-0.1566791,0.05768929,-0.02562745,0.1689176,-0.1615793,0.06507799,-0.003178804,0.1742214,0.1209948,-0.06255608,0.02973369,0.139417,-0.3545979,0.8248639,-0.1238308,0.4225232,130.012,-0.3912363,0.9100921,-0.1366255,-0.1265911,0.05906761,-0.03537341,0.1441026,-0.1267469,-0.3950942,0.1404053,0.8989561,51.95762,-0.2893509,-0.9019619,0.3205318,-0.05527487,0.9885222,0.3114537,1.037899,0.2246031,-0.3002211,0.03653183,0.9263294,44.26064,0.5962157,-0.7969461,0.09697486,0.1102307,-0.07432045,-0.005432855,0.1330558,0.5697224,0.6025164,-0.5361456,0.1579193,161.8277,0.5769621,0.6101728,-0.5429586,-0.2987308,-0.2246767,0.1681289,0.4098623,-0.09903912,0.3270291,0.8817886,0.325103,142.0564,-0.1047281,0.3458143,0.9324401,0.1052749,0.01147783,-0.01145372,0.1065163,-0.5129747,0.2928735,-0.7903334,0.1626512,161.2784,-0.5198978,0.2968262,-0.8009998,-0.05563554,1.051538,0.07761998,1.055866,0.04846682,0.02348476,0.1154473,0.9918525,14.63776,0.3804561,0.1843513,0.9062415,True,True,False,False
