Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773030058757,0,1,1,135,-0.5593795,-0.3138888,0.7671821,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.5167993,-0.2899955,0.7087839,0.3826834,135,-0.5593795,-0.3138888,0.7671821
Grab,1773030062656,2.995425,1,1,135,-0.5593795,-0.3138888,0.7671821,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.5167993,-0.2899955,0.7087839,0.3826834,135,-0.5593795,-0.3138888,0.7671821
Trial Start,1773030062672,0,1,1,135,-0.5593795,-0.3138888,0.7671821,1,-1,-0.05000001,1,0.3,1.045227,0.04959586,0.02632379,-0.00783463,0.9983917,6.499965,0.8748193,0.4643242,-0.1381947,0.1,0,0,0.1,-0.5185617,-0.3307065,0.7098637,0.3432499,139.85,-0.5521054,-0.3520986,0.7557819
Clutch Start,1773030063182,0.5140125,1,1,135,-0.5593795,-0.3138888,0.7671821,1,0,-0.02984498,0.985101,0.2970378,1.029343,0.8830457,-0.3063433,0.08983631,0.3439675,139.7625,0.9404292,-0.3262506,0.09567419,0.07984498,0.01489896,0.002962261,0.08127715,-0.7067681,-0.6548324,-0.2049775,-0.172214,199.8332,-0.7174876,-0.6647642,-0.2080864
Clutch End,1773030063419,0.7502262,1,1,135,-0.5593795,-0.3138888,0.7671821,1,0,-0.02330884,0.9785721,0.2894233,1.020741,0.896338,-0.3813437,0.09817979,0.2037546,156.4868,0.9155443,-0.389515,0.1002835,0.07330884,0.02142787,0.01057675,0.07710517,-0.6901324,-0.5992032,-0.3501658,-0.2050771,203.668,-0.7051193,-0.6122154,-0.35777
Release,1773030063420,0.7502262,1,1,135,-0.5593795,-0.3138888,0.7671821,1,0,-0.02330884,0.9785721,0.2894233,1.020741,0.896338,-0.3813437,0.09817979,0.2037546,156.4868,0.9155443,-0.389515,0.1002835,0.07330884,0.02142787,0.01057675,0.07710517,-0.6901324,-0.5992032,-0.3501658,-0.2050771,203.668,-0.7051193,-0.6122154,-0.35777
Grab,1773030065698,3.028998,1,1,135,-0.5593795,-0.3138888,0.7671821,1,0,-0.02330884,0.9785721,0.2894233,1.020741,0.896338,-0.3813437,0.09817979,0.2037546,156.4868,0.9155443,-0.389515,0.1002835,0.07330884,0.02142787,0.01057675,0.07710517,-0.6901324,-0.5992032,-0.3501658,-0.2050771,203.668,-0.7051193,-0.6122154,-0.35777
Release,1773030065837,3.167785,1,1,135,-0.5593795,-0.3138888,0.7671821,1,0,-0.02363661,0.9882516,0.2812197,1.027757,0.7524559,-0.5010481,-0.2670453,0.3338378,140.9962,0.7982512,-0.5315424,-0.283298,0.07363661,0.01174837,0.01878035,0.07689653,-0.8930562,-0.3003885,-0.1383374,-0.3050902,215.5272,-0.9377656,-0.3154269,-0.1452631
Grab,1773030066837,4.168361,1,1,135,-0.5593795,-0.3138888,0.7671821,1,0,-0.02363661,0.9882516,0.2812197,1.027757,0.7524559,-0.5010481,-0.2670453,0.3338378,140.9962,0.7982512,-0.5315424,-0.283298,0.07363661,0.01174837,0.01878035,0.07689653,-0.8930562,-0.3003885,-0.1383374,-0.3050902,215.5272,-0.9377656,-0.3154269,-0.1452631
Release,1773030068200,5.530254,1,1,135,-0.5593795,-0.3138888,0.7671821,1,0,0.004368007,0.9526736,0.2716379,0.9906529,0.3761109,-0.2842261,-0.5300609,-0.7048345,269.6324,0.5302029,-0.4006729,-0.7472259,0.04563199,0.04732645,0.02836215,0.07159946,-0.1348436,0.3205211,-0.5526881,-0.7573767,278.4669,-0.2065054,0.4908603,-0.8464111
