Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,-0.5593795,-0.3138888,0.7671821,1,23.46125,False,-0.0003897659,0.008654952,0.01293132,0.01556532,0.04933181,-0.0250739,0.0224064,-0.9982162,353.1546,0.8263045,-0.419986,0.3753057,0.437351,0.4077423,0.6097048,0.8453436,693.9788,0.487738,1467.018,0,0,0,0,0,0,0,1.026302,1464.801,0.7157401,139.8893
1,3,135,-0.5978817,0.4349503,-0.673317,1,30.01114,True,-0.001022492,0.003282428,0.00589186,0.006821571,0.1558097,-0.008030422,-0.01907059,0.9875704,18.08619,0.9912995,-0.0510915,-0.1213317,0.4607189,0.5596251,0.7564866,1.195347,712.7101,0.5153973,1320.878,0,0,0,0,0,0,0,1.141962,1388.67,0.4031636,82.75353
1,4,135,-0.4432043,0.3618813,-0.8201292,1,9.334867,False,-0.007032938,0.005390584,0.009914309,0.01329715,-0.06328141,0.04456725,0.01971422,-0.9968053,350.8377,-0.7922996,0.5579934,0.2468271,0.3217526,0.2432257,0.2861685,0.4811468,290.3043,0.2800767,788.3677,0,0,0,0,0,0,0,0.4898017,918.7525,0.07791828,16.67393
1,5,135,0.9326636,0.1412011,0.3319652,1,12.74867,False,-0.009486739,0.009615064,0.003466308,0.013945,-0.04231953,0.04892428,0.03498279,0.9972922,8.434845,-0.5754513,0.6652611,0.4756879,0.2610541,0.2923419,0.422951,0.4945619,310.3304,0.3152863,719.9985,0,0,0,0,0,0,0,0.5515329,663.1107,0.1860509,42.50182
1,6,135,-0.1575034,0.97494,0.1571137,1,15.99993,False,-0.005033378,0.002921224,0.005354822,0.007908385,0.04845467,-0.04735414,-0.006224861,-0.9976828,352.1975,0.7121825,-0.6960071,-0.09149247,0.3157931,0.3471859,0.4227888,0.473358,452.2427,0.3590776,896.4937,0,0,0,0,0,0,0,0.6267799,849.8339,0.1829486,49.51215
1,7,135,-0.5071764,-0.8583595,-0.07740176,1,26.34776,False,-0.003707472,0.01261002,0.01381242,0.01906675,0.08044783,-0.01646711,-0.02141275,0.9963927,9.736161,0.9479845,-0.1940458,-0.2523244,0.3958241,0.4068163,0.4771057,1.159772,790.08,0.3766878,954.897,0,0,0,0,0,0,0,1.120049,1018.509,0.2406579,52.97167
1,8,135,-0.451293,0.5363891,0.713177,0.9999999,8.400991,False,0.003642555,0.007266343,0.008191258,0.0115397,0.05937894,0.01781239,-0.02093741,-0.997857,352.4966,0.9074787,0.2722238,-0.319983,0.1279596,0.1360298,0.1768617,0.2128279,247.6299,0.1565081,466.8604,0,0,0,0,0,0,0,0.3010466,488.5744,0.4001724,68.42986
1,9,135,0.9192504,-0.3671455,0.1420668,1,12.722,False,-0.001362193,0.006982386,0.005929708,0.009261249,0.03044466,0.03933109,-0.0224206,0.9985108,6.254875,0.5580329,0.7209159,-0.4109566,0.3219496,0.2407643,0.3063326,0.4716879,319.3361,0.2278017,527.2413,0,0,0,0,0,0,0,0.5293217,670.6862,0.09826318,21.49817
1,10,135,0.6997896,0.2500417,-0.6691589,1,18.38762,False,0.0003543086,-0.001350641,0.01515931,0.01522348,0.01446988,0.04367511,0.01287166,-0.9988582,354.5231,0.3028643,0.9141494,0.2694125,0.4476374,0.4600043,0.5170172,1.115489,887.0233,0.360687,1064.015,0,0,0,0,0,0,0,0.9631262,1209.352,0.2026571,46.02777
1,11,135,0.4360845,-0.3691188,-0.8207202,1,5.928985,False,-0.002113562,-0.005161762,0.008393466,0.01007776,0.05621382,0.0303488,-0.01253122,0.9978788,7.465216,0.8634934,0.4661841,-0.1924905,0.1296667,0.1452995,0.1344299,0.2692946,225.2779,0.1178914,397.8859,0,0,0,0,0,0,0,0.3228961,477.5013,0.4448646,92.79204
2,2,135,-0.7827383,0.4015249,0.4754982,1,10.62476,False,-0.00130054,0.004119754,0.00480023,0.006458017,-0.07275057,-0.0009272876,-0.009482924,-0.9973047,351.5848,-0.9915485,-0.0126384,-0.1292468,0.3256013,0.343966,0.4761874,0.7088505,706.5326,0.3590665,1128.474,0,0,0,0,0,0,0,0.7723215,1137.756,0.1268095,32.78729
2,3,135,-0.8309243,-0.2283462,0.5073686,1,20.13838,False,-0.002256427,-0.002585173,0.007629037,0.008365213,0.0003193068,0.003059751,0.07826021,-0.9969283,351.0159,0.004076907,0.03906688,0.9992259,0.3972524,0.4458022,0.6905109,0.71475,553.1066,0.5298895,1176.025,0,0,0,0,0,0,0,0.9512919,1188.106,0.2355077,59.58539
2,4,135,-0.2086761,-0.8246756,-0.5257039,1,11.05388,False,-0.005546566,0.003580689,0.002359331,0.007010861,0.01241782,-0.02247664,-0.06713076,0.9974138,8.243206,0.1727731,-0.3127245,-0.9340113,0.2666104,0.2702027,0.2656076,0.5096617,403.3769,0.265169,886.2675,0,0,0,0,0,0,0,0.6136545,719.4981,0.1991438,58.73645
2,5,135,0.655552,-0.344868,0.6718018,1,18.34849,False,0.002957992,0.008621097,0.003449351,0.009745309,0.0751894,-0.01609554,0.02348428,0.9967628,9.222927,0.9352115,-0.2001976,0.2920992,0.5963618,0.5756869,0.7953937,1.013547,814.9318,0.5765163,1720.756,0,0,0,0,0,0,0,1.083404,1632.128,0.179446,48.85881
2,6,135,0.178241,-0.3704178,0.9116035,1,30.01388,True,-0.003676817,0.004576743,-0.0004386902,0.005887105,-0.04023479,-0.5300431,0.5259253,0.6639566,96.79536,-0.05380629,-0.7088305,0.7033238,0.4380715,0.5009589,0.5603215,0.9062063,537.6389,0.5966333,815.5416,0,0,0,0,0,0,0,1.173009,757.5556,1.020117,175.901
2,7,135,0.22873,0.9493478,-0.2154561,1,22.91641,False,-0.001642589,0.009212792,0.0004027188,0.00936674,-0.01045649,0.02661199,0.02136221,0.9993628,4.090715,-0.2929769,0.7456326,0.5985407,0.6820897,0.512772,0.6772579,1.074534,837.912,0.5584356,1533.465,0,0,0,0,0,0,0,1.245213,1693.846,1.031179,175.1698
2,8,135,0.5392616,-0.8291559,-0.1473001,1,6.874868,False,-0.002030794,0.00583601,0.01037437,0.01207521,0.02102204,-0.01500588,-0.05405376,0.998204,6.868892,0.3509139,-0.2504881,-0.9023013,0.1431607,0.1098645,0.1353018,0.2633283,187.7787,0.1449103,338.5575,0,0,0,0,0,0,0,0.3384203,363.599,0.1178748,28.69002
2,9,135,0.0434177,0.9864317,0.1583267,1,11.23486,False,0.001619156,0.001002192,0.01484013,0.0149618,0.02059846,0.05898522,-0.04155115,-0.9971811,351.3938,0.2745252,0.7861233,-0.5537714,0.2537498,0.2967086,0.3803592,0.5750872,450.6462,0.2620963,740.2365,0,0,0,0,0,0,0,0.5675442,837.705,0.1099622,25.53331
2,10,135,0.09770446,-0.2674437,-0.9586072,1,30.01343,True,-0.008539911,0.005785227,0.02560502,0.02760464,-0.1229588,0.03456024,0.01486965,0.9916984,14.77571,-0.9562421,0.2687726,0.1156402,0.675808,0.8635569,0.9235523,1.423895,1250.928,0.792981,1585.036,0,0,0,0,0,0,0,1.740242,1880.708,1.017271,169.0061
2,11,135,0.1463902,-0.4162991,0.8973656,1,12.94458,False,-0.006150354,-0.001603365,0.009749979,0.01163872,0.002158239,-0.0359665,-0.0514629,0.9980248,7.203589,0.03435482,-0.5725144,-0.819186,0.1962856,0.1863064,0.2290888,0.3936662,269.6294,0.2053654,432.2297,0,0,0,0,0,0,0,0.4308736,483.1128,0.5151123,93.84074
3,2,135,0.9565028,-0.03111245,0.2900593,1,18.70826,False,0.002725888,0.004251659,0.01426658,0.01513415,-0.06348661,0.04227145,0.01949903,0.9968964,9.030543,-0.8064387,0.5369531,0.2476864,0.3990328,0.4036383,0.5363229,0.5690482,345.767,0.3323708,1190.598,0,0,0,0,0,0,0,0.6421912,1167.674,0.1496998,30.35564
