Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773030949067,0,1,1,135,0.01822518,0.4531485,-0.8912487,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.01683787,0.4186546,-0.8234065,0.3826834,135,0.01822518,0.4531485,-0.8912488
Trial Start,1773030953559,0,1,1,135,0.01822518,0.4531485,-0.8912487,1,-1,-0.03652009,0.983224,0.3077965,1.030923,0,0,0,1,0,1,0,0,0.08652009,0.01677597,-0.007796526,0.08847567,0.01683787,0.4186546,-0.8234065,0.3826834,135,0.01822518,0.4531485,-0.8912488
On Target,1773030970571,17.02838,1,1,135,0.01822518,0.4531485,-0.8912487,1,-1,0.04825704,1.002917,0.2807188,1.042581,0.0233416,-0.3846409,0.8289641,-0.4053705,227.8287,0.02553359,-0.4207623,0.9068115,0.001742963,-0.002917051,0.01928121,0.01957836,-0.04609182,0.01066309,0.03280246,-0.9983416,353.3996,-0.8006568,0.1852276,0.5698086
Off Target,1773030970862,17.31989,1,1,135,0.01822518,0.4531485,-0.8912487,1,-1,0.04755358,1.004911,0.2806354,1.044444,0.01155651,-0.3738535,0.8335569,-0.4065501,227.9766,0.01264902,-0.4091964,0.9123587,0.002446424,-0.004910707,0.01936466,0.02012685,-0.05240697,-0.003585519,0.02690066,-0.998257,353.2333,-0.8880143,-0.06075513,0.4558204
On Target,1773030971447,17.90358,1,1,135,0.01822518,0.4531485,-0.8912487,1,-1,0.04686309,1.004768,0.2809956,1.044373,-0.003417835,-0.3731861,0.8334568,-0.4075171,228.0979,-0.003742712,-0.4086587,0.9126797,0.003136907,-0.004768491,0.0190044,0.01984304,-0.04720044,-0.01657741,0.0214549,-0.9985175,353.7594,-0.8671385,-0.3045504,0.3941567
Trial End,1773030972434,18.89042,1,2,135,0.01822518,0.4531485,-0.8912487,1,-1,0.04733418,1.002314,0.2814098,1.042145,-0.005298421,-0.3781918,0.8313891,-0.4071057,228.0463,-0.005800888,-0.414057,0.9102325,0.002665821,-0.002314091,0.01859021,0.01892241,-0.04148648,-0.01607288,0.02120437,-0.9987848,354.3501,-0.8417776,-0.3261253,0.4302453
Trial Load,1773030972435,18.89042,1,2,135,-0.7922853,-0.6054633,0.07548606,0.9999999,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.7319762,-0.5593752,0.06974003,0.3826833,135,-0.7922854,-0.6054634,0.07548607
Trial Start,1773030974322,0,1,2,135,-0.7922853,-0.6054633,0.07548606,0.9999999,-1,-0.03998934,1.015341,0.2905456,1.05685,0,0,0,1,0,1,0,0,0.08998933,-0.01534069,0.009454459,0.09177583,-0.7319762,-0.5593752,0.06974003,0.3826833,135,-0.7922854,-0.6054634,0.07548607
On Target,1773030987362,13.05439,1,2,135,-0.7922853,-0.6054633,0.07548606,0.9999999,-1,0.05010176,0.9919316,0.301899,1.038066,-0.728533,-0.5348697,0.1501895,0.4007457,132.7504,-0.7951773,-0.5837982,0.1639285,-0.0001017638,0.008068442,-0.001899004,0.008289532,0.0321716,-0.07860871,-0.0135156,0.9962946,9.867675,0.3740648,-0.9139971,-0.1571482
Off Target,1773030987390,13.08215,1,2,135,-0.7922853,-0.6054633,0.07548606,0.9999999,-1,0.05014215,0.9916853,0.3015907,1.037743,-0.7278385,-0.535165,0.1519062,0.4009666,132.7228,-0.794503,-0.5841821,0.1658197,-0.0001421459,0.008314729,-0.001590729,0.00846672,0.03268378,-0.07992432,-0.01476181,0.9961557,10.05117,0.3731001,-0.9123722,-0.1685127
