Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,0.01822518,0.4531485,-0.8912487,1,18.89042,False,0.002665821,-0.002314091,0.01859021,0.01892241,-0.04148648,-0.01607288,0.02120437,-0.9987848,354.3501,-0.8417776,-0.3261253,0.4302453,0.59018,0.693675,0.9948875,1.20801,686.7374,0,0,0.08122139,0.06614166,0.08653089,0.2152507,58.3684,0,0,0.7043172,354.1229,0.1173091,22.84175
1,3,135,-0.7922853,-0.6054633,0.07548606,0.9999999,18.88721,False,-0.001354117,-0.003433943,0.01660603,0.01701135,0.008788247,-0.07603387,-0.02031003,0.9968597,9.083831,0.1109788,-0.9601625,-0.2564769,1.027779,1.129205,1.506597,1.707535,1090.309,0,0,0.0952948,0.06875852,0.07948041,0.2301588,79.483,0,0,0.9485015,545.1097,0.1525795,33.18211
1,4,135,-0.06909684,0.9940705,0.08396137,1,14.13646,False,-0.001550574,0.0002313852,0.0003089011,0.001597886,-0.01390435,0.01117773,-0.03697259,0.9991571,4.705368,-0.3387133,0.2722923,-0.9006613,0.9553548,0.8293564,1.028729,2.03453,1244.242,0,0,0.1887948,0.09004003,0.1122775,0.2448762,140.7676,0,0,0.8328252,583.2637,0.1134113,28.05129
1,5,135,-0.005135084,-0.9676498,-0.2522451,1,7.986667,False,-0.0007659234,0.006571531,0.01061943,0.01251175,-0.05821839,-0.0381114,-0.01609749,-0.9974463,351.8088,-0.8151481,-0.533619,-0.22539,0.6474894,0.8227532,0.8925903,1.430531,1085.123,0,0,0.149606,0.1020549,0.2026806,0.221798,168.2105,0,0,0.5945541,474.5677,0.08166602,24.21372
1,6,135,-0.005877616,0.8277881,0.5610101,1,10.86289,False,-0.003227878,-0.00150156,0.001828164,0.004002008,0.06145224,-0.01408386,-0.02666747,-0.9976543,352.1497,0.8977227,-0.2057436,-0.3895707,0.6967849,0.7799556,0.8320478,1.368083,926.9572,0,0,0.07955733,0.06205875,0.12172,0.1820818,82.48924,0,0,0.7086205,503.3339,0.1040308,23.46008
1,7,135,-0.6176766,-0.5702698,0.5415423,1,15.36108,False,0.001577239,0.004620671,0.0162861,0.01700222,-0.008352568,0.004767146,0.007995453,-0.9999219,358.5669,-0.6678794,0.3811856,0.6393241,1.71675,1.321787,1.590331,2.609077,1745.831,0,0,0.114928,0.06742891,0.1032123,0.1979847,87.87371,0,0,1.126942,792.8953,0.1817487,49.97035
1,8,135,-0.4935383,0.7622804,-0.4187464,1,20.41745,False,-0.003524978,0.007274568,-0.003457665,0.008792057,0.0293057,0.06656197,-0.001733716,-0.9973505,351.6563,0.4028376,0.9149642,-0.02383174,1.385655,1.149477,1.376626,2.697318,1912.429,0,0,0.4560297,0.3741513,0.5489128,5.854802,950.5321,0,0,1.621569,1004.256,0.5520355,120.8204
1,9,135,0.9419719,0.03912195,-0.3334042,0.9999999,10.12561,False,0.001851957,-0.004050016,0.01529497,0.01593011,-0.04714422,-0.02496286,-0.03085329,0.9980994,7.066158,-0.7650228,-0.4050795,-0.5006652,0.6195702,0.5716175,0.7846857,1.302993,856.9063,0,0,0.1044258,0.05293184,0.09142926,0.1568906,69.37317,0,0,0.838659,465.9359,0.130471,34.77201
1,10,135,-0.9914275,-0.1301226,0.011814,1,15.73496,False,0.00566138,-0.002415657,0.01632524,0.01744706,0.05354284,0.02120284,0.01631225,0.9982072,6.862732,0.8945753,0.3542498,0.2725395,1.247759,1.231727,1.561278,2.238961,1441.305,0,0,0.2524402,0.2556513,0.3158394,0.4280617,241.757,0,0,0.8329439,692.8736,0.7435308,109.748
1,11,135,-0.2987806,0.3583329,-0.8844929,1,24.91586,False,0.003689516,-0.00810051,0.01590508,0.01822642,0.0390859,-0.04560223,0.02735643,-0.9978198,352.4318,0.5922413,-0.6909786,0.4145127,1.270517,1.371559,2.091585,2.739481,1908.749,0,0,0.1479833,0.277015,0.2945031,0.3280801,164.6304,0,0,1.632427,969.4474,0.2349854,55.92179
