Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773020205671,0,1,1,135,-0.3897994,0.5215698,0.7589607,1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0,0,0.1,-0.3601277,0.4818677,0.7011883,0.3826834,135,-0.3897994,0.5215698,0.7589607
Trial Start,1773020207337,0,1,1,135,-0.3897994,0.5215698,0.7589607,1,-0.05527434,0.9724029,0.3121186,1.022761,-0.3206811,0.04817494,-0.09872444,0.9407956,39.6288,-0.9460334,0.1421197,-0.2912445,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1052743,0.02759707,-0.01211858,0.1095041,-0.1347354,0.6953145,0.5602783,0.4295025,129.128,-0.1491978,0.769949,0.6204181
Grab,1773020210464,3.131855,1,1,135,-0.3897994,0.5215698,0.7589607,1,0.09635825,1.045434,0.2787103,1.086231,-0.2930807,-0.8790745,-0.257289,0.2741063,148.1825,-0.3047529,-0.9140845,-0.2675358,0.1227022,-0.07387792,0.01401095,0.1439099,-0.5003138,0.1417548,-0.4420029,0.7309072,86.075,-0.7330852,0.2077063,-0.6476451,-0.3955379,-0.1069421,-0.196378,0.454369,0.4226043,-0.6988386,0.5445406,0.1910646,157.9702,0.4305359,-0.7119546,0.5547608,-0.04635825,-0.04543436,0.02128974,0.06831267,-0.4789736,0.7666519,-0.1671448,-0.3935632,226.3528,-0.5210212,0.8339539,-0.1818179
Release,1773020210560,3.228891,1,1,135,-0.3897994,0.5215698,0.7589607,1,0.08637045,1.041401,0.2723714,1.07989,-0.3760456,-0.8564347,-0.2409981,0.2588999,149.9904,-0.3893199,-0.8866664,-0.2495052,0.1179311,-0.0914773,-0.009252585,0.1495374,-0.1998307,0.04823749,-0.4058442,0.8905231,54.1219,-0.4392481,0.1060309,-0.8920867,-0.3865238,-0.113817,-0.189976,0.4454726,0.3871211,-0.7272187,0.5499307,0.1373545,164.2104,0.3908254,-0.7341774,0.5551929,-0.03637045,-0.04140115,0.0276286,0.06164579,-0.4337234,0.8029677,-0.2158666,-0.3471721,220.6289,-0.4624896,0.8562237,-0.2301837
Grab,1773020211297,3.966054,1,1,135,-0.3897994,0.5215698,0.7589607,1,0.05572755,1.00023,0.2777219,1.039565,-0.6933888,-0.3952205,-0.5931104,-0.1059848,192.1678,-0.6973163,-0.3974591,-0.5964699,0.1035822,-0.08465945,0.0164037,0.1347797,-0.8419684,0.3180639,0.1548183,0.4073772,131.9196,-0.921937,0.348273,0.1695226,-0.3573118,-0.1057361,-0.1497594,0.4015965,0.09394497,-0.9901404,-0.07491627,0.0719979,171.7425,0.09418942,-0.9927168,-0.0751112,-0.005727544,-0.0002303123,0.0222781,0.02300373,0.3121932,0.7999653,-0.3237933,-0.3971761,226.8035,0.3401752,0.8716664,-0.352815
Release,1773020211395,4.061619,1,1,135,-0.3897994,0.5215698,0.7589607,1,0.05621903,1.001681,0.2683975,1.038539,-0.7291721,-0.221992,-0.598563,-0.2464751,208.5381,-0.7523838,-0.2290587,-0.617617,0.08922081,-0.1043628,0.005020493,0.1373942,-0.8477882,0.2073621,0.1828349,0.4525789,126.1815,-0.950729,0.2325406,0.2050352,-0.3520341,-0.1114534,-0.1545683,0.4003014,-0.00262068,-0.9607679,-0.2742961,0.04098449,175.3022,-0.002622884,-0.9615759,-0.2745268,-0.006219033,-0.001681447,0.03160253,0.0322525,0.5005746,0.6930304,-0.3750753,-0.358403,222.0043,0.5361957,0.7423467,-0.4017658
Grab,1773020212174,4.841307,1,1,135,-0.3897994,0.5215698,0.7589607,1,0.03723308,0.9599993,0.2678718,0.9973666,-0.6344583,0.4855469,-0.2754719,-0.5346234,244.6367,-0.7507579,0.5745502,-0.3259674,0.1051965,-0.07864385,0.03456325,0.1358153,-0.8153283,-0.1330487,0.3991174,-0.3977982,226.8812,-0.8886672,-0.1450165,0.4350181,-0.3209974,-0.09521049,-0.1255235,0.3575759,-0.3733633,-0.4498836,-0.7448871,-0.3214776,217.5046,-0.3942935,-0.4751034,-0.7866443,0.01276692,0.04000074,0.03212821,0.05287036,0.9085302,0.1006513,-0.4003192,0.06470616,172.58,0.9104381,0.1008627,-0.4011598
Release,1773020212355,5.024136,1,1,135,-0.3897994,0.5215698,0.7589607,1,0.03285068,0.9532614,0.268241,0.9908279,-0.4511637,0.330434,-0.4053391,-0.7231632,272.6325,-0.6532193,0.4784203,-0.586872,0.1176786,-0.06006213,0.04528103,0.1396642,-0.8638589,-0.216667,0.3330764,-0.3096183,216.0724,-0.9085017,-0.227864,0.3502893,-0.3151968,-0.09142289,-0.1181711,0.3488145,-0.1014192,-0.4345673,-0.87192,-0.2015462,203.2548,-0.1035441,-0.4436719,-0.8901875,0.01714932,0.04673856,0.03175896,0.05905272,0.8601003,-0.01259605,-0.4503597,-0.2392596,207.6857,0.8858285,-0.01297284,-0.4638314
Grab,1773020213411,6.079201,1,1,135,-0.3897994,0.5215698,0.7589607,1,0.04390417,0.9659396,0.1574689,0.9796752,0.04302084,-0.1420828,-0.7425812,-0.6530964,261.551,0.05681009,-0.1876239,-0.9805968,0.1080134,-0.0733733,0.008835374,0.1308763,-0.8551135,-0.2791511,-0.4359993,0.02757389,176.8399,-0.8554386,-0.2792573,-0.4361651,-0.2500225,-0.1391473,-0.1898773,0.3434045,0.4525633,-0.3900089,-0.7247671,0.3432087,139.855,0.4818301,-0.4152303,-0.771637,0.006095827,0.03406036,0.1425311,0.146671,0.4769338,-0.02307496,-0.2042077,-0.8545765,297.426,0.9183717,-0.04443256,-0.3932171
Release,1773020213634,6.300902,1,1,135,-0.3897994,0.5215698,0.7589607,1,0.04515077,0.9569403,0.1657365,0.9722355,0.03872497,-0.2209963,-0.7176241,-0.6593001,262.493,0.0515042,-0.293925,-0.9544399,0.09625597,-0.07393402,0.03142744,0.125376,-0.9024681,-0.2682748,-0.3369948,-0.003792788,180.4346,-0.9024747,-0.2682768,-0.3369972,-0.248618,-0.129855,-0.1820596,0.3343934,0.4641089,-0.4278338,-0.7109007,0.3101308,143.8658,0.4881792,-0.4500227,-0.7477704,0.004849229,0.04305971,0.1342635,0.1410828,0.4134527,-0.001840951,-0.2485973,-0.8759298,302.3104,0.8570058,-0.003815927,-0.5152931
Grab,1773020214371,7.016424,1,1,135,-0.3897994,0.5215698,0.7589607,1,0.06469638,1.023814,0.2016109,1.04548,0.2515485,-0.5246723,-0.4937777,-0.6462398,260.5174,0.3296255,-0.6875229,-0.6470391,0.1220324,-0.08795304,0.03722836,0.1549632,-0.4280739,-0.01020815,-0.8529399,0.2985667,145.2569,-0.448532,-0.01069601,-0.8937029,-0.3302619,-0.1415974,-0.1926313,0.4077126,0.7834015,-0.245826,-0.521559,0.2320079,153.1694,0.8053772,-0.2527218,-0.5361896,-0.01469638,-0.02381396,0.09838912,0.1022913,0.006506857,-0.1091785,-0.3319112,-0.9369487,319.0906,0.01861937,-0.3124143,-0.9497638
Release,1773020214676,7.343721,1,1,135,-0.3897994,0.5215698,0.7589607,1,0.03923988,1.036566,0.1811716,1.053011,0.05263161,-0.9518445,-0.2139028,-0.2132314,204.6236,0.05387054,-0.9742506,-0.218938,0.1271038,-0.08514967,0.04473425,0.1593957,-0.532686,-0.3327976,-0.6341991,0.4508691,126.4011,-0.5967868,-0.3728449,-0.7105156,-0.3199835,-0.1735046,-0.1885448,0.4099298,0.8605767,-0.4544791,0.1809714,0.1417946,163.6966,0.8693607,-0.459118,0.1828186,0.01076012,-0.03656578,0.1188284,0.1247919,-0.5077,0.3016334,-0.3850824,-0.7092034,270.3403,-0.7201379,0.4278465,-0.5462132
